rowname	20230516_EXPL1_LiSc_SA_S610_RT_25_s2	20230516_EXPL1_LiSc_SA_S610_RT_26_s9	20230516_EXPL1_LiSc_SA_S610_RT_27_s12	20230516_EXPL1_LiSc_SA_S610_RT_28_s17	20230516_EXPL1_LiSc_SA_S610_RT_29_s24	20230516_EXPL1_LiSc_SA_S610_RT_30_s30	20230516_EXPL1_LiSc_SA_S610_RT_31_s33	20230516_EXPL1_LiSc_SA_S610_RT_32_s38	20230516_EXPL1_LiSc_SA_S610_RT_33_s44	20230516_EXPL1_LiSc_SA_S610_RT_34_s48	20230516_EXPL1_LiSc_SA_S610_RT_35_s51	20230516_EXPL1_LiSc_SA_S610_RT_36_s56	20230516_EXPL1_LiSc_SA_S610_RT_37_s63	20230516_EXPL1_LiSc_SA_S610_RT_38_s68	20230516_EXPL1_LiSc_SA_S610_RT_39_s72	20230516_EXPL1_LiSc_SA_S610_RT_40_s80	20230516_EXPL1_LiSc_SA_S610_RT_41_s81	20230516_EXPL1_LiSc_SA_S610_RT_42_s89	20230516_EXPL1_LiSc_SA_S610_RT_43_s92	20230516_EXPL1_LiSc_SA_S610_RT_44_s96	20230516_EXPL1_LiSc_SA_S610_RT_45_QC1_LabD	20230516_EXPL1_LiSc_SA_S610_RT_46_QC2_LabD	20230516_EXPL1_LiSc_SA_S610_RT_47_QC3_LabD	20230516_EXPL1_LiSc_SA_S610_RT_48_QC4_LabD
A5A614	18.065595644134493	17.762115881447375	18.30065859034238	18.056197355894227	18.097237971084446	18.28458918327884	17.925400881610642	18.231097824421248	18.035543290297586	18.058337959245875	17.306474035680008	17.52780021247446	17.405187802182947	17.166235402210866	17.59867293683593	17.39329253917741	17.20383540472349	17.054728625657685	17.449525027177444	17.39762158182714	17.892748308329942	18.007765360586696	17.525813268257945	17.24995171264716
O32583	18.336717655028732	19.404126065134424	19.253615850077253	19.627832567672563	19.062941124834442	18.59739503535155	19.36831945166311	19.188194259589256	19.24864942119387	18.16710622193067	18.689132675680504	18.5505939423222	19.187053235576094	18.862315962447806	18.730590595168447	18.397073770863614	18.644758941602763	18.606797837015026	18.80825946089327	18.36713718938532	19.05682874312693	19.251514508113086	18.24143965321205	18.555218448360197
P00350	25.297877692781157	25.23106973474032	25.24147119365174	25.19930238581835	25.249676089822877	25.288979053721516	25.232503179116144	25.130696554843016	25.16346845993922	25.243040590011244	25.41458997615165	25.43725260603957	25.407032249530324	25.466401682811306	25.432510280937695	25.38338083399236	25.455557615981284	25.442218467769464	25.475157124973197	25.431631661381868	25.37195965505699	25.299587288196015	25.49199950958965	25.486941863502604
P00363	23.62051572250956	23.167920025980486	23.483579140509157	23.22336348055348	23.160345994306212	23.662582762178893	23.038607107815842	22.941747296182918	23.079054894676773	23.676076386823787	22.99949300355116	23.050133031850542	23.065859925084958	23.125285057171702	23.14730300996989	23.10898517340779	23.089361655154782	23.066047699042876	23.322325273829996	23.395857865691873	23.391042965789104	23.318528925287097	23.502539542581054	23.254945090349075
P00370	24.577751077412152	24.163574911761366	24.382082813476412	24.345928658244016	24.385032524578158	24.57865903146453	24.190328503865224	24.322395734861207	24.250427769086258	24.626087840304727	24.696252586301835	24.736109546608493	24.868865522195378	24.729285322486934	24.871555432097587	24.846920665998507	24.952021016178925	24.82224817969593	25.137597191018067	25.055955781344508	24.433154014216665	24.303740998113256	25.06519897511191	24.845134019779564
P00393	22.430437148733894	22.633771039471544	22.437062129233492	22.6751225716297	22.551034045584768	22.431685512980184	22.593586503166865	22.61039534386616	22.539672520960192	22.38251303600305	22.576087765192195	22.525120727964847	22.50471220956655	22.514975879543943	22.588508748087076	22.464687541814907	22.60653709404416	22.574119101180425	22.590059413794034	22.673044234161566	22.575137325362192	22.599735487202864	22.593332487163696	22.543782129729653
P00448	25.11398172638392	25.469081040888042	25.495130510188204	25.309339478848365	25.382581164618863	24.83670673210858	25.58370926401529	25.672225477825414	25.660534490684455	24.894321603968308	24.645001639737348	24.68468295427095	24.874863305308352	24.303652810059255	24.488667323470967	24.31281218082663	24.466731652931927	24.727553746823766	24.56788490350299	24.199011492338	25.3105018875559	25.26831037786057	24.602216312702605	24.66119131614001
P00452	22.61914177433758	22.874784315069295	22.620440404927102	22.776511810004468	22.8112239475198	22.629740873182946	22.85687385645193	22.824003544190507	22.738956366119233	22.668444511804115	22.623957546732704	22.55884260297304	22.367401489333304	22.645614918888175	22.584367574446578	22.520349246073383	22.581663687163974	22.571621655962286	22.582495177398375	22.581822103207713	22.84667043040706	22.772133720427338	22.570650847201037	22.55066463327502
P00490	21.932273904966628	22.319627061229152	22.048511362900495	22.237332443302524	22.28990622233025	21.90857759098767	22.265179285110477	22.272703320309425	22.24269400061416	21.964128422572394	22.89433172731804	22.828912321456432	22.641560868901713	22.85985704044246	22.890947371655034	22.94264652806173	22.981702033027446	22.987999813921746	22.985540990449294	22.981273407546002	22.27926089095389	22.248126402809152	22.94483313690728	22.951744454464425
P00509	24.86445868246174	25.11393259374265	24.985014495523114	25.085104798728302	25.06713977869044	24.910040329835198	25.052037664476607	24.90620863171683	24.91095865896337	24.849190320036325	24.85379998688245	24.8531397556327	24.85764279737679	24.899378371364172	24.850968294565035	24.862845392456688	24.90269610077696	24.876123855823845	24.835392443151555	24.809422218294696	25.140732839610816	25.136095474546927	24.793382417804448	24.83936134526986
