rowname,CVT09_QC1_LabE_X023,CVT09_QC2_LabE_X024,CVT09_QC3_LabE_X025,CVT09_QC4_LabE_X026,CVT09_s3_X002,CVT09_s10_X003,CVT09_s13_X004,CVT09_s16_X005,CVT09_s25_X006,CVT09_s28_X007,CVT09_s31_X008,CVT09_s36_X009,CVT09_s41_X010,CVT09_s50_X011,CVT09_s55_X012,CVT09_s59_X013,CVT09_s61_X014,CVT09_s67_X015,CVT09_s73_X016,CVT09_s77_X017,CVT09_s84_X018,CVT09_s90_X019,CVT09_s93_X020,CVT09_s99_X021
A5A614,17.24370798000945,18.317695201252956,17.990624642523848,17.475795347648113,18.117966739131585,18.174929381164194,17.64134352715499,18.388330294619585,17.932381445074903,17.885580756256854,18.13204276299516,17.661518258067378,18.41297065039815,18.452588685205754,17.455913929004097,16.936993773202474,17.52850974315521,17.442394266228987,17.378573232069087,17.007672069989418,17.209525848699677,17.32059739497628,17.87803898120449,17.010731889493567
O32583,,18.864138176115304,20.05052648394789,,19.254325850609415,17.473251338187914,19.64082684510603,19.38321122192731,20.398419174577736,19.858615918170724,19.267534939901793,18.976493556894766,18.16063386405635,18.627921950270103,,,,18.010997670521647,18.83517002822355,,,,,
P00350,25.514916369165018,25.23581925973546,25.276762520644027,25.487269479840073,25.312656338370147,25.076486346851766,25.344588479043033,25.12981483655667,25.135803752513457,25.0397001078098,25.141571418619804,25.375132219968997,25.32604985406809,25.107134796971344,25.470013527468378,25.52584168451418,25.469826483986512,25.48416590190642,25.49853635067776,25.493118648118404,25.444330930012082,25.473699820534726,25.44254248097036,25.46852414201299
P00363,23.246012945229353,23.422520653755186,23.355218226654312,23.50501488599383,23.559406030006336,23.105030947848768,23.366955328715516,23.442223055308375,22.95125440346482,23.031221628848794,23.141311387204247,23.631455464465756,23.727747657649527,23.322724099945557,23.175438240221297,23.056062567355074,22.88734585585787,23.106728929601278,23.259469521237666,23.07996087799078,23.078504500688112,23.169061494875876,23.222311275452846,23.048521051927658
P00370,24.888056723044812,24.386242891977272,24.20011894694556,25.119129193289375,24.570126306806575,24.039414478461985,24.413703767233564,24.412989504688344,24.129447430850508,24.211513377616395,24.253611935335698,24.664562107136863,24.738954552004845,24.492001128939435,24.890577032291752,24.882248805937124,24.821331455212405,24.744887399441453,24.937981031206718,24.91890408735416,24.85230213692787,24.89194989293965,24.994463488525536,24.73179044203372
P00393,22.689082882977555,22.50329381336898,22.56815960843804,22.664894947948525,22.579562882220372,22.278125519867825,22.643792751822414,22.40220410662879,22.637341155665073,22.408217424964196,22.391538118348087,22.535329685568414,22.450662966080557,22.250598894914663,22.647266935118022,22.53190052118561,22.705615572589704,22.535256869015363,22.551077820466357,22.658130912493945,22.657109448178304,22.607829349368274,22.59191115659446,22.7262166526145
P00448,24.47711402133373,25.43148980546759,25.490987806128764,24.304517925356144,24.887519569007466,25.906684583787598,25.47416208849066,25.377746098140936,25.626794413545923,25.595234486913157,25.572708504069414,25.071557102972374,25.123564224800404,25.34942959040698,24.376226851582867,24.4946789894476,24.443317815492193,24.58563242032045,24.241828166316512,24.584589028614186,24.432237985439567,24.65308904236053,24.327919118897064,24.701663754166642
P00452,22.745539284413987,22.624103218875657,22.58851169569987,22.702513799018636,22.695842308117378,22.29978781524853,22.84716945146487,22.518147702390333,22.819793953411043,22.403945787627535,22.42036189594125,22.905220265590852,22.643361879441187,22.305084731989055,22.720199203374648,22.71089922588935,22.66899462493408,22.78437899630375,22.75529402280879,22.728576463376616,22.66639514687055,22.778041848237795,22.7089623599726,22.737251356098614
P00490,22.997293426754936,22.189541252626686,22.166376626884986,22.918201753779407,22.073762336989684,21.979799032830837,22.21401981401274,22.025824875843806,22.31065894817801,22.16637199913352,22.100001160364304,22.163541663936257,22.0210114440903,22.143661626203173,22.836261833772287,22.87896185243645,22.888713868112646,22.85850182848791,22.968988056625143,22.984037460532285,22.96907560739665,23.084582394960783,22.983115579754973,22.977366158530103
P00509,24.8895963364958,24.958808671245993,25.044970592878997,24.872070619787916,25.078662402308296,24.652533516893595,25.201524805037696,24.89400151539162,25.014450560739615,24.759872067850868,24.756731098533187,25.156870957316475,24.929747001666087,24.751844996469593,24.909329076775936,24.990213988202292,24.8571598197898,25.009850856583427,24.94792518741541,24.952099740638076,24.87284449000919,24.94298759573864,24.903551152180913,24.907420197782223
