rowname,Ref8537_QC1_20230414_1,Ref8537_QC2_20230414_1,Ref8537_QC3_20230414_1,Ref8537_QC4_20230414_1,Ref8537_S4_20230414,Ref8537_S8_20230414,Ref8537_S11_20230414,Ref8537_S18_20230414,Ref8537_S21_20230414,Ref8537_S26_20230414,Ref8537_S35_20230414,Ref8537_S37_20230414,Ref8537_S45_20230414,Ref8537_S49_20230414,Ref8537_S52_20230414,Ref8537_S60_20230414,Ref8537_S65_20230414,Ref8537_S69_20230414,Ref8537_S75_20230414,Ref8537_S79_20230414,Ref8537_S82_20230414,Ref8537_S88_20230414,Ref8537_S94_20230414,Ref8537_S100_20230414
A5A614,18.07098948400474,17.76462591507906,17.64576942743772,16.948234666028448,18.207038725552636,18.276447171595116,17.904974958001354,17.33893023469092,18.00480488632948,17.771140243114296,18.406926580684264,19.198654074961958,17.990028288136557,17.33508089848018,17.444349050266155,17.84789396605965,17.36650321933506,17.466653801284167,17.57732233822852,17.236233865026,17.618552411840867,17.56068416504644,17.144093689973687,16.87049474008967
O32583,18.781435012151682,19.054668220836035,18.630225333153206,17.699293752732807,18.905108675181204,18.450845989904458,19.050674027403083,19.225591381365128,17.732919798980717,18.85343803708237,19.222156330106806,19.322558148641527,19.256000767389672,19.162518240903722,18.509244620519475,19.16947191034712,18.561035056563696,19.165684789054595,19.32153414580437,18.98675246844362,18.288980392670197,18.9566761764099,18.787240586259983,19.109558759374565
P00350,25.191545180366283,25.22206587066532,25.397686558944255,25.435469702616086,25.392555690897947,25.31222767638043,25.222999432335286,25.246088147834993,25.099926866969387,25.26596247226928,25.269842456937596,24.58582873011221,25.391005943211635,25.26266231402867,25.396643456927894,25.465296767561608,25.62652760363758,25.389685499888476,25.62282655704344,25.52760635684221,25.451861258762325,25.489653451273636,25.503801943365513,25.50453581145702
P00363,23.46546425050482,23.547265816134036,23.542874102930416,23.396590882366237,23.45058028168619,23.397542444418683,22.797003693298688,23.257754797961052,23.569948558222958,23.25669892126765,23.07285614966328,22.377732157311875,23.152456783646443,23.40937256357796,23.399632998251718,23.130199674343178,23.208335561671454,23.308186657756913,23.004825097054432,23.217848965770717,23.14512019200827,23.41615903355855,23.24336515488938,23.12368629382371
P00370,24.55231273835018,24.47655518976525,25.159310440353384,25.008297550284055,24.457460640809856,24.410533429998605,24.294272402870092,24.37286217842774,24.459425519521513,24.167472749318627,24.19955638991281,23.27217059281922,24.298924504429653,24.184377171132503,25.190840211883064,25.05943084403432,25.056121421793364,24.424110073057555,24.916599452112756,25.021651640767697,25.191283643646084,25.419610302737475,24.504157114866445,25.088971912600243
P00393,22.70775064737756,22.756563947698428,22.637289522876966,22.740354798795785,22.48435636211321,22.722463412836735,22.808667598521502,22.367565291189184,21.780376262451092,22.540876326755477,22.67540557404257,21.68100421453208,22.781123466443386,22.475817971136163,22.605777085655703,22.752957467670445,22.52059191386238,22.231618529523804,22.672538829114586,22.513161821940216,22.776390909084824,22.84247118758009,22.408210265817875,22.731786587625198
P00448,25.077325711070134,24.99248434376361,24.432945149729886,24.347065793492877,24.983591833443707,24.711330800508403,25.69581121316087,25.469685723735324,25.02343607114228,25.3833643764002,25.15278950069277,25.790728675916725,25.470522250199142,25.578296374480512,24.56206089163389,24.35234210923841,24.69745307783952,24.545721426881798,24.743536601946097,24.907679777402247,24.621408699842267,24.42562806044031,24.84237448167475,24.72311044894732
P00452,22.872321191385396,22.932508596787414,22.578484128662886,22.718933063732123,22.669021057903954,22.907830259444026,23.030607319825638,22.522258962099993,22.016580843868823,22.699084935106097,22.858047399938805,21.838697837032306,22.973247239496867,22.613607038820067,22.636296839989434,22.712602782524662,22.7521436659416,22.16612820889095,22.86612173524344,22.585381751259934,22.78510737578576,22.7539231463505,22.54055307027383,22.748888586394365
P00490,22.224738029135573,22.353414667426527,22.953265216243658,23.07796360325988,22.098735283694218,22.16794595619159,22.561502812117265,22.20601979489593,21.670917118128298,22.24092652783726,22.138541828975118,21.342830420807644,22.345029429758277,22.20710672155916,23.002230100902857,22.856354714041853,22.949391197754633,22.655078809600358,22.82254853217602,23.055851313790136,22.983407537158747,22.996979102921042,22.94329003805947,23.045601849464074
P00509,25.173663023712464,25.12615652495151,24.64953965556664,24.782225638693426,24.875478120016883,25.28537427358921,25.217161903127984,24.922051620969516,24.56123158824018,24.96383637481313,25.205052795220322,24.626750500010626,25.245063065045013,24.974584518593065,24.69674217673924,24.89856831688399,24.92606211278403,24.692749394043748,25.03203423438713,24.784641221086797,25.030258788833514,24.870516240916285,24.752552173736035,24.962772986817004
P00547,24.31563642258829,24.266677548930467,24.11393621917405,24.069574445952547,24.289958002033785,24.082839265305104,24.555032709976423,24.446803093260044,24.458363617155506,24.272788683837298,24.368607119326377,24.519101445076153,24.377772496337144,24.46019466184066,24.178011344763846,24.14867521365734,24.08697662125222,24.005734188461666,24.067493166910516,24.11108427179662,24.09755982999784,24.133059222976335,23.96686767637423,24.06761438187779
P00550,21.500772091902967,21.447429377071085,21.085997769722866,21.2280667379865,21.353949146235607,21.406606868374627,21.629595760441365,21.471573894505713,21.383439164775574,21.52347935630357,21.241492291836366,20.418535046823084,21.443216480970634,21.432643366677453,21.121242310231008,21.168294613167216,21.142380166507394,21.157310506580767,21.19475326624992,21.251440994253272,21.17137584040059,21.051785672436083,21.25899540937393,21.172475593617357
P00561,25.897569297848122,26.044429283344748,25.55626292647981,25.74196162992193,25.615727675805857,25.67339720151874,26.107882519100897,25.746776398558588,25.293598056868838,25.544816077622094,26.042099762238124,25.028043090068735,25.940201321003464,25.74547972344866,25.53898079908131,25.639618941865287,25.647340157482823,25.041411132564697,25.66232722313289,25.576177992295058,25.82236358047019,25.733278895834538,25.306317640526196,25.714515287116065
P00562,21.871654260043986,21.844739427974247,22.347351506896814,22.224928457267588,22.041203876188487,21.987990383891308,21.539125392684902,21.51447241703716,21.84216779056293,21.724920480387713,21.66966232698959,20.822300476516155,21.79305287062564,21.58339035374651,22.409170767846245,22.356542465807568,22.296419457469977,21.978617335796635,22.350497864558918,22.175098680745247,22.334109522217496,22.464767585746618,22.12091437869892,22.33775095018419
P00579,22.655064003153125,22.66347386611961,22.749432075802286,22.79191766231387,22.691062943716943,22.715123189394983,22.775460122652444,22.611601353975185,22.45774185391223,22.644009456600454,22.65913503040822,21.716437691176292,22.662038261876503,22.571905801294644,22.74750583912691,22.873546766088456,22.800959039545464,22.643855323266248,22.83388568043695,22.68468568993529,22.836524219387513,22.81706275832136,22.570591337169155,22.906485630093655
P00579;P13445,19.58642453131803,20.194338801211135,18.40998323567724,20.13610786257877,19.40312598377085,19.54626961967017,19.479725404520156,,19.35551257013882,,19.541475227382094,17.56593554177586,20.001811592934576,19.78861567393907,17.596431893309223,19.030134102026576,20.161640775455677,,20.117031218377587,19.797763203581187,19.53538331307521,19.133615537314586,18.499433662484996,20.28041502079223
P00582,22.109443642403455,22.135008794173515,22.0298418076708,22.020888654143903,22.08196162634391,22.168405866574588,22.302520045438328,22.24395689661634,21.962797078898205,22.202535257229336,22.12330266403786,21.206859879450754,22.142726915571927,22.184111899349645,21.98375698657953,22.015813040346117,22.045869407006037,21.983657895622173,22.085136267328693,22.023795693512525,22.03964241144829,22.010453657628183,22.036136638182256,22.042924128723726
P00634,19.94285524437987,19.714082504853216,19.763210743953707,19.297497569343008,20.105653725885254,20.06531029763122,20.069416390962225,20.32089274725817,20.437699843054162,20.255042223372023,20.1406738973414,20.884871173799503,20.302740994607426,20.205645224830434,19.74453796830447,19.893656741599138,19.510409134445183,20.062353405412864,19.755162252128606,19.696910443534534,19.678918151742238,19.428400794698653,19.731293745973268,19.755057882180346
P00803,21.621212168976307,21.576057427551746,21.777778458309232,21.809915736746415,21.952947309234286,21.625284309993237,21.820498770597062,21.931520007274578,22.05462128505629,21.92968950860877,21.532075787946912,20.726570069945197,21.69658042314929,21.980845429293552,21.74697187813175,21.752282156749455,21.65182606319505,21.97325252918207,21.710003458094228,21.767515349702833,21.549443985015703,21.64402632367133,21.857015488303052,21.732870127853968
P00805,23.154930281290376,23.03147957822698,22.194623964763107,21.71429412210275,23.513650037987027,23.063276176175545,22.056682514966997,23.607012954648454,24.464282184528543,23.33831546014714,22.978806991307668,23.235545074772922,23.05947100559712,23.438838639404167,22.275568597430535,21.808132870376227,21.705592823244938,22.401868291230794,21.14660793227668,22.02500878521609,21.65738437505637,22.05334714113545,22.216606149391755,21.695360386981545
P00811,19.561665543045617,19.620925885278044,19.644390967369098,19.607353835847668,19.804427281694366,19.497218701962524,19.66527665893358,19.815407995137907,20.031640699498652,19.8557124017109,19.67317482513087,19.56820638379801,19.68901793723018,19.86730876894912,19.742190055106825,19.79174335392539,19.83866849520168,19.940898703308186,19.81494867847871,19.829430623062475,19.632731767292167,19.599904941538906,19.980502415060982,19.716025054106595
P00861,20.504218863901734,20.454178840292208,20.5556555334647,20.725276518051068,20.372132855378574,20.64833740842638,20.41174007797835,20.1491060066825,19.897147706177073,20.272409638744527,20.637886710175337,20.088551267504123,20.393154208993757,20.092205972257915,20.723188500027206,20.867874029053873,20.92487373935267,20.517471315553358,21.052027677790925,20.648978642499635,21.114901367692397,21.05230333957349,20.427433239951633,20.941606180307083
P00864,24.592876652211253,24.702509075337446,25.862581228307974,25.930383656725375,24.46237145336913,24.475105381193927,24.543247429638107,24.26800624696248,23.956979947643376,24.35903399560229,24.421458862774543,23.453853326487057,24.562133779425736,24.362243127096107,25.74515860350745,25.714123993936305,25.832262036403776,25.220075412073307,25.761530865060976,25.77630598078899,25.848987961582758,25.92402167712477,25.712190289146278,25.804862427166356
P00887,21.76829286141177,21.81746744463498,21.92453511057499,21.8058124871679,22.08989708929554,21.94087886457064,21.850356875062687,21.877599162546343,21.705095195028324,22.002893651169597,21.747013516923854,21.050588733656607,21.98708077465409,21.836999623569756,22.04479417264563,21.884559934821525,22.018657246371372,21.649475652880017,21.946635697622238,21.879837336338145,21.80767198469681,22.07809236526148,21.955818800729574,21.751686867912387
P00888,23.360582089541204,23.363719527274867,22.922833514414663,22.38366904532802,23.32330243549862,23.39354758916864,23.69444185749277,23.49302934161461,22.998727897189177,23.61810696369802,23.259305058236222,22.924293889441863,23.48225105439515,23.379159776510214,22.74429366866905,22.66170493798701,22.648096906752812,22.767345235114917,22.51302270442921,22.41674637242975,22.288089288669113,22.530264500565394,22.842978158673525,22.39750131769396
P00893,22.306923725098088,22.341324519795194,22.586126060975914,22.75609100196489,22.041614677161025,22.32533161442608,22.344644170207715,22.074199155594712,21.55454228557572,22.157737480942533,22.19519769238722,21.400559495863195,22.353775832128445,22.120340800459065,22.581227176937208,22.626485442284185,22.75463492037878,22.052424182414025,22.752942754291468,22.59629132219364,22.7635320150744,22.74683255905878,22.610626003289635,22.704364073417473
P00894,22.213525497449748,22.109018644249755,22.36383245805986,22.48785201127803,21.98367200061619,22.273459928992846,22.07137869792506,21.80387703347184,21.40368946804551,21.886614763863896,22.22902742646412,22.168484580598957,22.306208918217678,21.825857666496763,22.412336270823477,22.62933991134713,22.46879369188713,22.203790012017592,22.584411642013247,22.359107253013224,22.57944683091449,22.52656434418135,22.3318490997619,22.607158963861426
P00895,22.616085792989207,22.72801953277065,22.749700526823865,22.799246123474173,22.26207176841577,22.53522764043317,22.768510915657725,22.35583993337695,21.91856546869307,22.493878698686366,22.517597823039033,21.520045385044135,22.526103036521544,22.389287643213446,22.628543560582354,22.688258892716497,22.85357019595202,22.306558853295627,22.862862112182118,22.629675516380992,22.63319110170017,22.78743191104495,22.637408223319902,22.678070214952516
P00903,,,18.134032536881335,18.409599879629816,18.42568881713838,17.8997517167509,18.260615086455118,17.97637395758801,18.267710662075203,18.646401595474465,18.113228786834604,17.590982549310162,17.66588305884725,19.106051683340688,18.659640719925626,18.129296893950062,17.950009609952403,17.768384917339056,18.11364280522301,18.03099983363836,16.80213346081335,18.831274933790993,18.661160990237263,17.643597632503337
P00904,22.618142963266962,22.73089106990617,22.95989472756368,22.910997297364425,22.446274513852472,22.48001253752176,22.874907319843594,22.524846987669818,22.003220121446212,22.603261085905686,22.34577510687486,21.552738264167075,22.631168287769526,22.508124707104677,22.761066263615966,22.793980238722256,22.98160942912056,22.59654306092942,22.841709067487727,22.795748684614573,22.75608684843293,22.76944321587405,22.839170833942113,22.744655449405776
P00909,22.79252780371585,22.828842116044967,22.877602920445398,22.813341212407177,22.507364415523224,22.7180347302783,23.090910440324922,22.491952611770962,21.992185417539364,22.587720472353265,22.797223540618663,22.422499887736095,22.811678620185635,22.604718983607075,22.74269330420204,22.893293790136433,22.949459821445647,22.51460537832399,23.005245826629885,22.66878930405643,22.816988056062897,22.885507654796164,22.72375615912817,22.886010984098014
P00914,18.240130142794968,18.531039504835917,18.571112091541977,18.490626238834253,18.44193427914184,18.544064048843644,19.444771937280976,18.866134617916494,18.612640743787622,18.615873604222543,18.604779880091876,17.86712208870572,18.303497325514236,18.690275306005603,18.44972911469319,18.646034931358976,18.323336946611512,18.970891082904068,18.65059567006505,18.54822688141686,18.387977836838708,18.21531135400894,18.48934490049946,18.6580910942537
P00926,18.8358688837143,18.848915168067073,19.11220977524457,19.16809560970428,18.55099946897432,18.78112639807626,18.79125803124144,18.87128629337626,18.722330997399297,18.97694407913267,18.86028903558,18.54028273427661,19.019479198991945,18.991542691084508,19.160517916246974,19.224127244421265,19.096923537458576,19.2578354479065,19.30745917024155,19.211492512936456,19.246711300959536,19.173430019977264,19.068409803291786,19.33214550169135
P00934,25.615527092100564,25.541563497151202,25.362490022598067,25.34731759222955,25.586834706992725,25.410427260395018,25.93447590724937,25.81522669413151,25.76015313963856,25.625959629115094,25.709276303212548,25.46826216502125,25.646169640922764,25.906250957652126,25.369294967133527,25.35069894502979,25.288951216305826,25.42893338060236,25.363797067742524,25.356412888959092,25.38906501133237,25.34558305902052,25.344378430474855,25.347889122695214
P00935,22.655167258769474,22.684739019029386,22.755311124956364,22.639248553528915,22.815152310803036,22.700573014126505,22.51496960102569,22.545078978202184,22.754534127357886,22.66209518303007,22.48866341693276,21.65264678980212,22.606092892864062,22.621111834517592,22.711416633322138,22.802179594621634,22.636484047743544,22.703289923679293,22.655918013304635,22.539625382962207,22.651084578103244,22.79371113397167,22.50220947259306,22.72039366621501
