rowname	Clinspect_E_coli_A_QC1_Slot1-6_1_8640	Clinspect_E_coli_A_QC2_Slot1-15_1_8649	Clinspect_E_coli_A_S5_Slot1-7_1_8641	Clinspect_E_coli_A_S7_Slot1-24_1_8673	Clinspect_E_coli_A_S14_Slot1-11_1_8645	Clinspect_E_coli_A_S20_Slot1-20_1_8669	Clinspect_E_coli_A_S23_Slot1-8_1_8642	Clinspect_E_coli_A_S29_Slot1-19_1_8667	Clinspect_E_coli_A_S34_Slot1-18_1_8666	Clinspect_E_coli_A_S39_Slot1-26_1_8675	Clinspect_E_coli_A_S42_Slot1-21_1_8670	Clinspect_E_coli_A_S47_Slot1-14_1_8648	Clinspect_E_coli_B_QC3_Slot1-23_1_8672	Clinspect_E_coli_B_QC4_Slot1-10_1_8644	Clinspect_E_coli_B_S53_Slot1-22_1_8671	Clinspect_E_coli_B_S58_Slot1-5_1_8639	Clinspect_E_coli_B_S62_Slot1-16_1_8664	Clinspect_E_coli_B_S66_Slot1-13_1_8647	Clinspect_E_coli_B_S78_Slot1-17_1_8665	Clinspect_E_coli_B_S85_Slot1-12_1_8646	Clinspect_E_coli_B_S86_Slot1-4_1_8638	Clinspect_E_coli_B_S91_Slot1-25_1_8674	Clinspect_E_coli_B_S98_Slot1-9_1_8643
A5A614	19.457716598405845	18.50002197687418	18.38499656251147	16.03847161769827	18.35110915301877	18.51014884171598	17.677373680735688	19.011607074937256	17.176728273918474	17.757233596455798	18.28736928389004	19.71107019245901		17.758150294420112	17.426426160245242	16.448530622864297	16.929577328251874			17.69811845834065		16.422536352989802	
O32583	19.534901374103484	18.983681949018738	18.809804612411348	19.162320371633545	19.29084595764005	19.181880969468853	20.184318799134168	19.276868296840064	19.559952391189373	18.68021179310226	19.412305924495747	18.61298894314814	19.004358303942496	18.084099940827286	19.119306154425395	17.87101210601406	18.75657668674628	19.85511591947708	18.70442622513337	18.976883474537633	17.013572451476186	17.456107118514176	18.131918293190132
P00350	25.289227249006395	25.225307129768613	25.269861294438424	25.235487496069585	25.25351793719632	25.423156996881634	25.259043258353937	25.41188661901433	25.399719819571054	25.313491900949696	25.347557782553984	25.216173469457754	25.18192239019298	25.4559384655382	25.633411652282234	25.547502224380118	25.558469096567823	25.098782540132383	25.038205801946294	25.581063832214546	25.411282905592444	25.383627150592094	25.286787760805428
P00363	23.33064468626323	23.22092919417103	23.217940708505733	23.58667992339515	23.11632039894233	23.678955983463844	23.335691991949066	23.153230121932786	22.916697932609505	23.519295337148606	23.290811613157597	23.517704594285664	23.406991265905244	23.165107430492355	23.15922987571087	23.10192382980625	23.1138258487261	22.948736568280484	22.983435635554937	23.37927067350848	23.302885179752703	23.035805893288295	23.217260109491022
P00370	24.452964636558537	24.381093492794076	24.421525647684916	24.27181349569953	24.297239398989284	24.634944054262967	24.433292367433967	24.44664729073496	24.36868111993931	24.392388978936527	24.26696998991204	24.542778625565237	24.782362444428358	25.036772864324927	25.084011193982896	24.9987934655059	25.01242238966614	24.575296954064708	24.286939767501458	25.141115970524826	24.94311734825165	24.656359546918456	24.859845966472296
P00393	22.268366511028578	22.761241897030285	22.44533526796002	22.63286211259417	22.51133524360156	22.291842829354188	22.677589480907358	22.41430130665715	22.50966067347715	22.571007513861062	22.36697642245113	22.23180869353201	22.587307203534447	22.730065336484905	22.400907209314816	22.632151908989258	22.539672885760503	22.654288482268544	22.531914640778854	22.676401244014894	22.537317064365073	22.800647707536427	22.84029648554855
P00448	25.00470551258521	24.76726056170709	25.09151585494123	24.56594897978212	25.544780047772043	25.295412454807988	25.276305956713728	24.866393279721756	24.95879950491893	25.027780181777047	25.315587192115125	25.37775311402435	24.734529177061766	24.916898489347368	24.912448376205845	24.837754074679154	24.779790857332188	24.668720950560505	24.636649838677627	24.890954355834367	25.042016657143783	24.782293813745035	24.64733352575235
P00452	22.72900547659098	22.81688193348558	22.852716699714144	22.67784375218434	22.877701488126075	22.717020308835416	22.567042691968467	22.75889925395495	22.65018705043688	22.682129460114528	22.817319626486714	22.58723141821099	22.600339682182774	22.594527394677	22.578717231555316	22.94342057290986	22.502244704068264	22.31589331551277	21.98320289482749	22.859671829177536	22.723213997138163	22.673238414638167	22.650801142130195
P00490	21.929186940417388	22.13257935702061	22.099226239796472	22.098880530507188	22.12538113167694	21.852435637070208	22.253952519950438	22.165024320911037	22.173341946349204	22.16922630696014	21.913533493627455	21.8773122846855	22.989391779725068	23.01587471103148	22.805972813776314	23.075677419775545	22.798959867910042	22.769048964908173	22.93002096789158	23.261682115909217	23.16854630913768	23.082478810759987	23.254478295316645
P00509	24.948204899377902	25.18565390262784	24.950020383381727	25.08425163397323	25.16381888665699	25.17096701207883	24.920066891483994	25.179637010799585	25.25772653119432	24.95380051988753	25.168800306838826	24.825204159913675	24.551316817483954	24.91235992368465	24.902942694625306	24.931920301715316	24.94680520918282	24.65148826335198	24.3753373774515	24.895446704827815	24.81206956537851	24.803738718275387	24.81163350511567
P00547	23.839837109818177	24.412304561879967	24.00655411977619	24.416907602782896	24.358533759951307	24.417451540134657	24.398731459002807	24.43394387503489	24.985498841985258	24.4752003748489	24.428642506164103	24.388314569900032	23.56788897118077	24.152835998677897	24.15333793420181	24.258808742352866	24.096877387780232	23.96016807900624	23.734079543415813	24.256557713390265	24.386800861953006	24.12993697197223	24.14977591786143
P00550	21.336731900892687	21.19389668026272	21.150971079917564	21.46539455887668	21.479966573428086	21.35818176313896	21.643897671229663	21.459658991083348	21.448809025073203	21.70650499513959	21.51088796894774	21.346404397944074	21.118251614606887	21.074392566968783	20.864206680989707	21.268376254207435	21.022181301815486	20.985174262506124	21.176013401147536	20.978240947354724	21.014562383245618	21.333587187018097	21.23061754566705
P00561	25.842576652123583	25.6155295999837	25.96263109691899	25.672649917084986	25.956492592806608	25.857513817076775	25.761222322249203	26.15855505960985	26.011113217334735	25.782662853118264	25.917440451685714	25.931859274975228	25.32734774453219	25.532021797899336	25.665875745584056	25.714803194375857	25.577685703876195	25.051479048489863	24.632864729531246	25.763807139724577	25.551685089517587	25.509349009365263	25.358504240020675
P00562	21.829604611240864	21.59670840411721	21.690215184990095	21.50811158608674	21.599798417263045	21.504022864081282	21.72166021828905	21.46932203095303	21.58692162211373	21.98882963983569	21.620136931878367	22.09329030073259	22.256659671939268	22.229357649482964	22.23674535170317	22.389763603289715	22.207011824778814	22.039480794656377	22.03998233812101	22.542767067935305	22.275222529456695	22.405553340044374	22.536876604043652
