rowname	CVT09_QC3_LabE_X025	CVT09_s3_X002	CVT09_s10_X003	CVT09_s13_X004	CVT09_s16_X005	CVT09_s25_X006	CVT09_s28_X007	CVT09_s31_X008	CVT09_s36_X009	CVT09_s41_X010	CVT09_s59_X013	CVT09_s61_X014	CVT09_s73_X016	CVT09_s84_X018	CVT09_s93_X020
A5A614	18.067668398254458	18.195010494862196	18.251973136894804	17.7183872828856	18.465374050350196	18.009425200805513	17.962624511987464	18.20908651872577	17.73856201379799	18.49001440612876	17.014037528933088	17.605553498885822	17.455616987799697	17.286569604430287	17.9550827369351
O32583	19.959399674893238	19.163199041554762	17.38212452913326	19.549700036051377	19.292084412872658	20.307292365523082	19.76748910911607	19.17640813084714	18.885366747840113	18.069507055001694			18.744043219168898		
P00350	25.27991185923855	25.31580567696467	25.079635685446288	25.347737817637555	25.13296417515119	25.13895309110798	25.042849446404322	25.144720757214326	25.37828155856352	25.32919919266261	25.528991023108702	25.472975822581034	25.501685689272282	25.447480268606604	25.445691819564882
P00363	23.36773151615667	23.571919319508694	23.117544237351126	23.379468618217874	23.454736344810733	22.963767692967178	23.043734918351152	23.153824676706606	23.643968753968114	23.740260947151885	23.068575856857432	22.899859145360228	23.271982810740024	23.09101779019047	23.234824564955204
P00370	24.209576760407522	24.579584120268535	24.048872291923946	24.423161580695524	24.422447318150304	24.13890524431247	24.220971191078355	24.26306974879766	24.674019920598823	24.748412365466805	24.891706619399084	24.830789268674366	24.947438844668678	24.861759950389832	25.003921301987496
P00393	22.563072625574126	22.574475899356457	22.27303853700391	22.6387057689585	22.397117123764875	22.632254172801158	22.40313044210028	22.386451135484172	22.5302427027045	22.445575983216642	22.52681353832169	22.70052858972579	22.545990837602442	22.65202246531439	22.586824173730545
P00448	25.461107475948122	24.857639238826824	25.876804253606956	25.44428175831002	25.347865767960293	25.59691408336528	25.565354156732514	25.542828173888772	25.04167677279173	25.093683894619762	24.464798659266958	24.41343748531155	24.21194783613587	24.402357655258925	24.298038788716422
P00452	22.603090696243175	22.71042130866068	22.314366815791832	22.861748452008175	22.532726702933637	22.834372953954347	22.41852478817084	22.434940896484555	22.919799266134156	22.65794087998449	22.725478226432653	22.683573625477383	22.769873023352094	22.680974147413853	22.723541360515902
P00490	22.14068661614361	22.04807232624831	21.95410902208946	22.188329803271365	22.00013486510243	22.284968937436634	22.140681988392146	22.07431114962293	22.137851653194883	21.995321433348924	22.853271841695076	22.86302385737127	22.94329804588377	22.943385596655276	22.957425569013598
P00509	25.05432399179306	25.088015801222358	24.661886915807656	25.210878203951758	24.90335491430568	25.023803959653677	24.76922546676493	24.76608449744725	25.166224356230536	24.93910040058015	24.999567387116354	24.86651321870386	24.957278586329473	24.88219788892325	24.912904551094975
