rowname,Ref8537_QC1_20230414_1,Ref8537_QC2_20230414_1,Ref8537_QC3_20230414_1,Ref8537_QC4_20230414_1,Ref8537_S4_20230414,Ref8537_S8_20230414,Ref8537_S11_20230414,Ref8537_S18_20230414,Ref8537_S21_20230414,Ref8537_S26_20230414,Ref8537_S35_20230414,Ref8537_S37_20230414,Ref8537_S45_20230414,Ref8537_S49_20230414,Ref8537_S52_20230414,Ref8537_S60_20230414,Ref8537_S65_20230414,Ref8537_S69_20230414,Ref8537_S75_20230414,Ref8537_S79_20230414,Ref8537_S82_20230414,Ref8537_S88_20230414,Ref8537_S94_20230414,Ref8537_S100_20230414
A5A614,18.218838174576877,17.912474605651195,17.793618118009853,17.096083356600584,18.354887416124768,18.424295862167252,18.052823648573487,17.486778925263057,18.152653576901617,17.91898893368643,18.5547752712564,19.34650276553409,18.137876978708693,17.482929589052315,17.592197740838287,17.995742656631784,17.51435190990719,17.6145024918563,17.725171028800656,17.384082555598134,17.766401102413003,17.70853285561857,17.29194238054582,17.0183434306618
O32583,18.96457070403741,19.237803912721763,18.81336102503893,17.882429444618534,19.088244367066928,18.633981681790186,19.233809719288807,19.408727073250855,17.91605549086644,19.036573728968097,19.40529202199253,19.50569384052725,19.439136459275396,19.345653932789446,18.6923803124052,19.352607602232847,18.744170748449424,19.34882048094032,19.504669837690095,19.169888160329347,18.472116084555925,19.139811868295624,18.97037627814571,19.29269445126029
P00350,25.16771772852394,25.198238418822974,25.37385910710191,25.411642250773742,25.368728239055603,25.288400224538087,25.19917198049294,25.22226069599265,25.076099415127043,25.242135020426936,25.246015005095252,24.562001278269864,25.36717849136929,25.238834862186327,25.37281600508555,25.441469315719264,25.602700151795236,25.36585804804613,25.598999105201095,25.503778904999866,25.42803380691998,25.465825999431292,25.47997449152317,25.480708359614678
P00363,23.478100825334867,23.559902390964083,23.555510677760463,23.409227457196284,23.463216856516237,23.41017901924873,22.809640268128735,23.2703913727911,23.582585133053005,23.269335496097696,23.085492724493328,22.390368732141923,23.16509335847649,23.422009138408008,23.412269573081765,23.142836249173225,23.2209721365015,23.32082323258696,23.01746167188448,23.230485540600764,23.157756766838318,23.428795608388597,23.256001729719426,23.136322868653757
P00370,24.509340442780527,24.433582894195595,25.11633814478373,24.9653252547144,24.4144883452402,24.36756113442895,24.251300107300438,24.329889882858087,24.41645322395186,24.124500453748972,24.156584094343156,23.229198297249564,24.25595220886,24.14140487556285,25.14786791631341,25.016458548464666,25.01314912622371,24.3811377774879,24.8736271565431,24.978679345198042,25.14831134807643,25.37663800716782,24.46118481929679,25.04599961703059
P00393,22.687658303892494,22.736471604213364,22.6171971793919,22.72026245531072,22.464264018628146,22.70237106935167,22.788575255036438,22.34747294770412,21.760283918966028,22.520783983270412,22.655313230557507,21.660911871047016,22.76103112295832,22.4557256276511,22.58568474217064,22.73286512418538,22.500499570377315,22.21152618603874,22.652446485629522,22.49306947845515,22.75629856559976,22.822378844095027,22.38811792233281,22.711694244140133
P00448,25.129952487581413,25.04511112027489,24.485571926241164,24.399692570004156,25.036218609954986,24.76395757701968,25.748437989672148,25.5223125002466,25.07606284765356,25.435991152911477,25.205416277204044,25.843355452428,25.52314902671042,25.63092315099179,24.614687668145166,24.40496888574969,24.750079854350794,24.598348203393073,24.796163378457372,24.960306553913526,24.674035476353545,24.478254836951585,24.895001258186028,24.7757372254586
P00452,22.86747063523392,22.92765804063594,22.57363357251141,22.71408250758065,22.66417050175248,22.90297970329255,23.025756763674163,22.51740840594852,22.01173028771735,22.694234378954622,22.85319684378733,21.833847280880832,22.968396683345393,22.608756482668593,22.63144628383796,22.707752226373188,22.747293109790125,22.161277652739475,22.861271179091965,22.58053119510846,22.780256819634285,22.749072590199024,22.535702514122356,22.74403803024289
P00490,22.114134660669585,22.24281129896054,22.84266184777767,22.967360234793894,21.98813191522823,22.057342587725604,22.450899443651277,22.095416426429942,21.56031374966231,22.130323159371272,22.02793846050913,21.232227052341656,22.23442606129229,22.096503353093173,22.89162673243687,22.745751345575865,22.838787829288645,22.54447544113437,22.711945163710034,22.945247945324148,22.87280416869276,22.886375734455054,22.832686669593482,22.934998480998086
P00509,25.18211541070882,25.13460891194787,24.657992042563,24.790678025689783,24.88393050701324,25.293826660585566,25.22561429012434,24.930504007965872,24.569683975236536,24.972288761809487,25.21350518221668,24.635202887006983,25.25351545204137,24.983036905589422,24.705194563735596,24.907020703880345,24.934514499780388,24.701201781040105,25.040486621383486,24.793093608083154,25.03871117582987,24.87896862791264,24.761004560732392,24.97122537381336
