rowname	Clinspect_E_coli_A_QC1_Slot1-6_1_8640	Clinspect_E_coli_A_QC2_Slot1-15_1_8649	Clinspect_E_coli_A_S5_Slot1-7_1_8641	Clinspect_E_coli_A_S7_Slot1-24_1_8673	Clinspect_E_coli_A_S20_Slot1-20_1_8669	Clinspect_E_coli_A_S23_Slot1-8_1_8642	Clinspect_E_coli_A_S34_Slot1-18_1_8666	Clinspect_E_coli_A_S42_Slot1-21_1_8670	Clinspect_E_coli_A_S47_Slot1-14_1_8648	Clinspect_E_coli_B_QC3_Slot1-23_1_8672	Clinspect_E_coli_B_S53_Slot1-22_1_8671	Clinspect_E_coli_B_S66_Slot1-13_1_8647	Clinspect_E_coli_B_S91_Slot1-25_1_8674
A5A614	19.35076250798957	18.393067886457906	18.278042472095198	15.931517527281997	18.403194751299708	17.570419590319414	17.0697741835022	18.180415193473767	19.604116102042738		17.31947206982897		16.31558226257353
O32583	19.415466348468502	18.864246923383757	18.69036958677637	19.042885345998563	19.062445943833872	20.064883773499187	19.440517365554392	19.292870898860762	18.493553917513157	18.88492327830751	18.999871128790417	19.735680893842094	17.336672092879198
P00350	25.305294980661014	25.241374861423232	25.285929026093044	25.251555227724204	25.439224728536253	25.275110990008557	25.415787551225673	25.363625514208604	25.232241201112373	25.1979901218476	25.649479383936853	25.114850271787002	25.399694882246713
P00363	23.30823583761213	23.19852034551993	23.195531859854633	23.56427107474405	23.656547134812744	23.313283143297966	22.894289083958405	23.268402764506497	23.495295745634564	23.384582417254144	23.13682102705977	22.926327719629384	23.013397044637195
P00370	24.514132596884792	24.44226145312033	24.48269360801117	24.332981456025784	24.69611201458922	24.494460327760223	24.429849080265566	24.328137950238297	24.603946585891492	24.843530404754613	25.14517915430915	24.636464914390963	24.71752750724471
P00393	22.288993821859698	22.781869207861405	22.465962578791135	22.65348942342529	22.312470140185305	22.698216791738474	22.530287984308266	22.387603733282248	22.252436004363126	22.607934514365567	22.421534520145933	22.674915793099665	22.821275018367544
P00448	25.01524337671355	24.777798425835428	25.102053719069566	24.57648684391046	25.305950318936326	25.28684382084207	24.969337369047267	25.326125056243466	25.388290978152693	24.745067041190108	24.922986240334183	24.679258814688847	24.792831677873377
P00452	22.721322866063236	22.809199322957834	22.8450340891864	22.670161141656596	22.70933769830767	22.559360081440722	22.642504439909136	22.80963701595897	22.579548807683246	22.59265707165503	22.57103462102757	22.308210704985026	22.665555804110422
P00490	22.050120514997676	22.253512931600902	22.220159814376764	22.219814105087476	21.9733692116505	22.37488609453073	22.294275520929492	22.034467068207743	21.998245859265793	23.11032535430536	22.926906388356606	22.889982539488464	23.20341238534028
P00509	24.9285377385651	25.16598674181504	24.930353222568925	25.06458447316043	25.151299851266028	24.900399730671193	25.238059370381517	25.149133146026024	24.805536999100873	24.531649656671153	24.883275533812505	24.631821102539178	24.784071557462585
P00547	23.850294533849436	24.42276198591123	24.01701154380745	24.427365026814158	24.427908964165916	24.40918888303407	24.99595626601652	24.43909993019536	24.39877199393129	23.57834639521203	24.163795358233074	23.970625503037503	24.140394396003494
P00550	21.325862171723372	21.183026951093407	21.14010135074825	21.454524829707367	21.347312033969644	21.633027942060348	21.437939295903888	21.500018239778424	21.33553466877476	21.107381885437572	20.853336951820392	20.97430453333681	21.322717457848782
P00561	25.8103479107812	25.583300858641316	25.930402355576607	25.640421175742603	25.825285075734392	25.72899358090682	25.978884475992352	25.88521171034333	25.899630533632845	25.295119003189807	25.633647004241674	25.01925030714748	25.47712026802288
P00562	21.90255372051402	21.669657513390366	21.76316429426325	21.5810606953599	21.57697197335444	21.794609327562206	21.65987073138689	21.693086041151524	22.166239410005748	22.329608781212425	22.309694460976328	22.112429903929534	22.47850244931753
P00579	22.494524180463674	22.755581091356	22.685281988038724	22.65452349276632	22.762857799211435	22.627163401881912	22.795333343991025	22.644243178307985	22.560743110900404	22.553135980892414	22.791238010731806	22.444214679294607	22.755934780400146
P00579;P13445	19.87075586839631	19.954415680487248	19.912789602679275	19.440089607467545	19.685796278166023	18.738733565304944	19.63424509878297	19.622407707630064	19.704586922021978	18.610362070082573	19.377744906865136	18.721756325517042	18.23934127345903
P00582	21.870086393482367	21.9957922279738	21.96448401263826	22.08365047170865	22.08381506830466	22.199818959073504	22.14541227148009	22.06628032914646	21.97916477699134	22.095179609901813	21.963232011355295	21.948994171615013	22.14318010513773
P00634	19.678607641258864	20.346575365014125	19.992184352826662	20.009344210403306	20.30891585097266	20.02932760090688	20.56989467965216	20.36924630313266	20.033610494071702	19.609827214232944	20.10155282209092	19.381785511459825	19.86901249202346
P00803	21.35193857853058	21.895637591359357	21.568561496972606	21.772971428026217	21.819221520102655	21.890391337875535	22.171631208780898	21.821438163884864	21.73886425369861	21.359574325128225	21.771005509936792	21.60860132985184	21.61333414978777
P00805	23.423151458024112	23.331091412151245	23.26913717819683	23.772489743181826	23.75241689474957	23.210255114961452	22.765019633071496	23.341628317154417	23.626847354948474	21.533081147555077	21.882844922984813	20.995088770089886	21.385836157044768
P00811	19.68333843609559	19.775183702896168	19.419726276230914	19.671896063524393	19.808828963637804	20.408666403003444	19.492261369547528	19.751992597986455	19.505807593850506	19.777659032154208	19.454407326568884	19.918122162756404	19.88523018876423
P00861	20.37076880059434	20.518389036531403	20.427419711103944	20.34489686718012	20.208657265464247	20.275574758907197	20.12965883838774	20.037112469826102	20.07593304399947	21.137065691121194	21.109437152841817	20.74666968637743	21.00653114882463
P00864	24.556941462015466	24.414960114812924	24.484162733721664	24.511141164782305	24.525151794599168	24.468830807270553	24.54410100776174	24.65277736753015	24.609498802911197	25.874373678178298	25.91588636369515	25.518735719546108	25.854214322963887
P00887	21.773818977250652	21.90723390374428	21.991010832131582	21.9158563505472	21.92243391893515	21.87114534024774	21.891550252014003	21.532561533429195	22.158858089722433	21.551162461232494	21.918517299614273	21.866172709318004	21.639082120247036
P00888	23.129940007423176	23.449877687393037	23.30452752797363	23.30640788597735	23.36314562361435	23.2476662661903	23.65749241975923	23.34039749302685	22.94647475578162	22.454851951944665	22.747818665921365	22.42902390225229	22.204810022443525
P00893	21.86889976971701	22.155113448538152	21.920789779412395	22.38238812352396	21.99724425021897	22.392542962752927	22.216516314819643	22.007748605954582	22.00288993920548	22.656027879995577	22.62927462599648	22.686139830802155	22.932455409513253
P00894	22.24346274847526	22.16363772540414	22.10527579153583	21.950121423154762	22.07242334416243	21.855162044849376	22.427544180479877	22.13028390683096	21.852109445146855	22.450298741763074	22.4651759176259	22.146129830553292	22.765869103550365
P00895	22.169284435038243	22.61856349597891	22.32281628638715	22.58070848361271	22.384285637122034	22.428110292185536	22.628326626136	22.51440446615529	22.307482290921598	22.795013379385026	22.516355274821336	22.604182947805654	22.652562733415515
P00903	17.927260144317337	18.673200236540705	17.329083852320665	18.30139278932343	18.45104550203074	17.82392228138803	18.263700320307002	17.9270498523289	18.262867391547587	18.082509671036703	18.198212914406426	18.035928778160695	18.39345610781497
P00904	22.43416092091689	22.675677747710445	22.78158546256179	22.482235605197317	22.472975185252373	22.491167660729307	22.93687652215769	22.473517761604352	22.575730155339308	22.472075126904546	22.764842808264316	22.531467855163264	22.76581173494778
P00909	22.64837582587522	22.752421656085964	22.68127641898607	22.30700697030537	22.70088777012346	22.793406753373535	22.961079658027625	22.707472463601047	22.40816652729032	22.673280649449207	22.975140485201997	22.703118016807384	22.794605128383477
P00914	17.671481734033666	18.650392931697176	18.721713501283073	18.782557563517926	18.52918687253558	18.320909779386067	19.001905666089023	18.519828711061592	18.650619199534447	17.968816134677414	18.525354650931337	18.705730916687145	18.95099516516436
P00926	18.762455506446184	18.802793525480737	18.691421792035634	18.357090203268342	18.72238312261159	18.871976446554374	19.064575633600832	18.522381146817015	18.734005914786355	19.629319531071264	19.55552897355011	19.082374592127106	19.168329458778487
P00934	25.260168099789972	25.64078385244054	25.49208525498349	25.778732174281856	25.751038685985954	25.69426101619654	26.004566369393864	25.623225746773354	25.595393049142796	25.114734210056497	25.39318734396334	25.359278168438667	25.396814448728577
P00935	22.515968523142853	22.501226625795383	22.55447204721316	22.323956541035166	22.874436020072757	22.33643127603719	22.733482384871216	22.677073762198994	22.86850043653338	22.58282417435673	22.676658326546757	22.65316386230112	22.638531072787636
P00936	20.32627882166313	20.39592909511592	20.10464494058884	20.004520819410686	20.01873227196119	20.141500610462053	19.7929211953199	20.445420526637125	20.3556837002031	22.36490866546629	21.593478523529335	21.578991906220242	22.232065373540447
P00946	23.355065780111037	23.283534874212023	23.234573854423044	23.349941431862472	23.256283790650617	23.333229296328923	23.057111134560042	23.250407834188916	23.569821741092486	22.67330185128805	22.943242685294553	22.729316942684818	23.0137961163599
P00954	23.07743228435502	23.13640789496293	23.11832018678644	23.009134011608282	23.165275286892683	22.81365416834998	23.34177447697667	23.083885982852816	23.251289478614567	22.863332293148947	23.265268988344793	22.91300873834273	23.14178809909903
P00956	24.47770578717963	24.465763946316144	24.341307746337417	24.482347136933694	24.373045942905847	24.728508476894454	24.346559143533565	24.566973253646598	24.64468944635954	24.090960819027377	24.180020672995628	24.05515470587465	24.20259843346613
P00957	23.503063001108195	23.718026238087248	23.49819046539085	23.51002453500108	23.619194993020933	23.599218423072585	23.73716902563659	23.538095696440813	23.681999498349633	23.562934080892532	23.804458344369856	23.640153700838184	23.84956832928259
P00959	23.187512165158147	23.40485793501341	23.19816539583043	23.322292197536783	23.334836717105986	23.292306774751324	23.4593654963682	23.39765022835433	23.37731165634107	23.580652007858376	23.655717052268066	23.457064505848095	23.649684657730212
P00960	22.53084498046776	23.13318463452994	22.755194106971697	23.049404180783096	23.16359681187601	23.02833636809974	22.94873495348451	22.866122402983	22.877720011271133	23.165847457744935	22.90062668430519	22.96075458752537	23.17310026344933
P00961	23.95919559949715	24.09276434798401	23.926435410704087	24.052827015455073	24.11645129848023	24.095329615243642	24.13338856796281	24.169896827291012	24.029751335942493	24.080502314807987	24.11416373952416	24.064830547995392	24.18856846363437
P00962	23.04130925352081	23.10528704411559	23.02984172242545	22.957223882012993	23.103667920727506	22.9595135653099	23.02744178211745	23.02404773273834	23.036551161155682	23.053439109897123	23.325513468788774	23.09769424307676	23.23261570516634
P00963	22.45887908770255	22.95518576634746	22.624784929722406	23.009740044835	22.728907254736036	23.16671348311879	22.737440316917443	22.777951843138556	23.017438418857424	23.49625948438518	23.43355561583126	23.658953913254262	23.260612995562877
P00968	24.55405342291062	24.50063865190422	24.45893901948435	24.32976235099786	24.632966151455108	24.525091891138914	24.6136030735532	24.754830680833393	24.642064865281	24.76529406828977	25.229692413407484	24.923413510675623	25.192472778839722
P02358	25.35060327576589	25.69904872148674	25.185063889258437	25.570939477287894	25.502796699897637	25.54526782046848	25.63598442954025	25.511839056277182	25.67145197791522	25.610171386903154	25.928498625729496	25.858587061460334	25.917830924795382
P02359	25.809131748534575	26.373846295617145	25.633115182520427	26.176105678197203	26.123862494917375	26.12771550870344	26.55183337874055	26.31003354104474	26.178774393317433	26.318533504174145	26.63842041822141	26.316092531577382	26.540356712104074
P02413	26.32953497190348	25.55611765420004	25.9429265892462	24.84973068797845	25.756560844928966	25.032293676764958	25.698557131668853	25.63866747632	25.846088705115424	24.87879878490882	25.990644979463287	25.099874014117287	25.118965778457518
P02916	16.772717645001133	17.898758876329786	17.73477683088731	17.961165669823338	18.28414933710382	15.842532520107753	19.316166868337614	18.187912126588675	17.416656064064107	18.226091658885018	19.074103653493367		17.969564216978995
P02918	20.3602236170834	20.369773425534234	20.476665121245656	20.4463262649116	20.302426330322398	20.719976853181382	20.21240024801709	20.511273768965903	20.607805566491308	20.718642307239055	20.390707089154226	20.452331333025214	20.47449742162548
P02919	21.593288929132907	20.96868651957328	21.41043702681433	21.250360995235024	21.507795721397965	21.23873329272256	21.045646123430956	21.652442153672677	21.613301694879144	20.746428167101456	21.407556785698393	20.490697861563525	20.86041830857085
P02924	20.973451703541354	20.405517289405868	20.633560243098046	19.71950183739366	20.590213457494286	19.634778569558044	20.444746529644377	20.549010763113966	20.916670477223615		17.890452508121392	17.669321631584253	17.61868292044055
P02925	24.91274545769618	24.93111738778393	24.897153694049855	24.851735719581416	25.19191007355349	25.002235198446705	25.06676448093205	25.289667492717708	25.322628527026993	22.786904915394153	22.877995207757227	23.03641355321403	22.764516949290428
P02929	20.36918801481542	20.68943446009749	20.61014788916336	20.08512883119617	20.063174859541153	19.969646538344435	20.67368431383167	20.472236144157637	20.061365966625406	20.1472065320992	20.930822590818558	20.707232218088354	21.133336837668978
P02930	24.1826964898104	24.13218131250993	24.072106917695304	24.05479895951797	24.34074579766925	23.475256552953493	24.361312322998355	24.24006263139953	24.094614378413418	22.86156510920315	24.275777464734666	23.124099136953642	23.75028822835375
P02931	27.42126837151536	27.216448775376975	27.33546701844613	27.325498231352448	27.799787899268814	27.178509376321166	27.372742173812934	27.404708599343646	27.516986935428733	25.584863048285225	26.413855167951304	25.90685438351428	26.1515053376432
P02942	19.296596065737443	19.066766988620714	20.61141555990899	20.092077152573694	19.837112635772947	19.23157250752348	20.071997858375855	19.822481610472632	19.210150184703714	18.542722180056415	17.3142618839839	16.020952715344073	
P02942;P07017	19.205494613552432	20.064836819790045	20.645931361774206	19.63717341098831	20.066973649721927	18.673942799578235	19.909364453471078	20.02125753353232	19.431581769638456		14.865678985863441		
P02942;P07017;P07018;P50466	19.622398087386138		19.72651062941786					17.97668224593493					
P02943	21.38675074127825	22.11160239389835	22.135885146139255	22.14376174362265	22.026344555084627	21.725929439398815	22.547531491719624	22.062838246437643	21.619383275550586	21.72508196747838	21.961557687891958	21.349428778429786	21.716284223548165
P03004	20.727072317156484	21.018765222449428	21.00483726818368	21.248028251198555	20.989043944291645	21.21815360698105	21.262665358721012	20.93435016470804	20.800059009842066	21.144374234789908	21.018828239314356	21.09435460228391	21.22411157713503
P03007	17.380132306069886	18.109278199852106	17.757662962770095	18.458122959423882	17.44562230757635	18.36024032164509	18.247482420588423	17.192356713590907	18.835059234700022	17.560111723220498	18.239710277273417	18.0747266618472	18.606542580496463
P03018	20.588243522156706	20.17041875668493	20.600291410257203	20.029587895769073	20.370749696156143	20.17928330964441	20.112363527803527	20.277194473072143	20.60336636817361	19.986037468437125	20.35306089899886	19.91732855226433	20.117108112083237
P03023	19.59034101973085	19.34807429446987	19.54516430928002	19.266581378952296	19.56348829819427	18.4769764369154	19.407860882660305	19.422608955415395	19.261450436371113	18.628198355142743	19.342942921302427	18.229139681722902	18.74565124970196
P03024	18.829700485082313	19.084334896059705	19.24742602370305	18.828257301100734	18.81057154857508	18.87162671335219	19.01264280661297	18.89210135049827	19.015496019731707	18.852929592696796	19.176575923471944	19.28520984533161	19.19778121021599
P03030	17.07528296344691	17.643009171005836	17.126561349007158	17.671880052937055	17.78845891235011	17.69649570707352	17.080896164810078	17.399301957971044	17.797592459525337	17.82539563674376	16.78588468163989	16.516737411920463	17.46153066547991
P03813	20.349943210335688	21.182024904970085	20.69977817766548	21.22657870245237	20.987978400878077	21.309669777673243	21.340455256091584	20.71193471757088	20.684785035707648	20.592489328339546	20.028073343289286	20.708884152421756	20.725330310939924
P03817	22.25343569905769	21.611766408991592	21.843102243399628	21.069562686926762	21.659051154101252	21.454185084455997	21.27492216881904	21.800325145571733	22.1400594606651	20.24879403849088	22.415418721088805	21.295559344799297	21.488275298197188
P03819	17.668553867161613	18.01187864935048	17.71067272949073	18.027372657717358	17.780858690805736	17.480225501886082	18.459791506028353	18.00466376759561	17.82876145213936	17.333416293451677	17.309779527969564	16.836698333459516	18.331041978834126
P03841	22.622480114218295	22.448412132910402	22.699682624501946	21.621447622929146	22.276482980983097	20.75573018662989	22.886530739972272	22.60411505631134	22.336578652131593	20.716984695408545	22.347490848950287	19.90974914744585	21.035875854563237
P04036	22.860897947561842	22.888368156719174	22.794914788909654	22.973343414839125	23.062187931424557	23.13643377117092	23.05157827471517	22.803125268078844	23.182670780391277	24.287814710727083	24.301229211610416	23.851528105657916	24.334604243080253
P04079	23.325146188305165	23.55481293234646	23.217482893346894	23.53656630193959	23.472997054512327	23.67250062377466	23.380847157991603	23.407546466496566	23.58155481463348	24.394572732758295	24.069752736559913	24.17398500362844	24.31690682800332
P04128	24.91579547145672	24.46188135565637	25.131323213401227	24.368731886688405	23.635786317730236	24.230844158558064	23.672263001090943	24.643461600383365	24.3402620689987	23.438965609948045	25.08254430436004	24.06590590977838	24.371570824751924
P04335	22.063249966374368	21.94334975549388	22.01308819325326	22.068244433328264	22.21896802595951	22.063132737569664	22.019293905360424	22.02311738111406	22.19566809740758	22.34162993417034	22.012927973913776	22.141211264281658	22.242079900652737
P04391	22.44041634176738	22.780564559963288	22.403308949718237	22.16166014544788	22.605134233751645	21.92244100468009	22.954730561716435	22.660534596760954	22.60719455654813	22.201318998092038	23.022192235067873	22.088521456065948	22.503332858893298
P04391;P06960	23.597205106275144	23.666838804225915	23.21203906621812	23.61598987354305	23.480010456448554	23.836412168899127	23.215057606031486	23.280460726143275	23.615865604907786	23.971205976347623	23.867142768237116	24.011963149628134	23.79420600964271
P04395	17.7134792412192	17.600363662406117	17.70614980620242	17.801166561117263	18.00872070869452	17.437808253169763	17.722497729061992	17.471883702526505	17.73524674235251	17.15165150683932	17.50258951685584	17.556048363920567	16.947363484937398
P04425	22.081539558626044	22.443382731390987	22.18210716066231	22.313994634831317	22.39823627766404	22.257772369403092	22.20960627080102	22.05871774558439	22.206291519953048	22.06860428916443	22.362114029949396	22.038799934110095	22.372730466504812
P04693	23.88612485224194	23.73032008026766	23.7381762536183	23.377848169193165	23.711000018354824	23.05882255545753	23.8636382206681	23.798222496629393	23.565669691800238	23.261495428109995	23.85224200452042	22.910577691518824	23.597633951395018
P04805	23.293429314060283	23.64072801845971	23.314050030866355	23.651626213509772	23.580981662603932	23.40634580102502	23.733002829333707	23.557687347352434	23.58820503813368	23.16586693488211	23.396041096869993	23.133324625529823	23.41256163862308
P04816	24.058391036228116	23.981832168120448	23.827449781143827	23.84462690609041	24.04346038064061	23.75047020697025	24.02894783827081	24.06126782099637	23.971413720186717	23.450045443929987	24.154586822412917	23.882665782068557	23.944610477757635
P04816;P0AD96	26.94095570431142	23.795512251895317	26.21521657159389	24.009643651588625	22.35667316759237	24.890420909390603	24.118894672395424	26.24244440137167	24.800285255454927	24.298915668965076	26.24848560457045	25.272186983322463	24.747340170555372
P04825	23.203935011606166	23.53458355099195	23.37536258343249	23.454067410444207	23.41024874440349	23.56008261250019	23.526514955090992	23.498268606495614	23.373287648187993	23.17774524798499	23.20936817562352	23.2416379169737	23.38786559866679
P04846	23.085984485091604	22.792049322374076	22.932705110442406	22.5464910233233	23.054961056088658	22.55165582040232	23.077649534442866	23.203834401985215	23.293490257270403	22.4202993670499	23.6094848563167	22.61228491874296	22.823124541746946
P04949	23.0117650961439	23.980509723175018	24.588547578691276	24.550490045595588	23.462323813705193	22.878312640546902	23.216182730412697	24.423175513965738	21.86159046109952	17.149912169066127	17.852052054183552	16.990265024905856	17.916630181241196
P04951	20.761802079365722	21.243453120025247	21.046379325295273	21.285256951752206	21.151505680471427	21.07304207126421	21.09159126303161	21.055929103127212	21.280112729663042	21.348555739608077	21.075162525771074	20.92409160448982	21.283248867478914
P04968	22.715189504047803	22.640978748695204	22.677944470415497	22.733157042620803	22.808272467471596	22.87365081040589	22.237993360725415	22.466691005357895	22.901487545855087	21.685136384815106	21.709284400757717	21.40159073210377	21.522598852770788
P04982	20.342566301820707	20.583945965857055	20.462251718944533	20.18426592999377	20.465981953853046	20.1235172923706	20.687449615783834	20.43399812261224	20.491153285704783	18.230109313418573	18.411609064402015	17.815990661136986	18.214815185810856
P04983	20.07840980856398	20.14248330091959	20.098399359617417	20.00426414310977	20.09341574761027	19.738866197528907	20.281832670601112	20.307040946065317	19.887023342489073	17.826377046287558	17.975690815947644	17.38047868149152	18.28326359913938
P04993	19.071755063038957	18.963796983043835	19.208845290497656	19.05576985218543	19.102097613547375	19.127139900600504	19.30604362591389	19.117923451541053	19.200955430197062	18.93692750707202	18.997501013162253	19.252459756748472	18.81662803968034
P04994	19.68424892251795	19.834962502331916	19.98343245866522	19.89063541218685	20.035213020953808	19.95900465207632	19.953755031226454	19.57129955852942	19.886227301143492	19.99306314014957	20.06449558774314	19.617225782192175	19.970733523438422
P04995	20.355053505005866	20.706631267734856	20.529227925978333	20.832385652902765	20.579530598455186	20.713145826233923	20.678663197836737	20.594484308692934	20.81824229078597	20.50781315125238	20.373856042644302	20.432343224596043	20.52966290212501
P05020	24.225000710956934	24.843152163006177	24.35352841284635	24.911891651629393	24.70652672573134	25.081629859707114	24.798217374296257	24.450271833637967	24.57794401288349	24.935753073107804	24.360025156841132	24.629593229154068	24.796111391518064
P05041	19.63458402329161	19.599269859848597	19.528109973784858	19.477213518795857	19.618974335465516	19.4804317106885	19.647838766228745	19.434998319767747	19.553414362331722	19.741383549651097	20.03350875396317	19.74469311261319	19.774829881144576
P05042	21.683731861561515	21.771615642802605	21.586577823935414	21.51974837157701	21.813364762646394	21.72515979270241	21.611297852994696	21.47641558983659	21.80579881643898	20.45932907008338	20.316047092728084	20.704618111306363	20.258551945175856
P05055	24.72591937886896	24.825954177996678	24.741134575904	24.719917544292727	24.90373673806392	24.758315168644074	24.831276573418016	24.735170529093153	24.746548819969036	24.83780190714762	24.918898711788316	24.816113566228125	24.882860871548395
P05194	20.84623788623435	21.39718442622245	21.14388978028334	21.391080138605503	21.391346080179073	21.364815830196093	21.475413928751017	21.19696063826175	21.242957880813037	21.198133781905174	21.14194933936653	21.106717958981886	21.078777754163347
P05458	19.99477365170025	19.780076503318355	20.063157858003976	19.921970097829465	20.040185780392633	20.02558975926124	20.312692678986497	20.212765879698242	20.185948160667753	20.075923479046306	20.334113102830425	19.944893543348492	20.31557722685398
P05459	22.229463824183142	22.369241086195657	22.372930485731757	22.47559272603674	22.551332651342253	22.4166656901308	22.363779938230735	22.454280430467602	22.50065207098008	22.454462674472033	22.479366834541782	22.23597767341694	22.660025885897173
P05523	17.565735121604625	18.40228306933364	17.656039739657032	18.41071768365882	18.27899811509544	18.418600790984613	18.034065169823336	18.006296110998917	18.09401381327088	17.96164011157431	17.80414134940078	18.37337405211904	18.56656692321694
P05637	20.10273536308669	19.939197054158736	19.852641906481225	19.990024010802696	19.733201814021974	19.98535810489421	20.05693342415077	19.88329490741448	19.796668137285522	19.62958486325537	20.094147555705582	20.007298777999964	20.060630420579262
P05704	18.427035560071907	18.857403800697064	19.710789674747794	19.669677975199285	19.399142745850472	18.70985740595865	19.21003951856294	19.29310918100974	18.39573443401268				
P05706	16.623104280884217	18.294406129538498	17.55553512402479	17.586688675344632	17.61846115744213	17.802452861855567	18.16467715202758	17.631573616267772	17.275527087945363	19.708866167712525	18.66862135341383	18.7339435444872	19.09271274481269
P05719	19.699385699558572	19.77437165686841	19.81676809893768	19.86398897411856	19.77060784376697	19.873021773000847	19.563784223076297	19.97410633058091	19.453751200386908	20.276494415776572	20.330405024554416	20.255123117518064	20.537048813540366
P05791	24.155716746027988	24.04684225930694	24.095201123762884	24.100995844930935	24.3352968862041	24.104345988839064	24.073533839887023	24.267851226763113	24.536559599388287	23.261885688576207	23.507017296609316	23.161214485726248	23.156748637313626
P05793	25.688243962332976	26.01910167104584	25.82959121080856	25.634552904915815	25.766529666809802	25.46800804447986	26.20084216273952	25.952263295507507	25.57781817333167	26.433217804859893	26.87527684850229	26.608064554536334	26.90929483736985
P05825	23.659686414714407	23.8615026773442	24.01014756561902	23.69669319454846	23.43996828425432	23.268560925466602	24.288860621552125	23.760836594280654	23.399405565305045	23.324063506158794	24.290783060839004	23.633308345308457	23.955570822394364
P05827	18.21374476391175	17.883689442672193	17.906152983413065	18.343636903633545	17.824815980304614	18.073963828460933	18.236703436408018	18.088043444778776	17.740636787391942	17.203025588229032	18.176338792043026	17.735403293277216	17.884845218617496
P05852	20.3961924576784	20.893492282630213	20.522899296976828	21.096052875693072	20.868939459102318	21.216998328523502	20.79246239469846	20.70750170530086	20.858373014801753	21.29469474615561	21.201883325732343	21.408008518944474	21.384200444886726
P06129	22.189396845986263	22.231064916495864	22.22741059282166	22.28332166638867	22.274646102719977	21.845275351248496	22.111475933418223	21.963208663880206	22.191167258866876	21.956947273880605	22.031927468042813	21.539994629894057	21.96979546999824
P06136	19.34833613112699	19.951868140991394	19.32853140097832	19.82058165375697	19.715757100019545	19.847231504649116	19.819941441058923	19.66967886820479	19.682371454714854	20.19881014104897	20.16090839818377	20.372990204288104	19.89675441488076
P06149	22.97151295089257	23.320817510859907	23.109202049324804	23.253456170978264	23.042184944360077	23.320304194388367	23.19174007644767	23.09292200604027	23.183908987192023	22.56893337656199	22.39431624553533	22.33353459715922	22.566867772982835
P06282	18.40390921471377	18.676018669912832	18.673197963037325	18.481698538023934	18.283512288898457	18.510035354834724	18.24125194513756	18.315093604352544	18.243049086206312	18.93864816941509	19.59392380598355	18.761445575056257	19.3488534753779
P06610	23.24424982129289	23.37490769543021	23.320824447100193	23.44475486399634	23.30884610593187	22.771506892860018	23.756202563415755	23.442547423319507	23.169806547974673	22.653028514314823	23.589269312688124	22.070999228830868	23.17175432740829
P06611	19.024516056903284	18.880809293684138	19.28567334547531	19.024333641696735	18.97493995559723	18.24914127120754	18.537920944122305	18.60394218986505	19.223536520827835	18.044124709210337	19.143446554343242	18.383399020389277	18.71699807066456
P06612	22.363851854555048	22.39920153029041	22.401666141602934	22.448001798420055	22.44406601555782	22.466810724074538	22.470850836035517	22.450226219254244	22.48242973355927	22.349088817996453	22.501491920733127	22.59947468328931	22.559846366998524
P06616	21.249228934096976	21.730111975573276	21.125827408591945	21.573614996259693	21.588907333019733	21.629433559099013	21.62188500084211	21.446954728160353	21.271744716193545	21.730980145412694	21.679148983163596	21.74738600758732	21.883021093952145
P06709	20.832841066533565	20.42192952683089	20.79037765395482	20.62491536590003	20.47938215403527	20.502995121061424	20.35085973516466	20.512822186915383	20.838006808451837	20.00513063730768	20.392250833461723	18.83869282814274	20.216722646283657
P06710	20.323524969625318	20.46590907176519	20.16300354068367	20.71069916387347	20.509394231640268	20.527786287082634	20.436527863821166	20.46533654779605	20.53063563695272	20.415793322498388	20.492643991046805	20.152059169475223	20.430833514062904
P06715	21.82003723012785	22.01697626423	21.905873608097835	21.66260101339323	21.791009801386448	21.3336317535058	21.895179404085354	21.715554883728924	21.86976109541415	21.63272269518965	21.748541817751722	21.210160336940806	21.94902139116491
P06720	20.495310570496684	20.851023313649666	20.765537555118268	20.704413231840416	20.64162735201946	21.003232880375965	20.753595227903265	20.64411623224245	20.773516482622025	17.815298143297504	17.739184913726373	17.94005417627014	18.472130221462567
