rowname,BBM_673_P283_01_VEB_001_R4,BBM_673_P283_01_VEB_002_R3,BBM_673_P283_01_VEB_003_R3,BBM_673_P283_01_VEB_004_R3,BBM_673_P283_01_VEB_005_R3,BBM_673_P283_01_VEB_006_R2,BBM_673_P283_01_VEB_007_R2,BBM_673_P283_01_VEB_009_R2,BBM_673_P283_01_VEB_010_R2,BBM_673_P283_01_VEB_011_R2,BBM_673_P283_01_VEB_012_R2,BBM_673_P283_01_VEB_013_R2,BBM_673_P283_01_VEB_019_R2,BBM_673_P283_01_VEB_023_R3
A5A614,18.728072952702597,18.376802676775327,17.83612580747303,18.581883303468125,18.037089650862722,18.308910710521083,18.17514621596367,17.298104628985364,18.357313284039826,18.127659340623367,18.047892393202655,16.60301901257164,16.746950079669933,16.759493911877886
O32583,19.19985602740326,19.03802945947476,19.327538678004117,19.905659386098705,18.35251050337941,19.425868410423966,19.8182346314516,18.19325317223804,19.66503601547474,19.18934046138911,19.44159290404558,18.616825538671055,18.203122109009787,17.97247308508262
P00350,25.262850347404047,25.25104714829922,25.332690685917566,25.194196387241146,25.31974623736926,25.256266687038543,25.115484187963816,25.358813580202074,25.23903045122263,25.286373254823516,25.30401138455623,25.44075368493863,25.562757582061003,25.56907240952814
P00363,23.3685855088601,23.38354773603595,23.40995177677997,22.549340658824725,24.05590933165302,23.3026429277945,22.682710019676144,23.727502743912048,23.023716413876677,23.223433619950853,23.215494238482826,22.85976132681406,23.24335968706241,23.56766499329983
P00370,24.53973018746144,24.417440412228157,24.322983698065816,24.52486114811322,25.049419170965777,24.460946824565795,24.289881209840157,24.729850860611663,24.196073122793877,24.421898645450092,24.4036609169376,24.64703387787444,25.094707614431176,25.158579906722988
P00393,22.404552546809683,22.425477029096726,22.728846799034077,22.62916255497851,22.45609248771245,22.4199243965555,22.556773683358305,22.57871054356988,22.51917414239464,22.603941278359372,22.652289377543106,22.26921547499568,22.59596143708745,22.587405436590178
P00448,25.01918970482307,25.016629890403628,25.09745359573575,25.60140555639007,24.470207805739214,25.373289740485372,25.4696932049268,24.500423448410416,25.477126915559925,25.25021243934166,25.276041564647887,24.259523312935407,24.473123146176945,24.59535902517186
P00452,22.54900796158556,22.661664466113272,22.740202445590764,22.829431629445292,22.42842059671824,22.53630235710467,22.908334068983123,22.89267567908968,22.686813574036407,22.775631955470196,22.83767937663541,22.215968619452624,22.574590725610808,22.499422029486038
P00490,22.011044675304984,22.04262223207513,22.31366653368672,22.37421967742611,22.227883240341118,22.145922137949025,22.401305445827926,22.359419276301747,22.280623966395467,22.26446203232268,22.350431143762243,22.90607230820937,23.219897809492686,23.078790215822494
P00509,24.812764568696725,24.870909784001107,25.090529521949247,24.954124621223954,25.06596052791594,24.954810672825236,24.957779798963863,24.901878192676396,24.883449700373454,25.03147161839148,25.112882527424418,24.63074116378278,24.936692809071218,24.89646047244025
P00547,24.250140438610277,24.246034485928092,24.28698035935124,24.24632166537519,24.415003222216377,24.369808025570695,24.34225789201081,24.473899691635207,24.221880629247696,24.16393081112742,24.198225221538806,24.258317452405013,23.967362415397755,24.05070622212105
P00550,21.126792409525507,21.294687966181527,21.391914939631587,21.457376526390668,21.518550555215082,21.36957722108601,21.317165338805555,21.489286128758206,21.420106752070012,21.382525568248447,21.481643183877004,20.622805314681006,21.164582575752384,20.856157548303344
P00561,25.703218019587403,25.75909874218151,25.696888450792088,26.027525658278233,25.66356221998566,25.71908260115101,25.93212598242333,25.822931959745375,25.692200485449916,25.7032542122804,25.74115202621181,24.955529671292755,25.533557657390038,25.427303054718713
P00562,21.838783562876223,21.93736902585483,21.84130943724043,21.590475553797514,22.474939186475634,21.664825920088347,21.50119783544319,22.20119442018577,21.610205181250883,21.759787367257296,21.754679700963354,22.10584321396872,22.316739193094726,22.366057342575328
