rowname,CVT09_QC1_LabE_X023,CVT09_QC2_LabE_X024,CVT09_QC3_LabE_X025,CVT09_QC4_LabE_X026,CVT09_s3_X002,CVT09_s10_X003,CVT09_s13_X004,CVT09_s16_X005,CVT09_s25_X006,CVT09_s28_X007,CVT09_s31_X008,CVT09_s36_X009,CVT09_s41_X010,CVT09_s50_X011,CVT09_s55_X012,CVT09_s59_X013,CVT09_s61_X014,CVT09_s67_X015,CVT09_s73_X016,CVT09_s77_X017,CVT09_s84_X018,CVT09_s90_X019,CVT09_s93_X020,CVT09_s99_X021
A5A614,17.24370798000907,18.317695201252576,17.990624642523468,17.475795347647733,18.117966739131205,18.174929381163814,17.64134352715461,18.388330294619205,17.932381445074522,17.885580756256473,18.13204276299478,17.661518258066998,18.41297065039777,18.452588685205374,17.455913929003717,16.936993773202094,17.52850974315483,17.442394266228607,17.378573232068707,17.007672069989038,17.209525848699297,17.3205973949759,17.87803898120411,17.010731889493186
O32583,,18.864138176116704,20.05052648394929,,19.25432585061081,17.473251338189314,19.640826845107426,19.38321122192871,20.398419174579132,19.85861591817212,19.267534939903193,18.976493556896166,18.160633864057747,18.6279219502715,,,,18.010997670523047,18.83517002822495,,,,,
P00350,25.514916369321785,25.235819259892228,25.276762520800794,25.48726947999684,25.312656338526914,25.076486347008533,25.3445884791998,25.129814836713436,25.135803752670224,25.039700107966567,25.14157141877657,25.375132220125764,25.326049854224856,25.10713479712811,25.470013527625145,25.525841684670947,25.46982648414328,25.484165902063186,25.498536350834527,25.49311864827517,25.44433093016885,25.473699820691493,25.442542481127127,25.468524142169755
P00363,23.246012945305182,23.422520653831015,23.35521822673014,23.50501488606966,23.559406030082165,23.105030947924597,23.366955328791345,23.442223055384204,22.95125440354065,23.031221628924623,23.141311387280076,23.631455464541585,23.727747657725356,23.322724100021386,23.175438240297126,23.056062567430903,22.8873458559337,23.106728929677107,23.259469521313495,23.079960878066608,23.07850450076394,23.169061494951706,23.222311275528675,23.048521052003487
P00370,24.888056723208766,24.386242892141226,24.200118947109516,25.11912919345333,24.57012630697053,24.03941447862594,24.413703767397518,24.4129895048523,24.129447431014462,24.21151337778035,24.253611935499652,24.664562107300817,24.7389545521688,24.49200112910339,24.890577032455706,24.882248806101078,24.82133145537636,24.744887399605407,24.937981031370672,24.918904087518115,24.852302137091826,24.891949893103604,24.99446348868949,24.731790442197674
P00393,22.689082882961248,22.503293813352673,22.568159608421734,22.66489494793222,22.579562882204065,22.278125519851518,22.643792751806107,22.402204106612484,22.637341155648766,22.40821742494789,22.39153811833178,22.535329685552107,22.45066296606425,22.250598894898356,22.647266935101715,22.5319005211693,22.705615572573397,22.535256868999056,22.55107782045005,22.658130912477638,22.657109448161997,22.607829349351967,22.591911156578153,22.726216652598193
P00448,24.47711402124973,25.43148980538359,25.490987806044764,24.304517925272144,24.887519568923466,25.906684583703598,25.47416208840666,25.377746098056935,25.626794413461923,25.595234486829156,25.572708503985414,25.071557102888374,25.123564224716404,25.34942959032298,24.376226851498867,24.4946789893636,24.443317815408193,24.58563242023645,24.241828166232512,24.584589028530186,24.432237985355567,24.65308904227653,24.327919118813064,24.70166375408264
P00452,22.745539284519246,22.624103218980917,22.58851169580513,22.702513799123896,22.695842308222637,22.29978781535379,22.84716945157013,22.518147702495593,22.819793953516303,22.403945787732795,22.42036189604651,22.905220265696112,22.643361879546447,22.305084732094315,22.720199203479908,22.71089922599461,22.66899462503934,22.78437899640901,22.75529402291405,22.728576463481875,22.66639514697581,22.778041848343054,22.70896236007786,22.737251356203874
P00490,22.997293426644138,22.189541252515887,22.166376626774188,22.91820175366861,22.073762336878886,21.979799032720038,22.214019813901942,22.025824875733008,22.31065894806721,22.166371999022722,22.100001160253505,22.16354166382546,22.0210114439795,22.143661626092374,22.83626183366149,22.878961852325652,22.888713868001847,22.85850182837711,22.968988056514345,22.984037460421487,22.969075607285852,23.084582394849985,22.983115579644174,22.977366158419304
P00509,24.889596336499817,24.95880867125001,25.044970592883015,24.872070619791934,25.078662402312315,24.652533516897613,25.201524805041714,24.894001515395637,25.014450560743633,24.759872067854886,24.756731098537205,25.156870957320493,24.929747001670105,24.75184499647361,24.909329076779954,24.99021398820631,24.857159819793818,25.009850856587445,24.94792518741943,24.952099740642094,24.872844490013208,24.942987595742657,24.90355115218493,24.90742019778624
P00547,24.006331076707625,24.32249025632134,24.300955588855214,23.98440277916091,24.31120035099643,24.513147075500513,24.348244733423932,24.6009361005271,24.56883014301492,24.547898948663995,24.570302186464055,24.369505846666975,24.533677975588542,24.610287878311507,23.942989299151122,24.109576606859907,24.026876867686653,23.937202857246085,23.95348239201294,23.996815072628507,23.992741488169386,24.033820332595372,23.9879583393135,23.890687461540082
P00550,21.047255821443315,21.52242159144001,21.485909846371154,20.933720940287923,21.49813897588066,21.590220403415607,21.522997914655274,21.471578121102585,21.54801075618925,21.565375457786914,21.562677024187078,21.37499469370738,21.196104804938756,21.44286802469252,20.99007100286999,20.990538300747964,21.076281943678552,21.10370854987581,21.061919999147012,21.093727063836283,21.071800969233724,21.02456929561715,21.023397161199878,21.05856306289923
P00561,25.605477932504872,25.59514053384732,25.59079758178337,25.568618736330123,25.64747171466729,25.489562296590403,25.880111853900594,25.810248235589818,25.860793594392927,25.67074394813098,25.69561206326223,25.82567817754158,25.941884378143246,25.812577732062238,25.52706895526553,25.5841738918099,25.514565138890475,25.599819705048077,25.579483369968393,25.581462464944785,25.508439406241312,25.600667540334076,25.615230677238298,25.55494667812542
P00562,22.216305167139787,21.733228735538244,21.692463565246353,22.393665181702577,21.99054849930602,21.480016284484314,21.69974087387866,21.70308383962293,21.483699554629244,21.479335381820466,21.436432913271574,21.845610208880906,22.029368477782977,21.573847347354516,22.266627076428968,22.250960980504,22.345811371059487,22.233601810124497,22.3406380439529,22.283775682154666,22.32849569741287,22.283552827167647,22.2519207420131,22.288118760370164
P00579,22.765159097778856,22.599839033369122,22.48892468780125,22.723783232189984,22.67323663252814,22.37411046183927,22.714981553480587,22.632591524158126,22.623250181039808,22.561294797824683,22.540233562202204,22.72542829422011,22.73485023164511,22.582829239288195,22.751423091046945,22.784719526929596,22.744886135603487,22.7613263277122,22.695495431577527,22.72792067377221,22.74241171252504,22.753266828483543,22.699803170664964,22.67774017218399
P00579;P13445,19.748804310657682,18.917976238040204,19.187263209285128,19.71474353535838,19.195478394685942,18.37588537020175,19.28789837398805,19.29795378318032,19.276120180960767,18.841780737747378,18.846341544875145,18.992285056176044,19.343276234895967,18.78755021315348,19.650754323490055,19.38398646696899,19.759850166240874,19.70234424701897,19.576102763074942,19.99737785091292,20.033521683061437,19.882143319406133,19.609077683157487,19.78759853447208
P00582,21.983998447298006,22.12080130434429,22.056220021132102,22.003092597451893,22.09507999303379,22.034442077784327,22.169575965011806,22.03078651261676,22.152878280349285,22.09874756676486,22.063813228654965,22.16775094056941,22.122344543452527,22.02998191223699,22.014216476571335,21.97884250661888,21.99647346565027,22.05760667855909,22.086205618567732,21.95049332808242,21.924721528887705,22.001806034149254,22.031807535217833,22.00986058874395
P00634,19.44157417164165,19.805473666869407,20.247013638350786,19.601533328701425,19.829385470755934,20.6520621590288,20.28866779576111,20.138545125121546,20.48469540584969,20.355430796503782,20.407920142040446,20.232614421103207,20.012714965861562,20.516991490325804,19.70856912438087,19.88502090095716,19.517355238397297,19.70482823962426,19.66353853995875,19.52269241460473,19.70451162410316,19.875992261146667,19.649377457548834,19.51578472166625
P00803,21.702921889635505,21.714966572901645,21.80533980298103,21.621844431320355,21.711621043463914,21.773634192088267,21.790246410751173,21.764418481539174,21.765871891324515,21.714118000788154,21.821312023604023,21.868870795058996,21.927858074441602,21.77568673151788,21.702482947687336,21.529283152220096,21.73356096245952,21.698929300642355,21.707504197719587,21.62877570077302,21.662076733067458,21.598499367659464,21.732468210852723,21.668513133664796
P00805,21.693947899602655,23.60415027346021,23.600743339844833,22.171843519407123,23.62036971770111,23.312160928622568,23.506614861350098,23.75647185388323,22.812281600859198,23.186146106315125,23.345448752253265,23.605899708838567,24.00229369733757,23.613302228573904,21.805729596867938,21.517974837131487,21.502025155093353,21.043078971118007,21.733190527562083,21.72941091554981,21.709221480745818,21.71397928588482,21.80033517424079,21.450065907695468
