rowname	Clinspect_E_coli_A_QC1_Slot1-6_1_8640	Clinspect_E_coli_A_QC2_Slot1-15_1_8649	Clinspect_E_coli_A_S5_Slot1-7_1_8641	Clinspect_E_coli_A_S7_Slot1-24_1_8673	Clinspect_E_coli_A_S20_Slot1-20_1_8669	Clinspect_E_coli_A_S23_Slot1-8_1_8642	Clinspect_E_coli_A_S34_Slot1-18_1_8666	Clinspect_E_coli_A_S42_Slot1-21_1_8670	Clinspect_E_coli_A_S47_Slot1-14_1_8648	Clinspect_E_coli_B_QC3_Slot1-23_1_8672	Clinspect_E_coli_B_S53_Slot1-22_1_8671	Clinspect_E_coli_B_S66_Slot1-13_1_8647	Clinspect_E_coli_B_S91_Slot1-25_1_8674	CVT09_QC3_LabE_X025	CVT09_s3_X002	CVT09_s10_X003	CVT09_s13_X004	CVT09_s16_X005	CVT09_s25_X006	CVT09_s28_X007	CVT09_s31_X008	CVT09_s36_X009	CVT09_s41_X010	CVT09_s59_X013	CVT09_s61_X014	CVT09_s73_X016	CVT09_s84_X018	CVT09_s93_X020	BBM_673_P283_01_VEB_001_R4	BBM_673_P283_01_VEB_002_R3	BBM_673_P283_01_VEB_003_R3	BBM_673_P283_01_VEB_004_R3	BBM_673_P283_01_VEB_005_R3	BBM_673_P283_01_VEB_006_R2	BBM_673_P283_01_VEB_007_R2	BBM_673_P283_01_VEB_009_R2	BBM_673_P283_01_VEB_010_R2	BBM_673_P283_01_VEB_011_R2	BBM_673_P283_01_VEB_012_R2	BBM_673_P283_01_VEB_013_R2	BBM_673_P283_01_VEB_019_R2	BBM_673_P283_01_VEB_023_R3	Ref8537_QC1_20230414_1	Ref8537_QC2_20230414_1	Ref8537_QC3_20230414_1	Ref8537_QC4_20230414_1	Ref8537_S4_20230414	Ref8537_S8_20230414	Ref8537_S11_20230414	Ref8537_S18_20230414	Ref8537_S21_20230414	Ref8537_S26_20230414	Ref8537_S35_20230414	Ref8537_S37_20230414	Ref8537_S45_20230414	Ref8537_S49_20230414	Ref8537_S52_20230414	Ref8537_S60_20230414	Ref8537_S65_20230414	Ref8537_S69_20230414	Ref8537_S75_20230414	Ref8537_S79_20230414	Ref8537_S82_20230414	Ref8537_S88_20230414	Ref8537_S94_20230414	Ref8537_S100_20230414	20230516_EXPL1_LiSc_SA_S610_RT_25_s2	20230516_EXPL1_LiSc_SA_S610_RT_27_s12	20230516_EXPL1_LiSc_SA_S610_RT_30_s30	20230516_EXPL1_LiSc_SA_S610_RT_32_s38	20230516_EXPL1_LiSc_SA_S610_RT_35_s51	20230516_EXPL1_LiSc_SA_S610_RT_36_s56	20230516_EXPL1_LiSc_SA_S610_RT_37_s63	20230516_EXPL1_LiSc_SA_S610_RT_38_s68	20230516_EXPL1_LiSc_SA_S610_RT_39_s72	20230516_EXPL1_LiSc_SA_S610_RT_40_s80	20230516_EXPL1_LiSc_SA_S610_RT_41_s81	20230516_EXPL1_LiSc_SA_S610_RT_42_s89	20230516_EXPL1_LiSc_SA_S610_RT_43_s92	20230516_EXPL1_LiSc_SA_S610_RT_44_s96	20230516_EXPL1_LiSc_SA_S610_RT_45_QC1_LabD
A5A614	19.518389617181946	18.56069499565028	18.445669581287568	16.099144636474367	18.57082186049208	17.738046699511784	17.23740129269457	18.348042302666137	19.77174321123511		17.48709917902134		16.4832093717659	18.06766839825447	18.195010494862203	18.25197313689481	17.718387282885608	18.465374050350206	18.009425200805524	17.96262451198747	18.209086518725776	17.738562013797996	18.49001440612877	17.014037528933095	17.605553498885833	17.455616987799708	17.286569604430298	17.95508273693511	18.868129813672542	18.516859537745272	17.976182668442977	18.72194016443807	18.177146511832667	18.44896757149103	18.315203076933617	17.43816148995531	18.49737014500977	18.267716201593316	18.1879492541726	16.743075873541585	16.88700694063988	16.89955077284783	18.11627685118944	17.809913282263754	17.691056794622412	16.993522033213143	18.252326092737327	18.32173453877981	17.950262325186046	17.384217601875616	18.050092253514176	17.816427610298987	18.45221394786896	19.24394144214665	18.03531565532125	17.380368265664874	17.489636417450846	17.893181333244343	17.41179058651975	17.51194116846886	17.622609705413215	17.281521232210693	17.66383977902556	17.60597153223113	17.18938105715838	16.91578210727436	18.05900264593239	18.29406559214028	18.277996185076734	18.224504826219142	17.299881037477906	17.52120721427236	17.398594803980846	17.159642404008764	17.592079938633827	17.386699540975307	17.197242406521386	17.048135627455583	17.442932028975342	17.391028583625037	17.88615531012784
O32583	19.43237384001404	18.88115441492929	18.707277078321905	19.0597928375441	19.07935343537941	20.08179126504472	19.45742485709993	19.3097783904063	18.51046140905869	18.90183076985305	19.016778620335952	19.752588385387632	17.353579584424732	19.959399674893238	19.163199041554755	17.382124529133257	19.54970003605137	19.29208441287265	20.307292365523075	19.767489109116063	19.176408130847136	18.88536674784011	18.06950705500169			18.74404321916889			19.249515945596087	19.087689377667587	19.377198596196944	19.95531930429153	18.40217042157224	19.475528328616797	19.867894549644426	18.242913090430868	19.714695933667567	19.239000379581935	19.49125282223841	18.66648545686388	18.252782027202613	18.02213300327545	18.914046728956208	19.18727993764056	18.76283704995773	17.831905469537332	19.03772039198573	18.583457706708984	19.18328574420761	19.358203098169653	17.865531515785243	18.986049753886896	19.35476804691133	19.45516986544605	19.3886124841942	19.295129957708248	18.641856337324	19.30208362715165	18.693646773368226	19.29829650585912	19.454145862608897	19.119364185248145	18.421592109474723	19.089287893214426	18.91985230306451	19.24217047617909	18.50094161636816	19.41783981141668	18.761618996690974	19.35241822092868	18.853356637019928	18.714817903661626	19.35127719691552	19.02653992378723	18.89481455650787	18.56129773220304	18.808982902942187	18.77102179835445	18.972483422232692	18.531361150724745	19.221052704466352
P00350	25.284687972324896	25.220767853087118	25.26532201775693	25.23094821938809	25.41861772020013	25.25450398167244	25.395180542889555	25.34301850587249	25.211634192776256	25.17738311351148	25.628872375600736	25.094243263450885	25.3790878739106	25.279911859238556	25.315805676964672	25.07963568544629	25.34773781763756	25.132964175151194	25.13895309110798	25.042849446404325	25.14472075721433	25.37828155856352	25.32919919266261	25.528991023108706	25.472975822581034	25.50168568927229	25.447480268606604	25.445691819564885	25.222338842379617	25.210535643274792	25.292179180893136	25.15368488221672	25.27923473234483	25.215755182014117	25.074972682939386	25.318302075177645	25.1985189461982	25.245861749799086	25.2634998795318	25.4002421799142	25.522246077036574	25.52856090450371	25.188090566310795	25.21861125660983	25.39423194488877	25.4320150885606	25.389101076842454	25.308773062324946	25.2195448182798	25.242633533779504	25.096472252913895	25.26250785821379	25.266387842882107	24.58237411605672	25.387551329156143	25.25920769997318	25.393188842872405	25.46184215350612	25.62307298958209	25.386230885832987	25.61937194298795	25.52415174278672	25.44840664470684	25.486198837218147	25.500347329310024	25.501081197401533	25.29625390832107	25.23984740919165	25.28735526926143	25.12907277038293	25.412966191691563	25.435628821579485	25.40540846507024	25.46477789835122	25.43088649647761	25.381757049532272	25.4539338315212	25.440594683309374	25.47353334051311	25.43000787692178	25.370335870596904
P00363	23.320163958712804	23.210448466620605	23.207459980955303	23.576199195844723	23.668475255913417	23.32521126439864	22.90621720505908	23.28033088560717	23.50722386673524	23.396510538354818	23.148749148160444	22.938255840730054	23.02532516573787	23.367731516156677	23.571919319508694	23.11754423735113	23.37946861821788	23.454736344810737	22.96376769296718	23.04373491835116	23.15382467670661	23.64396875396812	23.74026094715189	23.06857585685744	22.89985914536023	23.271982810740028	23.091017790190477	23.234824564955208	23.39203511056935	23.4069973377452	23.433401378489226	22.572790260533974	24.07935893336227	23.326092529503757	22.7061596213854	23.7509523456213	23.04716601558593	23.246883221660102	23.23894384019208	22.88321092852331	23.266809288771658	23.59111459500908	23.46630825106489	23.548109816694108	23.543718103490487	23.39743488292631	23.45142428224626	23.398386444978755	22.79784769385876	23.258598798521124	23.57079255878303	23.25754292182772	23.073700150223356	22.378576157871947	23.153300784206515	23.410216564138032	23.40047699881179	23.13104367490325	23.20917956223153	23.309030658316985	23.005669097614504	23.21869296633079	23.145964192568343	23.417003034118625	23.24420915544945	23.12453029438378	23.614939691291667	23.47800310929126	23.657006730961	22.936171264965022	22.993916972333263	23.044557000632647	23.060283893867062	23.119709025953807	23.141726978752	23.103409142189896	23.08378562393689	23.06047166782498	23.3167492426121	23.390281834473974	23.38546693457121
P00370	24.461312491895068	24.389441348130607	24.429873503021447	24.28016135103606	24.643291909599498	24.4416402227705	24.37702897527584	24.275317845248573	24.551126480901768	24.79071029976489	25.092359049319427	24.58364480940124	24.664707402254987	24.20957676040753	24.57958412026854	24.04887229192395	24.423161580695528	24.422447318150308	24.138905244312472	24.22097119107836	24.263069748797665	24.674019920598827	24.74841236546681	24.891706619399088	24.83078926867437	24.94743884466868	24.861759950389835	25.0039213019875	24.43589066287937	24.31360088764608	24.21914417348374	24.421021623531143	24.9455796463837	24.35710729998372	24.186041685258083	24.626011336029585	24.0922335982118	24.31805912086801	24.29982139235553	24.543194353292364	24.9908680898491	25.054740382140917	24.56156031930447	24.485802770719538	25.168558021307675	25.017545131238343	24.466708221764144	24.419781010952896	24.30351998382438	24.382109759382036	24.468673100475804	24.176720330272914	24.208803970867105	23.28141817377351	24.308172085383944	24.19362475208679	25.20008779283735	25.06867842498861	25.06536900274765	24.433357654011843	24.925847033067043	25.030899221721988	25.200531224600372	25.42885788369176	24.51340469582073	25.09821949355453	24.576739219466653	24.381070955530912	24.57764717351903	24.321383876915707	24.69524072835633	24.735097688662997	24.86785366424988	24.728273464541434	24.870543574152087	24.845908808053007	24.951009158233425	24.82123632175043	25.136585333072567	25.05494392339901	24.43214215627117
P00393	22.279756466512108	22.77263185251381	22.45672522344355	22.6442520680777	22.30323278483772	22.688979436390888	22.52105062896068	22.37836637793466	22.24319864901554	22.598697159017977	22.412297164798343	22.665678437752074	22.81203766301996	22.56307262557413	22.574475899356457	22.27303853700391	22.6387057689585	22.397117123764875	22.63225417280116	22.40313044210028	22.38645113548417	22.5302427027045	22.44557598321664	22.526813538321694	22.70052858972579	22.54599083760244	22.65202246531439	22.586824173730545	22.38639274595588	22.407317228242924	22.71068699818028	22.611002754124712	22.43793268685865	22.4017645957017	22.538613882504507	22.56055074271608	22.50101434154084	22.58578147750557	22.634129576689304	22.25105567414188	22.57780163623365	22.56924563573638	22.69679068929296	22.74560398961383	22.626329564792368	22.729394840711187	22.47339640402861	22.711503454752137	22.797707640436904	22.356605333104586	21.76941630436649	22.52991636867088	22.664445615957973	21.670044256447483	22.770163508358788	22.464858013051565	22.594817127571105	22.741997509585847	22.50963195577778	22.22065857143921	22.661578871029988	22.502201863855618	22.765430951000223	22.831511229495494	22.39725030773328	22.7208266295406	22.44585628737279	22.452481267872383	22.44710465161908	22.625814482505056	22.59150690383109	22.540539866603744	22.52013134820545	22.53039501818284	22.60392788672597	22.4801066804538	22.62195623268305	22.58953823981932	22.605478552432928	22.688463372800463	22.59055646400109
P00448	25.083071507046725	24.845626556168604	25.169881849402746	24.644314974243635	25.3737784492695	25.354671951175245	25.037165499380443	25.39395318657664	25.45611910848587	24.812895171523284	24.99081437066736	24.747086945022023	24.860659808206552	25.46110747594813	24.85763923882683	25.876804253606963	25.444281758310023	25.3478657679603	25.596914083365288	25.56535415673252	25.54282817388878	25.04167677279174	25.09368389461977	24.464798659266965	24.41343748531156	24.21194783613588	24.40235765525893	24.29803878871643	25.152533642864416	25.14997382844497	25.230797533777096	25.734749494431416	24.60355174378056	25.50663367852672	25.603037142968144	24.63376738645176	25.61047085360127	25.383556377383005	25.409385502689236	24.392867250976757	24.60646708421829	24.728702963213205	25.06289513145657	24.978053764150047	24.41851457011632	24.332635213879318	24.969161253830144	24.69690022089484	25.681380633547302	25.45525514412176	25.00900549152872	25.368933796786635	25.1383589210792	25.77629809630316	25.45609167058558	25.56386579486695	24.547630312020324	24.337911529624847	24.683022498225952	24.53129084726823	24.72910602233253	24.893249197788684	24.606978120228703	24.411197480826743	24.827943902061183	24.70867986933376	25.141468727017227	25.52261751082151	24.86419373274189	25.69971247845872	24.67248864037065	24.71216995490425	24.90235030594166	24.33113981069256	24.51615432410427	24.340299181459933	24.494218653565238	24.755040747457077	24.595371904136293	24.226498492971302	25.33798888818921
P00452	22.72882063279653	22.81669708969113	22.852531855919693	22.67765890838989	22.716835465040965	22.566857848174017	22.650002206642437	22.817134782692264	22.58704657441654	22.600154838388328	22.578532387760863	22.315708471718324	22.67305357084372	22.60309069624318	22.710421308660685	22.31436681579184	22.86174845200818	22.53272670293364	22.83437295395435	22.41852478817084	22.434940896484555	22.91979926613416	22.65794087998449	22.725478226432656	22.683573625477383	22.769873023352098	22.680974147413856	22.723541360515902	22.56374788936806	22.676404393895773	22.75494237337326	22.84417155722779	22.44316052450074	22.551042284887167	22.923073996765623	22.907415606872178	22.701553501818907	22.790371883252696	22.852419304417907	22.230708547235125	22.589330653393304	22.51416195726853	22.86005807039533	22.920245475797348	22.56622100767282	22.706669942742057	22.656757936913888	22.89556713845396	23.01834419883557	22.509995841109927	22.00431772287876	22.68682181411603	22.845784278948734	21.82643471604224	22.9609841185068	22.60134391783	22.624033718999367	22.7003396615346	22.73988054495153	22.153865087900883	22.85385861425337	22.573118630269867	22.772844254795693	22.74166002536043	22.528289949283764	22.7366254654043	22.640846540568504	22.64214517115802	22.651445639413865	22.84570831042143	22.645662312963623	22.580547369203963	22.389106255564226	22.667319685119097	22.6060723406775	22.542054012304305	22.603368453394893	22.593326422193208	22.604199943629297	22.60352686943863	22.868375196637977
P00490	21.97043325843269	22.173825675035918	22.140472557811776	22.14012684852249	21.893681955085512	22.295198837965746	22.214588264364505	21.954779811642755	21.91855860270081	23.03063809774037	22.84721913179162	22.81029528292348	23.12372512877529	22.14068661614361	22.04807232624831	21.95410902208946	22.188329803271365	22.00013486510243	22.28496893743664	22.140681988392146	22.07431114962293	22.13785165319489	21.995321433348927	22.85327184169508	22.863023857371275	22.94329804588377	22.94338559665528	22.9574255690136	21.85438677319426	21.88596432996441	22.157008631576	22.21756177531539	22.071225338230395	21.989264235838306	22.244647543717203	22.202761374191024	22.123966064284744	22.10780413021196	22.19377324165152	22.749414406098648	23.063239907381963	22.92213231371177	22.19291638022816	22.32159301851912	22.921443567336247	23.04614195435247	22.066913634786808	22.13612430728418	22.52968116320985	22.17419814598852	21.639095469220887	22.20910487892985	22.106720180067708	21.311008771900237	22.313207780850867	22.17528507265175	22.970408451995446	22.82453306513444	22.917569548847226	22.623257160692948	22.79072688326861	23.024029664882725	22.951585888251337	22.96515745401363	22.91146838915206	23.013780200556663	21.94620503241891	22.062442490352776	21.92250871843995	22.286634447761703	22.90826285477032	22.842843448908717	22.655491996353994	22.87378816789474	22.90487849910732	22.95657765551401	22.99563316047973	23.001930941374027	22.999472117901576	22.995204534998283	22.29319201840617
P00509	24.9435210816532	25.180970084903137	24.945336565657023	25.079567816248527	25.16628319435413	24.91538307375929	25.25304271346961	25.16411648911412	24.82052034218897	24.54663299975925	24.8982588769006	24.646804445627275	24.799054900550683	25.05432399179307	25.08801580122237	24.661886915807663	25.210878203951765	24.903354914305687	25.023803959653684	24.769225466764937	24.76608449744726	25.166224356230543	24.93910040058016	24.999567387116365	24.866513218703872	24.95727858632948	24.88219788892326	24.912904551094982	24.8422204590858	24.900365674390184	25.119985412338323	24.98358051161303	25.095416418305017	24.984266563214312	24.98723568935294	24.931334083065472	24.91290559076253	25.060927508780555	25.14233841781349	24.660197054171856	24.96614869946029	24.925916362829327	25.16730233288309	25.119795834122137	24.643178964737267	24.77586494786405	24.86911742918751	25.27901358275984	25.21080121229861	24.915690930140144	24.554870897410808	24.95747568398376	25.19869210439095	24.62038980918125	25.23870237421564	24.96822382776369	24.690381485909867	24.892207626054613	24.919701421954656	24.686388703214377	25.02567354355776	24.778280530257422	25.02389809800414	24.864155550086917	24.74619148290666	24.956412295987636	24.865711282507974	24.986267095569342	24.911292929881427	24.907461231763055	24.85505258692868	24.85439235567893	24.85889539742302	24.9006309714104	24.852220894611264	24.86409799250292	24.903948700823197	24.87737645587008	24.836645043197784	24.810674818340928	25.14198543965705
