rowname	Ref8537_QC1_20230414_1	Ref8537_QC2_20230414_1	Ref8537_QC3_20230414_1	Ref8537_QC4_20230414_1	Ref8537_S4_20230414	Ref8537_S8_20230414	Ref8537_S11_20230414	Ref8537_S18_20230414	Ref8537_S21_20230414	Ref8537_S26_20230414	Ref8537_S35_20230414	Ref8537_S37_20230414	Ref8537_S45_20230414	Ref8537_S49_20230414	Ref8537_S52_20230414	Ref8537_S60_20230414	Ref8537_S65_20230414	Ref8537_S69_20230414	Ref8537_S75_20230414	Ref8537_S79_20230414	Ref8537_S82_20230414	Ref8537_S88_20230414	Ref8537_S94_20230414	Ref8537_S100_20230414	Clinspect_E_coli_A_QC1_Slot1-6_1_8640	Clinspect_E_coli_A_QC2_Slot1-15_1_8649	Clinspect_E_coli_A_S5_Slot1-7_1_8641	Clinspect_E_coli_A_S7_Slot1-24_1_8673	Clinspect_E_coli_A_S20_Slot1-20_1_8669	Clinspect_E_coli_A_S23_Slot1-8_1_8642	Clinspect_E_coli_A_S34_Slot1-18_1_8666	Clinspect_E_coli_A_S42_Slot1-21_1_8670	Clinspect_E_coli_A_S47_Slot1-14_1_8648	Clinspect_E_coli_B_QC3_Slot1-23_1_8672	Clinspect_E_coli_B_S53_Slot1-22_1_8671	Clinspect_E_coli_B_S66_Slot1-13_1_8647	Clinspect_E_coli_B_S91_Slot1-25_1_8674	BBM_673_P283_01_VEB_001_R4	BBM_673_P283_01_VEB_002_R3	BBM_673_P283_01_VEB_003_R3	BBM_673_P283_01_VEB_004_R3	BBM_673_P283_01_VEB_005_R3	BBM_673_P283_01_VEB_006_R2	BBM_673_P283_01_VEB_007_R2	BBM_673_P283_01_VEB_009_R2	BBM_673_P283_01_VEB_010_R2	BBM_673_P283_01_VEB_011_R2	BBM_673_P283_01_VEB_012_R2	BBM_673_P283_01_VEB_013_R2	BBM_673_P283_01_VEB_019_R2	BBM_673_P283_01_VEB_023_R3	20230516_EXPL1_LiSc_SA_S610_RT_25_s2	20230516_EXPL1_LiSc_SA_S610_RT_27_s12	20230516_EXPL1_LiSc_SA_S610_RT_30_s30	20230516_EXPL1_LiSc_SA_S610_RT_32_s38	20230516_EXPL1_LiSc_SA_S610_RT_35_s51	20230516_EXPL1_LiSc_SA_S610_RT_36_s56	20230516_EXPL1_LiSc_SA_S610_RT_37_s63	20230516_EXPL1_LiSc_SA_S610_RT_38_s68	20230516_EXPL1_LiSc_SA_S610_RT_39_s72	20230516_EXPL1_LiSc_SA_S610_RT_40_s80	20230516_EXPL1_LiSc_SA_S610_RT_41_s81	20230516_EXPL1_LiSc_SA_S610_RT_42_s89	20230516_EXPL1_LiSc_SA_S610_RT_43_s92	20230516_EXPL1_LiSc_SA_S610_RT_44_s96	20230516_EXPL1_LiSc_SA_S610_RT_45_QC1_LabD	CVT09_QC3_LabE_X025	CVT09_s3_X002	CVT09_s10_X003	CVT09_s13_X004	CVT09_s16_X005	CVT09_s25_X006	CVT09_s28_X007	CVT09_s31_X008	CVT09_s36_X009	CVT09_s41_X010	CVT09_s59_X013	CVT09_s61_X014	CVT09_s73_X016	CVT09_s84_X018	CVT09_s93_X020
P0A8D6	16064200	15419800	14120300	14822100	14458100	14861500	16902900	13796900	11430200	14096000	13508800	11247100	16240500	16400600	14825800	14341700	16460400	11952700	14924100	13022500	13456600	12828100	12625000	13905500	130121	181670	153914	162464	153072	129328	195996	165348	108428	90262.8	142598	101545	128576	6872060	5727700	6514270	6904130	7444460	6443400	6881030	5832970	6960900	6428390	6091220	5209100	4888780	4123530	3726370	4144850	3955880	4517010	3531480	3570250	3819440	3609130	3808470	3582230	3625120	3648440	3441540	3343920	4240140	3452170	3255640	3531910	3159140	3275810	3318820	3416150	3515140	2865740	2917730	2755730	2920450	2723640	3018710	2660870
P0AAX3	5318550	5366190	10146800	7674530	5673340	4165130	3091340	4708990	9172670	6045120	4754120	7509330	5886560	4204420	12236000	11103200	10978900	8929070	11407200	10924500	11459300	9334090	9963990	10422700	35358.8	46826.3	34312	43866.2	47955.5	24875.5	49499.2	59331.3	57332.3	48436.1	121970	28940.2	83079.6	4935530	4273810	3218930	3639080	4631710	4501330	2891360	2591040	4414660	4577880	3960690	5754610	5512970	5212460	844068	1100930	1040280	906319	2618860	2702840	2979870	1959740	2441560	2527630	2444380	2569930	2300040	2006170	1362990	784064	1208700	842317	893838	709670	577096	790135	794421	747163	779052	1931200	1541710	1343440	1766430	1232510
P00959	122193000	128130000	146706000	154752000	121824000	126164000	116874000	105014000	90902400	118054000	113703000	66225000	119338000	112266000	143216000	145710000	152250000	110313000	161171000	147929000	155302000	158235000	140507000	151989000	186059	216311	187438	204279	206063	200077	224640	215233	212220	244342	257392	224282	256318	33129100	33392000	36145300	30798200	35290800	32453100	30219200	38445800	31312900	33993600	33804500	33725700	45769900	43372300	18359100	16933400	17674700	16144700	21946600	22056900	20415600	21498100	21788100	20669100	22087600	21681100	22568300	22514400	18254200	7927670	8686620	6581300	8596310	8048330	7765440	7164560	7117170	9303860	8941180	10721600	10622900	11135000	10903700	10767600
P0AEQ1	10078600	9327040	3882460	4074950	12364500	11262200	9398370	10096800	17220200	13161300	9991760	13587200	10188500	11732600	5028510	6153290	4830930	6145840	5404520	5283110	4716210	4313780	5696030	4874320	137106	239811	187542	211141	244237	105666	237282	269764	197721	57456.7	76593.1	42300.5	103237	6639310	4818710	5103360	3831370	7292200	5517780	3692970	4268210	6031090	4965120	4840190	3981840	2733350	2369090	2224940	3411550	2582150	2710180	1446760	1385000	1474720	1363070	1495690	1640610	1505590	1579070	1431180	1258600	3092000	1069140	1093310	1221900	1083810	1077680	1036690	1070380	1028420	931668	920148	501895	571820	495986	471510	448269
P25738	34953500	23165500	22526100	19159600	67738300	57215000	58098300	46794600	39917800	56578800	63829900	125469000	52273100	40509800	28661300	36439800	22935500	29641800	27726700	29358300	31063400	22335800	21333100	38428500	544496	234310	493502	173178	213304	260821	190667	522898	401334	73400.6	258982	117234	142744	157679000	121491000	107463000	133523000	119214000	123662000	222674000	69702000	189591000	166167000	129046000	74848500	78778100	60300100	14243100	18893500	13826200	20334300	10606100	11144400	9868600	9283110	11167500	11965400	10258200	9358450	10846800	9478800	14292400	8612600	7808840	11963300	8373980	9922470	10832200	10564200	11608800	7917210	7693230	5255010	7622300	6340650	5203400	5910720
P64596	67771300	57249300	44537000	47841000	73582000	71292000	68618800	66387100	86494600	66377400	75143600	108076000	71102200	71021700	51984400	60351200	57468000	68897000	56013100	55896800	57404800	51380400	50685700	58468600	274675	298801	266846	284256	299062	298424	352940	322761	309909	144771	258998	197984	231521	13070300	13010800	13602400	13257300	13742100	12820000	12853900	13370900	13052000	12911000	14417400	9676880	10811100	11353400	8810180	8784850	8326700	9943290	7019660	6913140	7052140	7102860	7338970	7343620	6980830	6660400	6938240	7204340	9433720	5609220	6388810	5241820	6192090	5963940	6023660	5539530	5526280	6521150	6271890	5219410	4917110	5152020	5076520	5347070
P00452	84539900	88141400	68961700	76012900	73428100	86646500	94343200	66325800	46715200	74974300	83707600	41296200	90665800	70661200	71781300	75680100	77783000	51817500	84177400	69292200	79580700	77879000	67172200	77607700	161245	171372	175682	155627	159911	144122	152672	171424	146153	147487	145293	121095	155131	15236900	16474400	17396100	18506000	14015100	15103300	19546300	19335300	16764100	17828600	18612100	12096000	15509500	14722100	11215400	11225500	11298100	12926600	11252900	10756300	9419620	11423100	10948300	10473100	10927800	10852000	10934100	10929000	13131300	5868200	6321420	4803860	7020510	5588860	6888550	5163510	5222600	7308760	6095600	6387740	6204870	6587360	6193700	6379170
P10100	17174200	14975700	17294700	13275700	22165400	16242200	14579800	20433300	28265100	19709400	17740000	26275800	18612900	20034500	19308500	19714400	17942000	20998500	16752000	18769000	16630200	17467500	20274900	17586200	337103	316527	355694	228057	385887	288061	312023	378110	348897	138391	346118	199870	247745	7614500	6932430	8053420	6773850	9180250	8113960	7735590	9320680	8132810	7718070	8168180	7337340	8517030	7865100	6159580	5815930	5615380	5641750	5272770	5332240	5138400	5038430	5447600	5340020	5081620	5235910	5390430	5651600	5781450	1248170	1423560	1310170	1296910	1338490	1256290	1284970	1348860	1218180	1372920	1345470	1246820	1235300	1141110	1219510
P0AEG4	135595000	107499000	139264000	117891000	134315000	112358000	128265000	131902000	140125000	133525000	135202000	176488000	149124000	130049000	152358000	171460000	143828000	162178000	140808000	144318000	144366000	144037000	145442000	152535000	1028080	1151490	871997	819193	1168200	930559	1086380	1176340	1218510	578291	1147590	822242	744440	85360800	64302400	63557000	68343400	57913400	75962300	77158700	44338200	78104800	69355800	66838900	63240100	62462900	65925700	53972500	69132400	57785800	61445600	65924700	70116600	70679900	60150200	70413200	71433000	66987700	66430800	68904600	66977100	59415800	10014000	8587190	10675400	9372200	9458440	9553290	9964710	10077600	8119830	8169300	7689580	9177790	8280780	7826850	8070340
P19934	3164640	3033270	3221390	2825120	3400160	2356030	3455410	3552220	5763040	3611880	2133990	2448790	3170880	3620720	3379000	2953010	3285670	4097160	2732420	3557320	2889570	2716550	3508210	2688230	82131.3	127147	100574	157547	128348	155100	109212	128979	140092	162126	144954	94159.9	133954	3532360	3388990	3287570	3081130	3183750	3161830	2903100	2972290	3187250	3101530	3109470	3204710	2872870	2470030	1305200	1311720	1200770	1246470	1192200	1261650	1322840	1187390	1270880	1223630	1183160	1257850	1262130	1165490	1231420	415169	340505	401576	340747	406253	367493	371445	410680	310772	381071	364412	368499	309638	345591	320399
