rowname	Ref8537_QC1_20230414_1	Ref8537_QC2_20230414_1	Ref8537_QC3_20230414_1	Ref8537_QC4_20230414_1	Ref8537_S4_20230414	Ref8537_S8_20230414	Ref8537_S11_20230414	Ref8537_S18_20230414	Ref8537_S21_20230414	Ref8537_S26_20230414	Ref8537_S35_20230414	Ref8537_S37_20230414	Ref8537_S45_20230414	Ref8537_S49_20230414	Ref8537_S52_20230414	Ref8537_S60_20230414	Ref8537_S65_20230414	Ref8537_S69_20230414	Ref8537_S75_20230414	Ref8537_S79_20230414	Ref8537_S82_20230414	Ref8537_S88_20230414	Ref8537_S94_20230414	Ref8537_S100_20230414	Clinspect_E_coli_A_QC1_Slot1-6_1_8640	Clinspect_E_coli_A_QC2_Slot1-15_1_8649	Clinspect_E_coli_A_S5_Slot1-7_1_8641	Clinspect_E_coli_A_S7_Slot1-24_1_8673	Clinspect_E_coli_A_S20_Slot1-20_1_8669	Clinspect_E_coli_A_S23_Slot1-8_1_8642	Clinspect_E_coli_A_S34_Slot1-18_1_8666	Clinspect_E_coli_A_S42_Slot1-21_1_8670	Clinspect_E_coli_A_S47_Slot1-14_1_8648	Clinspect_E_coli_B_QC3_Slot1-23_1_8672	Clinspect_E_coli_B_S53_Slot1-22_1_8671	Clinspect_E_coli_B_S66_Slot1-13_1_8647	Clinspect_E_coli_B_S91_Slot1-25_1_8674	BBM_673_P283_01_VEB_001_R4	BBM_673_P283_01_VEB_002_R3	BBM_673_P283_01_VEB_003_R3	BBM_673_P283_01_VEB_004_R3	BBM_673_P283_01_VEB_005_R3	BBM_673_P283_01_VEB_006_R2	BBM_673_P283_01_VEB_007_R2	BBM_673_P283_01_VEB_009_R2	BBM_673_P283_01_VEB_010_R2	BBM_673_P283_01_VEB_011_R2	BBM_673_P283_01_VEB_012_R2	BBM_673_P283_01_VEB_013_R2	BBM_673_P283_01_VEB_019_R2	BBM_673_P283_01_VEB_023_R3	20230516_EXPL1_LiSc_SA_S610_RT_25_s2	20230516_EXPL1_LiSc_SA_S610_RT_27_s12	20230516_EXPL1_LiSc_SA_S610_RT_30_s30	20230516_EXPL1_LiSc_SA_S610_RT_32_s38	20230516_EXPL1_LiSc_SA_S610_RT_35_s51	20230516_EXPL1_LiSc_SA_S610_RT_36_s56	20230516_EXPL1_LiSc_SA_S610_RT_37_s63	20230516_EXPL1_LiSc_SA_S610_RT_38_s68	20230516_EXPL1_LiSc_SA_S610_RT_39_s72	20230516_EXPL1_LiSc_SA_S610_RT_40_s80	20230516_EXPL1_LiSc_SA_S610_RT_41_s81	20230516_EXPL1_LiSc_SA_S610_RT_42_s89	20230516_EXPL1_LiSc_SA_S610_RT_43_s92	20230516_EXPL1_LiSc_SA_S610_RT_44_s96	20230516_EXPL1_LiSc_SA_S610_RT_45_QC1_LabD	CVT09_QC3_LabE_X025	CVT09_s3_X002	CVT09_s10_X003	CVT09_s13_X004	CVT09_s16_X005	CVT09_s25_X006	CVT09_s28_X007	CVT09_s31_X008	CVT09_s36_X009	CVT09_s41_X010	CVT09_s59_X013	CVT09_s61_X014	CVT09_s73_X016	CVT09_s84_X018	CVT09_s93_X020
P0A8D6	21.5390551537682	21.4799900745248	21.352976770446	21.4229558887965	21.3870840017098	21.4267857621382	21.6124768015055	21.3195501793252	21.048056701387	21.3504918595487	21.2891055589615	21.0247591148819	21.5548020664532	21.5689546111997	21.4233159798194	21.37542207312	21.5742054102276	21.1125425944873	21.4328499566798	21.2362124757033	21.2835199737583	21.2145135455953	21.1914894299672	21.3308616521761	21.2661382783358	21.7476015178425	21.5084072145411	21.5864023265314	21.5004932096252	21.2573191893363	21.8571049482798	21.6117876965794	21.0030240420991	20.7384927968842	21.3982372408456	20.9084067877067	21.2489059709906	21.5295423400718	21.2667556797829	21.4524032359215	21.5362593361096	21.6449668948179	21.4366218799704	21.5314242407167	21.2930303988931	21.5480735540879	21.4332571794875	21.3555309462591	21.1298339074036	21.0382742766117	20.7926797509716	21.3438465102951	21.4973954335173	21.4300742210712	21.6214436202639	21.2663485277426	21.2821006970469	21.3794366990979	21.2977267026138	21.3752871033738	21.2869335656238	21.3041043436668	21.3133553168851	21.229129890445	21.1876159573861	21.5301874335835	21.5089927808243	21.4244304741994	21.5419378412413	21.3810211814572	21.4333409741854	21.4521596720367	21.4938605980894	21.5350714121283	21.240397079583	21.2663357322349	21.1839239186094	21.2676800311263	21.1670254079144	21.3154214972971	21.1333874216856
P0AAX3	19.745319457477	19.7581846155133	20.6772392627938	20.2743647981571	19.8384847906202	19.3926480812034	18.9625190137887	19.5697041751508	20.5316281047714	19.9300574267956	19.5834648324925	20.2429705948169	19.8917112501426	19.4061933473173	20.9473464346454	20.8071899633854	20.7909479509498	20.4927962918627	20.8461591437899	20.7837816877733	20.8527333492978	20.556795742349	20.6510099283049	20.7159434992717	19.7788489613059	20.1840887031922	19.7354941134827	20.0898814701374	20.2184652172994	19.2715223663587	20.2641732008908	20.5255565561908	20.4761121669566	20.2328513379958	21.5652051128433	19.4898635887633	21.0112504818627	20.4556138863386	20.2479316871321	19.8389902297619	20.0159827413479	20.3639538155856	20.3227602332566	19.6841573250876	19.525940422328	20.2947112359444	20.3470885389343	20.1381607291172	20.6771269861783	20.6152385901846	20.5343732620272	19.1002678975498	19.4835591048164	19.4018083336951	19.202927479457	20.733774541382	20.7793116978404	20.9200849299787	20.3154980527767	20.6326388756202	20.6826209177671	20.6343042250931	20.7065646779415	20.5464946314257	20.3492796350682	19.7916110887569	19.8747631354008	20.4991753746219	19.9781548710727	20.0638048686257	19.7309402280688	19.4326037060978	19.8858908694271	19.8936954509256	19.8052148193338	19.8655113548888	21.1752162979611	20.8502503212514	20.6516509335049	21.0465553657529	20.5273184922356
P00959	23.3517599939363	23.4202066565189	23.6155262270162	23.6925564055804	23.3473967334134	23.3978986591543	23.2875523748222	23.133180029591	22.9249886473036	23.3020452786075	23.2478686736939	22.4680462069378	23.3176518574417	23.2295194248812	23.5807910300932	23.605698243542	23.6690405790529	23.2042011720203	23.7511905290022	23.6275032572858	23.6976747598003	23.72466709539	23.5532403584137	23.6665652652663	23.1875121651581	23.4048579350134	23.1981653958304	23.3222921975368	23.334836717106	23.2923067747513	23.4593654963682	23.3976502283543	23.3773116563411	23.5806520078584	23.6557170522681	23.4570645058481	23.6496846577302	23.3346701749872	23.3460736692044	23.4603792249754	23.2294172023425	23.4258632959195	23.3049274594325	23.2020366363328	23.5493971579188	23.2533282942901	23.3718343175047	23.3637864715729	23.3604195507744	23.8009702917911	23.7233451038999	23.2720416172355	23.1554179633453	23.2172320113875	23.0866069244552	23.5295437203214	23.5367763081408	23.4252182406165	23.4997554292889	23.519086661983	23.4430218422653	23.5387829337857	23.5119842228284	23.5698440147885	23.5663942969896	23.2637747242965	23.2540643257157	23.3859623277558	22.9855400400482	23.3708849120717	23.2758568735118	23.2242350917971	23.1080455418577	23.0984711332469	23.4849967771533	23.4276326371261	23.6896156808873	23.6762731334274	23.7441970166712	23.7139132353668	23.6957921850912
P0AEQ1	20.9169220813626	20.8051180519633	19.5406700252818	19.6104813042158	21.2118307049862	21.0771154920668	20.8161093118636	20.9195249595473	21.6897286700645	21.3019287947263	20.9044375612358	21.3478749752569	20.9325684958391	21.136149567456	19.9138298573768	20.2050568144695	19.8559998396803	20.2033090359483	20.0178653510047	19.9850863144539	19.8213268576548	19.6926515290163	20.0936555907496	19.868899856063	20.4611257120068	21.267727334052	20.9130448979304	21.0840370678155	21.2941111630516	20.0853483729165	21.2524322253943	21.4375266636806	20.9892968870224	19.2063956310449	19.6211286537553	18.7646042091411	20.051797580092	21.0494253363693	20.587039082596	20.669839502158	20.2562525357318	21.1847461318327	20.782480001354	20.2031737373583	20.4120233017913	20.9108108073407	20.6302206805629	20.593455783079	20.3118274174541	19.769062537618	19.562725419419	20.7973934198273	21.4140541236035	21.0121997095658	21.0820155454732	20.1764529532247	20.1135133579203	20.2040683792166	20.0904870515674	20.2244384946175	20.357859546605	20.2339562491684	20.3027023807535	20.1608324797612	19.975447334281	21.2721671258414	20.8808266634312	20.9130783770658	21.0735019338026	20.900487727688	20.89230472788	20.83636047607	20.8824989454185	20.824805507847	20.6822639284624	20.6643139341641	19.7898348862257	19.9780100416413	19.7727487455875	19.6997378663349	19.6268143898079
P25738	23.1683520833325	22.5748930016487	22.5345127396325	22.3009826349567	24.1228869196584	23.8793085695332	23.9014110925288	23.5892572040147	23.3599473651767	23.8631767217151	24.037147527972	25.0121741814157	23.748983864705	23.3811861157515	22.8820192160056	23.2284301983075	22.5604975395931	22.9305482245062	22.8341910885127	22.9166835979015	22.9981309107252	22.5222731108714	22.4560088102478	23.3050918193547	24.4504556252821	23.2339562098675	24.3085903799324	22.7977955219453	23.0984493088261	23.3885970892661	22.9365942601185	24.3920638362502	24.0103385026046	21.5594149413264	23.3783889256297	22.2349348694987	22.5189717375723	23.6840313817136	23.3078902960593	23.1308808728749	23.4441291261218	23.2805945226113	23.3334430960527	24.1819739621942	22.5063128191966	23.9499313284716	23.7596747472648	23.3949262751318	22.6090861692681	22.682907385944	22.2972731643013	23.5015089750488	23.9091357522929	23.4586504960439	24.0151610902015	23.0761400839704	23.147564767106	22.9721631756629	22.8839259660599	23.1505520756154	23.2501144389367	23.0280234367726	22.895587353252	23.1085153093937	22.9140221770411	23.5064939888944	23.343342952403	23.2020023932721	23.8174375741366	23.3028076007013	23.5475933967229	23.6741484654987	23.6380057072321	23.774041023891	23.2218862568709	23.1804835839251	22.6305877400952	23.1671205364164	22.9015249266864	22.6163488488625	22.800228079578
P64596	22.6678557353058	22.4244393466543	22.0621856825446	22.1654288443375	22.786534178002	22.740921482899	22.685785185699	22.6380842217448	23.0197913507102	22.6378734102446	22.8168315221522	23.3411555617173	22.7370754880891	22.7354411822253	22.2852600458514	22.5005637494544	22.4299401348038	22.6916224538832	22.3929455693404	22.3899469876125	22.4283526687683	22.2683994181345	22.2487600726019	22.4548433401199	22.6097800847263	22.7312390299421	22.5680620173205	22.6592451020441	22.7324986568799	22.7294176250067	22.9714762582644	22.8425199598837	22.783898532994	21.6858318265198	22.5249957529039	22.1374403563398	22.3631985149937	22.6120281616328	22.6054455790523	22.6695971241655	22.6325228887747	22.6843383873801	22.5841321703384	22.5879420618235	22.6448324807574	22.6100067989239	22.5943366541027	22.7535469117188	22.1783498217111	22.3382492501274	22.4088603286808	22.7660763740346	22.7619225321284	22.6846497350235	22.9406281448726	22.4383060755021	22.416246066326	22.4449660353486	22.4553049679237	22.5024825116722	22.5033963192839	22.4303035007246	22.3625137549144	22.4214746688094	22.4757711845906	22.8647316494053	22.5557003623277	22.7434473979148	22.4579680255795	22.6983266105789	22.644165922271	22.6585405170599	22.5376637736673	22.5342088589395	22.7730265631877	22.7168004237427	22.4517869476105	22.3657108601117	22.4330384108453	22.4117400764716	22.4866487702521
P00452	22.8674706352339	22.9276580406359	22.5736335725114	22.7140825075806	22.6641705017525	22.9029797032926	23.0257567636742	22.5174084059485	22.0117302877173	22.6942343789546	22.8531968437873	21.8338472808808	22.9683966833454	22.6087564826686	22.631446283838	22.7077522263732	22.7472931097901	22.1612776527395	22.861271179092	22.5805311951085	22.7802568196343	22.749072590199	22.5357025141224	22.7440380302429	22.7213228660632	22.8091993229578	22.8450340891864	22.6701611416566	22.7093376983077	22.5593600814407	22.6425044399091	22.809637015959	22.5795488076832	22.592657071655	22.5710346210276	22.308210704985	22.6655558041104	22.5490079615856	22.6616644661133	22.7402024455908	22.8294316294453	22.4284205967182	22.5363023571047	22.9083340689831	22.8926756790897	22.6868135740364	22.7756319554702	22.8376793766354	22.2159686194526	22.5745907256108	22.499422029486	22.6611813927694	22.6624800233589	22.6717804916148	22.8660431626223	22.6659971651645	22.6008822214049	22.4094411077651	22.68765453732	22.6264071928784	22.5623888645052	22.6237033055958	22.6136612743941	22.6245347958302	22.6238617216395	22.8887100488389	22.5975809737195	22.704911586137	22.3088570932681	22.8562387294845	22.5272169804099	22.8288632314306	22.4130150656471	22.4294311739609	22.9142895436105	22.6524311574608	22.7199685039089	22.6780639029537	22.7643633008284	22.6754644248901	22.7180316379922
P10100	21.4611799364449	21.2635604906712	21.4712670265784	21.0897249967424	21.8292464176403	21.3806841018257	21.2249079831573	21.7118592450308	22.1799588069328	21.659820885986	21.5079430456954	22.0746716991712	21.5772398855799	21.6834235316936	21.6301731208947	21.6601868311703	21.524277752001	21.7512232980018	21.4252703882341	21.5892888179695	21.414742560516	21.4856101775951	21.7006318246785	21.4953808178487	21.8016132262313	21.7107526059108	21.8790601747106	21.2378202592017	21.99660166105	21.574798838538	21.6900764814748	21.9672293009136	21.8512248076593	20.5171800279012	21.8396876196911	21.0474886415847	21.357281244582	21.515880551909	21.3804924079028	21.5967328096035	21.347107309181	21.7856646553623	21.6075374242288	21.5386425739697	21.8075664228611	21.610885143237	21.5353713715912	21.6171458915004	21.4623883914207	21.6774816568909	21.5625963482098	21.74999999808	21.6671779351407	21.6165516937448	21.6233107755101	21.5257291227245	21.5419097689021	21.4884872641892	21.4601423209607	21.5727888214111	21.5440131972861	21.4724565614648	21.5156083564301	21.5575684123013	21.6258273976355	21.6585994005063	21.5340031715083	21.7236918881889	21.6039426946186	21.5892670524999	21.6347950122294	21.5433582543807	21.5759233740603	21.6459292602417	21.4989160818435	21.671436186852	21.6422988696518	21.5324419332396	21.5190501932634	21.4046267085095	21.5004903451998
P0AEG4	24.351225993155	24.0162452544954	24.3897443789145	24.1493755987007	24.3375424432137	24.0800248640611	24.2710495652169	24.311388452691	24.398636385068	24.3290318967763	24.3470385055171	24.731492103163	24.4884344749031	24.2909773186858	24.5193872661239	24.6897940586678	24.4362665743982	24.6095001369522	24.4056513149431	24.4411732623034	24.441653021224	24.4383614682855	24.4523659552099	24.521062326222	24.4937587773733	24.6573079770699	24.2562015731097	24.1660818957301	24.6780933667964	24.3499759214151	24.5733349951792	24.6881111739578	24.7389241168539	23.6636748912895	24.6524134008379	24.1714415680645	24.0280342608888	24.7515266525224	24.3428255461145	24.3260039897806	24.4307549814455	24.1918501609483	24.583236545799	24.60578179368	23.8065031732553	24.6233641701524	24.4519694947712	24.3986409505329	24.3187926102905	24.3009525133015	24.3787939450924	24.1232434022154	24.4803808931342	24.221733901576	24.3103285903462	24.4118379839521	24.5007749222972	24.5123188802937	24.2795884195276	24.5068647904734	24.5276095933918	24.4349151009812	24.4228711712059	24.4756191810729	24.4346867937358	24.2618655126035	24.554803182346	24.3330428640317	24.6470749405494	24.4592444780086	24.4724589919054	24.4868543936473	24.5476845469863	24.5639369200218	24.2523062834198	24.2610692234091	24.173761571721	24.4290035364037	24.2806234244568	24.1992885633652	24.2434862165349
P19934	19.7592786162163	19.6981111657256	19.7849205481321	19.5955494275447	19.8628398286294	19.3335952899034	19.8860940885996	19.9259581092021	20.6240670515563	19.9499871294157	19.1907908597117	19.3893064157052	19.7621205035828	19.953513780132	19.8538335454913	19.659423498568	19.8134247959657	20.131861353389	19.5474165532027	19.9280279319756	19.6280920870146	19.53901290017	19.9079722887604	19.5238938824252	19.1480751653081	19.7785623299456	19.440325298864	20.0878450010167	19.7921256164503	20.0652615489534	19.5591981563455	19.7992009355584	19.9184384316044	20.1291779325851	19.9676586587068	19.3452535758896	19.8538019930743	19.9515967857053	19.8918198002532	19.8479860466233	19.7544240172675	19.8016915023731	19.7917242523767	19.6685587594832	19.7025393635358	19.8032766323577	19.7639445395409	19.7676331568896	19.8111582555787	19.6534572079841	19.4354931431256	19.8336076884217	19.8407965852478	19.713296730284	19.7671850084691	19.7029631790682	19.7846485753392	19.8529753566143	19.6971307736828	19.795164639252	19.7405042528711	19.6919820939661	19.7802967269879	19.7851973498593	19.6702735544572	19.7496597673664	19.9580988416077	19.6720768626016	19.9100732851048	19.6731018318923	19.926778660605	19.7821173382011	19.7975491328348	19.9424148457736	19.5402578103003	19.8344602498935	19.7699710691354	19.7860612619695	19.5349838375264	19.6934664640455	19.5842707903958
