data_name,data_preprocessing_name,metric_name,metric_value,predicted_client_name,cross_validation_method,seed,predicted_target,learning_type,plot_hue
ccRCC (Predicted Target: Condition),uncorrected,F1_score,0.8355831237478861,PDC000127,Leave-One-Cohort-Out,42,Condition,federated,uncorrected / federated
ccRCC (Predicted Target: Condition),uncorrected,F1_score,0.9698225401839636,PXD030344,Leave-One-Cohort-Out,42,Condition,federated,uncorrected / federated
ccRCC (Predicted Target: Condition),uncorrected,F1_score,0.991266042455674,PXD042844,Leave-One-Cohort-Out,42,Condition,federated,uncorrected / federated
ccRCC (Predicted Target: Condition),uncorrected,F1_score,0.2946240804173474,PDC000127,Leave-One-Cohort-Out,42,Condition,centralized,uncorrected / centralized
ccRCC (Predicted Target: Condition),uncorrected,F1_score,0.9655114744959584,PXD030344,Leave-One-Cohort-Out,42,Condition,centralized,uncorrected / centralized
ccRCC (Predicted Target: Condition),uncorrected,F1_score,0.986898064327224,PXD042844,Leave-One-Cohort-Out,42,Condition,centralized,uncorrected / centralized
ccRCC (Predicted Target: Condition),corrected,F1_score,0.968909973745299,PDC000127,Leave-One-Cohort-Out,42,Condition,federated,corrected / federated
ccRCC (Predicted Target: Condition),corrected,F1_score,0.9719815873694184,PXD030344,Leave-One-Cohort-Out,42,Condition,federated,corrected / federated
ccRCC (Predicted Target: Condition),corrected,F1_score,0.9868995633187772,PXD042844,Leave-One-Cohort-Out,42,Condition,federated,corrected / federated
ccRCC (Predicted Target: Condition),corrected,F1_score,0.968909973745299,PDC000127,Leave-One-Cohort-Out,42,Condition,centralized,corrected / centralized
ccRCC (Predicted Target: Condition),corrected,F1_score,0.9719826284864952,PXD030344,Leave-One-Cohort-Out,42,Condition,centralized,corrected / centralized
ccRCC (Predicted Target: Condition),corrected,F1_score,0.991266042455674,PXD042844,Leave-One-Cohort-Out,42,Condition,centralized,corrected / centralized
ccRCC (Predicted Target: Condition),uncorrected,F1_score,0.8254139680679077,PDC000127,Leave-One-Cohort-Out,43,Condition,federated,uncorrected / federated
ccRCC (Predicted Target: Condition),uncorrected,F1_score,0.9676650545652205,PXD030344,Leave-One-Cohort-Out,43,Condition,federated,uncorrected / federated
ccRCC (Predicted Target: Condition),uncorrected,F1_score,0.986898064327224,PXD042844,Leave-One-Cohort-Out,43,Condition,federated,uncorrected / federated
ccRCC (Predicted Target: Condition),uncorrected,F1_score,0.2838093103669079,PDC000127,Leave-One-Cohort-Out,43,Condition,centralized,uncorrected / centralized
ccRCC (Predicted Target: Condition),uncorrected,F1_score,0.9655114744959584,PXD030344,Leave-One-Cohort-Out,43,Condition,centralized,uncorrected / centralized
ccRCC (Predicted Target: Condition),uncorrected,F1_score,0.986898064327224,PXD042844,Leave-One-Cohort-Out,43,Condition,centralized,uncorrected / centralized
ccRCC (Predicted Target: Condition),corrected,F1_score,0.9636894618679126,PDC000127,Leave-One-Cohort-Out,43,Condition,federated,corrected / federated
ccRCC (Predicted Target: Condition),corrected,F1_score,0.9719815873694184,PXD030344,Leave-One-Cohort-Out,43,Condition,federated,corrected / federated
ccRCC (Predicted Target: Condition),corrected,F1_score,0.9868995633187772,PXD042844,Leave-One-Cohort-Out,43,Condition,federated,corrected / federated
ccRCC (Predicted Target: Condition),corrected,F1_score,0.968909973745299,PDC000127,Leave-One-Cohort-Out,43,Condition,centralized,corrected / centralized
ccRCC (Predicted Target: Condition),corrected,F1_score,0.9719826284864952,PXD030344,Leave-One-Cohort-Out,43,Condition,centralized,corrected / centralized
ccRCC (Predicted Target: Condition),corrected,F1_score,0.991266042455674,PXD042844,Leave-One-Cohort-Out,43,Condition,centralized,corrected / centralized
ccRCC (Predicted Target: Condition),uncorrected,F1_score,0.7655247179478725,PDC000127,Leave-One-Cohort-Out,44,Condition,federated,uncorrected / federated
ccRCC (Predicted Target: Condition),uncorrected,F1_score,0.9698225401839636,PXD030344,Leave-One-Cohort-Out,44,Condition,federated,uncorrected / federated
ccRCC (Predicted Target: Condition),uncorrected,F1_score,0.9956331877729258,PXD042844,Leave-One-Cohort-Out,44,Condition,federated,uncorrected / federated
ccRCC (Predicted Target: Condition),uncorrected,F1_score,0.2838093103669079,PDC000127,Leave-One-Cohort-Out,44,Condition,centralized,uncorrected / centralized
ccRCC (Predicted Target: Condition),uncorrected,F1_score,0.9655114744959584,PXD030344,Leave-One-Cohort-Out,44,Condition,centralized,uncorrected / centralized
ccRCC (Predicted Target: Condition),uncorrected,F1_score,0.986898064327224,PXD042844,Leave-One-Cohort-Out,44,Condition,centralized,uncorrected / centralized
ccRCC (Predicted Target: Condition),corrected,F1_score,0.9636894618679126,PDC000127,Leave-One-Cohort-Out,44,Condition,federated,corrected / federated
ccRCC (Predicted Target: Condition),corrected,F1_score,0.9719815873694184,PXD030344,Leave-One-Cohort-Out,44,Condition,federated,corrected / federated
ccRCC (Predicted Target: Condition),corrected,F1_score,0.9868995633187772,PXD042844,Leave-One-Cohort-Out,44,Condition,federated,corrected / federated
ccRCC (Predicted Target: Condition),corrected,F1_score,0.968909973745299,PDC000127,Leave-One-Cohort-Out,44,Condition,centralized,corrected / centralized
ccRCC (Predicted Target: Condition),corrected,F1_score,0.9741374505323004,PXD030344,Leave-One-Cohort-Out,44,Condition,centralized,corrected / centralized
ccRCC (Predicted Target: Condition),corrected,F1_score,0.991266042455674,PXD042844,Leave-One-Cohort-Out,44,Condition,centralized,corrected / centralized
ccRCC (Predicted Target: Condition),uncorrected,F1_score,0.7529899998868235,PDC000127,Leave-One-Cohort-Out,45,Condition,federated,uncorrected / federated
ccRCC (Predicted Target: Condition),uncorrected,F1_score,0.9698253437383872,PXD030344,Leave-One-Cohort-Out,45,Condition,federated,uncorrected / federated
ccRCC (Predicted Target: Condition),uncorrected,F1_score,0.9956331877729258,PXD042844,Leave-One-Cohort-Out,45,Condition,federated,uncorrected / federated
ccRCC (Predicted Target: Condition),uncorrected,F1_score,0.2838093103669079,PDC000127,Leave-One-Cohort-Out,45,Condition,centralized,uncorrected / centralized
ccRCC (Predicted Target: Condition),uncorrected,F1_score,0.9676650545652205,PXD030344,Leave-One-Cohort-Out,45,Condition,centralized,uncorrected / centralized
ccRCC (Predicted Target: Condition),uncorrected,F1_score,0.986898064327224,PXD042844,Leave-One-Cohort-Out,45,Condition,centralized,uncorrected / centralized
ccRCC (Predicted Target: Condition),corrected,F1_score,0.9636894618679126,PDC000127,Leave-One-Cohort-Out,45,Condition,federated,corrected / federated
ccRCC (Predicted Target: Condition),corrected,F1_score,0.9719815873694184,PXD030344,Leave-One-Cohort-Out,45,Condition,federated,corrected / federated
ccRCC (Predicted Target: Condition),corrected,F1_score,0.9868995633187772,PXD042844,Leave-One-Cohort-Out,45,Condition,federated,corrected / federated
ccRCC (Predicted Target: Condition),corrected,F1_score,0.968909973745299,PDC000127,Leave-One-Cohort-Out,45,Condition,centralized,corrected / centralized
ccRCC (Predicted Target: Condition),corrected,F1_score,0.9741374505323004,PXD030344,Leave-One-Cohort-Out,45,Condition,centralized,corrected / centralized
ccRCC (Predicted Target: Condition),corrected,F1_score,0.991266042455674,PXD042844,Leave-One-Cohort-Out,45,Condition,centralized,corrected / centralized
ccRCC (Predicted Target: Condition),uncorrected,F1_score,0.7769883149443806,PDC000127,Leave-One-Cohort-Out,46,Condition,federated,uncorrected / federated
ccRCC (Predicted Target: Condition),uncorrected,F1_score,0.9719815873694184,PXD030344,Leave-One-Cohort-Out,46,Condition,federated,uncorrected / federated
ccRCC (Predicted Target: Condition),uncorrected,F1_score,0.991266042455674,PXD042844,Leave-One-Cohort-Out,46,Condition,federated,uncorrected / federated
ccRCC (Predicted Target: Condition),uncorrected,F1_score,0.2838093103669079,PDC000127,Leave-One-Cohort-Out,46,Condition,centralized,uncorrected / centralized
ccRCC (Predicted Target: Condition),uncorrected,F1_score,0.9676650545652205,PXD030344,Leave-One-Cohort-Out,46,Condition,centralized,uncorrected / centralized
ccRCC (Predicted Target: Condition),uncorrected,F1_score,0.978157609227572,PXD042844,Leave-One-Cohort-Out,46,Condition,centralized,uncorrected / centralized
ccRCC (Predicted Target: Condition),corrected,F1_score,0.9636894618679126,PDC000127,Leave-One-Cohort-Out,46,Condition,federated,corrected / federated
ccRCC (Predicted Target: Condition),corrected,F1_score,0.9719815873694184,PXD030344,Leave-One-Cohort-Out,46,Condition,federated,corrected / federated
ccRCC (Predicted Target: Condition),corrected,F1_score,0.9868995633187772,PXD042844,Leave-One-Cohort-Out,46,Condition,federated,corrected / federated
ccRCC (Predicted Target: Condition),corrected,F1_score,0.968909973745299,PDC000127,Leave-One-Cohort-Out,46,Condition,centralized,corrected / centralized
ccRCC (Predicted Target: Condition),corrected,F1_score,0.9741374505323004,PXD030344,Leave-One-Cohort-Out,46,Condition,centralized,corrected / centralized
ccRCC (Predicted Target: Condition),corrected,F1_score,0.991266042455674,PXD042844,Leave-One-Cohort-Out,46,Condition,centralized,corrected / centralized
ccRCC (Predicted Target: Condition),uncorrected,F1_score,0.6873585617299471,PDC000127,Leave-One-Cohort-Out,47,Condition,federated,uncorrected / federated
ccRCC (Predicted Target: Condition),uncorrected,F1_score,0.9719815873694184,PXD030344,Leave-One-Cohort-Out,47,Condition,federated,uncorrected / federated
ccRCC (Predicted Target: Condition),uncorrected,F1_score,0.9956331877729258,PXD042844,Leave-One-Cohort-Out,47,Condition,federated,uncorrected / federated
ccRCC (Predicted Target: Condition),uncorrected,F1_score,0.2838093103669079,PDC000127,Leave-One-Cohort-Out,47,Condition,centralized,uncorrected / centralized
ccRCC (Predicted Target: Condition),uncorrected,F1_score,0.9655069878085044,PXD030344,Leave-One-Cohort-Out,47,Condition,centralized,uncorrected / centralized
ccRCC (Predicted Target: Condition),uncorrected,F1_score,0.978157609227572,PXD042844,Leave-One-Cohort-Out,47,Condition,centralized,uncorrected / centralized
ccRCC (Predicted Target: Condition),corrected,F1_score,0.968909973745299,PDC000127,Leave-One-Cohort-Out,47,Condition,federated,corrected / federated
ccRCC (Predicted Target: Condition),corrected,F1_score,0.9719815873694184,PXD030344,Leave-One-Cohort-Out,47,Condition,federated,corrected / federated
ccRCC (Predicted Target: Condition),corrected,F1_score,0.9868995633187772,PXD042844,Leave-One-Cohort-Out,47,Condition,federated,corrected / federated
ccRCC (Predicted Target: Condition),corrected,F1_score,0.9741178785515008,PDC000127,Leave-One-Cohort-Out,47,Condition,centralized,corrected / centralized
ccRCC (Predicted Target: Condition),corrected,F1_score,0.9741374505323004,PXD030344,Leave-One-Cohort-Out,47,Condition,centralized,corrected / centralized
ccRCC (Predicted Target: Condition),corrected,F1_score,0.991266042455674,PXD042844,Leave-One-Cohort-Out,47,Condition,centralized,corrected / centralized
ccRCC (Predicted Target: Condition),uncorrected,F1_score,0.6434135829368608,PDC000127,Leave-One-Cohort-Out,48,Condition,federated,uncorrected / federated
ccRCC (Predicted Target: Condition),uncorrected,F1_score,0.9719815873694184,PXD030344,Leave-One-Cohort-Out,48,Condition,federated,uncorrected / federated
ccRCC (Predicted Target: Condition),uncorrected,F1_score,0.991266042455674,PXD042844,Leave-One-Cohort-Out,48,Condition,federated,uncorrected / federated
ccRCC (Predicted Target: Condition),uncorrected,F1_score,0.2838093103669079,PDC000127,Leave-One-Cohort-Out,48,Condition,centralized,uncorrected / centralized
ccRCC (Predicted Target: Condition),uncorrected,F1_score,0.9655069878085044,PXD030344,Leave-One-Cohort-Out,48,Condition,centralized,uncorrected / centralized
ccRCC (Predicted Target: Condition),uncorrected,F1_score,0.978157609227572,PXD042844,Leave-One-Cohort-Out,48,Condition,centralized,uncorrected / centralized
ccRCC (Predicted Target: Condition),corrected,F1_score,0.9636894618679126,PDC000127,Leave-One-Cohort-Out,48,Condition,federated,corrected / federated
ccRCC (Predicted Target: Condition),corrected,F1_score,0.9719815873694184,PXD030344,Leave-One-Cohort-Out,48,Condition,federated,corrected / federated
ccRCC (Predicted Target: Condition),corrected,F1_score,0.9868995633187772,PXD042844,Leave-One-Cohort-Out,48,Condition,federated,corrected / federated
ccRCC (Predicted Target: Condition),corrected,F1_score,0.9741178785515008,PDC000127,Leave-One-Cohort-Out,48,Condition,centralized,corrected / centralized
ccRCC (Predicted Target: Condition),corrected,F1_score,0.9741374505323004,PXD030344,Leave-One-Cohort-Out,48,Condition,centralized,corrected / centralized
ccRCC (Predicted Target: Condition),corrected,F1_score,0.991266042455674,PXD042844,Leave-One-Cohort-Out,48,Condition,centralized,corrected / centralized
ccRCC (Predicted Target: Condition),uncorrected,F1_score,0.6826930485568551,PDC000127,Leave-One-Cohort-Out,49,Condition,federated,uncorrected / federated
ccRCC (Predicted Target: Condition),uncorrected,F1_score,0.9719815873694184,PXD030344,Leave-One-Cohort-Out,49,Condition,federated,uncorrected / federated
ccRCC (Predicted Target: Condition),uncorrected,F1_score,0.991266042455674,PXD042844,Leave-One-Cohort-Out,49,Condition,federated,uncorrected / federated
ccRCC (Predicted Target: Condition),uncorrected,F1_score,0.2838093103669079,PDC000127,Leave-One-Cohort-Out,49,Condition,centralized,uncorrected / centralized
ccRCC (Predicted Target: Condition),uncorrected,F1_score,0.9655069878085044,PXD030344,Leave-One-Cohort-Out,49,Condition,centralized,uncorrected / centralized
ccRCC (Predicted Target: Condition),uncorrected,F1_score,0.982528753399704,PXD042844,Leave-One-Cohort-Out,49,Condition,centralized,uncorrected / centralized
ccRCC (Predicted Target: Condition),corrected,F1_score,0.9636894618679126,PDC000127,Leave-One-Cohort-Out,49,Condition,federated,corrected / federated
ccRCC (Predicted Target: Condition),corrected,F1_score,0.9719815873694184,PXD030344,Leave-One-Cohort-Out,49,Condition,federated,corrected / federated
ccRCC (Predicted Target: Condition),corrected,F1_score,0.9868995633187772,PXD042844,Leave-One-Cohort-Out,49,Condition,federated,corrected / federated
ccRCC (Predicted Target: Condition),corrected,F1_score,0.9741178785515008,PDC000127,Leave-One-Cohort-Out,49,Condition,centralized,corrected / centralized
ccRCC (Predicted Target: Condition),corrected,F1_score,0.9741374505323004,PXD030344,Leave-One-Cohort-Out,49,Condition,centralized,corrected / centralized
ccRCC (Predicted Target: Condition),corrected,F1_score,0.991266042455674,PXD042844,Leave-One-Cohort-Out,49,Condition,centralized,corrected / centralized
ccRCC (Predicted Target: Condition),uncorrected,F1_score,0.705502462444612,PDC000127,Leave-One-Cohort-Out,50,Condition,federated,uncorrected / federated
ccRCC (Predicted Target: Condition),uncorrected,F1_score,0.9676686595036024,PXD030344,Leave-One-Cohort-Out,50,Condition,federated,uncorrected / federated
ccRCC (Predicted Target: Condition),uncorrected,F1_score,0.986898064327224,PXD042844,Leave-One-Cohort-Out,50,Condition,federated,uncorrected / federated
ccRCC (Predicted Target: Condition),uncorrected,F1_score,0.2838093103669079,PDC000127,Leave-One-Cohort-Out,50,Condition,centralized,uncorrected / centralized
ccRCC (Predicted Target: Condition),uncorrected,F1_score,0.9655069878085044,PXD030344,Leave-One-Cohort-Out,50,Condition,centralized,uncorrected / centralized
ccRCC (Predicted Target: Condition),uncorrected,F1_score,0.978157609227572,PXD042844,Leave-One-Cohort-Out,50,Condition,centralized,uncorrected / centralized
ccRCC (Predicted Target: Condition),corrected,F1_score,0.9636894618679126,PDC000127,Leave-One-Cohort-Out,50,Condition,federated,corrected / federated
ccRCC (Predicted Target: Condition),corrected,F1_score,0.9719815873694184,PXD030344,Leave-One-Cohort-Out,50,Condition,federated,corrected / federated
ccRCC (Predicted Target: Condition),corrected,F1_score,0.9868995633187772,PXD042844,Leave-One-Cohort-Out,50,Condition,federated,corrected / federated
ccRCC (Predicted Target: Condition),corrected,F1_score,0.979314091741801,PDC000127,Leave-One-Cohort-Out,50,Condition,centralized,corrected / centralized
ccRCC (Predicted Target: Condition),corrected,F1_score,0.9741374505323004,PXD030344,Leave-One-Cohort-Out,50,Condition,centralized,corrected / centralized
ccRCC (Predicted Target: Condition),corrected,F1_score,0.991266042455674,PXD042844,Leave-One-Cohort-Out,50,Condition,centralized,corrected / centralized
ccRCC (Predicted Target: Condition),uncorrected,F1_score,0.7349423266469539,PDC000127,Leave-One-Cohort-Out,51,Condition,federated,uncorrected / federated
ccRCC (Predicted Target: Condition),uncorrected,F1_score,0.9676650545652205,PXD030344,Leave-One-Cohort-Out,51,Condition,federated,uncorrected / federated
ccRCC (Predicted Target: Condition),uncorrected,F1_score,0.991266042455674,PXD042844,Leave-One-Cohort-Out,51,Condition,federated,uncorrected / federated
ccRCC (Predicted Target: Condition),uncorrected,F1_score,0.2838093103669079,PDC000127,Leave-One-Cohort-Out,51,Condition,centralized,uncorrected / centralized
ccRCC (Predicted Target: Condition),uncorrected,F1_score,0.9655069878085044,PXD030344,Leave-One-Cohort-Out,51,Condition,centralized,uncorrected / centralized
ccRCC (Predicted Target: Condition),uncorrected,F1_score,0.9737841307164452,PXD042844,Leave-One-Cohort-Out,51,Condition,centralized,uncorrected / centralized
ccRCC (Predicted Target: Condition),corrected,F1_score,0.9636894618679126,PDC000127,Leave-One-Cohort-Out,51,Condition,federated,corrected / federated
ccRCC (Predicted Target: Condition),corrected,F1_score,0.9719815873694184,PXD030344,Leave-One-Cohort-Out,51,Condition,federated,corrected / federated
ccRCC (Predicted Target: Condition),corrected,F1_score,0.9868995633187772,PXD042844,Leave-One-Cohort-Out,51,Condition,federated,corrected / federated
ccRCC (Predicted Target: Condition),corrected,F1_score,0.979314091741801,PDC000127,Leave-One-Cohort-Out,51,Condition,centralized,corrected / centralized
ccRCC (Predicted Target: Condition),corrected,F1_score,0.9741374505323004,PXD030344,Leave-One-Cohort-Out,51,Condition,centralized,corrected / centralized
ccRCC (Predicted Target: Condition),corrected,F1_score,0.991266042455674,PXD042844,Leave-One-Cohort-Out,51,Condition,centralized,corrected / centralized
