data_name,data_preprocessing_name,metric_name,metric_value,predicted_client_name,cross_validation_method,seed,predicted_target,learning_type,plot_hue
ccRCC (Predicted Target: Condition),uncorrected,MCC,0.6681859492105942,PDC000127,Leave-One-Cohort-Out,42,Condition,federated,uncorrected / federated
ccRCC (Predicted Target: Condition),uncorrected,MCC,0.939969572725646,PXD030344,Leave-One-Cohort-Out,42,Condition,federated,uncorrected / federated
ccRCC (Predicted Target: Condition),uncorrected,MCC,0.982683655311714,PXD042844,Leave-One-Cohort-Out,42,Condition,federated,uncorrected / federated
ccRCC (Predicted Target: Condition),uncorrected,MCC,0.1095184387857999,PDC000127,Leave-One-Cohort-Out,42,Condition,centralized,uncorrected / centralized
ccRCC (Predicted Target: Condition),uncorrected,MCC,0.9313459986639429,PXD030344,Leave-One-Cohort-Out,42,Condition,centralized,uncorrected / centralized
ccRCC (Predicted Target: Condition),uncorrected,MCC,0.9741359834018584,PXD042844,Leave-One-Cohort-Out,42,Condition,centralized,uncorrected / centralized
ccRCC (Predicted Target: Condition),corrected,MCC,0.9383719262217848,PDC000127,Leave-One-Cohort-Out,42,Condition,federated,corrected / federated
ccRCC (Predicted Target: Condition),corrected,MCC,0.9440444481573034,PXD030344,Leave-One-Cohort-Out,42,Condition,federated,corrected / federated
ccRCC (Predicted Target: Condition),corrected,MCC,0.9738367658276124,PXD042844,Leave-One-Cohort-Out,42,Condition,federated,corrected / federated
ccRCC (Predicted Target: Condition),corrected,MCC,0.9383719262217848,PDC000127,Leave-One-Cohort-Out,42,Condition,centralized,corrected / centralized
ccRCC (Predicted Target: Condition),corrected,MCC,0.9439742863654778,PXD030344,Leave-One-Cohort-Out,42,Condition,centralized,corrected / centralized
ccRCC (Predicted Target: Condition),corrected,MCC,0.982683655311714,PXD042844,Leave-One-Cohort-Out,42,Condition,centralized,corrected / centralized
ccRCC (Predicted Target: Condition),uncorrected,MCC,0.663250066447293,PDC000127,Leave-One-Cohort-Out,43,Condition,federated,uncorrected / federated
ccRCC (Predicted Target: Condition),uncorrected,MCC,0.9357708755708916,PXD030344,Leave-One-Cohort-Out,43,Condition,federated,uncorrected / federated
ccRCC (Predicted Target: Condition),uncorrected,MCC,0.9741359834018584,PXD042844,Leave-One-Cohort-Out,43,Condition,federated,uncorrected / federated
ccRCC (Predicted Target: Condition),uncorrected,MCC,0.0891882585015844,PDC000127,Leave-One-Cohort-Out,43,Condition,centralized,uncorrected / centralized
ccRCC (Predicted Target: Condition),uncorrected,MCC,0.9313459986639429,PXD030344,Leave-One-Cohort-Out,43,Condition,centralized,uncorrected / centralized
ccRCC (Predicted Target: Condition),uncorrected,MCC,0.9741359834018584,PXD042844,Leave-One-Cohort-Out,43,Condition,centralized,uncorrected / centralized
ccRCC (Predicted Target: Condition),corrected,MCC,0.9283444198266944,PDC000127,Leave-One-Cohort-Out,43,Condition,federated,corrected / federated
ccRCC (Predicted Target: Condition),corrected,MCC,0.9440444481573034,PXD030344,Leave-One-Cohort-Out,43,Condition,federated,corrected / federated
ccRCC (Predicted Target: Condition),corrected,MCC,0.9738367658276124,PXD042844,Leave-One-Cohort-Out,43,Condition,federated,corrected / federated
ccRCC (Predicted Target: Condition),corrected,MCC,0.9383719262217848,PDC000127,Leave-One-Cohort-Out,43,Condition,centralized,corrected / centralized
ccRCC (Predicted Target: Condition),corrected,MCC,0.9439742863654778,PXD030344,Leave-One-Cohort-Out,43,Condition,centralized,corrected / centralized
ccRCC (Predicted Target: Condition),corrected,MCC,0.982683655311714,PXD042844,Leave-One-Cohort-Out,43,Condition,centralized,corrected / centralized
ccRCC (Predicted Target: Condition),uncorrected,MCC,0.5928577036607445,PDC000127,Leave-One-Cohort-Out,44,Condition,federated,uncorrected / federated
ccRCC (Predicted Target: Condition),uncorrected,MCC,0.939969572725646,PXD030344,Leave-One-Cohort-Out,44,Condition,federated,uncorrected / federated
ccRCC (Predicted Target: Condition),uncorrected,MCC,0.991304347826087,PXD042844,Leave-One-Cohort-Out,44,Condition,federated,uncorrected / federated
ccRCC (Predicted Target: Condition),uncorrected,MCC,0.0891882585015844,PDC000127,Leave-One-Cohort-Out,44,Condition,centralized,uncorrected / centralized
ccRCC (Predicted Target: Condition),uncorrected,MCC,0.9313459986639429,PXD030344,Leave-One-Cohort-Out,44,Condition,centralized,uncorrected / centralized
ccRCC (Predicted Target: Condition),uncorrected,MCC,0.9741359834018584,PXD042844,Leave-One-Cohort-Out,44,Condition,centralized,uncorrected / centralized
ccRCC (Predicted Target: Condition),corrected,MCC,0.9283444198266944,PDC000127,Leave-One-Cohort-Out,44,Condition,federated,corrected / federated
ccRCC (Predicted Target: Condition),corrected,MCC,0.9440444481573034,PXD030344,Leave-One-Cohort-Out,44,Condition,federated,corrected / federated
ccRCC (Predicted Target: Condition),corrected,MCC,0.9738367658276124,PXD042844,Leave-One-Cohort-Out,44,Condition,federated,corrected / federated
ccRCC (Predicted Target: Condition),corrected,MCC,0.9383719262217848,PDC000127,Leave-One-Cohort-Out,44,Condition,centralized,corrected / centralized
ccRCC (Predicted Target: Condition),corrected,MCC,0.948311100205098,PXD030344,Leave-One-Cohort-Out,44,Condition,centralized,corrected / centralized
ccRCC (Predicted Target: Condition),corrected,MCC,0.982683655311714,PXD042844,Leave-One-Cohort-Out,44,Condition,centralized,corrected / centralized
ccRCC (Predicted Target: Condition),uncorrected,MCC,0.5909572153050001,PDC000127,Leave-One-Cohort-Out,45,Condition,federated,uncorrected / federated
ccRCC (Predicted Target: Condition),uncorrected,MCC,0.9397948669321318,PXD030344,Leave-One-Cohort-Out,45,Condition,federated,uncorrected / federated
ccRCC (Predicted Target: Condition),uncorrected,MCC,0.991304347826087,PXD042844,Leave-One-Cohort-Out,45,Condition,federated,uncorrected / federated
ccRCC (Predicted Target: Condition),uncorrected,MCC,0.0891882585015844,PDC000127,Leave-One-Cohort-Out,45,Condition,centralized,uncorrected / centralized
ccRCC (Predicted Target: Condition),uncorrected,MCC,0.9357708755708916,PXD030344,Leave-One-Cohort-Out,45,Condition,centralized,uncorrected / centralized
ccRCC (Predicted Target: Condition),uncorrected,MCC,0.9741359834018584,PXD042844,Leave-One-Cohort-Out,45,Condition,centralized,uncorrected / centralized
ccRCC (Predicted Target: Condition),corrected,MCC,0.9283444198266944,PDC000127,Leave-One-Cohort-Out,45,Condition,federated,corrected / federated
ccRCC (Predicted Target: Condition),corrected,MCC,0.9440444481573034,PXD030344,Leave-One-Cohort-Out,45,Condition,federated,corrected / federated
ccRCC (Predicted Target: Condition),corrected,MCC,0.9738367658276124,PXD042844,Leave-One-Cohort-Out,45,Condition,federated,corrected / federated
ccRCC (Predicted Target: Condition),corrected,MCC,0.9383719262217848,PDC000127,Leave-One-Cohort-Out,45,Condition,centralized,corrected / centralized
ccRCC (Predicted Target: Condition),corrected,MCC,0.948311100205098,PXD030344,Leave-One-Cohort-Out,45,Condition,centralized,corrected / centralized
ccRCC (Predicted Target: Condition),corrected,MCC,0.982683655311714,PXD042844,Leave-One-Cohort-Out,45,Condition,centralized,corrected / centralized
ccRCC (Predicted Target: Condition),uncorrected,MCC,0.6026018441803029,PDC000127,Leave-One-Cohort-Out,46,Condition,federated,uncorrected / federated
