Dataset	Target	K	Method	Seed	ARI
ecoli	condition	2	BC_Cntrl	1	-0.005105013182190712
ecoli	condition	2	BC_Cntrl	11	-0.005105013182190712
ecoli	condition	2	BC_Cntrl	21	-0.005105013182190712
ecoli	condition	2	BC_Cntrl	31	-0.005105013182190712
ecoli	condition	2	BC_Cntrl	41	-0.005105013182190712
ecoli	condition	2	BC_Cntrl	51	-0.005105013182190712
ecoli	condition	2	BC_Cntrl	61	-0.007971480913006881
ecoli	condition	2	BC_Cntrl	71	-0.005105013182190712
ecoli	condition	2	BC_Cntrl	81	-0.005105013182190712
ecoli	condition	2	BC_Cntrl	91	-0.005105013182190712
ovarian_cancer	condition	2	BC_Cntrl	1	0.10815516136599065
ovarian_cancer	condition	2	BC_Cntrl	11	0.10815516136599065
ovarian_cancer	condition	2	BC_Cntrl	21	0.10815516136599065
ovarian_cancer	condition	2	BC_Cntrl	31	0.14379095218602927
ovarian_cancer	condition	2	BC_Cntrl	41	0.10815516136599065
ovarian_cancer	condition	2	BC_Cntrl	51	0.10815516136599065
ovarian_cancer	condition	2	BC_Cntrl	61	0.10815516136599065
ovarian_cancer	condition	2	BC_Cntrl	71	0.10815516136599065
ovarian_cancer	condition	2	BC_Cntrl	81	0.10815516136599065
ovarian_cancer	condition	2	BC_Cntrl	91	0.10815516136599065
ccRCC_proteomics	condition	2	BC_Cntrl	1	-0.0002698925727955857
ccRCC_proteomics	condition	2	BC_Cntrl	11	-0.0002698925727955857
ccRCC_proteomics	condition	2	BC_Cntrl	21	-0.0002698925727955857
ccRCC_proteomics	condition	2	BC_Cntrl	31	-0.0002698925727955857
ccRCC_proteomics	condition	2	BC_Cntrl	41	-0.0002698925727955857
ccRCC_proteomics	condition	2	BC_Cntrl	51	-0.0002698925727955857
ccRCC_proteomics	condition	2	BC_Cntrl	61	-0.0002698925727955857
ccRCC_proteomics	condition	2	BC_Cntrl	71	-0.0002698925727955857
ccRCC_proteomics	condition	2	BC_Cntrl	81	-0.0002698925727955857
ccRCC_proteomics	condition	2	BC_Cntrl	91	-0.0002698925727955857
quartet_multiomics	condition	4	BC_Cntrl	1	-0.025673940949935817
quartet_multiomics	condition	4	BC_Cntrl	11	0.16186556927297668
quartet_multiomics	condition	4	BC_Cntrl	21	0.18624239588207767
quartet_multiomics	condition	4	BC_Cntrl	31	0.41975308641975306
quartet_multiomics	condition	4	BC_Cntrl	41	0.41975308641975306
quartet_multiomics	condition	4	BC_Cntrl	51	-0.06818181818181818
quartet_multiomics	condition	4	BC_Cntrl	61	0.36218998596162844
quartet_multiomics	condition	4	BC_Cntrl	71	0.1642675698560542
quartet_multiomics	condition	4	BC_Cntrl	81	0.18624239588207767
quartet_multiomics	condition	4	BC_Cntrl	91	0.0650994575045208
ecoli	condition	2	AC_Cntrl	1	1.0
ecoli	condition	2	AC_Cntrl	11	1.0
ecoli	condition	2	AC_Cntrl	21	1.0
ecoli	condition	2	AC_Cntrl	31	1.0
ecoli	condition	2	AC_Cntrl	41	1.0
