Experiment	Min difference	Mean difference	Max difference
Simulated Balanced	0.0	1.6528690403685303e-15	5.1514348342607263e-14
Simulated Balanced (SMPC)	0.0	2.5928124105000723e-15	5.684341886080802e-14
Simulated Mildly Imbalanced	0.0	1.9193302919257403e-15	5.3290705182007514e-14
Simulated Mildly Imbalanced (SMPC)	0.0	3.050885956456097e-15	6.039613253960852e-14
Simulated Strongly Imbalanced	0.0	2.438809746451159e-15	5.684341886080802e-14
Simulated Strongly Imbalanced (SMPC)	0.0	6.4194222398571106e-15	6.750155989720952e-14
E. coli	0.0	3.242955029826638e-14	1.9184653865522705e-13
E. coli (SMPC)	0.0	3.391066529252302e-14	2.4868995751603507e-13
Quartet	0.0	2.99501160523262e-14	1.8829382497642655e-13
Quartet (SMPC)	0.0	3.853722377328289e-14	9.201528428093297e-13
Multiomics Transcriptomics	0.0	2.0951850858128925e-15	4.796163466380676e-14
Multiomics Transcriptomics (SMPC)	0.0	2.4190528256340356e-14	1.432187701766452e-13
Multiomics Proteomics	0.0	2.5841314427659043e-15	5.684341886080802e-14
Multiomics Proteomics (SMPC)	0.0	2.880595768713433e-14	3.446132268436486e-13
Multiomics Metabolomics	0.0	1.609797324133129e-14	6.039613253960852e-14
Multiomics Metabolomics (SMPC)	0.0	2.7800575265609807e-14	1.3145040611561853e-13
Ovarian cancer	0.0	3.885596705206745e-15	7.993605777301127e-14
Ovarian cancer (SMPC)	0.0	1.5001344970201388e-14	1.580957587066223e-13
ccRCC E. coli	0.0	1.601579372626698e-15	5.1514348342607263e-14
ccRCC E. coli (SMPC)	0.0	2.78553686022188e-15	1.2820300376858995e-13
