file	HGSC
GSM139377	1
GSM139378	1
GSM139379	1
GSM139380	1
GSM139381	1
GSM139382	1
GSM139383	1
GSM139384	1
GSM139385	1
GSM139386	1
GSM139387	1
GSM139388	1
GSM139389	1
GSM139390	1
GSM139391	1
GSM139392	1
GSM139393	1
GSM139394	1
GSM139395	1
GSM139396	1
GSM139397	1
GSM139398	1
GSM139399	1
GSM139400	1
GSM139401	1
GSM139402	1
GSM139403	1
GSM139404	1
GSM139405	1
GSM139406	1
GSM139407	1
GSM139408	1
GSM139409	1
GSM139410	1
GSM139411	1
GSM139412	1
GSM139413	1
GSM139414	1
GSM139415	1
GSM139416	1
GSM139417	1
GSM139418	1
GSM139419	1
GSM139420	1
GSM139421	1
GSM139422	1
GSM139423	1
GSM139424	1
GSM139425	1
GSM139426	1
GSM139427	1
GSM139428	1
GSM139429	1
GSM139430	1
GSM139431	1
GSM139432	1
GSM139433	1
GSM139434	1
GSM139435	1
GSM139436	1
GSM139437	1
GSM139438	1
GSM139439	1
GSM139440	1
GSM139441	1
GSM139442	1
GSM139443	1
GSM139444	1
GSM139445	1
GSM139446	1
GSM139447	1
GSM139448	1
GSM139449	1
GSM139450	1
GSM139451	1
GSM139452	1
GSM139453	1
GSM139454	1
GSM139455	1
GSM139456	1
GSM139457	1
GSM139458	1
GSM139459	1
GSM139460	1
GSM139461	1
GSM139462	1
GSM139463	1
GSM139464	1
GSM139465	1
GSM139466	1
GSM139467	1
GSM139468	1
GSM139469	1
GSM139470	1
GSM139471	1
GSM139472	1
GSM139473	1
GSM139474	1
GSM139475	1
GSM139476	0
GSM139477	0
GSM139478	0
GSM139479	0
