"MSP"	"SRS9032198"	"SRS9032196"	"SRS9032195"	"SRS9032194"	"SRS9032193"	"SRS9032191"	"SRS9032190"	"SRS9032188"	"SRS9032186"	"SRS9032183"	"SRS9032182"	"SRS9032181"	"SRS9032180"	"SRS9032179"	"SRS9032177"	"SRS9032176"	"SRS9032175"	"SRS9032172"	"SRS9032170"	"SRS9032169"	"SRS9032165"	"SRS9032162"	"SRS9032161"	"SRS9032159"	"SRS9032158"	"SRS9032157"	"SRS9032156"	"SRS9032155"	"SRS9032154"	"SRS9032153"	"SRS9032152"	"SRS9032151"	"SRS9032149"	"SRS9032148"	"SRS9032147"	"SRS9032146"	"SRS9032145"	"SRS9032144"	"SRS9032141"	"SRS9032140"	"SRS9032139"	"SRS9032138"	"SRS9032135"	"SRS9032134"	"SRS9032133"	"SRS9032131"	"SRS9032130"	"SRS9032128"	"SRS9032127"	"SRS9032126"	"SRS9032121"	"SRS9032120"	"SRS9032119"	"SRS9032116"	"SRS9032114"	"SRS9032113"	"SRS9032112"	"SRS9032111"	"SRS9032104"	"SRS9032102"	"SRS9032101"	"SRS9032098"	"SRS9032097"	"SRS9032096"	"SRS9032095"	"SRS9032094"	"SRS9032093"	"SRS9032092"	"SRS9032091"	"SRS9032090"	"SRS9032089"	"SRS9032088"	"SRS9032086"	"SRS9032085"	"SRS9032084"	"SRS9032083"	"SRS9032082"	"SRS9032081"	"SRS9032079"	"SRS9032078"	"SRS9032075"	"SRS9032074"	"SRS9032072"	"SRS9032070"	"SRS9032069"	"SRS9032068"	"SRS9032067"	"SRS9032066"	"SRS9032065"	"SRS9032058"	"SRS9032056"	"SRS9032055"	"SRS9032053"	"SRS9032052"	"SRS9032051"	"SRS9032050"	"SRS9032047"	"SRS9032046"	"SRS9032044"	"SRS9032042"	"SRS9032041"	"SRS9032039"	"SRS9032038"	"SRS9032036"
"msp_0003"	0	441	259	0	17	0	126	0	0	0	35	0	16	8	579	152	563	910	0	36	2932	2199	93	16	1172	0	0	0	0	0	0	0	0	20	74	0	0	0	0	0	122	0	0	0	0	167	707	4212	433	0	0	422	257	361	1481	33	8686	3425	9	131	5182	0	745	0	9	0	0	0	0	0	1758	0	0	0	20	1685	482	613	11	9418	197	1242	48	262	13401	7655	472	0	0	1196	9795	7	1565	370	16	108	1607	4257	2367	0	1044	0	0	0
"msp_0005"	91537	60372	28856	1822	4665	2615	20948	1706	16450	1238	203	418470	0	12	68053	9067	246	3084	1576	6255	268	876	343	7747	167155	135779	1984	5489	3064	8223	114	38064	541	76	1145	170	9196	628	37530	146203	23987	2325	47716	2182	59068	118	5498	23968	1586	6721	110634	18654	76509	2968	13929	13828	7	1077	333	365	2699	273341	209	188	1666	3936	6093	970	1007	628	3562	15849	12681	1175	69	36	228008	85	10087	198547	127	8144	181205	116301	0	1351	195671	334	5736	370	264	106	531	56489	3206	6746	136070	774	21133	13489	55	134	48122	5637
"msp_0007"	2218	1378	164	108	57	66859	3612	249	3275	0	86	0	121	31	3088	244	2098	15771	1999	2733	209	13578	490	97	220	111	164	3067	223	775	367	180	4218	1843	406	48	619	113	0	0	324	2995	164	27	55	594	714	6003	1540	814	21525	17828	127	22236	1037	3254	742	362	49	315	2671	0	8	428	0	203	18	1088	0	18	1340	189	49	11	229	50	25	934	289	13260	304	30	274	0	5097	18397	416	2340	1029	66	620	3436	2560	958	2945	1168	4903	6674	545	277	115	1052	29	4094
"msp_0008"	2332	0	632	0	0	0	10	3074	1451	0	29	0	847	7	10334	464	40394	2389	0	0	4280	1186	690	18	3757	451	0	3712	0	28	0	0	0	53	67	0	6360	0	0	0	532	0	17	0	0	9374	860	858	8	0	0	779	68	37	10515	238	53	490	0	0	19536	0	579	0	125	0	10	0	0	14	707	0	14	0	0	4307	72	18	11	2925	0	74	770	288	24	3887	130	554	0	0	0	2000	3402	18	273	0	21	3579	26	0	0	1819	114	0
"msp_0009"	243	43	49	1005	16	36	23	67	1160	0	19	0	10	0	676	116	507	37	1491	239	204	374	290	28	740	124	0	473	813	360	21	101	0	0	369	0	49	11	53	75	16	1502	47	107	22	516	44	22	370	3392	7047	66	23	2882	248	732	55	291	48	52	802	627	60	1413	38	286	2635	8281	0	101	57	165	37	73	139	189	410	31	288	97	24	671	1185	127	159	22366	1211	2335	412	135	3855	81	1435	2296	188	5407	1121	1754	192	0	300	585	27342	132
"msp_0010"	9	3754	0	0	0	6491	0	1079	3677	0	5	0	23	0	0	0	0	0	2394	1270	1474	31	513	0	1112	107	0	0	0	0	0	0	0	186	91	0	0	5	28	0	0	73	1052	72	0	0	36	40	108	19565	18	11056	145	9323	2333	9815	0	259	0	0	678	0	2413	0	203	0	8	6	0	3135	10245	16522	16	106	0	0	0	52	0	10818	0	0	0	0	26	7732	810	0	176	0	0	17169	5337	8714	0	0	11798	3728	465	0	0	14953	30724	742
"msp_0011"	3574	3423	287	291	19	2896	273	2048	2171	0	4	4	318	65	962	401	9627	9203	5304	1870	3667	2916	1133	117	8684	2005	0	770	364	65	547	43	2543	314	247	7	40	8	7	91	169	2560	540	235	0	27632	702	6142	457	4466	25062	33569	171	13920	1062	2168	7456	2445	112	686	6688	0	322	384	73	113	19	465	0	97	885	302	17	7	266	3142	241	2632	1755	3500	2489	1054	43	165	642	2673	922	7553	3984	3531	1949	9601	2421	14847	1375	2571	2748	980	372	99	2518	3301	6954	3143
"msp_0012"	1442	1419	441	51	101	0	3675	9538	1833	16	18	6	120	86	10971	3443	38118	3662	11019	1445	2520	1043	317	192	4906	1473	395	712	986	607	604	63	5429	232	205	59	1193	350	6	57	47	652	3073	197	0	2397	694	5648	14533	36153	19	8462	566	10735	4588	16848	3242	5027	152	149	2956	199	1247	188	693	244	211	147	0	318	1368	701	19	23	167	710	187	1462	3588	1391	975	241	358	223	4725	24382	1258	0	6844	6786	6950	4007	3876	21106	8436	13149	8125	4087	816	336	2888	13352	10835	2247
"msp_0013"	28486	382	184	15	16418	11	0	3130	0	0	234	65	0	10	7131	0	931	284	602	0	3621	3805	46267	16	0	0	229	427	16234	0	22	0	0	1265	11	0	3877	1592	646	60	3730	0	0	85	337	2171	17941	3161	17	0	2852	0	494	0	3811	3100	0	0	5320	3632	13887	5	8636	19568	1442	2217	0	3567	53	1005	2502	7888	424	101	242	37	588	0	133	61	36	148	864	34	2504	0	0	0	4760	104	0	0	4503	0	1032	0	24	2311	4006	4460	2505	0	28	21
"msp_0014"	0	36	77	0	0	53	0	328	0	20	19	0	72	0	206	4	14	3658	0	0	6	0	0	5	55	187	11	111	187	0	0	0	0	0	456	0	10	0	8	0	113	68	0	16	0	28	4	16	0	15	0	0	9	13	11	153	17	0	30	26	1062	0	0	242	52	0	0	6284	0	159	28	0	2571	9	0	77	96	0	65	117	0	59	0	121	0	95	78	0	17	0	0	0	106	12	20	30	134	71	529	5	99	0	0	9
"msp_0015"	3434	9502	6949	2086	8472	51700	2254	8275	8431	0	1017	484	4099	659	9	2779	4155	15	10752	5205	2376	39	43988	18874	0	0	39343	0	139	8	2526	10551	307	17464	8908	645	3586	42922	986	0	2490	0	19	1047	26085	4	6135	1777	3425	222	8733	791	3103	0	11284	0	933	366	3468	66826	12	2803	17203	15313	6283	24975	1874	112	1664	14	60	3201	365	713	8459	5106	15793	0	3362	0	1036	21	2108	1781	15	10109	4376	0	583	0	32	1418	7866	349	6912	22	4	440	29871	1572	0	44	0	6940
"msp_0016"	0	0	6800	0	0	0	0	12146	0	0	52	0	543	0	3043	30099	0	1650	0	17128	0	0	0	1090	0	0	3486	0	6105	6233	0	0	2094	5668	0	4113	0	0	433	28	54	99272	0	0	284	8838	28160	21689	37	337	32	17	165	13	12	204490	0	508	1370	0	0	6	7659	0	1607	0	0	0	0	0	699	360	0	0	383	0	0	0	0	37077	0	0	0	751	48098	0	8064	0	6392	3343	35	0	0	0	6642	9854	0	8	142	42	0	48	138	27092
