"MSP"	"ERS436842"	"ERS436841"	"ERS436840"	"ERS436839"	"ERS436838"	"ERS436837"	"ERS436835"	"ERS436834"	"ERS436833"	"ERS436832"	"ERS436831"	"ERS436829"	"ERS436828"	"ERS436827"	"ERS436826"	"ERS436825"	"ERS436824"	"ERS436823"	"ERS436822"	"ERS436820"	"ERS436819"	"ERS436818"	"ERS436817"	"ERS436815"	"ERS436814"	"ERS436813"	"ERS436812"	"ERS436811"	"ERS436810"	"ERS436809"	"ERS436808"	"ERS436807"	"ERS436806"	"ERS436805"	"ERS436803"	"ERS436802"	"ERS436801"	"ERS436800"
"msp_0003"	1	0	12	117	0	14	1806	6248	0	7864	20	2283	15203	4	0	2671	33	23550	2942	2636	85	1870	58373	2458	96	208	80	3903	5	6	26877	8	20247	300	26	766	26	25
"msp_0005"	338	114	215	47	444	424	166	214	6126	20	766	5	208	52	97	17	6384	0	319	559	168	1442	181	105	602	105	518	20	19	1689	324	11694	142	19076	1768	3545	164	1745
"msp_0007"	12932	12134	1529	15893	6700	6158	62	842	3195	581	87	126	450	3492	2160	50821	79	329	169	3970	47	799	3054	2174	298	10422	265	4394	773	8587	14712	2282	10	5370	300	367	917	11857
"msp_0008"	0	0	1594	26	0	0	19	11818	0	5	1022	0	2	0	0	0	382	21	0	0	0	0	1042	12	0	0	599	86	0	0	4560	12697	0	215	0	0	0	0
"msp_0009"	133	6	105	13	52	14	7	152	0	79	9	180	71	67	93	2192	165	5210	521	734	113	37	254	52	30	576	163	0	28	0	4981	45	128	126	23	8	20	8183
"msp_0010"	1	802	0	0	0	196	412	3702	3296	0	0	0	0	1991	1544	6	0	4021	2032	21	1336	28	0	6	19	1012	0	5	106	7012	3419	0	2873	808	5278	0	5	0
"msp_0011"	10430	20	1303	7711	19519	1243	235	4	11566	5075	641	1243	2540	12262	3676	13637	48	4287	2445	1464	300	1264	2512	1998	2174	651	2085	1196	124	0	14480	3838	17	1268	175	3383	35	13220
"msp_0012"	10929	5098	4215	2653	10761	983	2414	5754	4365	6641	607	897	5521	16195	5152	36	8569	131	4735	3985	349	1700	11563	6238	1739	6842	4208	2513	14	1693	10158	4692	4416	1918	3684	2622	1322	21
"msp_0013"	15927	12989	5275	16	5008	12749	33	9124	10937	13360	7111	29	25485	6139	76342	19	24640	9240	6885	28	6	3316	45645	91642	601	29	13187	2011	3905	28358	23944	17333	29733	16	260	3449	11791	152
"msp_0014"	0	0	68	0	24	0	8	99	0	112	0	58	5	26	16	6	88	58	26	490	5	30	405	0	0	0	1070	4	0	556	100	359	66	85	8	16	14	0
