"MSP"	"ERS848745"	"ERS848744"	"ERS848743"	"ERS848742"	"ERS848741"	"ERS848740"	"ERS848738"	"ERS848736"	"ERS848734"	"ERS848731"	"ERS848730"	"ERS848729"	"ERS848728"	"ERS848727"	"ERS848724"	"ERS848723"	"ERS848722"	"ERS848721"	"ERS848717"	"ERS848715"	"ERS848714"	"ERS848713"	"ERS848710"	"ERS848709"	"ERS848708"	"ERS848707"	"ERS848706"	"ERS848705"	"ERS848704"	"ERS848701"	"ERS848700"	"ERS848699"	"ERS848698"	"ERS848695"	"ERS848692"	"ERS848690"	"ERS848689"	"ERS848688"	"ERS848686"	"ERS848684"	"ERS848682"	"ERS848681"	"ERS848680"	"ERS848679"	"ERS848678"	"ERS848677"	"ERS848675"	"ERS848673"	"ERS848672"	"ERS848668"	"ERS848666"	"ERS848665"	"ERS848664"	"ERS848663"	"ERS848662"	"ERS848661"	"ERS848660"	"ERS848659"	"ERS848658"	"ERS848656"	"ERS848655"	"ERS848654"	"ERS848653"	"ERS848652"	"ERS848651"	"ERS848650"	"ERS848649"	"ERS848648"	"ERS848645"	"ERS848640"	"ERS848635"	"ERS848633"	"ERS848631"	"ERS848630"	"ERS848629"	"ERS848622"	"ERS848621"	"ERS848620"	"ERS848619"	"ERS848618"
"msp_0003"	279	331	1532	389	328	6	1067	21	104	1457	16074	32	755	59	1176	4320	288	369	0	3617	2578	0	125	3492	465	1836	1131	2155	102	4518	661	686	5636	322	6841	260	105	8603	2028	0	244	677	2223	781	5049	683	1080	3741	439	124	46	691	833	619	59	15	94	0	27	956	1264	331	1221	0	9050	0	2766	82	2128	2814	4907	110	13	2994	347	478	1223	10	1207	495
"msp_0005"	172624	462	612	12902	214	237523	27945	944	3138	14645	34	154	337	510	310	42	3448	8	50270	2304	30211	183	459	58	122	20	1274	1061	281662	6	838	37	3908	502	4091	8945	634	8641	2465	2325	43	18965	159398	8494	22317	1722	168145	2188	16343	103	662	5818	2146	644	2193	59	2477	235	59	1497	1242	228	2799	7012	68	1320	4398	5526	4172	1379	116001	707	2861	14436	680	750	3606	2274	676	64027
"msp_0007"	42	1478	264	20	105	11	14225	888	644	884	4363	154	168	957	2072	4754	30950	471	34	205	262	10279	2160	2226	267	260	1476	1327	88	183	2755	8165	4076	2744	2187	1237	248	1284	4885	6498	151	600	956	896	6055	13073	4313	8312	133	85	11380	159	5884	63	602	2626	4527	9595	104	284	183	154	111	660	22497	106	4689	355	3077	9611	8585	1976	3462	4527	595	1859	122	408	14710	151
"msp_0008"	0	1381	523	0	0	0	3386	0	6112	1208	5	273	2308	1653	3250	2208	54	862	0	1311	7193	0	31	68	343	371	1845	7919	123	2991	5997	461	6487	0	242	7	73	96	32	0	1078	1112	6475	93	2487	1809	227	3370	521	5164	0	1407	4157	1597	59	133	303	548	20	1816	1900	0	4	0	92	0	32	99	1532	12610	0	0	11	3259	99	1794	3	66	22	251
"msp_0009"	3677	144	264	42	0	28	28	175	183	222	223	0	27	444	287	18	142	1083	123	2550	114	572	44	0	44	116	214	496	162	113	22	223	17	42	15	98	121	176	28	1422	62	26	39	11	313	85	65	22	59	43	593	55	42	84	0	115	1784	1581	0	47	74	136	53	1291	93	0	1594	27	390	240	218	3136	1767	62	9	207	1237	28	149	16
"msp_0010"	0	287	0	1076	0	17	3334	0	2186	17	15	8161	253	1102	560	12255	164	9	6	0	16747	2096	0	1683	6	5553	8	1592	408	0	144	1740	0	70	2055	0	916	0	147	364	6	7	943	9	0	2557	5146	0	50	5	22554	4	7099	13	79	10	4	16642	993	67	4599	11739	53	5	2328	167	3007	10846	865	31762	0	5	24935	0	43	3269	3425	649	132	1092
"msp_0011"	2241	2991	4476	695	779	26	3901	10116	3683	436	3386	951	522	3285	5227	5518	10502	2437	2612	3833	3592	10652	1688	6536	695	4704	1359	4482	907	458	577	2263	8933	1474	1785	299	93	7867	423	11009	3190	2068	3316	302	2096	1466	2417	2448	1311	4459	4544	942	1545	565	84	354	215	5888	18	665	3084	168	518	28432	602	108	3382	301	2877	5854	4383	219	1347	4910	1026	790	1168	275	4465	569
"msp_0012"	615	1799	561	134	66	20	5502	870	8578	4938	6993	1375	1606	5628	17283	15942	16222	1285	9	2069	7795	2595	178	9036	381	4660	1218	2788	709	2874	1176	5835	6161	198	3475	283	259	3651	721	3458	1378	1816	2124	1089	1201	1228	1358	2663	160	656	27759	516	590	4453	142	1173	1391	2620	442	346	6346	8174	1377	1470	3485	280	2476	1740	3287	88794	4119	8345	831	2064	827	2347	1512	1917	987	1448
"msp_0013"	4	7024	0	6951	7	9	144	0	0	11	11	2832	45	8227	67	24	0	241	60429	56	14	13015	9	2112	2363	1521	5699	437	2473	981	3637	7931	0	217	181	445	0	28435	6017	100903	119	1697	360	7557	58771	14	10	13928	18936	11492	40	8273	61070	936	1072	84	7693	38131	220	371	126	198	505	6	21	2617	8	84	3849	99	242	247	0	46259	16	723	13	13	0	314
"msp_0014"	0	76	17	0	10	0	22	0	91	0	559	0	0	42	625	0	6	0	0	709	1222	0	0	4	0	13	29	10	13	9	19	34	16	0	0	157	0	48	7	134	8	28	25	4	47	153	9	45	178	64	0	35	58	94	0	39	5	139	0	40	23	460	0	0	25	0	0	58	458	25	366	16470	2825	306	6	48	123	345	0	27
