"MSP"	"ERS848745"	"ERS848744"	"ERS848743"	"ERS848742"	"ERS848741"	"ERS848740"	"ERS848739"	"ERS848738"	"ERS848737"	"ERS848736"	"ERS848735"	"ERS848734"	"ERS848733"	"ERS848731"	"ERS848730"	"ERS848729"	"ERS848728"	"ERS848727"	"ERS848726"	"ERS848725"	"ERS848724"	"ERS848723"	"ERS848722"	"ERS848721"	"ERS848720"	"ERS848717"	"ERS848716"	"ERS848715"	"ERS848714"	"ERS848713"	"ERS848711"	"ERS848710"	"ERS848709"	"ERS848708"	"ERS848707"	"ERS848706"	"ERS848705"	"ERS848704"	"ERS848703"	"ERS848702"	"ERS848701"	"ERS848700"	"ERS848699"	"ERS848698"	"ERS848697"	"ERS848696"	"ERS848695"	"ERS848694"	"ERS848693"	"ERS848692"	"ERS848691"	"ERS848690"	"ERS848689"	"ERS848688"	"ERS848686"	"ERS848685"	"ERS848684"	"ERS848683"	"ERS848682"	"ERS848681"	"ERS848680"	"ERS848679"	"ERS848678"	"ERS848677"	"ERS848676"	"ERS848675"	"ERS848673"	"ERS848672"	"ERS848671"	"ERS848670"	"ERS848669"	"ERS848668"	"ERS848667"	"ERS848666"	"ERS848665"	"ERS848664"	"ERS848663"	"ERS848662"	"ERS848661"	"ERS848660"	"ERS848659"	"ERS848658"	"ERS848657"	"ERS848656"	"ERS848655"	"ERS848654"	"ERS848653"	"ERS848652"	"ERS848651"	"ERS848650"	"ERS848649"	"ERS848648"	"ERS848647"	"ERS848645"	"ERS848642"	"ERS848641"	"ERS848640"	"ERS848638"	"ERS848636"	"ERS848635"	"ERS848633"	"ERS848631"	"ERS848630"	"ERS848629"	"ERS848628"	"ERS848626"	"ERS848622"	"ERS848621"	"ERS848620"	"ERS848619"	"ERS848618"
"msp_0003"	279	331	1532	389	328	6	157	1067	545	21	9255	104	1983	1457	16074	32	755	59	15	23	1176	4320	288	369	0	0	0	3617	2578	0	2431	125	3492	465	1836	1131	2155	102	0	2863	4518	661	686	5636	1661	12	322	588	0	6841	77	260	105	8603	2028	6	0	6087	244	677	2223	781	5049	683	45	1080	3741	439	0	0	282	124	0	46	691	833	619	59	15	94	0	27	0	956	1264	331	1221	0	9050	0	2766	82	774	2128	1910	6	2814	9	6	4907	110	13	2994	347	5	4417	478	1223	10	1207	495
"msp_0005"	172624	462	612	12902	214	237523	404	27945	14886	944	30	3138	661	14645	34	154	337	510	1878	136	310	42	3448	8	49	50270	861	2304	30211	183	30681	459	58	122	20	1274	1061	281662	25	294	6	838	37	3908	178461	5019	502	2281	343	4091	2113	8945	634	8641	2465	3147	2325	1054	43	18965	159398	8494	22317	1722	793	168145	2188	16343	4850	41313	7053	103	253478	662	5818	2146	644	2193	59	2477	235	59	16241	1497	1242	228	2799	7012	68	1320	4398	5526	924	4172	3167	378380	1379	2076	5582	116001	707	2861	14436	680	130	180352	750	3606	2274	676	64027
"msp_0007"	42	1478	264	20	105	11	1336	14225	7393	888	13781	644	51	884	4363	154	168	957	6926	112	2072	4754	30950	471	51	34	3781	205	262	10279	6650	2160	2226	267	260	1476	1327	88	7927	20468	183	2755	8165	4076	3838	1978	2744	402	7559	2187	2644	1237	248	1284	4885	163	6498	17008	151	600	956	896	6055	13073	702	4313	8312	133	4274	0	8803	85	11	11380	159	5884	63	602	2626	4527	9595	104	2357	284	183	154	111	660	22497	106	4689	355	17182	3077	6993	61	9611	3509	6534	8585	1976	3462	4527	595	35275	5005	1859	122	408	14710	151
"msp_0008"	0	1381	523	0	0	0	0	3386	0	0	6391	6112	0	1208	5	273	2308	1653	0	19741	3250	2208	54	862	7	0	0	1311	7193	0	0	31	68	343	371	1845	7919	123	0	0	2991	5997	461	6487	153	0	0	450	183	242	82182	7	73	96	32	12	0	0	1078	1112	6475	93	2487	1809	36	227	3370	521	0	0	36	5164	0	0	1407	4157	1597	59	133	303	548	20	0	1816	1900	0	4	0	92	0	32	99	3739	1532	21559	13	12610	7	14	0	0	11	3259	99	14	101	1794	3	66	22	251
"msp_0009"	3677	144	264	42	0	28	328	28	6322	175	5306	183	441	222	223	0	27	444	1354	1071	287	18	142	1083	2455	123	375	2550	114	572	1480	44	0	44	116	214	496	162	78	157	113	22	223	17	3290	213	42	208	1106	15	5382	98	121	176	28	0	1422	1034	62	26	39	11	313	85	18	65	22	59	782	7434	23	43	82	593	55	42	84	0	115	1784	1581	0	2801	47	74	136	53	1291	93	0	1594	27	333	390	822	97	240	7	1638	218	3136	1767	62	9	129	262	207	1237	28	149	16
"msp_0010"	0	287	0	1076	0	17	2089	3334	95	0	5535	2186	28104	17	15	8161	253	1102	3356	13571	560	12255	164	9	743	6	11	0	16747	2096	29	0	1683	6	5553	8	1592	408	0	0	0	144	1740	0	0	58	70	0	36	2055	19910	0	916	0	147	0	364	0	6	7	943	9	0	2557	4928	5146	0	50	0	242329	36	5	44	22554	4	7099	13	79	10	4	16642	993	0	67	4599	11739	53	5	2328	167	3007	10846	5	865	1844	87	31762	646	313	0	5	24935	0	43	0	55	3269	3425	649	132	1092
"msp_0011"	2241	2991	4476	695	779	26	3620	3901	2982	10116	7698	3683	5368	436	3386	951	522	3285	1658	7	5227	5518	10502	2437	1532	2612	3537	3833	3592	10652	1197	1688	6536	695	4704	1359	4482	907	3619	6996	458	577	2263	8933	4811	1719	1474	815	3402	1785	27245	299	93	7867	423	1059	11009	7173	3190	2068	3316	302	2096	1466	628	2417	2448	1311	765	0	1424	4459	5	4544	942	1545	565	84	354	215	5888	18	757	665	3084	168	518	28432	602	108	3382	301	18519	2877	19396	366	5854	17675	826	4383	219	1347	4910	1026	25	3746	790	1168	275	4465	569
"msp_0012"	615	1799	561	134	66	20	1389	5502	1431	870	8681	8578	17155	4938	6993	1375	1606	5628	2565	14	17283	15942	16222	1285	3394	9	3628	2069	7795	2595	8862	178	9036	381	4660	1218	2788	709	12434	2724	2874	1176	5835	6161	393	689	198	1522	14535	3475	55111	283	259	3651	721	1725	3458	7173	1378	1816	2124	1089	1201	1228	13571	1358	2663	160	973	0	1231	656	15	27759	516	590	4453	142	1173	1391	2620	442	4614	346	6346	8174	1377	1470	3485	280	2476	1740	14330	3287	2348	119	88794	6521	40469	4119	8345	831	2064	827	2839	6893	2347	1512	1917	987	1448
"msp_0013"	4	7024	0	6951	7	9	0	144	0	0	657	0	10	11	11	2832	45	8227	8	31786	67	24	0	241	6	60429	164	56	14	13015	11	9	2112	2363	1521	5699	437	2473	11470	4	981	3637	7931	0	4542	10065	217	6	26	181	5748	445	0	28435	6017	2514	100903	0	119	1697	360	7557	58771	14	6	10	13928	18936	0	6	6	11492	53	40	8273	61070	936	1072	84	7693	38131	220	11	371	126	198	505	6	21	2617	8	84	143	3849	488	722	99	0	6	242	247	0	46259	16	809	97	723	13	13	0	314
"msp_0014"	0	76	17	0	10	0	36	22	0	0	137	91	152	0	559	0	0	42	408	79	625	0	6	0	0	0	0	709	1222	0	0	0	4	0	13	29	10	13	0	0	9	19	34	16	0	144	0	326	39	0	0	157	0	48	7	0	134	0	8	28	25	4	47	153	0	9	45	178	0	0	0	64	0	0	35	58	94	0	39	5	139	0	0	40	23	460	0	0	25	0	0	58	0	458	0	13	25	0	162	366	16470	2825	306	6	0	14	48	123	345	0	27
