"MSP"	"SRS2821229"	"SRS2821227"	"SRS2821226"	"SRS2821225"	"SRS2821224"	"SRS2821223"	"SRS2821222"	"SRS2821221"	"SRS2821218"	"SRS2821217"	"SRS2821215"	"SRS2821213"	"SRS2821212"	"SRS2821210"	"SRS2821207"	"SRS2821206"	"SRS2821205"	"SRS2821204"	"SRS2821020"	"SRS2821017"	"SRS2821016"	"SRS2821015"	"SRS2821014"	"SRS2821012"	"SRS2821011"	"SRS2821009"	"SRS2821008"	"SRS2821007"	"SRS2821006"	"SRS2821005"	"SRS2821004"	"SRS2821003"	"SRS2821002"	"SRS2821001"	"SRS2820998"	"SRS2820997"	"SRS2820996"	"SRS2820994"	"SRS2820993"	"SRS2820991"	"SRS2820990"	"SRS2820986"	"SRS2820979"	"SRS2820976"	"SRS2820975"	"SRS2820974"	"SRS2820972"	"SRS2820967"	"SRS2820965"	"SRS2820964"	"SRS2820963"	"SRS2820962"	"SRS2820960"	"SRS2820959"	"SRS2820958"	"SRS2820957"	"SRS2820956"	"SRS2820953"	"SRS2820952"	"SRS2820951"	"SRS2820950"	"SRS2820949"	"SRS2820947"	"SRS2820946"	"SRS2820943"	"SRS2820942"	"SRS2820941"	"SRS2820940"	"SRS2820939"	"SRS2820937"	"SRS2820936"	"SRS2820935"	"SRS2820933"	"SRS2820932"	"SRS2820929"	"SRS2820928"	"SRS2820926"	"SRS2820924"	"SRS2820923"	"SRS2820917"	"SRS2820914"	"SRS2820910"	"SRS2820909"	"SRS2820902"	"SRS2820901"	"SRS2820898"	"SRS2820897"	"SRS2820896"	"SRS2820895"	"SRS2820894"	"SRS2816074"	"SRS2816073"	"SRS2816071"	"SRS2816070"	"SRS2816066"	"SRS2816065"	"SRS2816062"	"SRS2816052"	"SRS2816048"	"SRS2816045"	"SRS2816044"	"SRS2815679"	"SRS2815673"
"msp_0003"	0	230	1909	0	440	531	530	53	1258	252	3789	210	1832	11	0	1113	1163	0	2337	20	163	26	1249	0	0	217	52	35	605	24	60	93	21751	62	0	68	2012	19	289	0	3914	45	5303	12	2289	0	830	25136	299	2647	38	0	27	39	3445	320	0	4042	121	10	0	331	3462	0	0	0	515	0	114	2960	1240	594	1645	0	62	1772	9	47	0	9180	37	104	1078	44	188	13	670	97	1304	6432	18206	2118	227	111	483	2237	357	3785	0	2340	2016	2372	11
"msp_0005"	4577	1917	394	748	2032	1613	1847	3966	514	293	1969	99	176	104	4349	13	71	255	3289	13538	10536	5045	684	11159	12239	5029	1859	131597	5773	1918	5850	580	2166	270	23271	4378	2155	107	5543	357	20668	217	76	4174	11967	2187	412	1255	26378	3324	10786	70397	584	4028	3180	4417	2082	51	210	342	958	1225	90	7490	868	4152	306	3923	1349	5117	713	7320	4119	285	101831	29255	559	29	5552	92	603	384	2079	544	979	3760	1547	306	311	2170	5010	333	60	757	425	467	1102	7	1322	5638	352	172	191
"msp_0007"	20	5816	91	1701	850	3124	1051	103	3503	508	2019	88	12024	2808	1202	4023	1166	595	22769	913	884	2953	2572	71	544	1997	296	197	1436	7671	239	2013	8492	245	1433	362	863	4939	1333	1485	7279	4880	1229	9888	6780	675	11494	6210	2876	2302	20658	9040	804	8814	6795	65	998	190	115	1447	19600	1356	10888	1193	3826	3813	13339	764	4446	2449	8912	2479	1673	4551	341	2331	41135	3128	273	1588	2220	1868	1814	2156	2839	528	880	4746	4182	4893	1307	7221	3161	7661	492	1998	340	6180	3502	963	6700	439	2464
"msp_0008"	0	2674	311	26261	599	1006	3099	551	2274	398	2864	950	1159	2420	14	1749	229	0	952	28	53	1648	0	39	0	0	41	9	0	0	31	82	1057	123	0	1066	0	0	99	0	0	82	4259	0	4586	0	4511	7	348	56	11	0	6448	0	44	366	5152	2019	174	71	8176	45	17243	50	49	1371	435	122	2045	0	299	1467	20	11	10	2573	0	237	161	3841	106	364	418	2542	0	0	131	0	12638	149	13	263	0	1110	2714	0	47	336	0	3711	0	1256	0
"msp_0009"	193	484	15	1604	0	55	118	377	73	43	49	0	130	21	24	104	28	22	355	50	172	45	83	198	337	21	0	27	145	5461	27	15	369	17	21	162	953	204	37	376	74	114	179	1593	80	34	42	72	149	43	883	429	25	347	96	42	49	64	103	0	837	103	66	365	860	353	84	35	438	1260	170	16	423	258	0	89	27	14	0	18	17	24	286	0	121	20	78	77	150	708	421	42	49	108	35	66	0	48	14	139	0	103	21
"msp_0010"	0	445	8403	2501	17	42	87	2546	436	39	49	78	328	1427	780	14	58	0	86	1123	1342	190	123	95	17718	71	87	132	97	4041	137	100	115	177	15	4425	25	1562	23	28	19	6276	0	359	5332	618	0	2382	66375	2585	120	0	218	8661	4691	1698	9	8	27	154	28454	317	0	1405	2456	17	3901	6	12433	19	10	10	28	6128	9	3524	58	61	0	0	6052	751	46	67	275	7	359	2486	1779	1009	3979	1197	9603	60	7131	1657	18	8072	6	528	1955	23	14
"msp_0011"	48	6226	6707	15861	496	4664	4992	826	7038	969	743	268	3793	1099	709	1103	4163	107	6057	920	1869	1537	5868	3364	443	1822	127	140	925	6113	466	595	5864	308	4042	2500	6004	2997	1420	4579	718	1846	4947	4015	3144	270	10689	1735	3161	1363	11485	14189	2091	2693	12768	1124	7204	2355	2140	304	6867	1067	7146	1003	3500	7230	31116	2383	4360	8873	854	1672	8523	11223	1645	746	5373	686	82	11368	1899	1107	9298	805	3198	619	800	86	6454	33212	1740	2290	635	1713	57	1000	6227	2138	9460	3557	25095	7739	552
"msp_0012"	48	3088	4571	9224	933	3376	2974	5599	3416	900	2680	741	1132	1686	355	1342	3483	348	6974	1944	2935	3486	1674	8129	3279	2283	705	18472	3063	23258	1577	352	8246	487	2362	3391	10779	2207	3599	8549	16	4047	6760	3828	2146	767	1110	8266	6799	1850	4541	9057	2096	1897	1391	1027	3780	7045	1214	1904	12332	2347	3794	2626	6153	13257	4462	2682	3744	11354	3431	6508	6527	3191	2141	3467	11459	1585	717	10212	862	3597	12194	2190	8141	2129	2263	2194	2248	12972	16454	3549	3002	2796	4377	1868	2730	1462	2482	7203	5088	6059	954
"msp_0013"	10	98714	2089	4235	28202	93	8953	86	11	117	347	11916	53896	20961	2192	20179	51	290	26705	24	34	456	11823	13	6	92	29	46	2293	22	45	3577	288	1347	6432	9	99	9734	0	9	0	0	12	34	0	0	23473	28	190	2427	28	0	3304	26	502	2870	18511	12	22472	179	118	0	370	327	62943	72	798	10	6326	356	11542	0	20	2493	1156	1513	31005	22	25	0	187	3140	29	104	0	0	8028	0	8	0	14149	32	73847	32	180	103711	2627	784	3493	0	30	2188	11
"msp_0014"	10	0	0	0	0	0	36	21	48	0	39	0	112	0	58	0	0	0	0	6	24	0	8	7	8	0	0	25	7	0	7	5	27	0	11	46	107	0	0	65	0	14	25	436	7	0	0	48	111	0	0	962	37	33	0	0	0	0	6	0	108	0	0	22	17	0	0	0	101	0	0	10	34	0	0	6	0	0	0	7	0	7	0	0	0	0	7	15	63	11	69	0	11	0	26	40	0	14	0	90	0	10	0
"msp_0015"	8	43	424	28929	7397	7389	25119	4932	4126	1215	20804	5662	33	9197	3998	8709	8027	8585	1659	29	7883	11286	18646	53	1567	279	881	29	3956	21	1575	4475	3352	299	2441	4777	910	1353	18592	8	15101	0	7108	2812	1682	6821	86	495	4672	1780	26	0	6291	15	30	14	3118	525	21911	2022	46	406	6300	3258	11464	34546	13682	533	482	5600	12350	1448	346	13590	388	4067	4405	9	8389	3430	6224	450	1404	1927	4503	38	17556	8964	119	20	26837	909	228	522	2803	9269	352	5853	0	0	8	2357	451
"msp_0016"	693	391	17990	299	169	11529	23194	338426	215	10753	143	15452	82510	48251	10298	31690	203	9205	425	475	3032	30352	233	61	64	395	402	879	94593	107760	28086	56458	8234	2067	11759	21901	42	1113	1229	44	39	24843	24	182	26442	12388	7176	395	407	420	462	0	3957	118260	502	93	89870	31142	153604	31278	271	43	79	89810	3387	259	129757	83072	4031	128	95	25583	402	132438	1529	1597	215	18191	1992	13683	3521	1954	44277	213	96935	21052	127052	97	20	31509	14972	34458	91944	9101	0	93826	18643	23157	48951	9930	175	63558	67
"msp_0017"	0	39	14	1171	83	733	399	165	84	28	656	198	738	2855	0	468	6112	0	7100	20	4565	383	21	2010	595	29	663	30	3249	15	20	12	479	12	49	0	5078	368	0	0	145	13	8442	43	495	3892	144	12	80	474	19	0	26	3909	24	14721	10054	859	42	2501	101337	8	3011	33508	448	297	142	22	858	15577	6149	70	21726	135	1818	167	400	1160	1375	85	0	21	586	0	15757	2021	5212	5389	97	0	256	4572	59	0	0	11	403	0	19	88	0	0	82
"msp_0018"	0	28	0	7	0	10	7	0	25	10	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	22	0	0	0	0	0	33	97	0	8	8	0	61	0	0	0	0	0	0	0	0	229	2337	0	9	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	34	888	95	0	0	0	0	0	0	0	16	0	0	0	0
"msp_0020"	0	520	0	483	0	0	68	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	24	0	0	0	0	0	10	0	0	0	0	0	0	123	0	0	0	0	0	0	76	0	0	23	0	87	0	190	0	0	48	0	0	0	0	23	0	121	0	0	15	24	0	0	0	25	43	44	0	0	9	0	0	0	0	0	0	0	0	0	0	12	0	0	14	0	0	0	0	0	0	0	0	0	0	0	304	109	0	0
"msp_0021"	30	1598	3458	29	2394	274	472	1826	78	117	417	1018	1216	15	996	6132	3227	146	234	165	1365	183	5402	375	2663	932	147	80	820	93	478	126	920	127	858	194	4394	599	499	1052	36	437	3382	5710	530	897	5317	295	316	650	11865	5322	250	385	2403	2429	36	749	2480	106	6592	3862	1282	274	24197	22733	1922	1597	1076	21	17119	2374	30904	5425	592	3603	992	1161	62	1616	35	11	1697	33	117	462	1588	1585	616	18050	2890	212	218	9872	1053	1706	2750	33	5334	188	7643	19778	105
"msp_0022"	18	25957	7412	36601	2529	354	4159	0	1740	0	6622	116	33	4950	0	0	14	375	10	280	8	1038	368	3765	0	16	5	13	1059	11	73	179	22	224	344	57	976	0	0	58	0	185	21411	0	0	0	0	16	29	21	26	0	77	12	22	2288	55	7326	1488	437	0	2924	29103	0	0	123	13	7	259	18	17	1309	25	9	442	2397	0	777	0	955	484	112	778	816	2640	572	28	28	35330	34	26	83	14	345	0	0	3464	696	0	1638	20	12	5899
"msp_0023"	151	1378	9921	1651	251	1361	819	15	9784	555	1826	84	12	713	6006	6247	190	235	4099	51	1178	7755	9031	4398	2170	842	91	13768	277	1731	190	1016	6960	334	7092	12320	20	2978	1969	5734	8907	1805	7768	10454	6971	1429	0	975	6306	67	63	708	2265	3555	58	3252	12	629	2534	158	91	4535	10225	5682	32176	5754	9	539	7668	5665	8318	2042	13144	31	176	4532	21931	90	167	320	443	6271	386	3856	4294	5367	1959	4053	5688	15	31212	10268	10933	6344	8095	5765	65	3304	1201	18547	31	530	913
"msp_0024"	0	181	0	344	0	13	14	0	32	0	0	0	430	24	0	0	0	0	73	14	38	0	55	12	0	8	0	17	56	202	7	5	28	0	12	40	71	30	13	280	476	49	28	755	66	0	30	18	34	21	1547	552	9	77	20	11	0	0	10	0	243	11	24	448	618	146	125	0	823	18	8	0	107	21	0	0	24	0	0	24	0	10	15	0	28	28	19	31	40	108	874	0	282	0	13	8	0	20	8	248	0	51	28
