"rowname"	"B1_DDA_ABS_QTOF6600_B1_D5_1"	"B1_DDA_ABS_QTOF6600_B1_D5_2"	"B1_DDA_ABS_QTOF6600_B1_D5_3"	"B1_DDA_ABS_QTOF6600_B1_D6_1"	"B1_DDA_ABS_QTOF6600_B1_D6_2"	"B1_DDA_ABS_QTOF6600_B1_D6_3"	"B1_DDA_ABS_QTOF6600_B1_F7_1"	"B1_DDA_ABS_QTOF6600_B1_F7_2"	"B1_DDA_ABS_QTOF6600_B1_F7_3"	"B1_DDA_ABS_QTOF6600_B1_M8_1"	"B1_DDA_ABS_QTOF6600_B1_M8_2"	"B1_DDA_ABS_QTOF6600_B1_M8_3"	"B1_DDA_APT_QE-HFX_B1_D5_1"	"B1_DDA_APT_QE-HFX_B1_D5_2"	"B1_DDA_APT_QE-HFX_B1_D5_3"	"B1_DDA_APT_QE-HFX_B1_D6_1"	"B1_DDA_APT_QE-HFX_B1_D6_2"	"B1_DDA_APT_QE-HFX_B1_D6_3"	"B1_DDA_APT_QE-HFX_B1_F7_1"	"B1_DDA_APT_QE-HFX_B1_F7_2"	"B1_DDA_APT_QE-HFX_B1_F7_3"	"B1_DDA_APT_QE-HFX_B1_M8_1"	"B1_DDA_APT_QE-HFX_B1_M8_2"	"B1_DDA_APT_QE-HFX_B1_M8_3"	"B1_DDA_FDU_Lumos_B1_D5_1"	"B1_DDA_FDU_Lumos_B1_D5_2"	"B1_DDA_FDU_Lumos_B1_D5_3"	"B1_DDA_FDU_Lumos_B1_D6_1"	"B1_DDA_FDU_Lumos_B1_D6_2"	"B1_DDA_FDU_Lumos_B1_D6_3"	"B1_DDA_FDU_Lumos_B1_F7_1"	"B1_DDA_FDU_Lumos_B1_F7_2"	"B1_DDA_FDU_Lumos_B1_F7_3"	"B1_DDA_FDU_Lumos_B1_M8_1"	"B1_DDA_FDU_Lumos_B1_M8_2"	"B1_DDA_FDU_Lumos_B1_M8_3"	"B1_DDA_FDU_QE-HFX_B4_D5_1"	"B1_DDA_FDU_QE-HFX_B4_D5_2"	"B1_DDA_FDU_QE-HFX_B4_D5_3"	"B1_DDA_FDU_QE-HFX_B4_D6_1"	"B1_DDA_FDU_QE-HFX_B4_D6_2"	"B1_DDA_FDU_QE-HFX_B4_D6_3"	"B1_DDA_FDU_QE-HFX_B4_F7_1"	"B1_DDA_FDU_QE-HFX_B4_F7_2"	"B1_DDA_FDU_QE-HFX_B4_F7_3"	"B1_DDA_FDU_QE-HFX_B4_M8_1"	"B1_DDA_FDU_QE-HFX_B4_M8_2"	"B1_DDA_FDU_QE-HFX_B4_M8_3"
"AARS"	5.86735416666667	6.48835416666667	6.20935416666667	5.94035416666667	5.98835416666667	5.73035416666667	6.09235416666667	6.19535416666667	6.17635416666667	5.27635416666667	6.19035416666667	5.92535416666667	6.06077083333333	5.95877083333333	6.26377083333333	6.27977083333333	6.01977083333333	5.98977083333333	6.41377083333333	5.90777083333333	6.19877083333333	5.39977083333333	5.64777083333333	5.93977083333333	6.4111875	5.9341875	6.1831875	6.1531875	5.9411875	5.7941875	6.1561875	6.0901875	6.0801875	5.8481875	5.7661875	5.7221875	5.9636875	6.0826875	6.2866875	5.9896875	6.0976875	6.1256875	6.2446875	6.0896875	6.2586875	5.6966875	5.5866875	5.6576875
"AARS2"	1.88875	1.84075	-4.16725	-4.16725	0.62475	-4.16725	-4.16725	2.54375	1.21175	-4.16725	1.21975	-4.16725	-0.903500000000001	-0.825500000000001	-0.841500000000001	-1.2275	-1.6505	-1.1125	-1.5475	-2.1825	-0.291500000000001	-1.8875	-2.0545	-1.1495	-2.872	-1.987	0.98	-6.156	-1.046	0.931	-6.156	-0.511	0.313	-2.297	4.53	-1.403	-0.876249999999999	-1.51225	-1.57625	-1.56925	-1.54125	-1.34225	-1.38925	-1.12825	-1.61725	-1.17225	-1.41825	-0.531249999999999
"AASDHPPT"	4.61054166666667	-1.92945833333333	3.90054166666667	-1.92945833333333	4.17754166666667	-1.92945833333333	-1.92945833333333	-1.92945833333333	-1.92945833333333	-1.92945833333333	-1.92945833333333	-1.92945833333333	-0.421791666666666	-0.965791666666666	-0.109791666666666	-0.0547916666666661	0.521208333333334	0.504208333333334	-0.788791666666666	-0.280791666666666	0.106208333333334	-1.11379166666667	-1.39079166666667	-0.681791666666666	0.0158749999999996	0.180874999999999	0.0508749999999996	-1.191125	-0.278125	-1.741125	0.219875	-0.881125	-0.232125	-1.226125	0.676875	-0.271125000000001	-0.182624999999999	-0.155624999999999	-0.287624999999999	-0.602624999999999	-0.414624999999999	-0.285624999999999	-0.048624999999999	-0.152624999999999	-0.665624999999999	-0.759624999999999	-0.846624999999999	-0.274624999999999
"AATF"	3.74391666666667	-0.509083333333334	4.18891666666667	3.93891666666667	1.94291666666667	4.44791666666667	-4.28508333333333	-4.28508333333333	-4.28508333333333	0.458916666666666	-4.28508333333333	-4.28508333333333	-3.35183333333333	1.89416666666667	1.61116666666667	-1.66083333333333	-1.65383333333333	-7.19983333333333	-2.15683333333333	1.58416666666667	2.08016666666667	1.38216666666667	2.58016666666667	1.67816666666667	-0.770583333333333	0.367416666666667	2.17641666666667	-0.945583333333333	-6.87758333333333	1.65841666666667	2.30841666666667	-2.71058333333333	-0.426583333333333	1.94941666666667	-2.37458333333333	2.43241666666667	0.2375	-0.3265	-0.000499999999999723	0.1825	-0.1125	0.3575	0.3305	-0.2975	-1.0985	0.1885	0.3535	-3.0275
"ABCB7"	-3.87516666666667	0.945833333333333	0.770833333333333	4.18083333333333	4.54783333333333	-3.87516666666667	-3.87516666666667	-3.87516666666667	4.23983333333333	4.81783333333333	-3.87516666666667	-3.87516666666667	1.21825	-7.03075	0.558250000000001	0.929250000000001	0.837250000000001	-0.349749999999999	-0.875749999999999	0.289250000000001	-0.266749999999999	0.649250000000001	0.480250000000001	-0.186749999999999	-0.276333333333333	-2.51633333333333	-0.288333333333333	0.210666666666666	0.196666666666666	-0.565333333333333	0.0756666666666664	-1.52633333333333	0.0786666666666666	0.134666666666667	0.454666666666666	0.273666666666667	-1.31975	0.770249999999999	0.0742499999999995	-0.163750000000001	-0.33475	-0.64975	-1.16175	-1.30675	-0.18975	0.22225	0.51725	-0.20575
"ABCE1"	3.63979166666667	4.17879166666667	3.82479166666667	3.83179166666667	3.38179166666667	2.94879166666667	3.16179166666667	4.22379166666667	4.01779166666667	3.86879166666667	3.71579166666667	3.51079166666667	3.32495833333333	4.08995833333333	4.10995833333333	3.93495833333333	4.16195833333333	4.15895833333333	3.89695833333333	3.93495833333333	2.81795833333333	2.69295833333333	3.46195833333333	3.71895833333333	3.52070833333333	3.60570833333333	3.81970833333333	3.45770833333333	3.54270833333333	3.78970833333333	3.32170833333333	3.93770833333333	3.95370833333333	3.66170833333333	3.73870833333333	3.95470833333333	3.53854166666667	3.31654166666667	3.60854166666667	3.92054166666667	3.64654166666667	3.27154166666667	4.05854166666667	4.22454166666667	3.81154166666667	3.83154166666667	3.39054166666667	3.68554166666667
"ABCF1"	3.6240625	3.6260625	2.8380625	3.0200625	2.4310625	2.8900625	3.2170625	3.9130625	2.6740625	2.8570625	2.9160625	3.1000625	2.6235625	2.6635625	2.9435625	3.7895625	2.3715625	3.2605625	3.5555625	3.4065625	3.3445625	3.1145625	2.6515625	3.3815625	3.23647916666667	2.88747916666667	3.55347916666667	2.68047916666667	3.09647916666667	2.95247916666667	2.77147916666667	2.98247916666667	3.32047916666667	2.81547916666667	3.17347916666667	3.63647916666667	2.97189583333333	3.70089583333333	3.43989583333333	3.04989583333333	3.53189583333333	3.51489583333333	3.26589583333333	2.88089583333333	3.34189583333333	2.29889583333333	2.78489583333333	2.32489583333333
"ABCF2"	1.4935625	2.5105625	2.7865625	2.3385625	1.2295625	1.6805625	1.5385625	0.8915625	0.8905625	1.4095625	2.0655625	2.0325625	2.1280625	2.5300625	2.4760625	0.4840625	2.1080625	1.1920625	2.4360625	2.0380625	-0.1769375	2.1820625	2.3600625	1.1100625	2.07697916666667	2.46497916666667	2.79997916666667	0.609979166666667	1.43097916666667	2.28397916666667	0.914979166666667	1.60197916666667	1.66397916666667	2.42997916666667	2.66197916666667	-0.072020833333333	2.15739583333333	1.65439583333333	1.83439583333333	1.52739583333333	1.44439583333333	2.20339583333333	1.51539583333333	1.34539583333333	1.54939583333333	2.18039583333333	2.14339583333333	1.31239583333333
"ABCF3"	-0.79125	2.75475	3.13675	-1.09025	2.98075	-0.19925	-4.84025	-4.84025	-4.84025	-4.84025	2.03575	-4.84025	-2.74866666666667	0.678333333333333	-2.05166666666667	-2.83666666666667	-0.361666666666667	-1.63566666666667	-8.22466666666667	3.60333333333333	-0.271666666666667	-0.811666666666667	-0.871666666666667	0.158333333333333	-0.849666666666666	-4.86666666666667	0.862333333333334	0.580333333333334	3.28833333333333	0.154333333333334	-4.86666666666667	-0.941666666666666	0.769333333333334	-4.86666666666667	-4.86666666666667	0.229333333333334	-2.05941666666667	-0.488416666666666	-0.896416666666666	-2.09741666666667	-2.32241666666667	-1.26441666666667	-1.86341666666667	-1.98441666666667	-0.914416666666666	-0.579416666666666	-0.401416666666666	-0.502416666666666
"ABHD10"	2.68379166666667	2.77579166666667	2.50379166666667	3.51379166666667	3.78479166666667	3.46979166666667	3.14779166666667	2.19879166666667	2.98079166666667	0.136791666666666	1.18179166666667	2.01679166666667	2.606125	2.041125	2.638125	2.406125	2.635125	2.377125	2.380125	2.421125	3.209125	2.344125	2.810125	2.526125	2.056625	2.087625	2.481625	2.819625	2.798625	3.578625	3.055625	2.630625	2.728625	2.210625	1.373625	2.572625	2.87445833333333	2.98945833333333	1.73445833333333	2.57145833333333	2.92445833333333	2.45845833333333	2.70345833333333	3.02145833333333	3.04945833333333	1.87845833333333	2.17245833333333	2.01645833333333
