"file"	"condition"	"batch"	"lab"	"platform"	"protocol"	"datatype"	"rep"	"date"	"client"	"batch_code"	"pseudo_sample"
"B1_DDA_ABS_QTOF6600_B1_D5_1"	"D5"	"ABS_QTOF6600_1"	"L01"	"ABS"	"not_available"	"Proteomics"	1	20180319	"client_01_L01"	"B01"	"client_01_L01_D5_1_1"
"B1_DDA_ABS_QTOF6600_B1_D5_2"	"D5"	"ABS_QTOF6600_1"	"L01"	"ABS"	"not_available"	"Proteomics"	2	20180319	"client_01_L01"	"B01"	"client_01_L01_D5_2_1"
"B1_DDA_ABS_QTOF6600_B1_D5_3"	"D5"	"ABS_QTOF6600_1"	"L01"	"ABS"	"not_available"	"Proteomics"	3	20180319	"client_01_L01"	"B01"	"client_01_L01_D5_3_1"
"B1_DDA_ABS_QTOF6600_B1_D6_1"	"D6"	"ABS_QTOF6600_1"	"L01"	"ABS"	"not_available"	"Proteomics"	1	20180319	"client_01_L01"	"B01"	"client_01_L01_D6_1_1"
"B1_DDA_ABS_QTOF6600_B1_D6_2"	"D6"	"ABS_QTOF6600_1"	"L01"	"ABS"	"not_available"	"Proteomics"	2	20180319	"client_01_L01"	"B01"	"client_01_L01_D6_2_1"
"B1_DDA_ABS_QTOF6600_B1_D6_3"	"D6"	"ABS_QTOF6600_1"	"L01"	"ABS"	"not_available"	"Proteomics"	3	20180319	"client_01_L01"	"B01"	"client_01_L01_D6_3_1"
"B1_DDA_ABS_QTOF6600_B1_F7_1"	"F7"	"ABS_QTOF6600_1"	"L01"	"ABS"	"not_available"	"Proteomics"	1	20180319	"client_01_L01"	"B01"	"client_01_L01_F7_1_1"
"B1_DDA_ABS_QTOF6600_B1_F7_2"	"F7"	"ABS_QTOF6600_1"	"L01"	"ABS"	"not_available"	"Proteomics"	2	20180319	"client_01_L01"	"B01"	"client_01_L01_F7_2_1"
"B1_DDA_ABS_QTOF6600_B1_F7_3"	"F7"	"ABS_QTOF6600_1"	"L01"	"ABS"	"not_available"	"Proteomics"	3	20180319	"client_01_L01"	"B01"	"client_01_L01_F7_3_1"
"B1_DDA_ABS_QTOF6600_B1_M8_1"	"M8"	"ABS_QTOF6600_1"	"L01"	"ABS"	"not_available"	"Proteomics"	1	20180319	"client_01_L01"	"B01"	"client_01_L01_M8_1_1"
"B1_DDA_ABS_QTOF6600_B1_M8_2"	"M8"	"ABS_QTOF6600_1"	"L01"	"ABS"	"not_available"	"Proteomics"	2	20180319	"client_01_L01"	"B01"	"client_01_L01_M8_2_1"
"B1_DDA_ABS_QTOF6600_B1_M8_3"	"M8"	"ABS_QTOF6600_1"	"L01"	"ABS"	"not_available"	"Proteomics"	3	20180319	"client_01_L01"	"B01"	"client_01_L01_M8_3_1"
"B1_DDA_APT_QE-HFX_B1_D5_1"	"D5"	"APT_QE-HFX_1"	"L02"	"TFQ"	"not_available"	"Proteomics"	1	20190702	"client_02_L02"	"B02"	"client_02_L02_D5_1_1"
"B1_DDA_APT_QE-HFX_B1_D5_2"	"D5"	"APT_QE-HFX_1"	"L02"	"TFQ"	"not_available"	"Proteomics"	2	20190702	"client_02_L02"	"B02"	"client_02_L02_D5_2_1"
"B1_DDA_APT_QE-HFX_B1_D5_3"	"D5"	"APT_QE-HFX_1"	"L02"	"TFQ"	"not_available"	"Proteomics"	3	20190702	"client_02_L02"	"B02"	"client_02_L02_D5_3_1"
"B1_DDA_APT_QE-HFX_B1_D6_1"	"D6"	"APT_QE-HFX_1"	"L02"	"TFQ"	"not_available"	"Proteomics"	1	20190702	"client_02_L02"	"B02"	"client_02_L02_D6_1_1"
"B1_DDA_APT_QE-HFX_B1_D6_2"	"D6"	"APT_QE-HFX_1"	"L02"	"TFQ"	"not_available"	"Proteomics"	2	20190702	"client_02_L02"	"B02"	"client_02_L02_D6_2_1"
"B1_DDA_APT_QE-HFX_B1_D6_3"	"D6"	"APT_QE-HFX_1"	"L02"	"TFQ"	"not_available"	"Proteomics"	3	20190702	"client_02_L02"	"B02"	"client_02_L02_D6_3_1"
"B1_DDA_APT_QE-HFX_B1_F7_1"	"F7"	"APT_QE-HFX_1"	"L02"	"TFQ"	"not_available"	"Proteomics"	1	20190702	"client_02_L02"	"B02"	"client_02_L02_F7_1_1"
"B1_DDA_APT_QE-HFX_B1_F7_2"	"F7"	"APT_QE-HFX_1"	"L02"	"TFQ"	"not_available"	"Proteomics"	2	20190702	"client_02_L02"	"B02"	"client_02_L02_F7_2_1"
"B1_DDA_APT_QE-HFX_B1_F7_3"	"F7"	"APT_QE-HFX_1"	"L02"	"TFQ"	"not_available"	"Proteomics"	3	20190702	"client_02_L02"	"B02"	"client_02_L02_F7_3_1"
"B1_DDA_APT_QE-HFX_B1_M8_1"	"M8"	"APT_QE-HFX_1"	"L02"	"TFQ"	"not_available"	"Proteomics"	1	20190702	"client_02_L02"	"B02"	"client_02_L02_M8_1_1"
"B1_DDA_APT_QE-HFX_B1_M8_2"	"M8"	"APT_QE-HFX_1"	"L02"	"TFQ"	"not_available"	"Proteomics"	2	20190702	"client_02_L02"	"B02"	"client_02_L02_M8_2_1"
"B1_DDA_APT_QE-HFX_B1_M8_3"	"M8"	"APT_QE-HFX_1"	"L02"	"TFQ"	"not_available"	"Proteomics"	3	20190702	"client_02_L02"	"B02"	"client_02_L02_M8_3_1"
"B1_DDA_FDU_Lumos_B1_D5_1"	"D5"	"FDU_Lumos_1"	"L05"	"TFF"	"not_available"	"Proteomics"	1	20180902	"client_03_L05_L04"	"B03"	"client_03_L05_L04_D5_1_1"
"B1_DDA_FDU_Lumos_B1_D5_2"	"D5"	"FDU_Lumos_1"	"L05"	"TFF"	"not_available"	"Proteomics"	2	20180902	"client_03_L05_L04"	"B03"	"client_03_L05_L04_D5_2_1"
"B1_DDA_FDU_Lumos_B1_D5_3"	"D5"	"FDU_Lumos_1"	"L05"	"TFF"	"not_available"	"Proteomics"	3	20180902	"client_03_L05_L04"	"B03"	"client_03_L05_L04_D5_3_1"
"B1_DDA_FDU_Lumos_B1_D6_1"	"D6"	"FDU_Lumos_1"	"L05"	"TFF"	"not_available"	"Proteomics"	1	20180902	"client_03_L05_L04"	"B03"	"client_03_L05_L04_D6_1_1"
"B1_DDA_FDU_Lumos_B1_D6_2"	"D6"	"FDU_Lumos_1"	"L05"	"TFF"	"not_available"	"Proteomics"	2	20180902	"client_03_L05_L04"	"B03"	"client_03_L05_L04_D6_2_1"
"B1_DDA_FDU_Lumos_B1_D6_3"	"D6"	"FDU_Lumos_1"	"L05"	"TFF"	"not_available"	"Proteomics"	3	20180902	"client_03_L05_L04"	"B03"	"client_03_L05_L04_D6_3_1"
"B1_DDA_FDU_Lumos_B1_F7_1"	"F7"	"FDU_Lumos_1"	"L05"	"TFF"	"not_available"	"Proteomics"	1	20180902	"client_03_L05_L04"	"B03"	"client_03_L05_L04_F7_1_1"
"B1_DDA_FDU_Lumos_B1_F7_2"	"F7"	"FDU_Lumos_1"	"L05"	"TFF"	"not_available"	"Proteomics"	2	20180902	"client_03_L05_L04"	"B03"	"client_03_L05_L04_F7_2_1"
"B1_DDA_FDU_Lumos_B1_F7_3"	"F7"	"FDU_Lumos_1"	"L05"	"TFF"	"not_available"	"Proteomics"	3	20180902	"client_03_L05_L04"	"B03"	"client_03_L05_L04_F7_3_1"
"B1_DDA_FDU_Lumos_B1_M8_1"	"M8"	"FDU_Lumos_1"	"L05"	"TFF"	"not_available"	"Proteomics"	1	20180902	"client_03_L05_L04"	"B03"	"client_03_L05_L04_M8_1_1"
"B1_DDA_FDU_Lumos_B1_M8_2"	"M8"	"FDU_Lumos_1"	"L05"	"TFF"	"not_available"	"Proteomics"	2	20180902	"client_03_L05_L04"	"B03"	"client_03_L05_L04_M8_2_1"
"B1_DDA_FDU_Lumos_B1_M8_3"	"M8"	"FDU_Lumos_1"	"L05"	"TFF"	"not_available"	"Proteomics"	3	20180902	"client_03_L05_L04"	"B03"	"client_03_L05_L04_M8_3_1"
"B1_DDA_FDU_QE-HFX_B4_D5_1"	"D5"	"FDU_QE-HFX_4"	"L05"	"TFQ"	"not_available"	"Proteomics"	1	20200704	"client_03_L05_L04"	"B04"	"client_03_L05_L04_D5_1_2"
"B1_DDA_FDU_QE-HFX_B4_D5_2"	"D5"	"FDU_QE-HFX_4"	"L05"	"TFQ"	"not_available"	"Proteomics"	2	20200704	"client_03_L05_L04"	"B04"	"client_03_L05_L04_D5_2_2"
"B1_DDA_FDU_QE-HFX_B4_D5_3"	"D5"	"FDU_QE-HFX_4"	"L05"	"TFQ"	"not_available"	"Proteomics"	3	20200704	"client_03_L05_L04"	"B04"	"client_03_L05_L04_D5_3_2"
"B1_DDA_FDU_QE-HFX_B4_D6_1"	"D6"	"FDU_QE-HFX_4"	"L05"	"TFQ"	"not_available"	"Proteomics"	1	20200704	"client_03_L05_L04"	"B04"	"client_03_L05_L04_D6_1_2"
"B1_DDA_FDU_QE-HFX_B4_D6_2"	"D6"	"FDU_QE-HFX_4"	"L05"	"TFQ"	"not_available"	"Proteomics"	2	20200704	"client_03_L05_L04"	"B04"	"client_03_L05_L04_D6_2_2"
"B1_DDA_FDU_QE-HFX_B4_D6_3"	"D6"	"FDU_QE-HFX_4"	"L05"	"TFQ"	"not_available"	"Proteomics"	3	20200704	"client_03_L05_L04"	"B04"	"client_03_L05_L04_D6_3_2"
"B1_DDA_FDU_QE-HFX_B4_F7_1"	"F7"	"FDU_QE-HFX_4"	"L05"	"TFQ"	"not_available"	"Proteomics"	1	20200704	"client_03_L05_L04"	"B04"	"client_03_L05_L04_F7_1_2"
"B1_DDA_FDU_QE-HFX_B4_F7_2"	"F7"	"FDU_QE-HFX_4"	"L05"	"TFQ"	"not_available"	"Proteomics"	2	20200704	"client_03_L05_L04"	"B04"	"client_03_L05_L04_F7_2_2"
"B1_DDA_FDU_QE-HFX_B4_F7_3"	"F7"	"FDU_QE-HFX_4"	"L05"	"TFQ"	"not_available"	"Proteomics"	3	20200704	"client_03_L05_L04"	"B04"	"client_03_L05_L04_F7_3_2"
"B1_DDA_FDU_QE-HFX_B4_M8_1"	"M8"	"FDU_QE-HFX_4"	"L05"	"TFQ"	"not_available"	"Proteomics"	1	20200704	"client_03_L05_L04"	"B04"	"client_03_L05_L04_M8_1_2"
"B1_DDA_FDU_QE-HFX_B4_M8_2"	"M8"	"FDU_QE-HFX_4"	"L05"	"TFQ"	"not_available"	"Proteomics"	2	20200704	"client_03_L05_L04"	"B04"	"client_03_L05_L04_M8_2_2"
"B1_DDA_FDU_QE-HFX_B4_M8_3"	"M8"	"FDU_QE-HFX_4"	"L05"	"TFQ"	"not_available"	"Proteomics"	3	20200704	"client_03_L05_L04"	"B04"	"client_03_L05_L04_M8_3_2"
"B1_DDA_TMO_Exploris480_B1_D5_1"	"D5"	"TMO_Exploris480_1"	"L14"	"TFQ"	"not_available"	"Proteomics"	1	20191008	"client_04_L03_L14"	"B05"	"client_04_L03_L14_D5_1_1"
"B1_DDA_TMO_Exploris480_B1_D5_2"	"D5"	"TMO_Exploris480_1"	"L14"	"TFQ"	"not_available"	"Proteomics"	2	20191008	"client_04_L03_L14"	"B05"	"client_04_L03_L14_D5_2_1"
"B1_DDA_TMO_Exploris480_B1_D5_3"	"D5"	"TMO_Exploris480_1"	"L14"	"TFQ"	"not_available"	"Proteomics"	3	20191008	"client_04_L03_L14"	"B05"	"client_04_L03_L14_D5_3_1"
"B1_DDA_TMO_Exploris480_B1_D6_1"	"D6"	"TMO_Exploris480_1"	"L14"	"TFQ"	"not_available"	"Proteomics"	1	20191008	"client_04_L03_L14"	"B05"	"client_04_L03_L14_D6_1_1"
"B1_DDA_TMO_Exploris480_B1_D6_2"	"D6"	"TMO_Exploris480_1"	"L14"	"TFQ"	"not_available"	"Proteomics"	2	20191008	"client_04_L03_L14"	"B05"	"client_04_L03_L14_D6_2_1"
"B1_DDA_TMO_Exploris480_B1_D6_3"	"D6"	"TMO_Exploris480_1"	"L14"	"TFQ"	"not_available"	"Proteomics"	3	20191008	"client_04_L03_L14"	"B05"	"client_04_L03_L14_D6_3_1"
"B1_DDA_TMO_Exploris480_B1_F7_1"	"F7"	"TMO_Exploris480_1"	"L14"	"TFQ"	"not_available"	"Proteomics"	1	20191008	"client_04_L03_L14"	"B05"	"client_04_L03_L14_F7_1_1"
