"rowname"	"U_L1_D5_01"	"U_L1_D5_02"	"U_L1_D5_03"	"U_L1_D6_01"	"U_L1_D6_02"	"U_L1_D6_03"	"U_L1_F7_01"	"U_L1_F7_02"	"U_L1_F7_03"	"U_L1_M8_01"	"U_L1_M8_02"	"U_L1_M8_03"	"U_L2_D5_01"	"U_L2_D5_02"	"U_L2_D5_03"	"U_L2_D6_01"	"U_L2_D6_02"	"U_L2_D6_03"	"U_L2_F7_01"	"U_L2_F7_02"	"U_L2_F7_03"	"U_L2_M8_01"	"U_L2_M8_02"	"U_L2_M8_03"	"T_L4_D5_01"	"T_L4_D5_02"	"T_L4_D5_03"	"T_L4_D6_01"	"T_L4_D6_02"	"T_L4_D6_03"	"T_L4_F7_01"	"T_L4_F7_02"	"T_L4_F7_03"	"T_L4_M8_01"	"T_L4_M8_02"	"T_L4_M8_03"	"U_L5_D5_01"	"U_L5_D5_02"	"U_L5_D5_03"	"U_L5_D6_01"	"U_L5_D6_02"	"U_L5_D6_03"	"U_L5_F7_01"	"U_L5_F7_02"	"U_L5_F7_03"	"U_L5_M8_01"	"U_L5_M8_02"	"U_L5_M8_03"	"U_L3_D5_01"	"U_L3_D5_02"	"U_L3_D5_03"	"U_L3_D6_01"	"U_L3_D6_02"	"U_L3_D6_03"	"U_L3_F7_01"	"U_L3_F7_02"	"U_L3_F7_03"	"U_L3_M8_01"	"U_L3_M8_02"	"U_L3_M8_03"	"U_L3_D5_04"	"U_L3_D5_05"	"U_L3_D5_06"	"U_L3_D6_04"	"U_L3_D6_05"	"U_L3_D6_06"	"U_L3_F7_04"	"U_L3_F7_05"	"U_L3_F7_06"	"U_L3_M8_04"	"U_L3_M8_05"	"U_L3_M8_06"
"HMDB0001844|2-Methylsuccinic acid"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.37	2.353	2.398	2.384	2.359	2.411	2.488	2.454	2.472	2.621	2.689	2.658	16.703	16.877	16.787	16.887	17.264	17.197	17.095	17.545	17.251	16.474	16.6	17.168	16.908	17.238	0	16.689	17.48	16.748	18.611	17.246	17.092	18.195	17.755	18.171	17.376	16.623	17.608	16.621	18.063	17.08	17.186	17.455	17.521	18.499	17.749	18.077
"HMDB0000357|3-Hydroxybutyric acid"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.805	3.796	3.778	4.299	4.14	4.21	4.221	4.051	4.106	4.14	4.259	4.264	18.068	17.535	16.634	16.546	17.262	18.442	17.089	17.466	17.817	18.866	17.221	17.119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"HMDB0000555|3-Methyladipic acid"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.18	2.121	2.141	2.23	2.263	2.23	2.186	2.239	2.284	2.22	2.403	2.446	14.486	14.267	14.382	13.545	13.932	14.499	13.794	13.325	13.973	14.286	14.469	14.248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"HMDB0000755|3-(4-Hydroxyphenyl)lactate (HPLA)"	13.071	13.114	13.014	12.953	12.967	12.673	12.849	12.859	13.309	13.104	13.284	13.613	13.19	14.007	13.856	12.716	13.192	13.285	12.881	13.46	13.341	13.916	13.964	14.255	3.251	3.2	3.373	3.373	3.281	3.183	3.189	3.126	2.934	3.417	3.288	3.536	0	0	0	0	0	0	0	0	0	0	0	0	20.564	20.503	20.427	20.372	20.431	20.371	20.303	20.303	20.356	20.732	20.867	20.861	20.525	20.513	20.416	20.282	20.297	20.359	20.295	20.341	20.349	20.757	20.798	20.825
"HMDB0003911|3-Amino isobutanoate"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.707	2.674	2.696	2.911	2.874	2.916	2.911	2.84	2.932	2.876	2.893	2.926	15.717	15.272	15.221	15.578	15.04	15.318	15.226	14.708	15.307	15.325	14.826	15.486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"HMDB0000752|3-Methylglutaric acid"	14.396	16.049	15.287	15.061	14.64	14.208	14.995	15.725	14.441	16.536	14.55	14.113	13.611	14.334	14.257	15.005	14.9	14.035	14.325	14.28	14.552	15.902	13.631	14.282	2.07	2.07	2.06	2.124	2.114	2.124	2.114	2.091	2.124	2.176	2.198	2.183	20.905	20.965	20.858	21.11	21.078	20.983	20.75	20.937	20.802	21.07	20.885	20.976	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"HMDB0000779|3-Phenyllactic acid"	0	0	0	0	0	0	0	0	0	0	0	0	11.009	10.898	10.463	10.951	10.761	11.37	10.3	10.965	10.662	9.868	11.152	10.595	1.305	1.239	1.269	1.618	1.692	1.722	1.401	1.48	1.48	1.459	1.526	1.531	12.462	12.504	12.893	13.315	13.762	13.558	12.776	12.029	12.019	12.54	12.869	12.936	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"HMDB0000112|4-Aminobutyrate"	12.857	13.006	12.872	12.883	12.916	12.788	12.488	12.351	12.394	12.999	13.187	13.36	13.897	13.861	13.834	13.602	13.773	13.998	13.521	13.401	13.52	13.845	13.929	13.87	5.741	5.975	5.751	5.617	5.855	5.72	5.202	5.179	5.29	6.239	6.397	6.452	15.81	15.362	15.637	15.671	15.553	15.785	14.681	15.193	14.182	15.338	15.359	15.187	23.284	23.195	23.24	23.343	23.21	23.1	22.42	22.514	22.612	23.73	23.498	23.581	23.095	23.061	22.846	23.195	23.138	23.07	22.505	22.504	22.334	23.635	23.572	23.574
"HMDB0001149|5-Aminolevulinic acid"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.165	4.13	3.983	3.964	3.881	3.955	4.276	4.24	3.972	4.381	4.578	4.538	15.408	15.193	15.624	16.503	16.512	16.669	16.553	16.083	16.264	14.732	16.549	16.155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"HMDB0000267|5-Oxoproline"	13.899	14.543	14.008	15.477	15.465	14.766	15.139	15.609	15.226	16.524	16.572	16.377	16.991	17.068	17.144	17.225	17.623	17.763	17.476	17.846	17.652	18.523	18.499	18.708	8.199	8.087	7.957	7.803	7.701	7.841	8.227	8.162	7.79	8.38	8.391	8.363	0	0	0	0	0	0	0	0	0	0	0	0	22.31	22.329	22.233	23.121	23.216	23.203	23.45	23.444	23.435	24.111	24.242	24.113	22.488	22.495	22.904	23.137	23.149	23.142	23.373	23.48	23.402	24.19	24.186	24.177
"HMDB0001397|5-GMP"	14.946	14.865	14.849	15.053	15.079	15.123	15.339	15.219	16.111	15.422	15.721	15.793	15.257	15.334	15.393	14.707	15.049	15.008	14.628	14.865	15.169	14.254	15.451	15.765	10.895	11.003	11.056	11.206	11.3	11.1	11.375	11.35	11.605	11.631	11.527	11.358	0	0	0	0	0	0	0	0	0	0	0	0	23.216	22.768	22.739	23.299	22.814	23.299	23.723	23.534	23.713	23.324	23.495	23.497	23.332	23.208	22.82	23.29	22.925	23.512	23.189	23.559	23.602	23.198	23.469	23.718
"HMDB0000201|Acetylcarnitine"	19.521	19.48	19.593	19.776	19.641	19.893	19.261	19.208	19.652	19.928	20.074	20.026	20.439	20.643	20.534	20.574	20.685	20.86	20.302	20.338	20.596	20.794	20.922	20.989	6.039	6.084	6.096	6.323	6.345	6.256	5.834	5.787	5.827	6.519	6.513	6.5	25.219	24.806	24.936	24.884	25.148	25.105	24.932	24.831	24.883	25.37	25.193	25.407	25.363	25.363	25.3	25.485	25.624	25.529	25.088	25.143	25.029	25.746	25.839	25.748	25.44	25.426	25.404	25.557	25.626	25.657	25.187	25.156	25.126	25.953	25.821	25.852
"HMDB0000532|Acetylglycine"	0	0	0	0	0	0	0	0	0	0	0	0	14.349	14.115	13.741	14.213	14.027	14.543	13.867	14.007	14.148	14.158	14.283	13.934	2.42	2.563	2.493	2.7	2.604	2.606	2.842	2.742	2.731	2.776	2.854	2.797	21.328	21.439	21.32	21.622	21.617	21.431	21.477	21.453	21.285	21.28	21.36	21.436	0	17.524	17.847	17.905	0	0	17.819	18.326	0	18.388	18.637	18.088	0	0	17.878	0	17.827	0	18.543	18.128	18.335	18.255	18.757	18.749
"HMDB0000045|Adenosine monophosphate"	12.028	15.656	14.807	15.036	14.32	15.175	15.489	17.815	14.464	18.333	18.532	15.527	21.39	21.697	21.579	20.81	20.709	21.521	20.849	20.989	21.498	21.358	21.727	22.343	10.25	10.347	10.371	10.241	10.218	10.114	10.248	10.251	10.331	10.508	10.447	10.503	0	0	0	0	0	0	0	0	0	0	0	0	26.622	26.638	26.433	25.989	25.989	25.929	26.076	26.154	26.081	26.601	26.853	26.72	26.557	26.491	26.356	25.823	25.845	25.958	26.036	26.033	25.961	26.705	26.65	26.683
"HMDB0000161|Alanine"	16.094	16.003	15.978	16.264	16.271	16.196	16.509	16.325	16.701	16.249	16.639	16.584	0	0	0	0	0	0	0	0	0	0	0	0	10.638	10.837	10.777	11.238	11.216	11.178	11.087	11.137	11.171	10.438	10.534	10.382	20.521	20.627	20.636	21.36	21.379	21.32	20.888	21.009	20.775	19.676	20.014	19.81	26.578	26.527	26.479	26.997	27.028	26.919	26.788	26.901	26.934	26.248	26.268	26.28	26.718	26.671	26.588	27.162	27.168	27.179	27.09	27.058	27.103	26.438	26.367	26.397
