"file"	"condition"	"batch"	"lab"	"platform"	"protocol"	"datatype"	"rep"	"date"	"client"	"batch_code"	"pseudo_sample"
"U_L1_D5_01"	"D5"	"U_L1_01"	"L01"	"U"	"not_available"	"Metabolomics"	1	20200601	"client_01_L01"	"B02"	"client_01_L01_D5_1_1"
"U_L1_D5_02"	"D5"	"U_L1_01"	"L01"	"U"	"not_available"	"Metabolomics"	2	20200601	"client_01_L01"	"B02"	"client_01_L01_D5_2_1"
"U_L1_D5_03"	"D5"	"U_L1_01"	"L01"	"U"	"not_available"	"Metabolomics"	3	20200601	"client_01_L01"	"B02"	"client_01_L01_D5_3_1"
"U_L1_D6_01"	"D6"	"U_L1_01"	"L01"	"U"	"not_available"	"Metabolomics"	1	20200601	"client_01_L01"	"B02"	"client_01_L01_D6_1_1"
"U_L1_D6_02"	"D6"	"U_L1_01"	"L01"	"U"	"not_available"	"Metabolomics"	2	20200601	"client_01_L01"	"B02"	"client_01_L01_D6_2_1"
"U_L1_D6_03"	"D6"	"U_L1_01"	"L01"	"U"	"not_available"	"Metabolomics"	3	20200601	"client_01_L01"	"B02"	"client_01_L01_D6_3_1"
"U_L1_F7_01"	"F7"	"U_L1_01"	"L01"	"U"	"not_available"	"Metabolomics"	1	20200601	"client_01_L01"	"B02"	"client_01_L01_F7_1_1"
"U_L1_F7_02"	"F7"	"U_L1_01"	"L01"	"U"	"not_available"	"Metabolomics"	2	20200601	"client_01_L01"	"B02"	"client_01_L01_F7_2_1"
"U_L1_F7_03"	"F7"	"U_L1_01"	"L01"	"U"	"not_available"	"Metabolomics"	3	20200601	"client_01_L01"	"B02"	"client_01_L01_F7_3_1"
"U_L1_M8_01"	"M8"	"U_L1_01"	"L01"	"U"	"not_available"	"Metabolomics"	1	20200601	"client_01_L01"	"B02"	"client_01_L01_M8_1_1"
"U_L1_M8_02"	"M8"	"U_L1_01"	"L01"	"U"	"not_available"	"Metabolomics"	2	20200601	"client_01_L01"	"B02"	"client_01_L01_M8_2_1"
"U_L1_M8_03"	"M8"	"U_L1_01"	"L01"	"U"	"not_available"	"Metabolomics"	3	20200601	"client_01_L01"	"B02"	"client_01_L01_M8_3_1"
"U_L2_D5_01"	"D5"	"U_L2_01"	"L02"	"U"	"not_available"	"Metabolomics"	1	20200509	"client_02_L02"	"B03"	"client_02_L02_D5_1_1"
"U_L2_D5_02"	"D5"	"U_L2_01"	"L02"	"U"	"not_available"	"Metabolomics"	2	20200509	"client_02_L02"	"B03"	"client_02_L02_D5_2_1"
"U_L2_D5_03"	"D5"	"U_L2_01"	"L02"	"U"	"not_available"	"Metabolomics"	3	20200509	"client_02_L02"	"B03"	"client_02_L02_D5_3_1"
"U_L2_D6_01"	"D6"	"U_L2_01"	"L02"	"U"	"not_available"	"Metabolomics"	1	20200509	"client_02_L02"	"B03"	"client_02_L02_D6_1_1"
"U_L2_D6_02"	"D6"	"U_L2_01"	"L02"	"U"	"not_available"	"Metabolomics"	2	20200509	"client_02_L02"	"B03"	"client_02_L02_D6_2_1"
"U_L2_D6_03"	"D6"	"U_L2_01"	"L02"	"U"	"not_available"	"Metabolomics"	3	20200509	"client_02_L02"	"B03"	"client_02_L02_D6_3_1"
