"rowname"	"B1_DDA_ABS_QTOF6600_B1_D5_1"	"B1_DDA_ABS_QTOF6600_B1_D5_2"	"B1_DDA_ABS_QTOF6600_B1_D5_3"	"B1_DDA_ABS_QTOF6600_B1_D6_1"	"B1_DDA_ABS_QTOF6600_B1_D6_2"	"B1_DDA_ABS_QTOF6600_B1_D6_3"	"B1_DDA_ABS_QTOF6600_B1_F7_1"	"B1_DDA_ABS_QTOF6600_B1_F7_2"	"B1_DDA_ABS_QTOF6600_B1_F7_3"	"B1_DDA_ABS_QTOF6600_B1_M8_1"	"B1_DDA_ABS_QTOF6600_B1_M8_2"	"B1_DDA_ABS_QTOF6600_B1_M8_3"	"B1_DDA_APT_QE-HFX_B1_D5_1"	"B1_DDA_APT_QE-HFX_B1_D5_2"	"B1_DDA_APT_QE-HFX_B1_D5_3"	"B1_DDA_APT_QE-HFX_B1_D6_1"	"B1_DDA_APT_QE-HFX_B1_D6_2"	"B1_DDA_APT_QE-HFX_B1_D6_3"	"B1_DDA_APT_QE-HFX_B1_F7_1"	"B1_DDA_APT_QE-HFX_B1_F7_2"	"B1_DDA_APT_QE-HFX_B1_F7_3"	"B1_DDA_APT_QE-HFX_B1_M8_1"	"B1_DDA_APT_QE-HFX_B1_M8_2"	"B1_DDA_APT_QE-HFX_B1_M8_3"	"B1_DDA_FDU_Lumos_B1_D5_1"	"B1_DDA_FDU_Lumos_B1_D5_2"	"B1_DDA_FDU_Lumos_B1_D5_3"	"B1_DDA_FDU_Lumos_B1_D6_1"	"B1_DDA_FDU_Lumos_B1_D6_2"	"B1_DDA_FDU_Lumos_B1_D6_3"	"B1_DDA_FDU_Lumos_B1_F7_1"	"B1_DDA_FDU_Lumos_B1_F7_2"	"B1_DDA_FDU_Lumos_B1_F7_3"	"B1_DDA_FDU_Lumos_B1_M8_1"	"B1_DDA_FDU_Lumos_B1_M8_2"	"B1_DDA_FDU_Lumos_B1_M8_3"	"B1_DDA_FDU_QE-HFX_B4_D5_1"	"B1_DDA_FDU_QE-HFX_B4_D5_2"	"B1_DDA_FDU_QE-HFX_B4_D5_3"	"B1_DDA_FDU_QE-HFX_B4_D6_1"	"B1_DDA_FDU_QE-HFX_B4_D6_2"	"B1_DDA_FDU_QE-HFX_B4_D6_3"	"B1_DDA_FDU_QE-HFX_B4_F7_1"	"B1_DDA_FDU_QE-HFX_B4_F7_2"	"B1_DDA_FDU_QE-HFX_B4_F7_3"	"B1_DDA_FDU_QE-HFX_B4_M8_1"	"B1_DDA_FDU_QE-HFX_B4_M8_2"	"B1_DDA_FDU_QE-HFX_B4_M8_3"
"AARS"	5.866	6.487	6.208	5.939	5.987	5.729	6.091	6.194	6.175	5.275	6.189	5.924	5.896	5.794	6.099	6.115	5.855	5.825	6.249	5.743	6.034	5.235	5.483	5.775	6.66	6.183	6.432	6.402	6.19	6.043	6.405	6.339	6.329	6.097	6.015	5.971	5.881	6	6.204	5.907	6.015	6.043	6.162	6.007	6.176	5.614	5.504	5.575
"AARS2"	-0.588	-0.636	-6.644	-6.644	-1.852	-6.644	-6.644	0.067	-1.265	-6.644	-1.257	-6.644	0.807	0.885	0.869	0.483	0.06	0.598	0.163	-0.472	1.419	-0.177	-0.344	0.561	-3.36	-2.475	0.492	-6.644	-1.534	0.443	-6.644	-0.999	-0.175	-2.785	4.042	-1.891	0.378	-0.258	-0.322	-0.315	-0.287	-0.088	-0.135	0.126	-0.363	0.082	-0.164	0.723
"AASDHPPT"	-0.104	-6.644	-0.814	-6.644	-0.537	-6.644	-6.644	-6.644	-6.644	-6.644	-6.644	-6.644	0.977	0.433	1.289	1.344	1.92	1.903	0.61	1.118	1.505	0.285	0.008	0.717	1.475	1.64	1.51	0.268	1.181	-0.282	1.679	0.578	1.227	0.233	2.136	1.188	1.674	1.701	1.569	1.254	1.442	1.571	1.808	1.704	1.191	1.097	1.01	1.582
"AATF"	1.385	-2.868	1.83	1.58	-0.416	2.089	-6.644	-6.644	-6.644	-1.9	-6.644	-6.644	-2.796	2.45	2.167	-1.105	-1.098	-6.644	-1.601	2.14	2.636	1.938	3.136	2.234	-0.537	0.601	2.41	-0.712	-6.644	1.892	2.542	-2.477	-0.193	2.183	-2.141	2.666	1.807	1.243	1.569	1.752	1.457	1.927	1.9	1.272	0.471	1.758	1.923	-1.458
"ABCB7"	-6.644	-1.823	-1.998	1.412	1.779	-6.644	-6.644	-6.644	1.471	2.049	-6.644	-6.644	1.605	-6.644	0.945	1.316	1.224	0.037	-0.489	0.676	0.12	1.036	0.867	0.2	0.673	-1.567	0.661	1.16	1.146	0.384	1.025	-0.577	1.028	1.084	1.404	1.223	0.113	2.203	1.507	1.269	1.098	0.783	0.271	0.126	1.243	1.655	1.95	1.227
"ABCE1"	3.064	3.603	3.249	3.256	2.806	2.373	2.586	3.648	3.442	3.293	3.14	2.935	3.664	4.429	4.449	4.274	4.501	4.498	4.236	4.274	3.157	3.032	3.801	4.058	3.296	3.381	3.595	3.233	3.318	3.565	3.097	3.713	3.729	3.437	3.514	3.73	4	3.778	4.07	4.382	4.108	3.733	4.52	4.686	4.273	4.293	3.852	4.147
"ABCF1"	3.018	3.02	2.232	2.414	1.825	2.284	2.611	3.307	2.068	2.251	2.31	2.494	2.765	2.805	3.085	3.931	2.513	3.402	3.697	3.548	3.486	3.256	2.793	3.523	3.81	3.461	4.127	3.254	3.67	3.526	3.345	3.556	3.894	3.389	3.747	4.21	2.863	3.592	3.331	2.941	3.423	3.406	3.157	2.772	3.233	2.19	2.676	2.216
"ABCF2"	0.656	1.673	1.949	1.501	0.392	0.843	0.701	0.054	0.053	0.572	1.228	1.195	3.557	3.959	3.905	1.913	3.537	2.621	3.865	3.467	1.252	3.611	3.789	2.539	1.134	1.522	1.857	-0.333	0.488	1.341	-0.028	0.659	0.721	1.487	1.719	-1.015	2.509	2.006	2.186	1.879	1.796	2.555	1.867	1.697	1.901	2.532	2.495	1.664
"ABCF3"	-2.595	0.951	1.333	-2.894	1.177	-2.003	-6.644	-6.644	-6.644	-6.644	0.232	-6.644	-1.168	2.259	-0.471	-1.256	1.219	-0.055	-6.644	5.184	1.309	0.769	0.709	1.739	-2.627	-6.644	-0.915	-1.197	1.511	-1.623	-6.644	-2.719	-1.008	-6.644	-6.644	-1.548	-0.059	1.512	1.104	-0.097	-0.322	0.736	0.137	0.016	1.086	1.421	1.599	1.498
"ABHD10"	1.56	1.652	1.38	2.39	2.661	2.346	2.024	1.075	1.857	-0.987	0.058	0.893	3.07	2.505	3.102	2.87	3.099	2.841	2.844	2.885	3.673	2.808	3.274	2.99	1.795	1.826	2.22	2.558	2.537	3.317	2.794	2.369	2.467	1.949	1.112	2.311	3.796	3.911	2.656	3.493	3.846	3.38	3.625	3.943	3.971	2.8	3.094	2.938
