"file"	"D5"	"F7"	"M8"	"batch"	"batch_code"	"condition"	"lab"	"platform"	"protocol"	"datatype"	"rep"	"date"	"pseudo_sample"
"B1_DDA_FDU_Lumos_B1_D5_1"	1	0	0	"FDU_Lumos_1"	"B03"	"D5"	"L05"	"TFF"	"not_available"	"Proteomics"	1	20180902	"client_03_L05_L04_D5_1_1"
"B1_DDA_FDU_Lumos_B1_D5_2"	1	0	0	"FDU_Lumos_1"	"B03"	"D5"	"L05"	"TFF"	"not_available"	"Proteomics"	2	20180902	"client_03_L05_L04_D5_2_1"
"B1_DDA_FDU_Lumos_B1_D5_3"	1	0	0	"FDU_Lumos_1"	"B03"	"D5"	"L05"	"TFF"	"not_available"	"Proteomics"	3	20180902	"client_03_L05_L04_D5_3_1"
"B1_DDA_FDU_Lumos_B1_D6_1"	0	0	0	"FDU_Lumos_1"	"B03"	"D6"	"L05"	"TFF"	"not_available"	"Proteomics"	1	20180902	"client_03_L05_L04_D6_1_1"
"B1_DDA_FDU_Lumos_B1_D6_2"	0	0	0	"FDU_Lumos_1"	"B03"	"D6"	"L05"	"TFF"	"not_available"	"Proteomics"	2	20180902	"client_03_L05_L04_D6_2_1"
"B1_DDA_FDU_Lumos_B1_D6_3"	0	0	0	"FDU_Lumos_1"	"B03"	"D6"	"L05"	"TFF"	"not_available"	"Proteomics"	3	20180902	"client_03_L05_L04_D6_3_1"
"B1_DDA_FDU_Lumos_B1_F7_1"	0	1	0	"FDU_Lumos_1"	"B03"	"F7"	"L05"	"TFF"	"not_available"	"Proteomics"	1	20180902	"client_03_L05_L04_F7_1_1"
"B1_DDA_FDU_Lumos_B1_F7_2"	0	1	0	"FDU_Lumos_1"	"B03"	"F7"	"L05"	"TFF"	"not_available"	"Proteomics"	2	20180902	"client_03_L05_L04_F7_2_1"
"B1_DDA_FDU_Lumos_B1_F7_3"	0	1	0	"FDU_Lumos_1"	"B03"	"F7"	"L05"	"TFF"	"not_available"	"Proteomics"	3	20180902	"client_03_L05_L04_F7_3_1"
"B1_DDA_FDU_Lumos_B1_M8_1"	0	0	1	"FDU_Lumos_1"	"B03"	"M8"	"L05"	"TFF"	"not_available"	"Proteomics"	1	20180902	"client_03_L05_L04_M8_1_1"
"B1_DDA_FDU_Lumos_B1_M8_2"	0	0	1	"FDU_Lumos_1"	"B03"	"M8"	"L05"	"TFF"	"not_available"	"Proteomics"	2	20180902	"client_03_L05_L04_M8_2_1"
"B1_DDA_FDU_Lumos_B1_M8_3"	0	0	1	"FDU_Lumos_1"	"B03"	"M8"	"L05"	"TFF"	"not_available"	"Proteomics"	3	20180902	"client_03_L05_L04_M8_3_1"
"B1_DDA_FDU_QE-HFX_B4_D5_1"	1	0	0	"FDU_QE-HFX_4"	"B04"	"D5"	"L05"	"TFQ"	"not_available"	"Proteomics"	1	20200704	"client_03_L05_L04_D5_1_2"
"B1_DDA_FDU_QE-HFX_B4_D5_2"	1	0	0	"FDU_QE-HFX_4"	"B04"	"D5"	"L05"	"TFQ"	"not_available"	"Proteomics"	2	20200704	"client_03_L05_L04_D5_2_2"
"B1_DDA_FDU_QE-HFX_B4_D5_3"	1	0	0	"FDU_QE-HFX_4"	"B04"	"D5"	"L05"	"TFQ"	"not_available"	"Proteomics"	3	20200704	"client_03_L05_L04_D5_3_2"
"B1_DDA_FDU_QE-HFX_B4_D6_1"	0	0	0	"FDU_QE-HFX_4"	"B04"	"D6"	"L05"	"TFQ"	"not_available"	"Proteomics"	1	20200704	"client_03_L05_L04_D6_1_2"
"B1_DDA_FDU_QE-HFX_B4_D6_2"	0	0	0	"FDU_QE-HFX_4"	"B04"	"D6"	"L05"	"TFQ"	"not_available"	"Proteomics"	2	20200704	"client_03_L05_L04_D6_2_2"
"B1_DDA_FDU_QE-HFX_B4_D6_3"	0	0	0	"FDU_QE-HFX_4"	"B04"	"D6"	"L05"	"TFQ"	"not_available"	"Proteomics"	3	20200704	"client_03_L05_L04_D6_3_2"
"B1_DDA_FDU_QE-HFX_B4_F7_1"	0	1	0	"FDU_QE-HFX_4"	"B04"	"F7"	"L05"	"TFQ"	"not_available"	"Proteomics"	1	20200704	"client_03_L05_L04_F7_1_2"
"B1_DDA_FDU_QE-HFX_B4_F7_2"	0	1	0	"FDU_QE-HFX_4"	"B04"	"F7"	"L05"	"TFQ"	"not_available"	"Proteomics"	2	20200704	"client_03_L05_L04_F7_2_2"
"B1_DDA_FDU_QE-HFX_B4_F7_3"	0	1	0	"FDU_QE-HFX_4"	"B04"	"F7"	"L05"	"TFQ"	"not_available"	"Proteomics"	3	20200704	"client_03_L05_L04_F7_3_2"
"B1_DDA_FDU_QE-HFX_B4_M8_1"	0	0	1	"FDU_QE-HFX_4"	"B04"	"M8"	"L05"	"TFQ"	"not_available"	"Proteomics"	1	20200704	"client_03_L05_L04_M8_1_2"
"B1_DDA_FDU_QE-HFX_B4_M8_2"	0	0	1	"FDU_QE-HFX_4"	"B04"	"M8"	"L05"	"TFQ"	"not_available"	"Proteomics"	2	20200704	"client_03_L05_L04_M8_2_2"
"B1_DDA_FDU_QE-HFX_B4_M8_3"	0	0	1	"FDU_QE-HFX_4"	"B04"	"M8"	"L05"	"TFQ"	"not_available"	"Proteomics"	3	20200704	"client_03_L05_L04_M8_3_2"
