"rowname"	"B1_DDA_TMO_Exploris480_B1_D5_1"	"B1_DDA_TMO_Exploris480_B1_D5_2"	"B1_DDA_TMO_Exploris480_B1_D5_3"	"B1_DDA_TMO_Exploris480_B1_D6_1"	"B1_DDA_TMO_Exploris480_B1_D6_2"	"B1_DDA_TMO_Exploris480_B1_D6_3"	"B1_DDA_TMO_Exploris480_B1_F7_1"	"B1_DDA_TMO_Exploris480_B1_F7_2"	"B1_DDA_TMO_Exploris480_B1_F7_3"	"B1_DDA_TMO_Exploris480_B1_M8_1"	"B1_DDA_TMO_Exploris480_B1_M8_2"	"B1_DDA_TMO_Exploris480_B1_M8_3"	"B1_DDA_TMO_QE-HFX_B1_D5_1"	"B1_DDA_TMO_QE-HFX_B1_D5_2"	"B1_DDA_TMO_QE-HFX_B1_D5_3"	"B1_DDA_TMO_QE-HFX_B1_D6_1"	"B1_DDA_TMO_QE-HFX_B1_D6_2"	"B1_DDA_TMO_QE-HFX_B1_D6_3"	"B1_DDA_TMO_QE-HFX_B1_F7_1"	"B1_DDA_TMO_QE-HFX_B1_F7_2"	"B1_DDA_TMO_QE-HFX_B1_F7_3"	"B1_DDA_TMO_QE-HFX_B1_M8_1"	"B1_DDA_TMO_QE-HFX_B1_M8_2"	"B1_DDA_TMO_QE-HFX_B1_M8_3"
"AAAS"	1.574	1.538	1.417	0.839	3.445	0.962	0.428	3.064	1.261	1.251	1.107	0.166	0.112	1.766	0.407	0.235	1.655	0.707	-0.139	-0.431	3.395	0.128	0.124	2.105
"AACS"	-0.369	-2.036	-1.575	0.344	2.888	-1.377	-1.536	0.251	0.131	0.023	-0.407	-0.395	1.819	1.245	0.813	0.55	0.13	-6.644	0.308	0.324	-6.644	-6.644	1.599	1.277
"AARS"	6.127	6.256	6.541	6.393	6.203	6.057	6.467	6.388	6.031	5.887	5.936	5.633	6.692	6.401	6.414	6.304	6.354	6.229	6.525	6.496	6.782	5.95	5.975	5.941
"AARS2"	2.611	2.386	2.901	1.957	2.266	2.129	2.479	2.494	2.165	3.111	3.212	2.911	1.236	2.481	1.647	2.259	1.782	2.094	2.206	1.647	1.166	2.264	-0.426	1.937
"AASDHPPT"	2.834	3.19	2.516	2.615	2.363	2.307	1.914	2.799	3.366	3.324	2.783	2.925	1.208	2.551	1.929	1.927	2.783	1.925	0.464	2.397	-1.911	-6.644	2.814	2.032
"AATF"	4.392	4.095	4.592	4.714	4.105	4.813	4.166	4.389	3.895	4.437	4.151	4.049	2.12	2.153	2.195	2.365	0.631	2.403	2.796	1.524	1.11	-1.161	2.434	2.21
"ABCB10"	1.55	1.184	1.283	1.824	0.823	1.149	1.152	1.015	0.982	1.525	1.156	0.286	-0.487	-0.384	1.019	2.055	-0.468	0.812	-0.555	-0.894	-0.387	-1.536	-0.789	-1.579
"ABCB7"	1.986	1.85	1.911	1.725	1.603	1.502	1.769	1.708	1.685	0.039	1.44	0.141	2.782	1.811	2.35	3.317	2.819	3.279	2.583	2.963	3.287	2.373	3.431	2.686
"ABCD3"	0.651	0.673	0.546	0.177	0.611	0.574	0.873	0.895	0.894	0.918	0.987	0.689	0.073	-1.49	-0.096	0.56	0.077	0.414	0.024	0.177	-0.228	1.138	0.929	-0.041
"ABCE1"	4.358	4.353	4.07	4.245	4.094	4.128	4.418	4.032	4.249	4.354	4.39	4.143	4.628	3.96	4.38	3.975	3.429	4.12	3.475	3.941	3.938	3.908	4.595	2.735
"ABCF1"	4.359	4.764	4.397	4.656	4.145	4.003	4.418	4.214	4.69	4.164	4.167	4.49	3.781	3.232	3.426	4.372	2.863	3.671	3.695	3.745	4.228	3.394	2.253	3.529
"ABCF2"	0.106	0.55	3.127	-0.063	2.632	2.626	-0.092	2.915	3.732	3.106	3.084	-0.021	4.246	4.312	4.037	3.983	3.896	3.3	2.198	3.867	3.946	4.001	4.333	2.686
"ABCF3"	2.803	3.188	1.589	3.498	3.005	2.803	3.285	3.123	3.073	3.165	3.096	2.324	2.306	1.784	2.452	2.723	2.53	1.997	2.745	3.396	2.742	1.336	2.819	0.801
"ABHD10"	2.543	3.024	2.941	3.877	3.359	3.322	3.3	3.144	3.168	3.122	3.31	2.518	4.407	4.338	4.334	4.833	3.936	4.602	5.274	3.845	4.82	3.91	4.211	4.708
"ABHD12"	0.264	0.435	0.429	-0.127	0.091	-0.186	0.23	0.261	0.011	0.043	0.705	0.569	2.321	1.917	0.065	2.94	0.76	1.791	0.624	0.509	-0.55	1.463	0.787	1.488
"ABHD14B"	-6.644	-6.644	1.377	0.908	2.041	2.054	0.882	0.964	0.854	1.336	2.645	1.473	4.713	2.93	3.918	4.048	5.27	4.74	3.65	5.147	3.937	4.812	5.061	5.231
"ABI1"	2.476	1.629	2.355	2.574	1.896	1.915	2.489	1.88	2.315	2.563	1.902	1.69	2.318	2.63	2.251	2.87	2.998	3.603	2.007	3.072	1.337	3.427	2.112	3.855
"ABI3"	2.212	3.362	3.447	2.9	3.276	2.954	3.517	3.195	2.769	3.502	3.184	3.258	2.767	2.482	0.053	3.229	4.367	3.31	2.664	1.863	-6.644	3.97	2.686	1.901
"ABR"	0.885	2.143	1.292	0.125	1.687	0.484	0.708	0.584	0.031	0.396	1.086	0.56	1.039	1.234	0.976	0.744	1.152	1.3	0.114	1.057	1.437	1.505	-0.149	1.347
"ABRACL"	-6.644	-6.644	-6.644	-6.644	-6.644	-6.644	-6.644	-6.644	-6.644	-6.644	-6.644	-6.644	-6.644	6.844	6.806	3.966	4.696	4.095	7.209	7.156	7.779	7.419	7.471	7.309
"ACAA1"	2.188	2.076	1.824	2.307	2.881	2.674	2.2	2.73	3.034	2.542	2.64	2.838	2.502	2.137	2.224	3.074	2.458	3.099	3.713	3.769	3.396	2.632	2.897	2.916
"ACAA2"	4.457	4.375	4.398	4.208	4.252	4.148	4.527	3.658	3.433	3.982	3.31	3.567	5.156	3.922	4.095	4.487	4.542	4.349	4.258	4.355	3.664	4.773	4.42	3.951
"ACACA"	0.947	1.021	0.84	0.302	0.492	0.151	1.048	0.936	0.411	-0.294	0.763	0.398	2.336	0.753	2.404	0.717	0.515	1.172	2.305	-0.236	0.12	-1.971	-0.695	1.132
"ACAD9"	2.48	2.743	2.859	2.913	2.721	2.433	2.811	2.762	3.046	2.638	3.267	3.257	2.771	2.235	2.302	0.932	1.001	1.755	2.623	2.051	0.408	1.035	2.618	1.393
"ACADM"	6.644	6.282	6.387	6.479	6.307	6.604	6.237	5.822	6.698	5.862	6.745	6.393	7.262	6.519	6.729	6.955	7.116	7.126	6.821	6.649	6.757	7.375	7.427	7.185
"ACADS"	3.678	2.967	3.098	2.281	3.692	3.096	2.607	3.164	2.335	3.088	2.247	3.455	5.963	5.317	5.389	4.535	5.424	5.008	5.368	5.992	5.057	5.995	4.238	5.087
"ACADSB"	1.742	2.127	2.21	1.693	2.464	2.766	2.598	3.378	2.6	1.882	2.947	2.472	3.435	2.445	2.716	3.972	3.069	3.835	3.492	3.474	3.573	3.597	3.194	1.846
"ACADVL"	3.929	4.485	4.207	4.421	4.731	4.594	4.952	4.678	4.625	4.354	4.494	4.399	3.625	3.914	3.348	4.538	4.342	4.021	4.254	4.756	4.747	4.03	4.275	3.618
"ACAP1"	2.474	2.413	1.94	1.867	2.676	2.153	1.898	2.481	1.695	1.553	1.887	2.459	5.531	4.237	3.788	3.284	4.854	4.601	3.766	4.959	4.013	5.161	4.578	1.571
"ACAP2"	1.532	2.202	0.948	1.613	1.151	1.454	1.67	0.426	1.474	1.709	1.409	1.497	1.939	1.858	1.101	1.356	1.206	1.811	1.461	1.281	1.546	1.11	2.142	1.803
"ACAT1"	4.93	4.961	4.3	4.85	5.737	5.052	5.118	4.95	4.326	4.372	4.756	4.508	5.647	5.267	5.093	5.834	6.058	5.888	5.749	5.591	5.176	5.669	4.893	5.017
"ACAT2"	3.418	3.094	1.941	3.149	3.447	3.632	4.054	3.624	3.009	3.818	3.65	3.807	4.48	5.258	4.669	4.613	4.829	3.835	4.396	4.778	5.167	4.936	5.087	4.569
"ACBD3"	2.34	2.41	2.595	2.948	2.706	2.837	3.378	3.44	3.011	1.874	2.324	2.668	2.509	2.828	2.379	3.774	1.919	3.926	2.544	3.078	2.323	3.584	1.411	2.997
"ACIN1"	3.478	3.099	2.805	2.873	2.877	2.843	2.645	2.75	1.935	3.229	3.128	3.447	4	4.001	3.106	2.812	3.443	3.701	2.54	2.509	3.426	3.512	2.512	3.695
"ACLY"	5.367	4.742	5.418	5.724	5.379	5.485	5.54	5.695	5.673	5.517	5.602	5.311	5.694	5.668	5.77	5.898	5.75	5.626	5.747	5.82	5.964	5.877	6.092	5.747
"ACO1"	0.499	-6.644	0.468	-0.465	0.977	-0.512	-0.082	1.002	1.053	-6.644	0.303	0.752	1.666	1.061	2.164	1.302	0.113	3.941	2.662	1.563	2.528	4.658	3.934	1.774
"ACO2"	7.102	7.13	6.859	6.946	7.426	7.082	7.715	7.074	6.955	6.841	7.47	7.903	5.222	5.207	5.675	5.722	6.02	6.171	5.433	6.463	5.603	5.72	5.076	5.94
"ACOT13"	5.064	5.138	5.085	5.231	3.644	5.314	3.83	5.096	5.357	0.35	5.395	4.026	4.987	5.889	5.765	4.725	5.111	4.336	5.466	4.838	5.749	5.071	4.425	3.622
"ACOT7"	6.579	6.513	4.275	6.362	6.118	6.087	6.532	6.499	6.354	6.058	6.011	5.792	6.235	5.601	4.449	3.896	5.834	5.734	4.442	5.852	6.046	4.608	5.692	4.532
"ACOT9"	2.982	2.926	2.956	2.039	0.748	1.84	2.943	2.514	1.862	3.04	2.903	2.944	4.329	3.757	3.942	3.437	4.014	3.821	3.905	4.185	3.689	4.525	4.432	4.101
"ACP1"	5.478	6.052	6.091	5.936	5.918	5.927	6.106	6.022	6.02	6.472	6.04	3.694	4.784	4.957	4.916	4.844	3.112	4.843	4.221	5.101	4.81	4.328	2.45	4.625
"ACSF2"	-0.125	1.4	-0.773	1.152	1.859	-0.222	0.842	-0.586	1.41	0.711	0.483	0.336	-1.603	-0.255	-1.859	-2.293	0.672	1.285	-0.925	-2.188	-0.526	1.671	-0.917	-0.027
"ACSL1"	1.621	2.175	2.209	1.215	1.772	1.667	1.104	0.738	2.041	1.543	1.862	1.291	4.08	3.877	4.314	2.803	3.399	2.926	3.655	3.598	4.378	4.534	3.733	3.361
"ACSL3"	2.162	2.053	1.798	2.131	1.929	2.137	2.151	1.325	2.04	2.187	2.125	2.339	2.741	4.626	4.984	2.717	4.366	2.796	4.529	3.105	3.129	1.833	4.828	4.475
"ACSL4"	1.609	1.08	1.613	2.516	1.809	2.268	1.951	1.665	2.637	2.193	2.413	2.269	2.095	1.533	1.241	2.56	5.866	3.247	2.219	6.189	2.677	4.807	6.069	4.799
"ACSL5"	2.34	2.182	1.942	0.567	0.509	0.544	0.542	0.461	2.112	0.558	0.563	2.493	0.808	1.92	1.478	2.137	-6.644	1.033	0.689	1.377	0.938	0.713	0.923	0.972
"ACSS1"	2.615	1.336	2.513	2.717	2.072	2.744	2.608	1.493	2.606	2.176	2.439	2.531	-6.644	2.248	1.898	2.052	-6.644	-1.213	0.191	2.181	-6.644	-6.644	2.56	2.489
"ACTBL2"	9.22	8.729	9.197	8.67	-6.644	-6.644	-6.644	-6.644	8.619	9.247	-6.644	-6.644	10.112	10.538	9.89	9.829	9.883	9.77	10.417	9.957	10.168	-6.644	9.752	9.882
"ACTL6A"	3.732	3.633	5.057	5.956	6.766	3.067	2.97	5.975	3.406	3.532	5.075	3.626	3.937	3.67	2.124	3.851	4.005	2.935	3.223	5.708	3.71	3.835	3.887	4.64
