modality	client	position	labs	n_labs	n_batches	batch_codes	batches	n_samples	n_features	all_na_feature_rows_dropped	reference_batch	path
Transcriptomics	client_01_L01	0	L01	1	1	B02	P_ILM_L1_B1	12	26907	0	False	before/Transcriptomics/client_01_L01
Transcriptomics	client_02_L02	1	L02	1	1	B03	P_ILM_L2_B1	12	26907	0	False	before/Transcriptomics/client_02_L02
Transcriptomics	client_03_L05_L04	2	L05	1	2	B04,B06	P_ILM_L5_B1,R_ILM_L5_B2	24	26907	0	False	before/Transcriptomics/client_03_L05_L04
Transcriptomics	client_04_L03_L14	3	L03	1	2	B01,B05	P_BGI_L3_B1,R_BGI_L3_B1	24	26907	0	R_BGI_L3_B1	before/Transcriptomics/client_04_L03_L14
Proteomics	client_01_L01	0	L01	1	1	B01	ABS_QTOF6600_1	12	2591	735	False	before/Proteomics/client_01_L01
Proteomics	client_02_L02	1	L02	1	1	B02	APT_QE-HFX_1	12	3283	43	False	before/Proteomics/client_02_L02
Proteomics	client_03_L05_L04	2	L05	1	2	B03,B04	FDU_Lumos_1,FDU_QE-HFX_4	24	3317	9	False	before/Proteomics/client_03_L05_L04
Proteomics	client_04_L03_L14	3	L14	1	2	B05,B06	TMO_Exploris480_1,TMO_QE-HFX_1	24	3308	18	TMO_QE-HFX_1	before/Proteomics/client_04_L03_L14
Metabolomics	client_01_L01	0	L01	1	1	B02	U_L1_01	12	71	0	False	before/Metabolomics/client_01_L01
Metabolomics	client_02_L02	1	L02	1	1	B03	U_L2_01	12	71	0	False	before/Metabolomics/client_02_L02
Metabolomics	client_03_L05_L04	2	L04,L05	2	2	B01,B06	T_L4_01,U_L5_01	24	71	0	False	before/Metabolomics/client_03_L05_L04
Metabolomics	client_04_L03_L14	3	L03	1	2	B04,B05	U_L3_01,U_L3_02	24	71	0	U_L3_02	before/Metabolomics/client_04_L03_L14
