rowname	Ref8537_QC1_20230414_1	Ref8537_QC2_20230414_1	Ref8537_QC3_20230414_1	Ref8537_QC4_20230414_1	Ref8537_S4_20230414	Ref8537_S8_20230414	Ref8537_S11_20230414	Ref8537_S18_20230414	Ref8537_S21_20230414	Ref8537_S26_20230414	Ref8537_S35_20230414	Ref8537_S37_20230414	Ref8537_S45_20230414	Ref8537_S49_20230414	Ref8537_S52_20230414	Ref8537_S60_20230414	Ref8537_S65_20230414	Ref8537_S69_20230414	Ref8537_S75_20230414	Ref8537_S79_20230414	Ref8537_S82_20230414	Ref8537_S88_20230414	Ref8537_S94_20230414	Ref8537_S100_20230414
A5A614	18.02766491791784	17.750093191680136	17.473650802631234	17.02082414285534	18.09556057773714	18.153322175620936	17.943238796562134	17.92224780253084	18.016211417552434	17.733452716538338	18.26512094867384	19.174932124594037	17.91235920758414	17.849240905785635	17.371950826410938	17.743545757468134	17.554266237590838	17.73791228785884	17.552450917301336	17.30816467167614	17.555778826589034	17.555760046388038	17.372729240786335	17.55219677835234
O32583	18.64687912642619	18.75753663069589	18.30876500203799	17.43454308602799	18.70372364449559	18.48329089765059	19.48855828470149	19.387732142218088	18.013062323814488	19.06431527606699	19.22870385119019	19.86649510907679	19.31534095975709	19.03599082575969	18.311812513909288	18.22042734393999	18.238029273019688	18.23116348508759	18.58643061785419	18.15306531201579	18.118223318006088	17.87204042268689	18.22339955944369	18.06001245471249
P00350	25.25759159644352	25.320999597296222	25.45375010588662	25.50026496968662	25.447822602413623	25.352737108563417	25.29139896540692	25.330586469556323	25.17915362638972	25.36738010039472	25.34684781293742	24.688976804341323	25.439549855521122	25.337349076435217	25.449943664276418	25.520399049162023	25.66666884480062	25.41772116057662	25.663836331295123	25.568118293724922	25.51384795371962	25.529535526527724	25.58165718850502	25.533052042351123
P00363	23.512108990305936	23.55260189995244	23.531817453200738	23.36763380895204	23.419995412336938	23.350331748556737	22.872517496497636	23.28409483529804	23.562359355655136	23.261072396200138	23.133848519474537	22.49879575905634	23.247049310566936	23.423074527210538	23.353699571225537	23.11405041974694	23.216443456653238	23.37182801400584	23.02596868884864	23.227664750406138	23.17451125118154	23.40540494840634	23.19055621775694	23.11899321953294
P00370	24.4122409398718	24.2670544829112	24.9801537372856	24.8185939499465	24.3109529865507	24.3062601307785	24.1210975308203	24.2548695686025	24.3316670673395	24.0481963747255	24.0602111231652	23.1479881221786	24.1597865721659	24.0573551123275	24.9741261292332	24.9010227691149	24.8797356427511	24.324593720767698	24.7265300098387	24.8285302595647	25.0112929860707	25.2000117834678	24.3519657336117	24.909934778227
P00393	22.780939847967602	22.9004620008889	22.6560842233946	22.748855114111603	22.4572111339037	22.708195484136503	22.8156115998812	22.432457098686502	21.9040411915065	22.587606997463702	22.647798897780902	21.7339595705353	22.768363831719903	22.489884659560303	22.6196923898034	22.7004994378427	22.549955247348503	22.2871485471316	22.69344395038	22.5613040185683	22.7602561231215	22.8284898495103	22.437365758309102	22.7260327883648
P00448	25.00603445186305	24.983435142469652	24.450598249951653	24.404021308338553	24.936300869929752	24.623945138269153	25.636243227327252	25.45657452642515	25.02487474513705	25.296635062865953	25.004211186271053	25.733704449896454	25.39312300959295	25.526029436234452	24.491126903123252	24.343780064591652	24.630790348270853	24.603858198531952	24.707725695558853	24.900957203150753	24.60033361746985	24.426580577767652	24.754358611121454	24.603666249846754
P00452	22.979962921594193	23.051629437982093	22.701223076990097	22.807927472430194	22.758281317417794	23.036659443478197	23.106786567818695	22.606555855534296	22.146879740306396	22.775073852740096	22.895689950449594	22.050341758615396	23.049509582286497	22.719840719970296	22.746522173379894	22.815741338116496	22.820960998099196	22.232385174512594	22.961671315713094	22.677588042611696	22.881178980712495	22.831364496559495	22.568740576822496	22.825344067275996
P00490	22.34866437629952	22.40979965503602	22.97655254943952	23.11226634538132	22.182525231795122	22.25370810511552	22.63368204110302	22.34943980285362	21.88986980811532	22.308788040796323	22.245824230007322	21.53217914125982	22.40553020710222	22.32343964205832	23.000092658965823	22.93272052028072	22.977092815665923	22.729637869261023	22.90278661187542	23.102186301147324	23.04196653605232	23.072441375540823	22.980643587542623	23.10568026295952
P00509	25.16768992283734	25.16195614257914	24.642051574421238	24.76387906458134	24.83674324024144	25.24067882221334	25.19141374525464	24.92917747992344	24.56539308981904	24.949824807924237	25.18241979683874	24.577168692410538	25.20051725994994	24.937921809819137	24.67631922670534	24.85158079710704	24.92180910632554	24.674713903340237	25.03862270168984	24.78497522701244	25.011311638414337	24.846255782642338	24.701377550067438	24.934273907313738
P00547	24.168126619177006	24.137616618571705	24.002011502939403	23.895428993271405	24.145573199925703	23.907886128111304	24.373222511019502	24.353157730220705	24.314624893192104	24.104284077301003	24.242194831970306	24.333955898501905	24.166510978536504	24.322781866049105	24.038160506412403	24.011353161833004	23.982500679102003	23.877165160584905	23.973230991678204	24.019838549836603	23.985411072652106	24.000065602597505	23.887348253530803	23.921270267292005
P00550	21.719360981992317	21.692866439379518	21.430965164317417	21.581469091050018	21.669213308809518	21.72509133706402	21.910931847653515	21.825950182643616	21.641340645992315	21.815508846432518	21.556154286075316	20.84667468744942	21.722041293176716	21.807600634380016	21.417963055134617	21.520027793761315	21.474431218658218	21.47487689543542	21.542575088840415	21.537156374259016	21.497412860214517	21.422067705222016	21.547356693804815	21.529037287105318
P00561	25.85120402834609	25.95510164764889	25.493220451105486	25.686452047365485	25.536768768966382	25.641298301891283	26.02659190605099	25.656391502520385	25.26106784421699	25.478552574566486	25.957798913414088	25.084759855852283	25.859734212648085	25.669859181376488	25.466180187516187	25.558640638474884	25.581915009372587	24.997861929711085	25.621196205822486	25.512730625471583	25.75838585593369	25.678876857623187	25.249063838264185	25.655254125628687
P00562	21.901502947771778	21.925690328949077	22.38418441629288	22.302018314489477	22.15472717808088	22.10629487672108	21.659502756150378	21.598995132970177	21.86002764138208	21.823828732554478	21.815194723133377	21.060032823657277	21.851470555614878	21.73761326392408	22.431236576351477	22.416201761108578	22.32291831842898	22.06152703950868	22.352213972226178	22.18757151085988	22.410303486241776	22.49909866675958	22.19936534541978	22.37482452461418
P00579	22.773310305779457	22.767507962338854	22.797040015036057	22.924627689823257	22.749181082634255	22.835295133813656	22.857559822779756	22.724182922999056	22.568821811899657	22.770143983515457	22.752385714360155	21.994902988517456	22.758204020726957	22.659677342113756	22.822265451283656	22.945607096887954	22.895938334401954	22.689754262927856	22.913688189957355	22.801977056366955	22.904732822496157	22.893870026638357	22.701646358087356	22.942506041380355
P00579;P13445	19.861695616455382	20.396213183201382	18.83350021879518	20.21244981741648	19.64704434491968	19.278071799180882	19.71546864108848	19.687258861185683	18.938971602577883	20.147726971801482	19.696351538661883	18.976678442193982	19.915462392519682	19.740240950196082	19.07372004682708	19.288037730766682	20.24713553874638	19.437011443959282	20.21184206464208	19.55928691948248	19.707908649775582	19.659969904781082	19.28534105723768	20.24803016045698
