rowname	CVT09_QC1_LabE_X023	CVT09_QC2_LabE_X024	CVT09_QC3_LabE_X025	CVT09_QC4_LabE_X026	CVT09_s3_X002	CVT09_s10_X003	CVT09_s13_X004	CVT09_s16_X005	CVT09_s25_X006	CVT09_s28_X007	CVT09_s31_X008	CVT09_s36_X009	CVT09_s41_X010	CVT09_s50_X011	CVT09_s55_X012	CVT09_s59_X013	CVT09_s61_X014	CVT09_s67_X015	CVT09_s73_X016	CVT09_s77_X017	CVT09_s84_X018	CVT09_s90_X019	CVT09_s93_X020	CVT09_s99_X021
A5A614	17.42428547079327	18.26915204025907	18.04653035748217	17.58521083601007	18.08460977795977	17.67132614304457	17.97710031339657	18.26286209282537	18.06398447246587	17.95626032578607	17.93692623869077	18.04153150279247	18.40629090035887	18.45089393794957	17.798228698792368	16.97492776505537	17.611723594661168	17.621900527397568	17.24903006122007	17.210170215088567	17.38333964399197	17.48269960318547	17.73178306909097	17.40190773177267
O32583		19.07806727923663	19.80022956959153		18.79367018503623	18.33902309548183	19.14551529344033	19.06339801885223	19.85453780046533	19.35425960306103	19.11587142253753	18.56910071337353	18.13298586436253	18.62603259801723				18.27459673641673	18.55636748251273				17.33213633147173	
P00350	25.56487315590812	25.30024248242342	25.32969159988782	25.54384754526832	25.36312213713122	25.15641603752582	25.38366366865772	25.22427494608322	25.19736082295632	25.106405422653822	25.205807760296622	25.42734819471972	25.403239689741522	25.21859653993442	25.51690749839652	25.58978360111912	25.49849322831682	25.54640971395352	25.55734296847462	25.54304593348672	25.49807967767342	25.524488718136322	25.52234442473812	25.53740297897082
P00363	23.25783090607167	23.412752168061072	23.36877275354827	23.494443779612173	23.544893018515072	23.105850463987572	23.35332813500877	23.44075747423077	22.96433622945997	23.07705890121307	23.14331760139197	23.61784390164617	23.71396605139897	23.35013872528047	23.18669295654697	23.11603491995897	22.95092951200257	23.118346999948873	23.295714231730372	23.113060205549772	23.138292838579773	23.15474553560617	23.227190803008572	23.070123933883373
P00370	24.71870498571277	24.225162505794067	24.05258196140997	24.94027573312287	24.41135828625987	23.93752287790547	24.26190917553127	24.24737782110847	24.01386213995687	24.09197532093727	24.10954516673007	24.50307759523757	24.573486081795068	24.34401210709737	24.70693579406557	24.74564677751797	24.65098476283887	24.585016530391467	24.744995434848068	24.73669041804357	24.66672948782767	24.72936214941647	24.80168308644717	24.58527531267287
P00393	22.67767892805614	22.54367576580674	22.632127425314835	22.69924525991094	22.588472099806737	22.340477372143233	22.669527208020035	22.393366075510535	22.66903309963744	22.370470862398037	22.39621909560674	22.590168093128135	22.475252789119438	22.303500768315935	22.664894154065536	22.531066520767133	22.707210975020438	22.563800371754738	22.595668394855636	22.67590937838294	22.713234730984638	22.653809950845634	22.603947755165038	22.736902692793635
P00448	24.43594166266255	25.367232973291152	25.39460530952875	24.29077895081825	24.857985153773953	25.83561742742395	25.40539528312155	25.32726455150625	25.57699452874905	25.530583869361152	25.50677100207655	24.99555625358955	25.04928851949435	25.29555141759555	24.36950268117055	24.487077827053753	24.42885592120175	24.51487200800815	24.19599292274395	24.59156729596565	24.41401783061125	24.63860737643045	24.35314569797055	24.67570180948515
P00452	22.805094923537165	22.735984708070664	22.689519305378862	22.773665979614464	22.785084042742763	22.440261971484865	22.932883966864964	22.651280052672064	22.903190612305664	22.536444320424664	22.584362584430863	22.967846022682465	22.757197226261663	22.463972607729964	22.798571523535465	22.795887197546865	22.715628393064765	22.882120819187065	22.834948401296565	22.786973421985564	22.727964401430363	22.835374746903064	22.832837455803265	22.810764172173062
P00490	23.050161294980253	22.276598743269055	22.299851315884556	22.970755013182654	22.196030631766053	22.063224168891153	22.311303068611355	22.161485757017655	22.394803042593054	22.299132740529455	22.210611883797256	22.249725201824255	22.171067047378454	22.258120126019854	22.909732306328454	22.926367447003454	22.951224077824854	22.893318045389655	22.983824491617955	23.007988694554555	23.040918750906254	23.133940094227356	23.021975851620656	23.035357917233355
P00509	24.87787261315484	24.95862118794804	25.00197321447874	24.86146806402454	25.09531765078324	24.62843972173284	25.17867948794914	24.87902640722034	24.99531779339244	24.742463199297738	24.719768187745938	25.14958730376934	24.91918123162894	24.72663881827164	24.88887546165894	24.94087319503794	24.82089478697594	25.02061198391304	24.92751927438584	24.96352751976354	24.84779246134154	24.891417982274838	24.87111096366004	24.88109677630384
