"rowname"	"Ref8537_QC1_20230414_1"	"Ref8537_QC3_20230414_1"	"Ref8537_QC4_20230414_1"	"Ref8537_S11_20230414"	"Ref8537_S35_20230414"	"Ref8537_S49_20230414"	"Ref8537_S52_20230414"	"Ref8537_S60_20230414"	"Ref8537_S65_20230414"	"Ref8537_S69_20230414"	"Ref8537_S75_20230414"	"Ref8537_S79_20230414"	"Ref8537_S82_20230414"	"Ref8537_S88_20230414"	"Ref8537_S94_20230414"	"Ref8537_S100_20230414"	"Clinspect_E_coli_A_QC1_Slot1-6_1_8640"	"Clinspect_E_coli_A_QC2_Slot1-15_1_8649"	"Clinspect_E_coli_A_S7_Slot1-24_1_8673"	"Clinspect_E_coli_A_S14_Slot1-11_1_8645"	"Clinspect_E_coli_A_S20_Slot1-20_1_8669"	"Clinspect_E_coli_A_S29_Slot1-19_1_8667"	"Clinspect_E_coli_A_S34_Slot1-18_1_8666"	"Clinspect_E_coli_A_S39_Slot1-26_1_8675"	"Clinspect_E_coli_A_S47_Slot1-14_1_8648"	"Clinspect_E_coli_B_QC3_Slot1-23_1_8672"	"Clinspect_E_coli_B_S58_Slot1-5_1_8639"	"Clinspect_E_coli_B_S78_Slot1-17_1_8665"	"Clinspect_E_coli_B_S85_Slot1-12_1_8646"	"BBM_673_P283_01_VEB_001_R4"	"BBM_673_P283_01_VEB_002_R3"	"BBM_673_P283_01_VEB_003_R3"	"BBM_673_P283_01_VEB_004_R3"	"BBM_673_P283_01_VEB_005_R3"	"BBM_673_P283_01_VEB_006_R2"	"BBM_673_P283_01_VEB_007_R2"	"BBM_673_P283_01_VEB_009_R2"	"BBM_673_P283_01_VEB_010_R2"	"BBM_673_P283_01_VEB_011_R2"	"BBM_673_P283_01_VEB_012_R2"	"BBM_673_P283_01_VEB_013_R2"	"BBM_673_P283_01_VEB_017_R2"	"BBM_673_P283_01_VEB_024_R3"	"20230516_EXPL1_LiSc_SA_S610_RT_25_s2"	"20230516_EXPL1_LiSc_SA_S610_RT_26_s9"	"20230516_EXPL1_LiSc_SA_S610_RT_29_s24"	"20230516_EXPL1_LiSc_SA_S610_RT_33_s44"	"20230516_EXPL1_LiSc_SA_S610_RT_35_s51"	"20230516_EXPL1_LiSc_SA_S610_RT_36_s56"	"20230516_EXPL1_LiSc_SA_S610_RT_38_s68"	"20230516_EXPL1_LiSc_SA_S610_RT_39_s72"	"20230516_EXPL1_LiSc_SA_S610_RT_41_s81"	"20230516_EXPL1_LiSc_SA_S610_RT_42_s89"	"20230516_EXPL1_LiSc_SA_S610_RT_43_s92"	"20230516_EXPL1_LiSc_SA_S610_RT_44_s96"	"20230516_EXPL1_LiSc_SA_S610_RT_46_QC2_LabD"	"20230516_EXPL1_LiSc_SA_S610_RT_47_QC3_LabD"	"20230516_EXPL1_LiSc_SA_S610_RT_48_QC4_LabD"	"CVT09_QC2_LabE_X024"	"CVT09_QC3_LabE_X025"	"CVT09_s3_X002"	"CVT09_s10_X003"	"CVT09_s13_X004"	"CVT09_s16_X005"	"CVT09_s28_X007"	"CVT09_s31_X008"	"CVT09_s36_X009"	"CVT09_s50_X011"	"CVT09_s59_X013"	"CVT09_s61_X014"	"CVT09_s73_X016"	"CVT09_s77_X017"	"CVT09_s84_X018"
"P0A8D6"	21.3168175351847	20.9999861273213	21.1302506229023	21.4857366473784	21.2594232112015	21.362899632366	21.385191120198	21.3437971951564	21.4266327045447	21.12122925614	21.2686361140672	21.2369489054018	21.197149069607	21.302886496404	21.1106020350363	21.2330782819315	21.2511771206971	21.6572476993965	21.6797231417399	21.5625814318394	21.4424057572514	21.631807628492	21.7484932749783	21.2898021089909	21.4321266888555	20.9429543903813	21.5705752737188	20.2849548246884	21.3265911032245	21.5414741968024	21.3474389749876	21.4957452020599	21.5959167450691	21.6815878077168	21.4713861841336	21.5701004639168	21.280406014416	21.5452006235089	21.4561691683345	21.374274121494	21.137392932609	21.0248490596698	20.9929644735226	21.3418249352429	21.420301967339	21.4685336169006	21.3575132500441	21.1928130362536	21.2464284005827	21.2054476396529	21.306148167102	21.1867483060802	21.2340748637311	21.2068898914084	21.1672199256798	21.4574853300775	21.1803238647377	21.2575658891235	21.3396017151435	21.3711625913963	21.3593406991065	21.425783251818	21.4328373516176	21.4127050348308	21.5078699877581	21.3670905535552	21.3110491029602	21.3783591765678	21.3026433771638	21.3412124159672	21.2702751747706	21.272676082372	21.3742453240984
"P0AAX3"	20.2020672419571	20.8319965612457	20.5233748741147	19.4022204475435	19.8624612466909	19.8947773282175	21.0840918610169	20.8685549509309	20.9666547010914	20.6913164629485	20.8397674012482	20.9797840188989	20.8607850637318	20.715112486661	20.8285329143653	20.7266605077046	20.3447329176478	20.1287867440768	19.7953033492295	20.1662158680762	20.3089899471834	19.8041352568896	20.1767228928819	19.0333777816638	20.4805775904013	20.2372257541175	21.3021308341143	19.6653991573355	21.4054428191439	20.4533686986804	20.096574495144	19.7570776835611	19.9331893495003	20.2909739696483	20.1661608556065	19.652579843716	19.4951757754384	20.257629952085	20.2110466772898	20.0067322194464	20.5588308980587	20.6696010363508	20.4527566147042	19.9735510052739	19.6949534047256	20.0809706650512	20.1816604729998	20.941726849721	20.8901299951321	20.4535097078961	20.8105943646247	20.7570289124156	20.8161399402826	20.7358677181065	20.5736048366932	20.122049701994	20.7691334655832	20.8779037751624	19.9804307793377	19.9238315867918	20.4713365854375	19.8867752692201	19.987153007526	19.4405447522899	19.6775970555443	19.8011725761509	19.9230867705501	19.6944265878708	21.2880170267601	20.9845493250577	20.7216137942718	20.9702671835098	20.8502290216163
"P00959"	23.4781131237328	23.728590664464	23.7800156988969	23.4000322105725	23.3890953947102	23.399244074674	23.6707202975146	23.7008853647416	23.762119334141	23.3559562252689	23.8409514194887	23.6898197209971	23.8285733242275	23.8116986447289	23.6224263906593	23.7742426928337	23.2736686289032	23.4247398549395	23.3706475360048	23.388812459302	23.3959742707129	23.480654921143	23.3488721899639	23.560137022714	23.456614480481	23.6358117860324	23.7097228086616	23.5958988988782	23.8158166721055	23.3867024007624	23.4056483050177	23.4848049867595	23.2830764564087	23.4782051408246	23.3677075717836	23.2815720770989	23.5677303273959	23.3103043514824	23.4690626375621	23.4473207360319	23.3850332693094	23.851108599832	23.8135964624806	23.4878600293504	23.3322186962809	23.3741488513513	23.3497608623467	23.7187081464498	23.7299923023795	23.7216683948247	23.7260052769272	23.7190538219091	23.7009117097014	23.7490869400805	23.7693812651994	23.3947738080451	23.7149807054399	23.7008117039798	23.4360295968912	23.3654746774365	23.5135590240672	23.132937222268	23.4849901376091	23.3841053429996	23.2583553727298	23.2622907156847	23.5808954569376	23.2914925386337	23.7572761346971	23.7489255144629	23.7989735077374	23.7953057757749	23.7643843722058
"P0AEQ1"	20.965140426356	19.8559015212468	19.8571056289731	20.8589370111443	20.8974492530829	21.1758599964428	20.0922162793613	20.4228155764056	20.0064401262706	20.4057852791327	20.16551768392	20.1145640615892	20.0221750569722	19.9799802290746	20.2239722023944	20.0793616747819	21.1785080520406	21.4151150870061	21.0243687339751	21.5110829510552	21.68813139189	21.1544205191266	21.4078072566163	20.8330704544921	21.5428127332029	19.166328215346	20.2987137052951	19.0847970314662	19.8587534861858	21.1100279754436	20.9854233505584	21.0361131748701	21.1341730650988	21.3118895843782	21.1345329255135	20.7684905152387	20.6861273155703	21.3645559931382	21.1771016460586	21.0313573017729	20.4489148989116	19.9919201894116	20.1299631510163	20.820686305723	21.1364236463457	20.9077918147662	20.8495201048261	20.1361313114421	20.1070597994514	20.1076259824957	20.2605658230208	20.2610203354124	20.2111523300837	20.1174381478379	19.9351855815985	21.0489205506276	19.9324489494159	20.275678587109	21.1366584680985	21.1259436081652	21.1288829485809	21.2526799755921	21.1401241896047	21.0975054255151	21.0584301058048	21.041317699705	20.9340849593848	20.9446972654433	20.059150973567	20.1478903934659	20.0544385280574	20.1448876100621	20.0594716729263
"P25738"	23.1525645277128	22.5762921078921	22.1484590998577	23.937350655804	24.0600445355935	23.6357175509517	22.6653580366401	23.2727088921659	22.5856871464091	22.9961551387734	23.0128620806129	23.0673620630379	22.9438862471323	22.5788289926296	22.4912050217454	23.3568053886561	24.4639340384769	23.1823323970706	22.9890869540454	24.2485370426951	23.7747583044094	24.1447687329995	23.2172604879782	23.1893247713304	23.8633513024084	22.378117136304	23.5417160666617	22.2757125619759	22.6835794656296	23.7416254740529	23.54744426339	23.3897627686651	23.5644229489031	23.3807199944287	23.7185850843997	24.4950240599753	22.5046590938487	24.0552839417376	23.7837179550212	23.7677264207496	22.6289025712286	22.9499788347889	22.8429685907968	23.2776217002484	23.4953852594598	23.6690044945086	23.9393501260835	22.8825416458582	23.0492414157572	22.7287968555861	23.0281965326368	22.959758758422	22.7827977850069	22.8681768419484	22.6743228527781	23.4679026435956	22.6947571758332	22.92496883872	23.5216485545587	23.4402101159421	23.3303840145193	23.9019313439305	23.3977685670186	23.6038205458022	23.7528275704391	23.8548995903799	23.3022386260871	23.6139540500514	22.7049345326083	23.2787924797407	22.9510581694963	23.0280040101492	22.7268143904351
"P64596"	22.8255317788286	22.1975005562156	22.3392684249515	22.8737339675352	23.0738039173482	22.9143034621589	22.4603838673832	22.6372202209549	22.5675798557814	22.7740923559133	22.6009586646793	22.4471041586342	22.568724205027	22.4406438732392	22.4932940671367	22.5899508675496	22.5909494224452	22.9488626865364	22.9761008361124	23.0365145006183	22.7875646417152	22.7386961432483	23.0904534813586	22.7780141642915	22.7652571817205	22.3142639755134	22.5774193638634	22.2430981667194	22.9268805466043	22.8413803753953	22.7828738207976	22.8478244878192	22.8703813198859	22.9336905854208	22.7856086062537	22.7908074745373	22.8519279568639	22.8117215901509	22.8291819928138	22.9422468428	22.4105848502571	22.5867432372301	22.6521943723058	22.8973544751721	22.7984256245216	22.9092333341524	22.9694442726286	22.5354793940676	22.435950503015	22.5501497373637	22.543838319182	22.5212064384639	22.4441099661872	22.4887310942622	22.5515857957865	22.8973333636945	22.4613460120223	22.5802475308773	22.7961405620734	22.7761046386849	22.9116495262827	22.6488370011834	22.8968262672556	22.829631670821	22.7280658865391	22.728418210992	22.932095291665	22.688970049298	22.668686402412	22.5860707212597	22.6408253486221	22.6842097660032	22.6402945513795
"P00452"	22.9191254754714	22.6403856308672	22.7470900263074	23.0459491216958	22.8348525043268	22.6590032738475	22.6856847272571	22.7549038919936	22.7601235519764	22.1715477283898	22.9008338695902	22.6167505964888	22.8203415345896	22.7705270504366	22.5079031306997	22.7645066211532	22.8749437919727	22.8409223507133	22.7488951968032	22.9997925268128	22.8835005995292	22.9422319007558	22.8550279802132	22.7526402735972	22.736660684583	22.4326758124669	22.9911346356576	22.1781421595831	22.9318647091275	22.6776168307129	22.8210599915832	22.8933706982351	22.9419285162558	22.5417198151491	22.6943060960659	23.0114026815864	22.9653390507165	22.8269677700805	22.9140082018166	22.9705120121303	22.2618978585441	22.9141495093577	22.6855027734321	22.7347855609042	22.9521720957439	22.8675339054377	22.8254958716187	22.7305066055262	22.6717502193688	22.7698852775947	22.6581656421765	22.6683398846602	22.657216769446	22.6706404589196	22.6798581570361	22.8488628800598	22.6757513184229	22.6252925693097	22.8049188365191	22.7584534338273	22.8540181711911	22.5091960999333	23.0018180953133	22.7202141811205	22.6053784488731	22.6532967128793	23.0367801511309	22.5329067361784	22.8648213259953	22.7845625215132	22.903882529745	22.8559075504339	22.7968985298788
"P10100"	21.6701308642948	21.6342345812715	21.3679819791248	21.4384303854879	21.6729600212913	21.8228224953715	21.7664204259855	21.7960543474711	21.6700706091465	21.8632021755391	21.5122080833977	21.742350748605	21.6243170675421	21.6523980658	21.7998373178633	21.6460279201371	21.9601417823475	22.069477285693	21.3646548447193	22.0634877952765	22.044712501943	21.9815722629121	21.7818433234686	21.6267559562553	21.9995176739262	20.9347596129632	22.2221223448753	20.5024029595257	21.863184036747	21.6975825867245	21.5444146774749	21.8035024941024	21.5695529687126	21.9449719841544	21.8608325924753	21.6891201869608	21.894191426831	21.6518945726515	21.6730315445913	21.7995596445092	21.6287129621186	21.6920430289291	21.857168516468	21.8130425202335	21.6914017754175	21.7633635640092	21.7974880657402	21.6681694453398	21.6345377288552	21.5469259411173	21.6603856277587	21.5434589122098	21.6202119941986	21.5952844438213	21.6573114286913	21.7863569921052	21.6765793135443	21.7178077230027	21.7502046519353	21.6497363480307	21.7521341009517	21.6781858452526	21.7361993636478	21.7484437888866	21.6771495479024	21.805040096088	21.7100403889746	21.7992489956728	21.7499934618121	21.7196758763828	21.7084989319188	21.7081158985856	21.6210335029466
"P0AEG4"	24.2675728480309	24.3223356051824	24.0769129759908	24.2204475031549	24.3103720048546	24.2317610142348	24.421241998872	24.6113629348355	24.3813971468242	24.5487172790847	24.3352156227263	24.3849199977183	24.3769395670417	24.3378811717159	24.4453343897788	24.4098622664323	24.4795992770449	24.5844850831972	24.2110096959461	24.5603927988402	24.4668482021297	24.2996991750842	24.4961004733483	23.9332745077463	24.6007232006524	23.9303555075829	24.454871558086	24.0799809578604	24.657539133167	24.6752235478089	24.2954731756664	24.2929299793333	24.4159590548817	24.2307648412768	24.5402791824992	24.5522765840236	23.7843082991156	24.5129418822896	24.4580393797354	24.3744263503157	24.2423741835532	24.3029668203874	24.4740680770713	24.113280421643	24.2703146597093	24.3520970794685	24.2960906723067	24.3810277491638	24.470433898237	24.2337942132065	24.4777783129803	24.4063785158653	24.3890842315997	24.4699104508553	24.4055799920303	24.2879183447723	24.4057590099446	24.3976915163391	24.4543200136173	24.508688181991	24.3129529760863	24.6060622376069	24.4459025478347	24.4202895835591	24.5100249633656	24.5286109983871	24.2291998198473	24.4220442663145	24.1244222989947	24.3677988084255	24.2551771317542	24.1247091510406	24.16696363749
"P19934"	19.4984928136609	19.5009064299756	19.2767101858584	19.5071466048876	19.2378836875865	19.8418362780379	19.6663309253794	19.5612937818956	19.5485355656782	19.9646455443932	19.4678593073177	19.6362886956937	19.4183835295596	19.5027268439704	19.795886674647	19.426284082952	19.6803941583183	19.3408278260653	19.2391038406523	19.7612240646746	19.3815549853451	19.7366490482908	19.1340123675307	19.3953152181602	20.1189797327838	19.4496959382712	19.6137286938158	19.7821212840756	19.9268965035156	19.8362784141548	19.6894578568779	19.6915968384993	19.6158445104001	19.6142621912926	19.6406356743667	19.4457286314713	19.509994400575	19.6927188339049	19.6215925488596	19.5930212240221	19.6053994118717	19.5117538565118	19.1576922724587	19.683362536274	19.6063260449754	19.6155181619092	19.624782949683	19.4795810752939	19.5517482573751	19.508643481996	19.5860657523764	19.4920759404063	19.5566366241458	19.5837306952349	19.4362554715144	19.5566562227851	19.547405530746	19.5494160360947	19.7318741855972	19.6572658122507	19.6088796779229	19.7530684078663	19.5458840847518	19.6700328183093	19.7995675051187	19.6627162151866	19.4660317508563	19.6448601929283	19.4108966701625	19.601122954208	19.3927809556415	19.3808909636702	19.3731106414798
"P0A9B2"	27.0465861718317	28.0227507395487	28.2376759027856	27.1085918901549	26.9696072490571	27.068179958339	28.2717219689626	28.2473298333076	28.2308728040047	28.1661886390664	28.0736064330996	28.1487543750563	28.2349013891504	28.3226290912436	28.0245658310537	28.3787480292883	26.9740574841591	27.0558642706217	27.018881488813	27.109478159394	27.1135859667304	26.9726218141037	27.1925081857846	26.9959708022159	26.9913582205	27.9934774653017	28.1505083084863	28.0640162972274	28.2001115327809	26.7791991825387	26.8499204046344	26.9226631813121	26.8556843642679	27.1010591827491	27.0671423146312	26.8631973475251	27.0366236830575	26.9739309008953	27.0303325596252	27.0576480925057	28.3091519185887	28.2831455123987	28.4843961849779	26.7966169051052	27.0058951274763	27.0259106804177	26.9537247926019	28.1908088438412	28.113679360924	28.1526420101232	28.1882759157329	28.2855568568896	28.2104352327311	28.3001864157512	28.272773149569	27.1086233376471	28.216249824074	28.3018663442774	27.1001504595546	27.0455304117547	26.9624301933108	26.9003379684393	27.0270080880576	26.9562701327501	26.9715887205882	26.9590599207722	26.8960239739746	27.0422136996606	28.2385639349854	28.2419175706395	28.2000619099661	28.2829655988657	28.2194377551766
"P0A8I8"	20.4981952039937	20.6941813551917	20.5867639075657	20.4061246828834	20.4229515873454	20.5448455970322	20.648791712975	20.6809729049844	20.6994677684512	20.7641939850555	20.4954493750761	20.7067108088098	20.6419676316495	20.551851458164	20.6266422017581	20.5673593611155	20.4926552085004	20.8754068993781	20.7067791968297	20.76700053267	20.6238054322445	20.4427205481399	20.6847056680371	20.3013412854977	20.8533378935882	20.125552524163	20.5400544442611	20.391570768346	20.5390744658022	20.391274337455	20.4999560237714	20.7118238171428	20.2113767079763	20.6321974398614	20.5593113013879	20.3455182114659	20.8557172504972	20.4217007022475	20.3686600272068	20.5151732999683	20.8734738132405	20.7556036054094	20.6751765262835	20.6981485238353	20.6102372259181	20.5137697989558	20.4085711235917	20.6263957588292	20.5687074252324	20.632385040739	20.6765792679266	20.5796162619089	20.4739551111768	20.5753369405611	20.6527665248304	20.5450799468154	20.6335989530624	20.6573843280595	20.5130700649339	20.5343808660686	20.47155152949	20.5831002150387	20.6623092100308	20.4740228987186	20.3567701359317	20.5232107369385	20.6457754363037	20.515521578073	20.5093547220394	20.7266295583806	20.7097330900833	20.6476178360383	20.6278524964534
"P0A8T7"	24.871367756961	25.1410930520616	25.1676320053144	24.9526619660847	24.7407105135879	24.9163972392136	25.1431389130825	25.1172481685958	25.138427747459	25.0323434681484	25.1514174732733	25.1217124774522	25.130968237977	25.1248644792649	25.1065017956079	25.1022650445891	24.8235027429934	24.9089156116096	24.841718440221	24.9632996370817	24.920093068338	24.9408779648355	24.9553935503555	25.0245898287344	24.9433296007048	24.8918419732911	25.2305329736005	24.9154193202917	25.3000709424655	24.7271548567483	24.8543657243224	24.9192917024872	24.9533907114461	24.9567027418096	24.8058834457728	24.8952581754448	25.2209214896538	24.8127053178841	24.8972470246719	24.953422178102	24.9007270465026	25.243605698555	25.2381447864393	24.9073573803159	24.9529878413464	24.9640754631612	24.9534905389111	25.1243535634014	25.0784487369857	25.1345422474392	25.0196874687052	25.0649357240917	25.0316683287701	25.0431535038559	25.0923205238213	24.9866353726946	25.1354359423397	25.1663881989168	24.9284169491152	24.8846522565435	24.936745341614	24.8058168355847	24.9717311272242	24.9012853333814	24.854630391245	24.8480370805822	25.0346831147149	24.9128736136716	25.1194492854387	25.1372604270621	25.1886749533941	25.0849058810754	25.0729278131098
"P0A794"	22.4837932250126	22.2953835016953	22.1883189079049	22.185068284105	22.2292212449113	22.3552651104893	22.2788623073426	22.219854769587	22.3798903995597	22.2186832989225	22.1605489511764	22.2846324620923	22.3079486644351	22.3209188833459	22.2969670140129	22.1460826941174	22.2640894566907	22.6239872978291	22.7220848487786	22.3621439184419	22.6678112192138	22.3861898373944	22.4686306199841	22.4141137148915	22.4575824075179	22.2020316128209	22.2521685530657	21.7113860358774	22.1674641812531	22.3716160194903	22.5491280280394	22.4975528514318	22.2723594487366	22.6510090699074	22.4613560752573	22.1128404247881	22.6722366048473	22.40033741627	22.4284884085161	22.3757918421403	22.2920997737447	22.1298750758427	22.1112608004773	22.4486130524858	22.4137212840658	22.3864073055754	22.2201072859561	22.2401922290047	22.2133849476996	22.2726672854934	22.1641354444418	22.2897945291629	22.2401374733629	22.2984919538185	22.2732948106341	22.4308309972369	22.2593196097678	22.1814502085216	22.4891509428289	22.3568762813359	22.5030417564201	22.3019971263287	22.4681560694954	22.453588323229	22.4068130854204	22.3403546669383	22.5017078836817	22.3944950125825	22.3026605377173	22.2052536680854	22.2277745887679	22.2400401229946	22.1529330751463
"P0A7J3"	26.8313727825717	27.1204102903441	27.1021986640589	26.7962228704733	26.8175917227839	26.777979417625	27.1610318812303	27.4559950833276	27.1813615989603	27.2832686713373	27.3628333161353	27.1832957346526	27.2826455312327	27.217456630245	27.0916771653541	27.3016445719343	26.9800745392528	26.884736799596	26.7424573991712	26.967892093025	26.9761497114338	26.7973327331808	26.9422646595705	26.7905605547884	26.8849564422083	27.0309429846347	27.5153184986166	26.8472129590162	27.2850716964195	27.0616464530482	26.939663342377	26.8693018761631	26.9086655873053	26.9810970712744	26.9831457987349	26.8882046827229	26.6184268860434	26.929641442721	26.8471915452346	26.8222932041487	27.3081958277779	26.8360626798794	27.1799175988857	26.7932245207921	26.8080347726028	26.8127234223492	26.620381881806	27.211429390245	27.3655696382606	27.1902137571832	27.3783470166981	27.1298520042951	27.3111716770334	27.3198698130837	27.21462198859	26.8326750430673	27.1684110475356	27.262913555555	26.904132588091	26.8476863869264	26.8817409322027	26.9658217934141	26.8106100235612	26.9321098862128	26.8790262319768	26.9598426455463	26.8467962084561	26.9249833492153	27.2302221151138	27.2105971389557	27.1249496132758	27.0932678843707	27.1092136021671
"P00935"	22.7025695975853	22.7572111968498	22.6826994110594	22.5015242719162	22.3956124087559	22.607722689485	22.7322056632657	22.7857615437256	22.6632378731099	22.7283175328301	22.6557288218712	22.631291341116	22.6813584233521	22.7920221645044	22.5948865652775	22.6970519032639	22.524895378562	22.5340360489464	22.5938540373306	22.4833049347784	22.8850252981267	22.6975420251611	22.7475199394305	22.5491301018426	22.7357516505667	22.6155517893827	22.6217682351006	22.6248334783133	22.6673755419132	22.5376801711409	22.4901389202781	22.580847237787	22.4594740339389	23.548802200203	22.504544280518	22.2962855981961	23.0459979757777	22.2809738193341	22.4118375418881	22.5128614373559	22.8333281077707	22.7211050236416	22.6164952956385	22.7592864035455	22.7110151619496	22.5567708129244	22.6553846619205	22.6429667945715	22.5979104987187	22.5646441090223	22.6819785568694	22.6611689464784	22.6340449951908	22.6919960938692	22.728869040312	22.6376398973598	22.7550169304995	22.5936534853212	22.6118272479318	22.580287604886	22.8053776283277	22.5461123731547	22.7099041301147	22.5889176008147	22.4888805666101	22.5237703464193	22.8267255560766	22.503646445818	22.5497961127873	22.7659992509496	22.7449375771316	22.6729886722004	22.6580555496614
"P0ACF4"	26.8397077912005	26.5005314175917	26.0132732307398	26.6417184510517	26.7455221441404	26.7931509459365	26.6257364743851	26.4673892397139	26.4326267292228	26.6565264726504	26.1908331344492	26.539634975473	26.3452537805336	26.3882029271283	26.7925272560798	26.4191851621625	26.8893537630124	27.0435392941455	26.7872105932474	26.8227049150508	27.1480078402088	26.7409595000232	27.1017983630659	26.5813450653999	26.9205883174145	26.3374870837524	26.6033153415897	26.0213069491865	26.7784094150667	27.3924379000699	27.0235866572007	26.9394625848824	27.1953076324478	26.8898816651569	27.1188906343016	27.1291903495831	26.3672791498403	27.1343439894628	26.947233365953	26.8667813833324	25.727255579291	26.1695683348749	26.2994571941231	26.7794107953453	26.7560923655506	26.8156957226865	26.8361849765654	26.3596951272747	26.3973896506224	26.3745999352541	26.4865841892383	26.5980275193183	26.388709832589	26.5985518115947	26.459802257791	26.7865515857565	26.4069517537095	26.4660561516541	26.9356869921266	26.9875881774895	26.9218682942518	27.213111146327	26.8864094145189	26.9627527595313	27.054775205133	26.9689556542909	26.6091158907598	26.9264121344186	26.4412112526351	26.3045040230375	26.2674141073664	26.368963526617	26.2334242995256
"P0AG84"	22.3842573356705	21.7773919720761	22.0044582495918	22.852444962928	22.1510635783165	22.3523784326467	21.9030285216322	21.9054307934991	21.7152894240502	21.9370892016546	21.7193459612414	22.0264210787961	21.9942435521651	21.8718988207774	21.8186772152692	21.9811084853073	22.0882855069625	22.77517188655	22.455437034296	22.5994025311724	22.3758617882951	23.0131042328478	23.0175319035225	22.1361863162517	22.3852270150851	21.7423900026863	22.084449112857	22.1249622564742	21.6515500890916	22.3132311203484	22.3996622998954	22.4604026129864	23.026205571237	22.132563202102	22.4919103302407	23.0577215919819	22.1381128346373	22.8478133222831	22.5300665688673	22.5707335465933	21.9320937642696	21.823140330924	22.007214557715	22.2601370813102	22.6219712453807	22.7795112404038	22.9790866724879	21.8957763940471	21.8306891243506	21.8286030391874	21.7829269606938	21.9252518537556	21.9213902480216	21.7325654561975	21.6895497400626	22.5340231637137	21.6056538186602	21.8803435760252	22.4851746760266	22.5719335496399	22.2979924892022	22.9651021741096	22.4861325405339	22.5720261740197	22.9936905853498	22.9177621509623	22.1022556096926	22.8441601763853	21.4205676526379	21.9466305374057	21.6737983494441	21.7219599254237	21.8587330345723
"P0A9M8"	24.5805782363435	24.2883095183223	24.196048066986	24.7068031412456	24.5193060050471	24.8504427994574	24.299997054707	24.1484466649592	24.0634680598592	24.4024447396611	23.8180306605339	24.2181355472495	24.1090188292583	24.390697830083	24.0895052290525	24.2245451147671	24.6402437337303	24.6268041233972	24.5789925558226	24.6249826840645	24.7253970857049	24.7629192438049	24.7241053319893	24.6939612598655	24.7052655762297	24.3400994638195	24.1903588002117	23.9469407706212	24.525988247757	24.586389460813	24.665239172595	24.6950791943672	24.8559106580483	24.8519813156554	24.6543324448485	24.6973390703037	24.8883168143888	24.6083261087787	24.7165463703377	24.7160472617561	23.9606607496774	24.0905547654875	24.3494597410311	24.6449921466035	24.7465239231828	24.7447532461353	24.7328225850358	23.9874175117663	23.9460911768117	23.9985763117316	24.0750020807073	24.1694554772982	24.080676333574	24.3201102313032	24.3899845209877	24.7990207726681	24.373328732877	24.2643493228791	24.7502894741398	24.6845023167059	24.7384838603987	24.6310084620594	24.7869418073854	24.7698607846257	24.7170955558415	24.709290044512	24.7841547294638	24.8129317820977	24.084750430224	24.0718489172884	24.1290333418534	24.1323871637477	24.1662775817164
"P0A9Q7"	24.257349188947	26.9336937675761	26.8808633149648	24.8339168264179	24.2132429062762	24.383827316943	27.025158535715	26.7879823684672	26.6614441918528	26.8160608689071	26.3305522827925	26.910032674128	26.8536600120841	26.9596367048847	26.6304083895602	26.925222281566	24.3988882581997	24.4848434381958	24.4107967671764	24.5805310856789	24.1387942826692	24.6229602631569	24.7076935052002	24.4028903744528	24.1805142139347	26.7101508969599	26.6532763244876	26.6420613507277	26.9665603468729	23.9639356694971	24.1125805624993	24.2577143722912	24.6581139824224	24.1409839793941	24.3977027144731	24.6905761921847	24.3793103198711	24.4764786684303	24.4672894163055	24.5602888782376	26.7400399497061	26.9133924980241	27.1344564401102	23.97397559363	24.4403915437311	24.5462486043194	24.5750792122557	26.6824618815448	26.6152843154359	26.594909722544	26.7476188423895	26.8865992378514	26.8020754595935	26.9620217424031	26.9725292826909	24.4648883818913	26.9631674452023	26.9489752163654	24.4744206337877	24.4447346794411	24.2471871027777	24.4703337502426	24.4270714561574	24.3141396415994	24.5191341649345	24.4967323794922	24.2246363618424	24.4239961801795	26.6994091364485	26.8136060754155	26.9104035297772	26.8367389726511	26.8171447279345
