rowname	Ref8537_QC1_20230414_1	Ref8537_QC3_20230414_1	Ref8537_QC4_20230414_1	Ref8537_S11_20230414	Ref8537_S35_20230414	Ref8537_S49_20230414	Ref8537_S52_20230414	Ref8537_S60_20230414	Ref8537_S65_20230414	Ref8537_S69_20230414	Ref8537_S75_20230414	Ref8537_S79_20230414	Ref8537_S82_20230414	Ref8537_S88_20230414	Ref8537_S94_20230414	Ref8537_S100_20230414	Clinspect_E_coli_A_QC1_Slot1-6_1_8640	Clinspect_E_coli_A_QC2_Slot1-15_1_8649	Clinspect_E_coli_A_S7_Slot1-24_1_8673	Clinspect_E_coli_A_S14_Slot1-11_1_8645	Clinspect_E_coli_A_S20_Slot1-20_1_8669	Clinspect_E_coli_A_S29_Slot1-19_1_8667	Clinspect_E_coli_A_S34_Slot1-18_1_8666	Clinspect_E_coli_A_S39_Slot1-26_1_8675	Clinspect_E_coli_A_S47_Slot1-14_1_8648	Clinspect_E_coli_B_QC3_Slot1-23_1_8672	Clinspect_E_coli_B_S58_Slot1-5_1_8639	Clinspect_E_coli_B_S78_Slot1-17_1_8665	Clinspect_E_coli_B_S85_Slot1-12_1_8646	BBM_673_P283_01_VEB_001_R4	BBM_673_P283_01_VEB_002_R3	BBM_673_P283_01_VEB_003_R3	BBM_673_P283_01_VEB_004_R3	BBM_673_P283_01_VEB_005_R3	BBM_673_P283_01_VEB_006_R2	BBM_673_P283_01_VEB_007_R2	BBM_673_P283_01_VEB_009_R2	BBM_673_P283_01_VEB_010_R2	BBM_673_P283_01_VEB_011_R2	BBM_673_P283_01_VEB_012_R2	BBM_673_P283_01_VEB_013_R2	BBM_673_P283_01_VEB_017_R2	BBM_673_P283_01_VEB_024_R3	20230516_EXPL1_LiSc_SA_S610_RT_25_s2	20230516_EXPL1_LiSc_SA_S610_RT_26_s9	20230516_EXPL1_LiSc_SA_S610_RT_29_s24	20230516_EXPL1_LiSc_SA_S610_RT_33_s44	20230516_EXPL1_LiSc_SA_S610_RT_35_s51	20230516_EXPL1_LiSc_SA_S610_RT_36_s56	20230516_EXPL1_LiSc_SA_S610_RT_38_s68	20230516_EXPL1_LiSc_SA_S610_RT_39_s72	20230516_EXPL1_LiSc_SA_S610_RT_41_s81	20230516_EXPL1_LiSc_SA_S610_RT_42_s89	20230516_EXPL1_LiSc_SA_S610_RT_43_s92	20230516_EXPL1_LiSc_SA_S610_RT_44_s96	20230516_EXPL1_LiSc_SA_S610_RT_46_QC2_LabD	20230516_EXPL1_LiSc_SA_S610_RT_47_QC3_LabD	20230516_EXPL1_LiSc_SA_S610_RT_48_QC4_LabD	CVT09_QC2_LabE_X024	CVT09_QC3_LabE_X025	CVT09_s3_X002	CVT09_s10_X003	CVT09_s13_X004	CVT09_s16_X005	CVT09_s28_X007	CVT09_s31_X008	CVT09_s36_X009	CVT09_s50_X011	CVT09_s59_X013	CVT09_s61_X014	CVT09_s73_X016	CVT09_s77_X017	CVT09_s84_X018
A5A614	18.085471652531	17.5314575372444	17.078630877468502	18.0010455311753	18.322927683287	17.9070476403988	17.4297575610241	17.8013524920813	17.612072972204	17.795719022472003	17.6102576519145	17.3659714062893	17.6135855612022	17.6135667810012	17.4305359753995	17.610003512965502	17.9333431759964		17.8747857880745	18.6778656666547	18.4151900001126	18.3607868291682	17.6050297153711		18.613526591481	17.7782656136172				19.066025403792622	18.625897705406825	18.071213549711125	18.754441528666323	18.314935961678724	18.490740146571323	18.406880675260624	17.512426669654026	18.590376249330525	18.273367878658423	18.088404015415524	16.770879118030624	17.133569266400425	17.140207384468926	18.195596708928537	17.906008564304436	18.28221488963004	18.12697801045284	17.476845795527137	17.765716962322838	17.361831646785838	17.643039091829337	17.389153084053437	17.365098956140038	17.576042300518836	17.588058481452936	18.30386873429704	17.653955286869635	17.462930467166238	18.457488468340536	18.23486678556364	18.27294620604124	17.859662571126037	18.16543674147804	18.45119852090684	18.144596753867532	18.12526266677224	18.229867930873937	18.63923036603104	17.163264193136836	17.800060022742635	17.437366489301535	17.398506643170037	17.571676072073437
O32583	18.689157400748076	18.351043276359874	17.476821360349874	19.53083655902337	19.270982125512077	19.07826910008157	18.35409078823117	18.262705618261872	18.28030754734157	18.273441759409472	18.628708892176075	18.195343586337675	18.16050159232797	17.914318697008774	18.26567783376557	18.10229072903437	19.08106283269	18.994224952690203	19.156289761530203	18.9449394590453	18.81041953741	19.2298089510519	19.274610286563306	18.545801815143804	18.3148492769687	18.7677460493504	18.0019369901483	18.204024489315703	18.467712166548903	19.206143017738484	18.830595909988183	19.180809502744385	19.701332958265485	18.214334726860184	19.200477193336084	19.509936846964884	18.057128676751883	19.383735592138184	18.965371347582085	19.16514103737448	18.369145280628185	17.729479292642484	17.997507111477784	18.1673491921524	19.2482460362328	18.906611549584905	19.049653303924	18.3466717719368	18.1933946122425	18.6386671962199	18.3798404993618	18.355974344828	18.2297452731325	18.4949548847414	17.9961084159944	18.9967280950911	18.0307824418539	18.2944388173448	19.04204636527514	19.76420865563004	18.75764927107474	18.30300218152034	19.10949437947884	19.02737710489074	19.31823868909954	19.07985050857604	18.53307979941204	18.59001168405574			18.52034656855124		
P00350	25.233602769401035	25.429761278844136	25.47627614264413	25.26741013836444	25.322858985894936	25.313360249392733	25.42595483723393	25.496410222119536	25.64268001775813	25.393732333534132	25.63984750425264	25.544129466682435	25.489859126677132	25.50554669948524	25.557668361462536	25.50906321530864	25.37830801021647	25.35621775834557	25.28228032513417	25.357606381359275	25.36623421980567	25.435961926419274	25.31451025697467	25.39647699371777	25.373605004497072	25.275729220804077	25.65447367431807	25.05073030365308	25.55553335683417	25.29489003963407	25.29423113488577	25.37205898363367	25.25114874830697	25.32788668906697	25.29935571604907	25.18484213176457	25.36907610049797	25.23960679152457	25.32092301460187	25.37181795013597	25.479990311313472	25.54835431965687	25.56431099192357	25.345099964055745	25.281111016962445	25.312916347785347	25.252144176969747	25.450657030470744	25.493848551835544	25.509479018320143	25.494093637207943	25.508332364618045	25.50752065087945	25.510560258821144	25.475553803472945	25.346412123975245	25.524923262350747	25.54522434744305	25.314006716989976	25.34345583445437	25.376886371697776	25.170180272092374	25.39742790322428	25.23803918064977	25.120169657220377	25.219571994863177	25.441112429286274	25.23236077450097	25.603547835685674	25.512257462883376	25.571107203041176	25.556810168053275	25.51184391223997
P00363	23.488475601651192	23.508184064545997	23.34400042029729	22.84888410784289	23.110215130819796	23.399441138555797	23.330066182570796	23.090417031092198	23.192810067998494	23.34819462535109	23.00233530019389	23.204031361751397	23.150877862526794	23.381771559751595	23.166922829102194	23.095359830878195	23.40719845038185	23.154952850514547	23.518944921818647	23.18585840425605	23.654710874074247	23.215618752980543	22.999031365254048	23.433777222062343	23.53474655343105	23.306343332542948	23.022032033837142	22.871188925190346	23.36785650024745	23.41822108110537	23.422782194727468	23.464562651552267	22.631507701071868	24.07325432535307	23.36076529886237	22.76121729612207	23.80468590175207	23.121247815917663	23.27416437259667	23.27010251374367	22.979100122119867	23.238506144626967	23.293115639548063	23.61360344858125	23.170550279588458	23.166759282034857	23.12214325163106	23.023713009477856	23.08274627173766	23.164560947935456	23.16876186211116	23.146862400837456	23.09479723278776	23.34812417042796	23.40002647323516	23.32112666393896	23.512902550973056	23.247934130537654	23.42354305789364	23.379563643380838	23.55568390834764	23.116641353820132	23.364119024841337	23.45154836406333	23.087849791045635	23.15410849122453	23.62863479147874	23.36092961511304	23.126825809791534	22.961720401835137	23.30650512156293	23.12385109538233	23.149083728412336
P00370	24.36166321291791	24.92957601033171	24.76801622299261	24.07051980386641	24.00963339621131	24.00677738537361	24.92354840227931	24.85044504216101	24.82915791579721	24.27401599381381	24.67595228288481	24.77795253261081	24.96071525911681	25.14943405651391	24.30138800665781	24.85935705127311	24.219090783644063	24.298425074774563	24.263735005193663	24.126788121654965	24.402761003953163	24.296108805145863	24.316801880774065	24.291654482769765	24.350920171589763	24.661790840818064	24.800205100640465	24.294482050539862	24.824102280067564	24.35622961618259	24.19042714789129	24.15101941071259	24.32034779396469	24.800821806412788	24.259766293450287	24.058428176804387	24.51970438045769	24.006161412801287	24.25763099935989	24.17171566014259	24.312599804631088	24.77464210243219	24.73251929058549	24.452879994938822	24.049484852822623	24.23448070211013	24.142142082567627	24.557250243477725	24.59774103108633	24.560197033985126	24.701835911529827	24.808014927647427	24.689156266566627	24.983105075492727	24.901238029076225	24.218669600898227	24.937873457442223	24.701887228048125	24.25147186138431	24.078891317000213	24.437667641850112	23.96383223349571	24.28821853112151	24.27368717669871	24.118284676527512	24.13585452232031	24.529386950827814	24.370321462687613	24.77195613310821	24.677294118429117	24.77130479043831	24.76299977363381	24.693038843417916
P00393	22.726667504683125	22.601811880110123	22.694582770827125	22.761339256596724	22.593526554496425	22.435612316275822	22.565420046518923	22.646227094558224	22.495682904064022	22.232876203847123	22.639171607095523	22.507031675283823	22.705983779837023	22.774217506225824	22.383093415024625	22.671760445080324	22.34458394774809	22.765015106112592	22.589339962702397	22.484183728896493	22.45118882659869	22.530533637750796	22.64841282188609	22.628713247944397	22.394957396451996	22.67998709891449	22.70621681275709	22.45938168106679	22.68422935884909	22.452156061268944	22.425239963936345	22.755148781670243	22.610198702260742	22.502149676546946	22.475467586895544	22.580692883461044	22.605834079570343	22.511854540482744	22.612086217953443	22.641259346928344	22.363444537568544	22.68104505807245	22.648793769825243	22.448957167544748	22.635092773437247	22.56168376601785	22.54455716458175	22.58922436412145	22.531402069672147	22.51773964578575	22.601257367469447	22.59505813733075	22.623112415343748	22.621795071460948	22.68987072033595	22.618688566691247	22.63859059134935	22.56324430701315	22.57494291732329	22.66339457683139	22.61973925132329	22.37174452365979	22.70079435953659	22.42463322702709	22.401738013914592	22.42748624712329	22.62143524464469	22.33476791983249	22.56233367228369	22.73847812653699	22.62693554637219	22.70717652989949	22.74450188250119
P00448	24.96660458719567	24.41116838528427	24.364591443671166	25.596813362659866	24.964781321603667	25.48659957156707	24.45169703845587	24.304350199924265	24.591360483603463	24.56442833386457	24.668295830891463	24.86152733848337	24.560903752802467	24.38715071310027	24.71492874645407	24.56423638517937	25.018568143857262	24.814111842784666	24.640320060574368	25.606442056764067	25.441197182305068	24.781920019990267	24.98383553228597	25.066002849730868	25.484156813184068	24.85592274312117	24.933099399028368	24.724787686612466	24.953646484217167	25.129837534290655	25.10738525046236	25.18971366980316	25.67890034539946	24.53745692208146	25.43535085026666	25.56316598692216	24.56718217896816	25.57291995745996	25.33515033862596	25.37673528232286	24.48949088421296	24.75486423007656	24.49739939871746	25.07893961315026	25.43275509798386	25.389950023793865	25.61013773260576	24.59605955409836	24.63213141310966	24.259847630129663	24.41289987521096	24.445974758684866	24.635466869823063	24.54605170669376	24.16942931136036	25.239139243374662	24.572688540427865	24.58984211782436	25.330539759773444	25.35791209601104	24.821291940256245	25.798924213906243	25.36870206960384	25.290571337988546	25.493890655843444	25.470077788558843	24.958863040071844	25.258858204077843	24.450384613536045	24.392162707684044	24.159299709226243	24.55487408244794	24.377324617093542
P00452	22.919125475471365	22.640385630867268	22.747090026307365	23.045949121695863	22.834852504326765	22.659003273847468	22.685684727257065	22.754903891993667	22.760123551976367	22.171547728389765	22.900833869590265	22.616750596488867	22.820341534589662	22.770527050436662	22.507903130699667	22.764506621153167	22.87494379197269	22.84092235071329	22.74889519680319	22.99979252681279	22.883500599529192	22.94223190075579	22.85502798021319	22.75264027359719	22.73666068458309	22.43267581246689	22.99113463565759	22.178142159583093	22.93186470912749	22.677616830712868	22.821059991583265	22.893370698235167	22.941928516255768	22.541719815149065	22.694306096065866	23.011402681586368	22.965339050716565	22.826967770080568	22.914008201816568	22.970512012130367	22.261897858544167	22.914149509357667	22.685502773432063	22.73478556090419	22.95217209574389	22.86753390543769	22.82549587161869	22.73050660552619	22.67175021936879	22.76988527759469	22.65816564217659	22.66833988466019	22.65721676944599	22.67064045891959	22.67985815703609	22.84886288005979	22.67575131842289	22.62529256930959	22.80491883651909	22.758453433827288	22.85401817119119	22.50919609993329	23.00181809531339	22.72021418112049	22.60537844887309	22.65329671287929	23.03678015113089	22.53290673617839	22.86482132599529	22.78456252151319	22.90388252974499	22.85590755043399	22.79689852987879
P00490	22.29824423205761	22.92613240519761	23.061846201139407	22.583261896861107	22.195404085765407	22.273019497816406	22.949672514723908	22.88230037603881	22.926672671424008	22.679217725019107	22.852366467633505	23.05176615690541	22.99154639181041	23.022021231298908	22.930223443300708	23.055260118717605	22.087411673318226	22.28523056981893	22.311039227924827	22.254284125028725	22.041998559506528	22.32404891239753	22.348372058210828	22.391693821240228	22.063008827087227	22.944249978155728	23.029200027381822	22.936342058703826	23.194917128383626	22.047371837691948	22.060120977902645	22.292949350431048	22.357400627089746	22.217244503518145	22.165887051872247	22.333873797534547	22.367274631960846	22.263342965074848	22.259421785341846	22.378746581635543	22.866913047511048	23.036215876268948	23.11273037912205	22.045052030827343	22.38220788150544	22.34737406640784	22.33914248560804	22.91074377766844	22.86692679610354	22.88659970481214	22.91469358332464	23.00188411450224	23.01687676315844	23.01311538724224	22.99833615136874	22.32311788812824	22.98639428218844	22.96495702675044	22.29024006257248	22.313492635187977	22.209671951069478	22.07686548819457	22.324944387914776	22.175127076321075	22.31277405983288	22.22425320310068	22.26336652112768	22.271761445323275	22.940008766306875	22.964865397128275	22.997465810921376	23.021630013857976	23.054560070209675
P00509	25.13008766810704	24.60444931969094	24.72627680985104	25.15381149052434	25.14481754210844	24.90031955508884	24.63871697197504	24.81397854237674	24.88420685159524	24.637111648609935	25.00102044695954	24.74737297228214	24.97370938368404	24.80865352791204	24.66377529533714	24.89667165258344	24.854910957852688	25.14111794077709	24.968517752589687	25.112689580693885	25.176179084067687	25.053095601148385	25.155350433134785	24.962175792397087	24.904538926493185	24.589014504785485	24.910831696519782	24.416512892251387	24.954162022442187	24.83712759971585	24.89602669652885	25.10659500850605	24.95786277897925	25.10447916549285	24.99365957709845	24.962884823749757	24.940473615349752	24.890226897640552	25.06101836702895	25.11103591538935	24.634147072853157	24.920828163454352	24.95936266256865	24.81433145271133	25.07746857133233	25.010867114260428	24.88483172441183	24.825451012070427	24.80613398283753	24.84404756669623	24.82429901671383	24.87270206492503	24.85054147867923	24.80685943218473	24.78083993799223	25.113342786123628	24.79235699316453	24.79082383558223	24.98693376372499	25.03028579025569	25.12363022656019	24.65675229750979	25.20699206372609	24.90733898299729	24.77077577507469	24.74808076352289	25.17789987954629	24.75495139404859	24.96918577081489	24.84920736275289	24.95583185016279	24.991840095540493	24.87610503711849
