rowname	Ref8537_QC1_20230414_1	Ref8537_QC3_20230414_1	Ref8537_QC4_20230414_1	Ref8537_S11_20230414	Ref8537_S35_20230414	Ref8537_S49_20230414	Ref8537_S52_20230414	Ref8537_S60_20230414	Ref8537_S65_20230414	Ref8537_S69_20230414	Ref8537_S75_20230414	Ref8537_S79_20230414	Ref8537_S82_20230414	Ref8537_S88_20230414	Ref8537_S94_20230414	Ref8537_S100_20230414	Clinspect_E_coli_A_QC1_Slot1-6_1_8640	Clinspect_E_coli_A_QC2_Slot1-15_1_8649	Clinspect_E_coli_A_S7_Slot1-24_1_8673	Clinspect_E_coli_A_S14_Slot1-11_1_8645	Clinspect_E_coli_A_S20_Slot1-20_1_8669	Clinspect_E_coli_A_S29_Slot1-19_1_8667	Clinspect_E_coli_A_S34_Slot1-18_1_8666	Clinspect_E_coli_A_S39_Slot1-26_1_8675	Clinspect_E_coli_A_S47_Slot1-14_1_8648	Clinspect_E_coli_B_QC3_Slot1-23_1_8672	Clinspect_E_coli_B_S58_Slot1-5_1_8639	Clinspect_E_coli_B_S78_Slot1-17_1_8665	Clinspect_E_coli_B_S85_Slot1-12_1_8646	BBM_673_P283_01_VEB_001_R4	BBM_673_P283_01_VEB_002_R3	BBM_673_P283_01_VEB_003_R3	BBM_673_P283_01_VEB_004_R3	BBM_673_P283_01_VEB_005_R3	BBM_673_P283_01_VEB_006_R2	BBM_673_P283_01_VEB_007_R2	BBM_673_P283_01_VEB_009_R2	BBM_673_P283_01_VEB_010_R2	BBM_673_P283_01_VEB_011_R2	BBM_673_P283_01_VEB_012_R2	BBM_673_P283_01_VEB_013_R2	BBM_673_P283_01_VEB_017_R2	BBM_673_P283_01_VEB_024_R3	20230516_EXPL1_LiSc_SA_S610_RT_25_s2	20230516_EXPL1_LiSc_SA_S610_RT_26_s9	20230516_EXPL1_LiSc_SA_S610_RT_29_s24	20230516_EXPL1_LiSc_SA_S610_RT_33_s44	20230516_EXPL1_LiSc_SA_S610_RT_35_s51	20230516_EXPL1_LiSc_SA_S610_RT_36_s56	20230516_EXPL1_LiSc_SA_S610_RT_38_s68	20230516_EXPL1_LiSc_SA_S610_RT_39_s72	20230516_EXPL1_LiSc_SA_S610_RT_41_s81	20230516_EXPL1_LiSc_SA_S610_RT_42_s89	20230516_EXPL1_LiSc_SA_S610_RT_43_s92	20230516_EXPL1_LiSc_SA_S610_RT_44_s96	20230516_EXPL1_LiSc_SA_S610_RT_46_QC2_LabD	20230516_EXPL1_LiSc_SA_S610_RT_47_QC3_LabD	20230516_EXPL1_LiSc_SA_S610_RT_48_QC4_LabD	CVT09_QC2_LabE_X024	CVT09_QC3_LabE_X025	CVT09_s3_X002	CVT09_s10_X003	CVT09_s13_X004	CVT09_s16_X005	CVT09_s28_X007	CVT09_s31_X008	CVT09_s36_X009	CVT09_s50_X011	CVT09_s59_X013	CVT09_s61_X014	CVT09_s73_X016	CVT09_s77_X017	CVT09_s84_X018
A5A614	18.08547165307155	17.53145753778495	17.07863087800905	18.00104553171585	18.32292768382755	17.90704764093935	17.42975756156465	17.80135249262185	17.61207297274455	17.795719023012552	17.61025765245505	17.36597140682985	17.61358556174275	17.61356678154175	17.43053597594005	17.61000351350605	17.933343175525366		17.874785787603468	18.67786566618367	18.41518999964157	18.36078682869717	17.60502971490007		18.61352659100997	17.778265613146168				19.06602540321749	18.625897704831694	18.071213549135997	18.754441528091192	18.314935961103597	18.49074014599619	18.40688067468549	17.512426669078895	18.590376248755398	18.27336787808329	18.088404014840396	16.770879117455493	17.133569265825294	17.140207383893795	18.19559670922783	17.906008564603727	18.282214889929328	18.12697801075213	17.476845795826428	17.76571696262213	17.36183164708513	17.643039092128628	17.389153084352728	17.36509895643933	17.576042300818127	17.588058481752228	18.30386873459633	17.653955287168927	17.46293046746553	18.45748846854686	18.23486678576996	18.27294620624756	17.85966257133236	18.16543674168436	18.45119852111316	18.14459675407386	18.12526266697856	18.22986793108026	18.63923036623736	17.16326419334316	17.80006002294896	17.43736648950786	17.398506643376358	17.57167607227976
O32583	18.68915740085736	18.351043276469163	17.476821360459162	19.530836559132663	19.27098212562136	19.078269100190862	18.35409078834046	18.26270561837116	18.28030754745086	18.27344175951876	18.628708892285363	18.195343586446963	18.16050159243726	17.914318697118063	18.26567783387486	18.10229072914366	19.081062833060358	18.99422495306056	19.156289761900556	18.944939459415657	18.810419537780355	19.229808951422257	19.27461028693365	18.545801815514157	18.314849277339057	18.76774604972076	18.001936990518654	18.204024489686056	18.467712166919256	19.20614301757204	18.830595909821746	19.180809502577944	19.701332958099044	18.214334726693743	19.200477193169643	19.509936846798443	18.05712867658544	19.383735591971742	18.965371347415644	19.16514103720804	18.369145280461744	17.729479292476043	17.997507111311343	18.16734919230433	19.24824603638473	18.906611549736837	19.04965330407593	18.346671772088733	18.19339461239443	18.63866719637183	18.379840499513733	18.35597434497993	18.229745273284436	18.49495488489333	17.99610841614633	18.996728095243032	18.030782442005837	18.294438817496733	19.04204636481001	19.764208655164907	18.75764927060961	18.30300218105521	19.109494379013707	19.027377104425607	19.31823868863441	19.07985050811091	18.533079798946908	18.590011683590607			18.520346568086108		
P00350	25.23360276968181	25.429761279124907	25.476276142924903	25.267410138645207	25.322858986175707	25.313360249673504	25.425954837514706	25.496410222400307	25.642680018038902	25.393732333814903	25.639847504533407	25.54412946696321	25.489859126957903	25.505546699766008	25.557668361743307	25.509063215589407	25.37830801025052	25.356217758379614	25.282280325168216	25.35760638139332	25.366234219839715	25.43596192645332	25.31451025700872	25.39647699375181	25.373605004531115	25.27572922083812	25.654473674352115	25.05073030368712	25.555533356868217	25.29489003931244	25.294231134564143	25.372058983312044	25.251148747985344	25.327886688745345	25.299355715727444	25.18484213144294	25.369076100176343	25.23960679120294	25.320923014280243	25.371817949814343	25.479990310991845	25.54835431933524	25.564310991601943	25.34509996449117	25.28111101739787	25.31291634822077	25.25214417740517	25.450657030906168	25.49384855227097	25.50947901875557	25.49409363764337	25.50833236505347	25.50752065131487	25.510560259256568	25.47555380390837	25.34641212441067	25.52492326278617	25.54522434787847	25.31400671656137	25.343455834025765	25.376886371269165	25.170180271663764	25.397427902795663	25.238039180221165	25.120169656791766	25.219571994434567	25.441112428857664	25.232360774072365	25.603547835257064	25.51225746245477	25.571107202612566	25.556810167624665	25.511843911811365
P00363	23.488475602070704	23.508184064965505	23.344000420716807	22.848884108262403	23.110215131239304	23.399441138975305	23.330066182990304	23.090417031511706	23.192810068418005	23.348194625770606	23.002335300613407	23.204031362170905	23.150877862946302	23.381771560171103	23.166922829521702	23.095359831297703	23.40719845059605	23.154952850728748	23.518944922032848	23.18585840447025	23.654710874288448	23.215618753194747	22.999031365468248	23.433777222276547	23.53474655364525	23.306343332757148	23.022032034051342	22.871188925404542	23.36785650046165	23.41822108058845	23.42278219421055	23.46456265103535	22.631507700554952	24.073254324836157	23.36076529834545	22.761217295605157	23.804685901235157	23.12124781540075	23.274164372079756	23.270102513226757	22.97910012160295	23.23850614411005	23.29311563903115	23.613603448827263	23.17055027983447	23.166759282280868	23.12214325187707	23.023713009723867	23.08274627198367	23.164560948181467	23.16876186235717	23.146862401083467	23.09479723303377	23.34812417067397	23.40002647348117	23.32112666418497	23.512902551219067	23.24793413078367	23.42354305753083	23.379563643018027	23.55568390798483	23.11664135345733	23.364119024478526	23.451548363700528	23.087849790682828	23.154108490861727	23.62863479111593	23.360929614750223	23.126825809428727	22.961720401472327	23.30650512120013	23.12385109501953	23.14908372804953
P00370	24.361663212971493	24.929576010385293	24.768016223046192	24.070519803919996	24.00963339626489	24.006777385427192	24.92354840233289	24.85044504221459	24.829157915850796	24.27401599386739	24.675952282938397	24.777952532664397	24.960715259170392	25.149434056567493	24.30138800671139	24.859357051326693	24.21909078360089	24.29842507473139	24.26373500515049	24.126788121611792	24.40276100390999	24.29610880510269	24.316801880730893	24.291654482726592	24.35092017154659	24.66179084077489	24.80020510059729	24.29448205049669	24.82410228002439	24.356229616388017	24.19042714809672	24.151019410918018	24.32034779417012	24.800821806618217	24.25976629365572	24.058428177009816	24.51970438066312	24.00616141300672	24.25763099956532	24.171715660348017	24.31259980483652	24.774642102637618	24.73251929079092	24.45287999487647	24.04948485276027	24.23448070204777	24.14214208250527	24.557250243415368	24.59774103102397	24.56019703392277	24.70183591146747	24.80801492758507	24.68915626650427	24.98310507543037	24.901238029013868	24.21866960083587	24.93787345737987	24.701887227985768	24.25147186123083	24.07889131684673	24.43766764169663	23.96383223334223	24.28821853096803	24.27368717654523	24.11828467637403	24.13585452216683	24.529386950674333	24.37032146253413	24.77195613295473	24.677294118275636	24.77130479028483	24.76299977348033	24.693038843264432
P00393	22.72666750506861	22.60181188049561	22.69458277121261	22.76133925698221	22.59352655488191	22.435612316661317	22.56542004690441	22.64622709494371	22.495682904449517	22.23287620423261	22.63917160748101	22.50703167566931	22.70598378022251	22.77421750661131	22.383093415410112	22.67176044546581	22.344583947886655	22.76501510625116	22.58933996284096	22.48418372903506	22.45118882673726	22.53053363788936	22.648412822024657	22.62871324808296	22.39495739659056	22.679987099053054	22.706216812895654	22.45938168120536	22.684229358987658	22.452156060743228	22.42523996341063	22.755148781144527	22.61019870173503	22.50214967602123	22.475467586369827	22.580692882935328	22.605834079044627	22.511854539957028	22.612086217427727	22.641259346402627	22.363444537042827	22.68104505754673	22.648793769299527	22.44895716769622	22.63509277358872	22.561683766169324	22.544557164733224	22.589224364272923	22.53140206982362	22.517739645937223	22.60125736762092	22.595058137482223	22.62311241549522	22.62179507161242	22.689870720487423	22.61868856684272	22.638590591500822	22.563244307164624	22.57494291717348	22.66339457668158	22.61973925117348	22.371744523509975	22.70079435938678	22.42463322687728	22.40173801376478	22.42748624697348	22.62143524449488	22.33476791968268	22.56233367213388	22.73847812638718	22.62693554622238	22.70717652974968	22.74450188235138
P00448	24.96660458771822	24.41116838580682	24.36459144419372	25.59681336318242	24.96478132212622	25.48659957208962	24.45169703897842	24.30435020044682	24.59136048412602	24.56442833438712	24.66829583141402	24.86152733900592	24.560903753325015	24.38715071362282	24.71492874697662	24.56423638570192	25.01856814363986	24.81411184256726	24.640320060356963	25.606442056546665	25.441197182087663	24.781920019772866	24.98383553206856	25.066002849513463	25.484156812966663	24.85592274290376	24.933099398810963	24.72478768639506	24.95364648399976	25.12983753396999	25.107385250141693	25.18971366948249	25.67890034507879	24.537456921760796	25.43535084994599	25.563165986601494	24.56718217864749	25.57291995713929	25.33515033830529	25.37673528200219	24.48949088389229	24.75486422975589	24.49739939839679	25.078939613205	25.4327550980386	25.3899500238486	25.610137732660498	24.596059554153097	24.6321314131644	24.2598476301844	24.412899875265698	24.4459747587396	24.6354668698778	24.546051706748496	24.169429311415097	25.2391392434294	24.5726885404826	24.589842117879098	25.33053975973423	25.357912095971827	24.82129194021703	25.79892421386703	25.368702069564627	25.290571337949327	25.49389065580423	25.470077788519628	24.95886304003263	25.258858204038628	24.45038461349683	24.39216270764483	24.159299709187028	24.554874082408727	24.377324617054327
P00452	22.919125475430526	22.64038563082643	22.747090026266527	23.045949121655028	22.834852504285926	22.65900327380663	22.685684727216227	22.75490389195283	22.76012355193553	22.171547728348926	22.900833869549427	22.61675059644803	22.820341534548827	22.770527050395827	22.50790313065883	22.76450662111233	22.87494379215472	22.84092235089532	22.748895196985217	22.999792526994817	22.88350059971122	22.94223190093782	22.85502798039522	22.75264027377922	22.73666068476512	22.43267581264892	22.99113463583962	22.178142159765123	22.93186470930952	22.677616830354765	22.82105999122516	22.893370697877064	22.941928515897665	22.54171981479096	22.694306095707763	23.011402681228265	22.965339050358462	22.826967769722465	22.914008201458465	22.970512011772264	22.261897858186064	22.914149508999564	22.685502773073964	22.734785561102576	22.95217209594228	22.86753390563608	22.82549587181708	22.730506605724575	22.671750219567176	22.76988527779308	22.65816564237498	22.66833988485857	22.65721676964438	22.670640459117976	22.67985815723448	22.848862880258174	22.67575131862128	22.625292569507977	22.80491883653761	22.75845343384581	22.85401817120971	22.50919609995181	23.00181809533191	22.72021418113901	22.60537844889161	22.65329671289781	23.03678015114941	22.53290673619691	22.86482132601381	22.78456252153171	22.90388252976351	22.85590755045251	22.79689852989731
P00490	22.298244232274765	22.92613240541477	23.06184620135657	22.583261897078263	22.195404085982567	22.27301949803357	22.949672514941067	22.88230037625597	22.926672671641168	22.679217725236267	22.852366467850665	23.051766157122568	22.99154639202757	23.022021231516067	22.930223443517868	23.055260118934765	22.08741167336914	22.28523056986984	22.31103922797574	22.25428412507964	22.04199855955744	22.32404891244844	22.348372058261734	22.391693821291145	22.06300882713814	22.94424997820664	23.029200027432736	22.93634205875474	23.19491712843454	22.047371837783185	22.060120977993883	22.292949350522285	22.357400627180983	22.217244503609383	22.165887051963484	22.333873797625785	22.367274632052084	22.263342965166085	22.259421785433084	22.378746581726784	22.866913047602285	23.036215876360185	23.11273037921329	22.045052030751204	22.382207881429306	22.347374066331703	22.3391424855319	22.9107437775923	22.866926796027403	22.886599704736003	22.914693583248503	23.0018841144261	23.0168767630823	23.013115387166103	22.9983361512926	22.323117888052103	22.986394282112304	22.964957026674305	22.29024006228931	22.31349263490481	22.20967195078631	22.07686548791141	22.32494438763161	22.17512707603791	22.31277405954971	22.22425320281751	22.26336652084451	22.27176144504011	22.94000876602371	22.96486539684511	22.99746581063821	23.02163001357481	23.05456006992651
P00509	25.13008766850428	24.60444932008817	24.72627681024828	25.153811490921576	25.14481754250568	24.900319555486075	24.63871697237228	24.813978542773977	24.88420685199248	24.63711164900717	25.001020447356776	24.747372972679376	24.973709384081275	24.808653528309275	24.66377529573437	24.896671652980675	24.85491095773332	25.14111794065772	24.96851775247032	25.11268958057452	25.17617908394832	25.053095601029018	25.155350433015418	24.96217579227772	24.904538926373817	24.58901450466612	24.910831696400415	24.41651289213202	24.95416202232282	24.837127599281988	24.89602669609499	25.10659500807219	24.95786277854539	25.10447916505899	24.99365957666459	24.96288482331589	24.940473614915888	24.890226897206688	25.06101836659509	25.11103591495549	24.63414707241929	24.920828163020488	24.95936266213479	24.81433145287268	25.07746857149368	25.010867114421774	24.88483172457318	24.825451012231778	24.80613398299888	24.84404756685758	24.82429901687518	24.87270206508638	24.85054147884058	24.80685943234608	24.78083993815358	25.113342786284974	24.79235699332588	24.79082383574358	24.98693376371964	25.03028579025034	25.12363022655484	24.65675229750444	25.20699206372074	24.90733898299194	24.77077577506934	24.74808076351754	25.17789987954094	24.75495139404324	24.969185770809545	24.849207362747546	24.95583185015744	24.991840095535142	24.876105037113145
