rowname	BBM_673_P283_01_VEB_001_R4	BBM_673_P283_01_VEB_002_R3	BBM_673_P283_01_VEB_003_R3	BBM_673_P283_01_VEB_004_R3	BBM_673_P283_01_VEB_005_R3	BBM_673_P283_01_VEB_006_R2	BBM_673_P283_01_VEB_007_R2	BBM_673_P283_01_VEB_009_R2	BBM_673_P283_01_VEB_010_R2	BBM_673_P283_01_VEB_011_R2	BBM_673_P283_01_VEB_012_R2	BBM_673_P283_01_VEB_013_R2	BBM_673_P283_01_VEB_017_R2	BBM_673_P283_01_VEB_024_R3
A5A614	19.066025403217495	18.625897704831694	18.071213549135994	18.754441528091192	18.314935961103593	18.49074014599619	18.406880674685492	17.512426669078895	18.590376248755394	18.27336787808329	18.088404014840393	16.770879117455493	17.133569265825294	17.140207383893795
O32583	19.206143017572042	18.830595909821742	19.180809502577944	19.701332958099044	18.214334726693743	19.200477193169643	19.509936846798443	18.057128676585442	19.383735591971742	18.965371347415644	19.16514103720804	18.369145280461744	17.729479292476043	17.997507111311343
P00350	25.294890039312442	25.294231134564143	25.372058983312044	25.251148747985344	25.327886688745345	25.299355715727444	25.18484213144294	25.369076100176343	25.23960679120294	25.320923014280243	25.371817949814343	25.479990310991845	25.548354319335242	25.564310991601943
P00363	23.418221080588452	23.42278219421055	23.46456265103535	22.631507700554952	24.073254324836153	23.360765298345452	22.761217295605153	23.804685901235153	23.12124781540075	23.274164372079753	23.270102513226753	22.97910012160295	23.23850614411005	23.29311563903115
P00370	24.356229616388017	24.190427148096717	24.151019410918018	24.320347794170118	24.800821806618217	24.259766293655716	24.058428177009816	24.519704380663118	24.006161413006716	24.25763099956532	24.171715660348017	24.312599804836516	24.774642102637618	24.73251929079092
P00393	22.452156060743228	22.42523996341063	22.755148781144527	22.61019870173503	22.50214967602123	22.475467586369827	22.580692882935328	22.605834079044627	22.511854539957028	22.612086217427727	22.641259346402627	22.363444537042827	22.68104505754673	22.648793769299527
P00448	25.12983753396999	25.107385250141693	25.18971366948249	25.67890034507879	24.537456921760793	25.43535084994599	25.563165986601494	24.567182178647492	25.57291995713929	25.33515033830529	25.37673528200219	24.48949088389229	24.754864229755892	24.49739939839679
P00452	22.677616830354765	22.821059991225162	22.893370697877064	22.941928515897665	22.541719814790962	22.694306095707763	23.011402681228265	22.965339050358462	22.826967769722465	22.914008201458465	22.970512011772264	22.261897858186064	22.914149508999564	22.685502773073964
P00490	22.047371837783185	22.060120977993883	22.292949350522285	22.357400627180983	22.217244503609383	22.165887051963484	22.333873797625785	22.367274632052084	22.263342965166085	22.259421785433084	22.378746581726784	22.866913047602285	23.036215876360185	23.112730379213286
P00509	24.837127599281988	24.89602669609499	25.10659500807219	24.95786277854539	25.10447916505899	24.99365957666459	24.96288482331589	24.940473614915888	24.890226897206688	25.06101836659509	25.11103591495549	24.63414707241929	24.920828163020488	24.95936266213479
P00547	24.191799022791827	24.179385845781425	24.238495166469427	24.169279885711923	24.347879499380625	24.31896191166083	24.280533038901225	24.415241543938528	24.178461252910623	24.123396578948423	24.144167909242725	24.149573284859926	23.922259975738825	24.077257835599923
P00550	21.546903333620136	21.695116664799635	21.786482341651734	21.856969073707436	21.933138818738335	21.741426359494934	21.724572432455734	21.886011072214835	21.822303743507234	21.742117512655536	21.871919704548734	21.102950409186736	21.579419617386733	21.438387359184834
P00561	25.693959347587594	25.777816690066295	25.694765953991695	26.017407122264895	25.683741255621594	25.746524980098194	25.959756305428392	25.860087626229994	25.717594632290496	25.706281783760893	25.775477369696294	25.078184390543793	25.501461991872393	25.551903115895094
