rowname	20230516_EXPL1_LiSc_SA_S610_RT_25_s2	20230516_EXPL1_LiSc_SA_S610_RT_26_s9	20230516_EXPL1_LiSc_SA_S610_RT_29_s24	20230516_EXPL1_LiSc_SA_S610_RT_33_s44	20230516_EXPL1_LiSc_SA_S610_RT_35_s51	20230516_EXPL1_LiSc_SA_S610_RT_36_s56	20230516_EXPL1_LiSc_SA_S610_RT_38_s68	20230516_EXPL1_LiSc_SA_S610_RT_39_s72	20230516_EXPL1_LiSc_SA_S610_RT_41_s81	20230516_EXPL1_LiSc_SA_S610_RT_42_s89	20230516_EXPL1_LiSc_SA_S610_RT_43_s92	20230516_EXPL1_LiSc_SA_S610_RT_44_s96	20230516_EXPL1_LiSc_SA_S610_RT_46_QC2_LabD	20230516_EXPL1_LiSc_SA_S610_RT_47_QC3_LabD	20230516_EXPL1_LiSc_SA_S610_RT_48_QC4_LabD
A5A614	18.19559670922783	17.906008564603727	18.282214889929328	18.12697801075213	17.476845795826428	17.76571696262213	17.36183164708513	17.643039092128628	17.389153084352728	17.36509895643933	17.576042300818127	17.588058481752228	18.30386873459633	17.653955287168927	17.46293046746553
O32583	18.167349192304332	19.24824603638473	18.906611549736834	19.04965330407593	18.346671772088733	18.19339461239443	18.63866719637183	18.379840499513733	18.35597434497993	18.229745273284433	18.494954884893332	17.99610841614633	18.996728095243032	18.030782442005833	18.294438817496733
P00350	25.34509996449117	25.28111101739787	25.31291634822077	25.25214417740517	25.450657030906168	25.49384855227097	25.50947901875557	25.49409363764337	25.50833236505347	25.50752065131487	25.510560259256568	25.47555380390837	25.34641212441067	25.52492326278617	25.54522434787847
P00363	23.613603448827266	23.17055027983447	23.166759282280868	23.12214325187707	23.023713009723867	23.08274627198367	23.164560948181467	23.16876186235717	23.146862401083467	23.09479723303377	23.34812417067397	23.40002647348117	23.32112666418497	23.512902551219067	23.24793413078367
P00370	24.45287999487647	24.04948485276027	24.23448070204777	24.14214208250527	24.557250243415368	24.59774103102397	24.56019703392277	24.70183591146747	24.80801492758507	24.68915626650427	24.98310507543037	24.901238029013868	24.21866960083587	24.93787345737987	24.701887227985768
P00393	22.44895716769622	22.63509277358872	22.561683766169324	22.544557164733224	22.589224364272923	22.53140206982362	22.517739645937223	22.60125736762092	22.595058137482223	22.62311241549522	22.62179507161242	22.689870720487423	22.61868856684272	22.638590591500822	22.563244307164624
P00448	25.078939613204998	25.432755098038598	25.3899500238486	25.610137732660498	24.596059554153097	24.632131413164398	24.2598476301844	24.412899875265698	24.4459747587396	24.6354668698778	24.546051706748496	24.169429311415097	25.2391392434294	24.5726885404826	24.589842117879098
P00452	22.734785561102576	22.952172095942277	22.867533905636076	22.825495871817076	22.730506605724578	22.671750219567176	22.769885277793076	22.65816564237498	22.668339884858575	22.65721676964438	22.670640459117976	22.679858157234477	22.848862880258178	22.675751318621277	22.625292569507977
P00490	22.045052030751204	22.382207881429302	22.347374066331703	22.3391424855319	22.9107437775923	22.866926796027403	22.886599704736003	22.914693583248503	23.0018841144261	23.0168767630823	23.013115387166103	22.9983361512926	22.323117888052103	22.986394282112304	22.964957026674302
P00509	24.81433145287268	25.07746857149368	25.010867114421778	24.88483172457318	24.825451012231778	24.80613398299888	24.84404756685758	24.82429901687518	24.87270206508638	24.85054147884058	24.80685943234608	24.78083993815358	25.113342786284978	24.79235699332588	24.79082383574358
P00547	24.387641870838465	24.29232861642376	24.37906582746026	24.235134025700162	23.88499193955606	23.849698685886565	23.89581458092936	23.876696725786964	23.851870235679463	23.97579703785496	23.96571381519636	23.882926671718465	24.139532265641066	23.854843529986262	23.952073634414063
P00550	21.66394885452972	21.81350117562452	21.81963290807732	21.92283474337302	21.44584101794572	21.448184288467022	21.36719419965022	21.39808842067082	21.48414055675002	21.39823197262032	21.33066402570072	21.34961749270482	21.77972466841192	21.30991555629282	21.45488774480642
P00561	25.71665691840944	25.72534326772114	25.89035207099094	25.80274985410394	25.45354178979734	25.40131217068134	25.35716071848304	25.417695167069542	25.46066657866704	25.42825815807974	25.47940728717074	25.48825890583354	25.71221924572124	25.41845596124514	25.42713259068564
P00562	22.01455862843378	21.767006059332378	21.67902415104648	21.68722720634408	22.35971973253968	22.264787065951477	22.30826078183748	22.32500126310898	22.31196114529848	22.250900363036077	22.378994504023378	22.45409063341358	21.81849451109088	22.42634205686728	22.24038262940728
P00579	22.769756991147922	22.74051678589642	22.74907194626872	22.77470275971282	22.807376435155323	22.774515877657322	22.816615664884623	22.82696327303812	22.840548543636523	22.78210933679162	22.79708055927902	22.76656576590372	22.74078867995412	22.74836095072862	22.791744568471422
P00579;P13445	19.016277363155318	19.70993164889362	19.443494349888716	18.895667589764518	19.90439812934502	19.759645277573018	19.720061487415517	19.90839128832342	19.907701369811416	20.093024063796516	19.77077351961452	19.740364554160617	19.415195275729317	19.898137964169518	19.640154964365518
P00582	22.1772510288804	22.3024741016948	22.2536402486822	22.2428737355176	22.1230365365964	22.1488791747551	22.142165088625596	22.062862443328097	22.082804228603198	22.063269926158497	22.062992014451297	22.0910934346607	22.232301333242496	22.166622404525498	22.111645805265397
P00634	19.92642119431911	20.28819935624941	20.21753195307351	20.257211479560613	19.814433758857312	19.769022479679112	19.731240907315712	19.778408451187413	19.81343933410941	19.708140435525614	19.854568309568414	19.70845184560931	20.15918958754561	19.75787100220641	19.784139659443714
P00803	21.81904472274499	21.742003755743493	21.64802539259309	21.764095541054992	21.642952529515593	21.599822320421293	21.682851182036792	21.54887627870699	21.676950301669894	21.601240657348193	21.622383683522592	21.56862533520989	21.685048863138793	21.651196051500392	21.700771276915393
P00805	23.698113521726146	23.326581985742845	23.169099357007347	23.024287820455545	21.754175237586946	21.706631435929644	21.720175545123045	22.078081674643744	21.942033514844447	21.966388671533746	22.336851529552746	22.231423862088544	23.481840739287044	22.362626377629347	22.027593013255647
P00811	20.287913676150826	20.279287983508727	20.263664181538527	20.213793598630325	20.240960921202127	20.271504499145227	20.326337909086426	20.198051881596125	20.226601842865726	20.280581158049227	20.212741908903524	20.180837086192824	20.241049985614627	20.274183451039526	20.265803362901327
P00861	20.523323822994225	20.504384609288124	20.527499930649725	20.398212259602023	21.123152852412325	21.133078253825524	21.135908364090426	21.142002298465822	21.127114923869126	21.087957027462423	21.151854508588123	21.258427582883023	20.569700711730626	21.116302573782622	21.017945201959126
P00864	24.296098395549997	24.205575299982797	24.2790122399588	24.152797362926897	25.5239890530336	25.4999579380994	25.4892508045537	25.4763186323721	25.536683939784897	25.515733820949897	25.547681580762198	25.636992271546397	24.3132046198708	25.626330234863097	25.5073349140818
P00887	22.7684997568844	22.6432582932406	22.6597250567965	22.6248380336482	22.6739430262375	22.6957236665321	22.687933352581	22.719530368302	22.6824561100607	22.6594984210701	22.7223974059485	22.7736080954149	22.7337228055135	22.723807113937198	22.6655035568807
P00888	22.945447816356833	23.379560469043234	23.331545081716033	23.29551478418963	22.67775418758013	22.572040010760233	22.72888136538103	22.617724669371732	22.398488018367033	22.348431363881232	22.51360513549623	22.62413330014603	23.477848036038733	22.857291351699732	22.623041156986933
P00888;P0AB91					20.142306987599447		20.91484438203105		21.04439885147485		21.038362265090047				22.290514950138547
P00893	22.1033021172511	22.309688568279	22.213745670996303	22.1418932173848	22.641010250919603	22.6370319840556	22.661476418999303	22.59475515966	22.6380973406075	22.580736988975303	22.555411486789403	22.5941969721977	22.2015341904291	22.5960612909499	22.607411106872803
P00894	21.958319774363307	21.96283537293741	21.971563724791608	21.75995769301131	22.41792905442511	22.465943140051408	22.42351195095331	22.44755907493621	22.393582526980808	22.404952490134807	22.46404729914621	22.41073223202951	22.03208418029261	22.370560781025308	22.467361186738607
P00895	22.34939079233397	22.54797141364177	22.48122932452507	22.48489114335887	22.689119013443868	22.710974572160268	22.84409551725797	22.72165345980697	22.70300312596367	22.60266174424417	22.74757688331487	22.78296619855887	22.52431993206027	22.80112657929697	22.714374180226468
P00903	18.218744657016703	18.499264160460303	18.326157599437703	18.423554518625604	18.272886211063305	18.312147555293706	18.231616304975805	18.073437784976104	18.431931405842004	18.380398942505305	18.268279292164404	18.439743308184806	18.331311546744406	18.246177835056002	18.244619134103804
P00904	22.55721913359088	22.78012657308378	22.74428883730408	22.78146226835128	22.87821117124438	22.85764005203348	22.95252134282828	22.86546043271188	22.75660923940898	22.75360704554048	22.80046554607678	22.88229042948478	22.71984066441458	22.86961604288098	22.75396633250928
P00909	22.534816633342217	22.760873955358115	22.712868627293616	22.75189926332721	22.834770153283813	22.864562136011614	22.951001285849614	22.855295710716412	22.765280989308614	22.794617368258415	22.855608531306814	22.86746788952471	22.720825918427316	22.935717287476812	22.785604549819013
P00914	18.614490077292288	18.90775425415279	18.90757416918259	19.01291950730909	18.773425813795388	18.918081651844187	18.834737635928686	18.818123562959588	18.724156570048386	18.74539106164209	18.613998617872188	18.636039853851287	18.713032192874287	18.696572154810386	18.797734044808788
P00926	18.86926475396856	18.988142779194863	19.009650525715763	19.10511069788606	19.34232825230326	19.323316684146164	19.35330815229146	19.292503876905563	19.338989319598664	19.37905965755846	19.348441470293164	19.315924735578964	19.000129833978963	19.249481587227663	19.254873213673363
P00934	25.449613216073253	25.47458156179125	25.525042719752953	25.55034224313725	25.028377234798153	25.047042921678152	25.01726913297525	24.986218717016552	25.04841791581985	25.00203268419915	25.07214673025195	24.98152315256475	25.33218769426645	25.066689948836352	25.09398437590855
P00935	22.759286403602218	22.71101516200632	22.55677081298112	22.655384661977223	22.642966794628222	22.59791049877532	22.56464410907902	22.68197855692602	22.66116894653512	22.63404499524752	22.691996093925923	22.72886904036872	22.63763989741642	22.755016930556117	22.59365348537792
P00936	20.466271724694785	20.536819310241082	20.526096537374183	20.446968586299185	21.479003543144785	21.359128374460084	21.355787014235084	21.347788212600083	21.415340104372582	21.379374103102283	21.410214148525785	21.536142332738283	20.406653480885282	21.315268203482784	21.104529749249984
P00944	18.2058704806413	18.261056959973196	18.20880171966	18.271209524721996	17.4421854924958	16.8452048817061	16.329256900800896	17.522432888256297	17.150208648318497	17.307518554854898	16.8245358777323	16.735415294027398	18.375294659252198	16.940334345616698	17.3911045005902
P00946	23.42426128994839	23.24649090785049	23.279163339947193	23.22733188878309	22.956019063241293	22.960128169256393	22.982696098288493	22.970493164424692	22.926253183857092	22.886939256219392	23.06318686248689	23.037308043777593	23.362369575422992	23.08679254732019	23.00560432334149
P00954	22.947686685723998	22.897593188369797	22.899940571551497	22.886067478256496	23.203872969193796	23.188468327078596	23.199244096190498	23.115159225446895	23.130995153514696	23.140609244379196	23.159721455828098	23.172656067907898	22.973072432010795	23.145451190446998	23.2358758306704
P00956	24.880549837799258	24.571989177824456	24.549257570467855	24.467446924766257	24.268137948361158	24.246750290731455	24.316513574249456	24.229952916717256	24.253591823878956	24.267595628847157	24.248638119642557	24.313369165510057	24.615274523876156	24.361405056462456	24.282203313691358
P00957	23.57788402768918	23.531967344050678	23.54531274391168	23.553030600084377	23.765497807546375	23.751501907992278	23.724235842360073	23.696842849248576	23.74196482671718	23.692899614411076	23.733081070812574	23.767005376288274	23.583216505425973	23.77155061202798	23.76098708834158
P00959	23.487860029503565	23.332218696434065	23.374148851504465	23.349760862499863	23.718708146602964	23.729992302532665	23.721668394977865	23.726005277080365	23.719053822062264	23.700911709854562	23.749086940233664	23.769381265352564	23.394773808198163	23.714980705593064	23.700811704132864
P00960	23.095290890689952	23.097465102076256	23.054840701869658	22.976340074700353	23.146409145390656	23.155135272326255	23.161732514793258	23.156191334253457	23.210962002960052	23.146556401308956	23.127337884800852	23.183817851640455	23.150156291081053	23.169257971607053	23.098041248993958
P00961	24.293774316382724	24.288412837860726	24.245688987614326	24.280175540203626	24.283008536021125	24.307278526011125	24.300963067716523	24.221695978094026	24.267972917827123	24.263453098747025	24.240040944623026	24.255397382934426	24.319658989431925	24.331397140663125	24.302575174279824
P00962	22.99944419613823	22.97935094365303	22.959387225061633	22.838198420475432	23.192274784644532	23.18144958818513	23.224333120230533	23.229773073564733	23.176407581446732	23.16661006310003	23.18952188488583	23.22978185947653	22.961060578230533	23.25051619549973	23.15842663955513
P00963	22.94598991921768	22.87065452477298	22.77381380650258	22.77921449889848	23.52713567640388	23.61686295542718	23.49864554546988	23.42770689531118	23.14921905376788	23.27864772207458	23.26815025448818	23.243224428859378	22.92496553605028	23.47586308482308	23.35645608365548
P00968	24.579245779890115	24.671511037952015	24.590437393600617	24.635413660544913	25.127864541443415	25.164088872506717	25.093574928207417	25.057059113970716	24.992717897601516	24.967557138147214	24.999013363833015	25.019020330449713	24.679969657612418	25.135725938926015	25.102994432546915
P02358	25.32180994799893	25.42007526539983	25.41419056929663	25.356820959909232	25.74043933806303	25.85292127868723	25.64949307248003	25.94472517664503	25.79918244556243	25.88663714131783	25.81634751112123	25.766566148349632	25.384305566049232	25.78698696051333	25.78589729053613
P02359	25.95383853971638	26.07361265290828	25.95321681784568	25.79733098121148	26.37966858290058	26.495655482655682	26.49756473762658	26.39946811620008	26.38148693176488	26.49666104926758	26.44445448525308	26.31932163764738	26.05700505197408	26.46834007012498	26.47093378585998
P02413	25.291359194998932	25.291544419856432	25.280647037316132	25.108081858221436	25.801332596386633	25.762480599762334	25.844623496301836	25.732788720510534	25.725561949584534	25.713819098171236	25.711531427856634	25.727016523770136	25.339850764823336	25.748183486260032	25.811025925585035
P02916	17.735594905766888	18.118490694599988	18.14927570518519	18.16083881396959	18.306552747607288	18.03082195569519	18.01572722199159	18.214516849004188	18.39098091031289	18.29121754549609	18.49659802158799	18.596561394561288	17.91211002546369	18.57511803490299	18.51910573066979
P02918	20.95291701965393	20.94747215253503	20.96480015980013	21.01793388373753	20.92885301000333	20.890933438436033	20.87215544397603	20.83828774119523	20.827248665342733	20.764276559221333	20.792412953264332	20.825716981665433	20.91220631793773	20.858573117362532	20.851619671430132
P02919	21.51189479008508	21.35840949690868	21.343920004805582	21.33924765153518	21.11578127315618	21.11138064463678	21.098618864257983	21.06824514321558	21.05177024829778	21.092919205347982	21.053094486971283	21.082834702938783	21.31732629936878	21.11411838206628	21.067826913129583
P02924	20.777219167178565	20.84032701120276	20.636019181751365	20.792993741098165	18.41255186769706	18.322642323003464	18.263693017405565	18.684230307677062	18.430404539062764	18.388335642217562	17.968668043653963	18.231368707820664	20.742459503542264	18.015681776430164	18.447296105187462
