rowname	CVT09_QC2_LabE_X024	CVT09_QC3_LabE_X025	CVT09_s3_X002	CVT09_s10_X003	CVT09_s13_X004	CVT09_s16_X005	CVT09_s28_X007	CVT09_s31_X008	CVT09_s36_X009	CVT09_s50_X011	CVT09_s59_X013	CVT09_s61_X014	CVT09_s73_X016	CVT09_s77_X017	CVT09_s84_X018
A5A614	18.45748846854686	18.23486678576996	18.27294620624756	17.85966257133236	18.16543674168436	18.45119852111316	18.14459675407386	18.12526266697856	18.22986793108026	18.63923036623736	17.16326419334316	17.80006002294896	17.43736648950786	17.398506643376358	17.57167607227976
O32583	19.04204636481001	19.764208655164907	18.75764927060961	18.30300218105521	19.109494379013707	19.027377104425607	19.31823868863441	19.07985050811091	18.533079798946908	18.590011683590607			18.520346568086108		
P00350	25.314006716561366	25.343455834025765	25.376886371269165	25.170180271663764	25.397427902795666	25.238039180221165	25.120169656791766	25.219571994434567	25.441112428857664	25.232360774072365	25.603547835257064	25.512257462454766	25.571107202612566	25.556810167624665	25.511843911811365
P00363	23.42354305753083	23.379563643018027	23.55568390798483	23.11664135345733	23.364119024478526	23.451548363700528	23.087849790682828	23.154108490861727	23.62863479111593	23.360929614750226	23.126825809428727	22.961720401472327	23.30650512120013	23.12385109501953	23.14908372804953
P00370	24.25147186123083	24.078891316846732	24.43766764169663	23.96383223334223	24.28821853096803	24.27368717654523	24.11828467637403	24.13585452216683	24.529386950674333	24.370321462534132	24.77195613295473	24.677294118275633	24.77130479028483	24.76299977348033	24.693038843264432
P00393	22.57494291717348	22.66339457668158	22.61973925117348	22.371744523509978	22.70079435938678	22.42463322687728	22.40173801376478	22.42748624697348	22.62143524449488	22.33476791968268	22.562333672133878	22.73847812638718	22.62693554622238	22.70717652974968	22.74450188235138
P00448	25.33053975973423	25.357912095971827	24.82129194021703	25.79892421386703	25.368702069564627	25.290571337949327	25.49389065580423	25.470077788519628	24.95886304003263	25.258858204038628	24.45038461349683	24.39216270764483	24.159299709187028	24.554874082408727	24.377324617054327
P00452	22.80491883653761	22.75845343384581	22.85401817120971	22.50919609995181	23.00181809533191	22.72021418113901	22.60537844889161	22.65329671289781	23.03678015114941	22.53290673619691	22.86482132601381	22.78456252153171	22.90388252976351	22.85590755045251	22.79689852989731
P00490	22.29024006228931	22.31349263490481	22.20967195078631	22.07686548791141	22.32494438763161	22.17512707603791	22.31277405954971	22.22425320281751	22.26336652084451	22.27176144504011	22.94000876602371	22.96486539684511	22.99746581063821	23.02163001357481	23.05456006992651
P00509	24.98693376371964	25.03028579025034	25.12363022655484	24.65675229750444	25.20699206372074	24.90733898299194	24.77077577506934	24.74808076351754	25.17789987954094	24.75495139404324	24.969185770809542	24.849207362747542	24.95583185015744	24.991840095535142	24.876105037113142
P00547	24.159394802105705	24.132470504767706	24.153636439135806	24.368148774250706	24.241963954321708	24.450022646865907	24.407764566114608	24.427509713564007	24.26236079393591	24.483998175633108	23.865805121391908	23.847230591772007	23.79389386655661	23.874702401382006	23.803257583276206
P00550	21.768080972473605	21.733236211243003	21.749784292549705	21.953138052765105	21.874960120782205	21.800490125085602	21.9281267442839	21.784753911629203	21.699151006556804	21.7731385144858	21.254772291715803	21.35718165008	21.427385929784904	21.3397188766872	21.3375452390787
P00561	25.62561337581526	25.589068384664458	25.67132115673546	25.491537656405857	25.88015381434326	25.809386162634258	25.68951483399436	25.695468674027058	25.85571625152096	25.80373807088046	25.559015358915357	25.511190930371058	25.58346460617736	25.56925491337206	25.527160654561857
P00562	21.825444204158877	21.752690940219377	22.06859726791068	21.564049003068376	21.813662750269177	21.82769985925468	21.607180221108877	21.612718575189277	21.964970681946177	21.70217360765678	22.33230499338788	22.383731520911677	22.39769057418188	22.31784504227768	22.392745588147477
P00579	22.73317757399892	22.64088987770402	22.77163024161642	22.533646333640522	22.80930580979732	22.73901934774422	22.68362609611862	22.66924598297382	22.83777128628142	22.70909682386162	22.900811826795522	22.84504806091902	22.828224978279422	22.87141517488182	22.866487088363822
P00579;P13445	19.295330452365356	19.530466934644156	19.357569011590755	18.847861922060755	19.637180177446957	19.719037741961458	19.223392021329357	19.297558895616856	19.347784110890256	19.130881426854156	19.639058387175957	20.093008403602656	19.829900108310056	20.346584490882258	20.332412303017957
P00582	22.212054469927015	22.214353395138616	22.200835854403717	22.170596024001515	22.299166070192214	22.145223444801214	22.203568962189017	22.188947905184214	22.289926725272416	22.147085316074214	22.106702993072716	22.128955736250116	22.233395366108617	22.100211670541515	22.079034895455415
P00634	20.10943646500422	20.302317264728618	19.800354899873017	20.65842011896912	20.279768614947418	20.17234039881532	20.352714534299018	20.40802670589972	20.190472699900617	20.43339084358592	19.82084458223882	19.58785863523962	19.633560077601018	19.706128619316218	19.649033634270218
P00803	21.68817343369745	21.71857405028925	21.75132536480475	21.72566726608625	21.763183628764452	21.75884481851195	21.72249284564235	21.75922777050665	21.82592957666295	21.74594628964315	21.46897217441135	21.648131015342152	21.66129690261535	21.57517877336525	21.59734300339705
P00805	23.643352654226756	23.636038138783356	23.699852941798056	23.385165824413853	23.545988563813253	23.862291228750554	23.252595891959455	23.371048669045155	23.635120937590354	23.678654771260454	21.602771320747756	21.632111314572455	21.819599374841953	21.824162714100655	21.827815283398554
P00811	20.277348205129233	20.34401684767673	20.06259906095383	20.15597194285283	20.18292318981243	20.23849397758633	20.252220285989132	20.16013329009703	20.24881356537243	20.18697246740843	20.318348851191832	20.23825646061593	20.187033999143733	20.29515482103553	20.334048909843432
P00861	20.561835317323986	20.537063249558287	20.762941533214686	20.114214836124887	20.709788462374085	20.519447727009787	20.209079073956687	20.211750953608686	20.705590253521585	20.441429829938887	21.253725439187885	21.145398255242586	21.335624189511385	21.295248536698885	21.238430508321887
P00864	24.33798885640925	24.245837385433152	24.39668245709625	23.95393837172995	24.37281507286815	24.281549585069353	24.07937248423165	24.11565807951485	24.46529233577485	24.16232053429125	25.553053587612553	25.50566565659995	25.663744874517953	25.65056216302375	25.59214070297835
P00887	22.76738928495533	22.80532051581243	22.857642920239726	22.57204559602623	22.72880524716463	22.73453582071603	22.61583461667683	22.510956408993827	22.807831577683427	22.56355495428063	22.72356069581123	22.61252515193003	22.69332851809763	22.713546766835428	22.65494070616503
P00888	23.37445898330124	23.40584692474194	23.240273750295238	23.48263061683334	23.35483708792924	23.186055271584138	23.37701106884164	23.304661322961937	23.334626459776437	23.27864695128654	22.45707008505044	22.55732954003994	22.72393404466284	22.429585364902138	22.55281770710074
P00888;P0AB91	20.67636083264775	20.465738259900547	20.89208830612565	20.53129321951305	20.68689943293055	20.60291328994455	20.547955889776947	20.553492096361648	20.82033370840895	20.55521666716875	21.218922438377447	21.149141795217847	21.317294802198948	21.20676220216075	21.193926364328348
P00893	22.20739089230836	22.17032920283476	22.18585393372356	21.96960549451336	22.27971367343236	22.158355154884262	22.11019071286746	22.06100372186166	22.32763851655476	22.03916117841986	22.62574706439766	22.59583063134396	22.69485912893596	22.67817696784776	22.64224629672906
P00894	21.955114388358137	22.046463967259736	22.116928743141735	21.828731834274336	22.105044333466836	21.975730925987836	21.818256195644537	21.833993422412835	22.101868372037536	21.815168364114836	22.565546665448636	22.388794540285236	22.368672914444836	22.512853304229637	22.494182494477936
P00895	22.5489489650326	22.392989868297498	22.6806838286502	22.3009377407583	22.579489764265098	22.4488705493023	22.4129699475169	22.3777370861195	22.664116313062898	22.3608805196372	22.8595333325801	22.6243864569532	22.8390711904207	22.7238726589326	22.735956852677898
P00903	17.98885814971017	18.472619566186466	18.663402169472466	18.337400212311568	18.437772785648068	18.39664827582287	17.98252266672217	18.03604402535017	18.542850039455068	18.30773091722777	18.32557385596557	18.337657134183466	18.234066945719967	18.46797826509877	18.235250690086467
P00904	22.662311979181744	22.643922963781446	22.655309032538145	22.655131086281045	22.721840969831344	22.663513050386744	22.690670975429644	22.636701222236045	22.734897596467643	22.656185732860145	22.956334947057144	22.852968879112844	23.017421962358345	22.888223509581444	22.886394644189345
P00909	22.674316885850615	22.760105974937314	22.640866177885815	22.751987647698513	22.765115248750014	22.671550309593414	22.711368006699814	22.688957331000616	22.637411756217816	22.714642433244315	22.867932417423614	22.818686960038914	22.893803984133314	22.827766616329413	22.873900804612514
P00914	18.71308494401754	18.74892849413314	18.55262616350364	19.02496727718864	18.95833776161774	18.92456780325844	19.00601641259344	19.001840934095142	18.47225985026594	18.84659861016754	18.58424579159634	18.793535664851042	18.74711663199114	18.64955983307014	18.90675273931584
P00926	18.807933558874502	18.739059447203104	18.8629086512233	19.067639821176698	19.0984675602987	18.7412267019536	19.002228004536903	18.723849539960298	18.947211137462503	18.972758680427404	19.3774749839613	19.342464535664803	19.442521426481	19.4113800020385	19.537030139177205
P00934	25.37196173412163	25.376265603070028	25.26894609559433	25.56555853682703	25.481972002246128	25.56702503672003	25.58313973751903	25.60971677351213	25.413851771083028	25.658937570107128	25.01491041811343	25.03784831312073	24.99264084592713	24.983973834194128	24.952492781842928
P00935	22.611827247802477	22.580287604756577	22.80537762819838	22.546112373025377	22.70990412998538	22.588917600685377	22.488880566480777	22.52377034628998	22.826725555947277	22.503646445688677	22.54979611265798	22.76599925082018	22.74493757700228	22.672988672071078	22.65805554953208
P00936	20.325077027519097	20.2697579706294	20.379505765559497	20.078225180955197	20.6588275385684	20.167189967640798	20.23423244787	20.121891211734	20.332376533917298	20.2685243531099	21.6462256433374	21.5361742698429	21.535383818716998	21.588328155255297	21.629486291112997
P00944	18.159232618123347	18.068245398468846	18.186872864179946	18.242413364980944	18.131826746157845	18.477900234595445	18.183697369078047	18.130118335563946	17.574933997040645	17.905112915708845	18.209314432168945	17.565454574385846		17.191064881835548	
P00946	23.406944638844493	23.396078509030794	23.403294900364592	23.283898008777996	23.364561328393595	23.339101521466294	23.285551673009994	23.257922713572196	23.458098916959994	23.345502525616695	22.865574181440593	22.887694568395194	22.965182721613495	22.919545636065394	22.958044863894095
P00954	22.97800616483484	22.908176938833243	22.984803219791242	22.902256536991942	22.960922537639043	22.93965927969264	22.936475296597845	22.938013711069143	22.999100563027444	22.97302276450794	23.143615529617044	23.119068384256842	23.137777663645643	23.142442801810542	23.106601239726942
P00956	24.68957681619253	24.56828794028923	24.78058744178643	24.30242927190673	24.65091092418813	24.71428033731923	24.43901605787083	24.46102409657303	24.91424146677883	24.57255729163513	24.15134071237263	24.24741446030843	24.39675309570383	24.27036009022213	24.25826356151583
P00957	23.59291617533034	23.54042678076204	23.57913226430814	23.39978011906694	23.58851732142724	23.57053967118654	23.47988566611554	23.47925277414974	23.66479586040584	23.55074301113774	23.77210384759224	23.73631453678694	23.78277200239054	23.76743659367154	23.76781439894074
P00959	23.436029596905545	23.365474677450845	23.513559024081644	23.132937222282344	23.484990137623445	23.384105343014046	23.258355372744244	23.262290715699145	23.580895456952046	23.291492538648146	23.757276134711447	23.748925514477246	23.798973507751747	23.795305775789245	23.764384372220146
P00960	23.16263966914618	23.085627929809778	23.27611449196078	22.731993119231078	23.21823924535698	23.08750274401668	22.86246666615748	22.86263183560278	23.28675449707488	22.93507895194248	23.19657593996168	23.110845255594878	23.27719442174968	23.27163401930428	23.25114210389688
P00961	24.321177219362436	24.288636108530334	24.297154630605135	24.184288037536536	24.324309115988434	24.263691724701633	24.233051264573234	24.205172588001236	24.344840116135735	24.205693327021336	24.256517300030335	24.265393542495335	24.325632982682134	24.293391678952034	24.268031554408136
P00962	22.996088975030755	22.908031523163555	23.044539971053954	22.782032756606355	23.010737949458953	22.951200559113754	22.850689729614956	22.860141383999455	23.089967663208355	22.913324013469754	23.202933134077355	23.247103291298956	23.305911068518153	23.181203737244456	23.201655852062153
P00963	22.900973014699023	22.862905528666023	23.024449310332123	22.776114449791923	22.97814038890392	22.860888196065623	22.719962887234523	22.765204665146122	23.03388973602822	22.886979833626324	23.44831091406172	23.41929749240792	23.54717199967452	23.155774068714923	23.15050390420712
P00968	24.618536043652586	24.596098022272788	24.605140032184586	24.61545135943709	24.643408509587687	24.554803939869288	24.508246762932888	24.491188800502286	24.74287589765049	24.513775770752186	25.063473175501088	25.208033190673586	25.210756071737688	25.000093946026087	25.01417380755039
P02358	25.498088990503142	25.50934280343274	25.57083380360994	25.65510671425334	25.38206501182344	25.56440227964204	25.53626027568094	25.54194872274984	25.33155100129274	25.51183811082134	25.74756792110404	25.755936773523942	25.63904946468794	25.64526878154064	25.64677212840614
P02359	25.97610910625729	25.90631235953989	26.11296317822989	26.103638914324588	26.01738892854099	25.98973077796369	26.00523654661449	26.02144065942029	26.073099704573888	26.022925331936488	26.43195463947679	26.38911505894459	26.433271181924688	26.400723361025488	26.29597075087439
