rowname	Ref8537_QC1_20230414_1	Ref8537_QC2_20230414_1	Ref8537_QC3_20230414_1	Ref8537_QC4_20230414_1	Ref8537_S4_20230414	Ref8537_S8_20230414	Ref8537_S11_20230414	Ref8537_S18_20230414	Ref8537_S21_20230414	Ref8537_S26_20230414	Ref8537_S35_20230414	Ref8537_S37_20230414	Ref8537_S45_20230414	Ref8537_S49_20230414	Ref8537_S52_20230414	Ref8537_S60_20230414	Ref8537_S65_20230414	Ref8537_S69_20230414	Ref8537_S75_20230414	Ref8537_S79_20230414	Ref8537_S82_20230414	Ref8537_S88_20230414	Ref8537_S94_20230414	Ref8537_S100_20230414
P64602	21.341339691971868	20.97168864904507	21.33643951136967	21.029206422115273	21.379032545625073	21.184790064724773	21.18585048528727	21.13813907496617	21.51101863381087	21.27533843428877	21.339898694902267	21.89187579651447	21.462326869078566	21.20820557788837	21.469636384397567	21.621862951484772	21.25349492038437	21.446923679256173	21.488672414368672	21.396139218990967	21.524934881652968	21.38028061058597	21.502226067118173	21.43569928022427
P62615	20.54397513007301	20.40868266465531	20.17104694553591	20.15502144801681	20.40308267318671	20.41523518734171	20.444662036476412	20.32054661899441	20.25847998131601	20.48379571511331	20.37610485225431	20.50363797607881	20.419915681276112	20.417699175762312	20.14396067235981	20.23353161810461	20.29717107673611	20.16507655679661	20.240456344364713	20.41465125923671	20.26388677430581	20.24309844360341	20.23652255301151	20.20443577311601
P06610	23.04860617427571	22.93467319486911	23.13255674744451	23.03972288631931	23.05985443938041	22.91652767929801	23.27679275360491	23.30888590971811	23.276690042254412	23.18973836725021	22.93960489794671	23.55421602881621	23.10782853368411	23.233391490198212	23.279281267731612	23.25012335535541	23.19583786351861	23.50352009370681	23.13390243785101	23.35958423822641	23.07536229639041	23.10190500647701	23.19797881287051	23.13690444139241
P0A867	24.12801532598479	24.261579021562888	23.99567651729049	24.250678368725488	23.611729892877186	23.94536659174549	24.425024589616186	23.88715168512639	23.210174485613187	23.855571176669386	23.936971009419892	23.66613808248409	23.99311561554589	23.76906359639859	23.95367649846709	24.17740925419359	24.09166900565689	23.663574209207987	24.173283614142292	24.158229825462087	24.295074623332788	24.11039490918749	23.88340403582759	24.24566678259719
P07639	22.09009552662399	21.951245297768992	22.171882972139294	22.083004873451593	22.326939987326597	22.132337364366194	22.205290892876093	22.197388492329893	22.028836752876693	22.32585304881929	22.021271775646895	21.435516873506494	22.257242901330493	22.217230785941794	22.400820313059896	22.344288900801693	22.311734183766596	22.400329215738296	22.252845806702197	22.291282301200596	22.269444137169792	22.262767290555594	22.283871882009997	22.235928594560697
P07813	23.362489062826814	23.351812615784414	23.551332173428214	23.540308102200115	23.327444583456916	23.319160452416515	23.299880452677815	23.172198052871614	23.008036806382314	23.252663654243516	23.197218864801215	22.380299852886914	23.334189067747214	23.284228951502516	23.507337662267016	23.538682261678115	23.567230790540517	23.280121226485615	23.611223633635216	23.510129657431616	23.550038769133714	23.551554577736017	23.484202222630817	23.547058137081816
P37650	17.970077561765322	18.095652862263123	17.589017184554923	17.68134544391632	17.73005233954882	18.24094425168992	17.650058940323422	17.92439838816202	17.792583282902022	17.61095086496332	17.76099087575472	16.87145597695672	17.97062768053092	18.049718501880022	17.65532961292252	17.546812006462023	18.172702755754823	17.57296243041852	17.81715618144652	18.02468932095152	18.03664260180902	17.491907441950723	17.98100614865022	17.473479319882223
P16528	17.641436781771	17.4232595996173	17.6756129177774	17.815908161017198	17.7216009510995	17.7732181863142	17.9296057891859	17.5798846773608	16.4708548046289	17.4871147167908	17.487744004253198	16.485225205796798	18.0054049613243	17.5997624158795	17.9849881882603	18.1078814182338	18.2943497434426	17.5202187281935	18.1696871241184	17.5977586007162	17.9752298762059	18.0235191530873	17.4302602871593	17.8864283132347
P0AFL3	22.780601286161303	22.650975211335805	22.595650378282105	22.490459451361804	23.223260310538503	22.933988013821004	22.734241727203806	22.994295292945505	23.349548212277504	23.135210492554506	23.056767909371306	23.730845653737603	23.014059504306704	23.015784899940005	22.590441046405704	22.858671776081806	22.846699507043304	22.894888066936705	22.794221004887003	22.787382373315406	22.605969360921303	22.623046805834104	22.932864823808405	22.779545297527704
P63235	22.287698409195798	22.3447786601126	21.3509331321518	21.7807913251059	21.5744317342811	21.962254268273696	22.8104261799705	22.320092669765398	21.5154402588968	21.828693455873598	22.137996390089697	21.6457534280568	22.240219050885397	21.7935869439151	21.3900681175028	21.9356236649517	21.5131075983563	21.1741847070446	20.9999125072568	21.549162805888397	21.965662148323098	21.9163487790063	20.9947214171632	21.585102721264597
