rowname	Clinspect_E_coli_A_QC1_Slot1-6_1_8640	Clinspect_E_coli_A_QC2_Slot1-15_1_8649	Clinspect_E_coli_A_S5_Slot1-7_1_8641	Clinspect_E_coli_A_S7_Slot1-24_1_8673	Clinspect_E_coli_A_S14_Slot1-11_1_8645	Clinspect_E_coli_A_S20_Slot1-20_1_8669	Clinspect_E_coli_A_S23_Slot1-8_1_8642	Clinspect_E_coli_A_S29_Slot1-19_1_8667	Clinspect_E_coli_A_S34_Slot1-18_1_8666	Clinspect_E_coli_A_S39_Slot1-26_1_8675	Clinspect_E_coli_A_S42_Slot1-21_1_8670	Clinspect_E_coli_A_S47_Slot1-14_1_8648	Clinspect_E_coli_B_QC3_Slot1-23_1_8672	Clinspect_E_coli_B_QC4_Slot1-10_1_8644	Clinspect_E_coli_B_S53_Slot1-22_1_8671	Clinspect_E_coli_B_S58_Slot1-5_1_8639	Clinspect_E_coli_B_S62_Slot1-16_1_8664	Clinspect_E_coli_B_S66_Slot1-13_1_8647	Clinspect_E_coli_B_S78_Slot1-17_1_8665	Clinspect_E_coli_B_S85_Slot1-12_1_8646	Clinspect_E_coli_B_S86_Slot1-4_1_8638	Clinspect_E_coli_B_S91_Slot1-25_1_8674	Clinspect_E_coli_B_S98_Slot1-9_1_8643
P64602	4.416949863390609	4.453839586990596	4.4288081131865535	4.45949659528352	4.464944826174401	4.447177530225424	4.461815634039996	4.459154769014982	4.474979291697846	4.439528838663702	4.490831425879625	4.498230621069998	4.4467219910561075	4.464891885884358	4.504711497682754	4.484672538882074	4.492804244822942	4.48090426788936	4.442087775093802	4.507898710024148	4.498633488322478	4.473584008550877	4.466231969536435
P62615	4.402737886336939	4.418108222874614	4.41299297525546	4.42008558529136	4.414301832442089	4.416990846797712	4.411096868095449	4.410220220429856	4.4179516076022125	4.409587122157971	4.410890264523116	4.4191986240768335	4.376802491379354	4.399865136160388	4.398388239092947	4.400816750530501	4.407205125831526	4.386265793917592	4.363188152618156	4.403663828916568	4.4198622836906205	4.396095966583532	4.406829892957717
P06610	4.590444814311214	4.599092531236675	4.603458335500681	4.606592697219442	4.604061524089233	4.594164054880165	4.553094466110672	4.60897570240351	4.625343241280431	4.565006530522758	4.5989396453756495	4.594893067947076	4.54033224236633	4.60288226603375	4.609754237008058	4.612011565808997	4.613432879980262	4.552184378770934	4.51297046823734	4.597916345713872	4.598405278513367	4.5859238101656965	4.58331384971157
P0A867	4.628563229589417	4.637935300258969	4.6280418317059135	4.62493061528859	4.63227352836982	4.612509680937756	4.626025371018591	4.631949383039564	4.643352786068613	4.618261626208617	4.624195944281313	4.606992396723883	4.627435740124698	4.648137479531189	4.647812258721582	4.656432464426189	4.648485050794631	4.64907541455891	4.6456244013679715	4.636728070275467	4.641220583453565	4.650804227953652	4.650736091863539
P07639	4.525184605985567	4.529762842319359	4.519320707493208	4.520910615483077	4.525106541099405	4.526333194521616	4.524734153893054	4.523089890795229	4.53437633105602	4.542124223322407	4.529072459402488	4.532319450917806	4.531966489883034	4.534776224239965	4.522114646745075	4.533864751090964	4.533565525564768	4.527355472499981	4.517518315022743	4.53305985587665	4.530334155471684	4.529199089549032	4.518476836819014
P07813	4.603600512717354	4.585386796912727	4.5953087582330525	4.569258871610548	4.59693718830778	4.592383127439308	4.574365721181521	4.592947738594754	4.584270567830782	4.585531496995237	4.608798160683172	4.600890169895369	4.5732125299738495	4.601347971840269	4.619792987848765	4.624604306583619	4.605199258139708	4.571526739098748	4.5598851812080365	4.6211502361066685	4.6162840039367055	4.596828233430701	4.606320697890968
P76419	4.315995312622934	4.336084958423654	4.359066036722995	4.3933558994600705	4.325910761565471	4.36023482073467	4.360808114431224	4.356063514061141	4.372278721821635	4.3722683191304395	4.363745103518483	4.325639530809265	4.263356305423504	4.2657087391539115	4.3083391435834955	4.281127920880466	4.305701469702772	4.286942333155487	4.373179643718322	4.296273417731738	4.285014869239114	4.320566727878825	4.300733470861699
P37650	4.254615880858759	4.297416991103041	4.278936555669936	4.296371874527787	4.2993086735019155	4.299273866430506	4.271420211712004	4.293279148736251	4.323445860884318	4.279881255960392	4.293929080072825	4.289646657604537	4.267981951065605	4.3013981402668	4.326330385755858	4.309346600196456	4.315474065631531	4.335304598781033	4.289417466930113	4.314386794454194	4.332659738332371	4.28584526810934	4.305286095247938
P16528	4.139758311367515	4.212341144257379	4.160732015180487	4.210872483232696	4.194543890611241	4.202566131554555	4.214803111830253	4.205248066583786	4.227636028629625	4.2231063847477435	4.181436674818621	4.174822157925209	4.258717372750564	4.238099241480565	4.210671438539164	4.233176750742295	4.226104910524404	4.217618302710778	4.2184562117309135	4.216091207687049	4.235262325773825	4.23995886580772	4.227528604746346
P0AFL3	4.565901626673824	4.553382248884816	4.572966386129155	4.565251883530523	4.5824761112544135	4.590237996036716	4.591211231114911	4.52471387429104	4.518558907883182	4.574479636322507	4.58563044250641	4.596603204663163	4.576569089334378	4.571474072613997	4.5693646696567525	4.580066982638498	4.548637723673243	4.568547991723799	4.56665191461128	4.573440361520104	4.587485547370844	4.57165606004996	4.575413833939158
P63235	4.47074841160945	4.57257426065975	4.516629825558889	4.555443460923772	4.5497764593033	4.536204672436768	4.445431328365348	4.487897763762274	4.626029406317759	4.420032227224539	4.562827746492099	4.490132016380826	4.376327607571842	4.54243177814298	4.4760327311171535	4.460897604151422	4.539909430019566	4.426310414112755	4.412878140099279	4.484047694523995	4.505989492038646	4.456247935693597	4.5232525636138945
P39838	4.4461592718431335	4.458813426097061	4.444788022657632	4.458351608855916	4.463200868252073	4.453133162012804	4.4582955951496945	4.450488466481363	4.45136011177188	4.465288455001836	4.461271173069815	4.450724462481702	4.458702532818558	4.469040296335965	4.4567601908646335	4.472275823540956	4.458276017057244	4.459884722150414	4.4528584347626365	4.480909572233053	4.474697359410237	4.467998807171458	4.469892783604316
P39364	3.56048054954507	3.4872373132901715	3.6047919202085277	3.389220004552304	3.574281000720747	3.632085354171097		3.6097141871270715	3.4776291621744377		3.573335565503164	3.5009242001084337		3.3450571803859086	3.5057754390222615	3.4958634335765155	3.5321592376383117			3.4549864359253113	3.304888008622746	3.3475593318517918	
P69820	4.393661266428971	4.324369830632471	4.376000177220352	4.370618446374389	4.359514208718364	4.348198557312346	4.334201659674738	4.364829279196798	4.344101483817424	4.380233681291974	4.367891366663349	4.426698171768518		4.3349091583947565	4.29479046981305	4.311561560638479	4.254764965980818			4.277734469026219	4.291628506506932		4.370985751666355
P37645	4.450023548662191	4.4493460897905095	4.464477796130656	4.47169066339187	4.470288478317044	4.4509863624653	4.458365941217943	4.483107376646549	4.480756465417503	4.468554942597945	4.484146357846792	4.454990382474724	4.406074130254023	4.395895395000617	4.415132237176061	4.416019949277764	4.410894483460016	4.421199840187384	4.423871748859163	4.414619842848575	4.4241727036976375	4.417097956319019	4.407165119647042
P0AAZ4	4.3743610870938285	4.405314735419363	4.377417467199567	4.41473055046665	4.3931393323140755	4.4000834103072295	4.403538823863992	4.379496633922457	4.405082282467108	4.400847939684366	4.385572377262931	4.405530746978936	4.413739821235488	4.428987429015278	4.40893699107711	4.422901083720127	4.4251315309903525	4.405581018955517	4.410882179808815	4.42970555576256	4.427440196290912	4.425214097696324	4.424119313669436
P76461	4.157913947343887	4.231265693616437	4.221595525869066	4.294694890766322	4.205881196616499	4.218541947126894	4.305346714447843	4.204333713634084	4.268090321599802	4.307850142242567	4.209223726085919	4.2193090757787965	4.289970507233255			4.1117409589306195	4.093587966024586	4.1931673005428785	4.282395607920506		4.251085975908129	4.261198173258046	4.245645602089961
Q46865	4.079699605792132	4.331889411034513	4.189272341290065	4.23157969474232	4.238718679878122	4.240355784376451	4.250592231239799	4.08290147673964	4.2923529647088134	4.291160406340819	4.278816261758694	4.279820230607072	4.270069880463968	4.278310926516754		3.7943850871331204	4.120594175836665	4.2165518955660835	4.294840634427821	4.022852188204814		4.270529733093559	4.149933433460717
P30745	4.163662840112332	4.159936229527112	4.07554894754909	4.106063703557687	4.156273187651145	4.082374634746182		4.212724449892613	4.215428335364877		4.1059798045767915	4.080045747194555							4.189787300646488	4.120765074315511		4.053567209750511	4.144038403212848
P37309	3.463514874287011	3.647461215906001	3.646029548826781	3.653629012609603	3.6971143530701736	3.660682710817036	3.6311708890303422	3.605797428421097	3.695221622792921	3.6728280422299426	3.6780037091225584	3.6763441257831095	3.5538727911398738	3.5627469529766502	3.683030107144566	3.58288556290498	3.7030642771262774	3.4290293004749812	3.6273704892547336	3.6049519078000034	3.5800784332506534	3.5065492754745815	3.598908840925299
P43337	4.406695907434951	4.421383871273243	4.411954010300517	4.42251927529019	4.411882618153184	4.420734983640023	4.403405677146572	4.415228361605455	4.417501844010822	4.4173026181324	4.406271976292613	4.433105421722228	4.397544348579871	4.408477110516247	4.402845536949866	4.410821234687021	4.398480403228391	4.3980471521908635	4.4230748705817335	4.400349612473407	4.4089653110896965	4.412324663658888	4.408150451190175
P75838	4.469586020314342	4.454627290699744	4.442467715593446	4.4473575021205445	4.456620909720476	4.446165300654855	4.4236894530704856	4.4638993734783545	4.45381621028172	4.422174059602339	4.468360155823727	4.463004979955835	4.461751663970216	4.5304447975047	4.512442048558693	4.517449030693844	4.507879063338663	4.47516033931239	4.423114909098439	4.515475308233395	4.508618803178324	4.512136274870694	4.4800753945194405
P0ADV1	4.461035439597225	4.527196971160265	4.474740553280489	4.515018776346874	4.505899390946565	4.506279376042396	4.495298450684062	4.484939537417571	4.53051798888266	4.502932560151892	4.5141211031431565	4.507172226746665	4.424965472536989	4.481466595283459	4.492242987228572	4.487202005311258	4.490288804288706	4.4893966134074414	4.496735448177861	4.4720031168404875	4.509601185815956	4.466007702579759	4.484888502251407
P37744;P61887	4.581152182967764		4.339806274928421		4.357205489563935	4.481040847961495		4.394258348698454			4.398462723639712	4.428888523685127		4.369850323425547	4.497459480317295		4.356974543299969			4.36170227244375			
P0A9M8	4.673375179824683	4.6724632938168895	4.67422900516461	4.669214568389222	4.67233966365063	4.6791395314841004	4.676772073826928	4.681672255841554	4.67905225962213	4.6770142027424315	4.678483682464726	4.67777883107194	4.65287162690794	4.6481812770768505	4.663275983291013	4.642532500821404	4.651137368871652	4.622463417689976	4.625565494182032	4.6656044326278705	4.652393720564341	4.638051231819191	4.658721464368364
P15031		4.1815173925885345	4.002730647852368		4.0880913204571865		4.072801183623187	4.0096576402112465	4.112813595498073		4.115814132581086		4.169934776778137	4.24542799262428	4.19107082944582	4.211798608300023	4.2001902919003795	4.248531231535522	4.211717188967652	4.1949928250101	4.222665712729752	4.243654197456247	4.221934502922424
