rowname	BBM_673_P283_01_VEB_001_R4	BBM_673_P283_01_VEB_002_R3	BBM_673_P283_01_VEB_003_R3	BBM_673_P283_01_VEB_004_R3	BBM_673_P283_01_VEB_005_R3	BBM_673_P283_01_VEB_006_R2	BBM_673_P283_01_VEB_007_R2	BBM_673_P283_01_VEB_009_R2	BBM_673_P283_01_VEB_010_R2	BBM_673_P283_01_VEB_011_R2	BBM_673_P283_01_VEB_012_R2	BBM_673_P283_01_VEB_013_R2	BBM_673_P283_01_VEB_014_R2	BBM_673_P283_01_VEB_015_R2	BBM_673_P283_01_VEB_016_R2	BBM_673_P283_01_VEB_017_R2	BBM_673_P283_01_VEB_018_R2	BBM_673_P283_01_VEB_019_R2	BBM_673_P283_01_VEB_020_R2	BBM_673_P283_01_VEB_021_R2	BBM_673_P283_01_VEB_022_R3	BBM_673_P283_01_VEB_023_R3	BBM_673_P283_01_VEB_024_R3
P64602	4.4990114189699355	4.481190185327029	4.478537484272812	4.470103510604683	4.466219873316018	4.482053810324168	4.4719652015048315	4.454891740426358	4.4883139448017975	4.477343239847851	4.468018278933294	4.487252226228341	4.473174870782108	4.4627039796045	4.441068153721524	4.449347441697242	4.434922639008769	4.466160394074881	4.459150269659647	4.46726681664126	4.469423239026976	4.460729684777851	4.456341784638386
P62615	4.410622417268022	4.412203743747156	4.416740411002781	4.397938396585283	4.4251700701996795	4.411071017903574	4.406103571151971	4.420930507633787	4.408587000175657	4.408472828808202	4.4062354523604474	4.393275327326832	4.391725892221071	4.40396143524758	4.400632670210662	4.403685135080969	4.399670518041847	4.404029937360783	4.403458158153153	4.402174865444815	4.39850721675143	4.393253680149855	4.393746004949889
P06610	4.593352277489795	4.579770856909753	4.590782805865729	4.591103703157662	4.579907155098024	4.593728871527309	4.604147999361824	4.567692913423539	4.596267093112219	4.587371204052619	4.58765840233836	4.594461897376512	4.586037595454878	4.592951719348219	4.596903051327758	4.5917310796394775	4.584896699345976	4.596363520024338	4.5918395177313265	4.588308372013197	4.582818558609128	4.580756021907063	4.591441002958981
P0A867	4.6187153098856575	4.617792366724449	4.631052838806799	4.64569795332424	4.621977666005591	4.625670323880887	4.650561016964458	4.614196194045755	4.636727775573467	4.631976728542197	4.635513718329189	4.6373621269005545	4.642373846640982	4.643712041847042	4.652738757173529	4.645890802240134	4.646363252996443	4.643604827454668	4.640229148621707	4.636635881299429	4.635232499320062	4.631104139510044	4.644484334438314
P07639	4.525154643055228	4.527595662635114	4.531706064676739	4.528711624099453	4.5327729427118175	4.527097115411234	4.517149258787189	4.52353027075521	4.52419502924937	4.528091149909126	4.535367750271643	4.524305013651773	4.522812162853059	4.530786845394941	4.5341317103860606	4.53101956576981	4.5263193380110645	4.537598011797443	4.534064834927284	4.526388051015468	4.520710717133067	4.526775510863806	4.530252375172761
P07813	4.580457487621254	4.587273892982587	4.589992844423039	4.571536060047469	4.594824234862218	4.582898074399578	4.578031412122321	4.609745090336676	4.5822315185766636	4.587932420478615	4.589557526235874	4.591643819194967	4.603658312254827	4.603364641327741	4.608627093102915	4.60876198388471	4.614829415083833	4.605418034194556	4.606442189722315	4.592325354453245	4.600282898987766	4.605564446321002	4.603643312344979
P76419	4.345381899094006	4.334406355670674	4.348647527161803	4.333963609416588	4.337393520761274	4.323001354393685	4.300804085616559	4.33775796872857	4.343928015380765	4.378992122649904	4.352970966668437	4.314442187167721	4.3160556093847005	4.321001680481403	4.294597315789709	4.313894656006663	4.3063567443830735	4.31365399292539	4.324527383021586	4.32031126720333	4.328670686381539	4.306539358393471	4.297579615473091
P37650	4.284293471292151	4.300608752471304	4.290498048304146	4.263220216899926	4.299285021571143	4.295300132565082	4.290304221929227	4.284752702720286	4.302299327189879	4.276664337428562	4.28015112956448	4.30420891316802	4.313214956578963	4.310696523774385	4.306370015712027	4.303460655386048	4.311896878484538	4.322894698687352	4.309351254280456	4.309001035000679	4.29598142440352	4.306385845825183	4.308141460488802
P16528	4.186766611707752	4.190175058086139	4.191710867063065	4.193064321267864	4.192997562246603	4.201083158056314	4.217110486840803	4.187937707575742	4.209240356748869	4.191778837108845	4.204803483396141	4.2210097251753185	4.227141804946467	4.240725960082768	4.2433417198125944	4.23905007431549	4.2246636260453805	4.223510569416363	4.232668455103037	4.227525359268143	4.211556347384455	4.222184291432116	4.226326206981061
P0AFL3	4.6075981424541705	4.5956166919273	4.583560373324742	4.593028686829123	4.579062760748611	4.59414240590233	4.589954281175172	4.567906544412589	4.598244903922782	4.589172199392855	4.580691597929894	4.571323384073763	4.562145063421082	4.557795937616345	4.542240089596647	4.545971613411057	4.534188522742792	4.545143278461065	4.55182952217699	4.553214137650136	4.552989668585026	4.544626320843063	4.551222869467943
P63235	4.485903631505325	4.504986170166547	4.4953706577111125	4.545636823274037	4.481706008480662	4.517087038562047	4.549345771491032	4.461244937970694	4.533892110129638	4.518452638793157	4.52152540430366	4.474500992565184	4.4786912565594905	4.448793738379227	4.492608168256043	4.485028604718987	4.487540973339585	4.489268790801355	4.472432178733252	4.4572819061881415	4.513327309449334	4.487868450789255	4.49288754226174
P39838	4.452505233560738	4.457485971176433	4.459480843362741	4.460753703058468	4.457510621159796	4.457485738595585	4.4612240583818705	4.456089381838677	4.457570588609151	4.460876955940279	4.463680560711061	4.444908918257321	4.462850277413328	4.461446388714144	4.471816969573129	4.468256869068321	4.469879934856325	4.467209426988736	4.46708316919129	4.45293553944671	4.4509523252155745	4.460105887815548	4.465917262982356
P69820	4.425533236760334	4.4196397560528915	4.384676062372543	4.385574552310452	4.373508682573687	4.3976260738421455	4.401450631012528	4.345506765131231	4.40434443602139	4.3881073505008645	4.377268260281883	4.309266303262738	4.249276654931869	4.2800019966743434	4.260833147786501	4.2536383051707585	4.264319875260995	4.2695389580035785	4.2917987062714635	4.289181747805375	4.276341035669831	4.297656725188528	4.28869525714582
P37645	4.433215352863242	4.445784066811465	4.447921653821664	4.474877325770247	4.441830411551112	4.448674366312916	4.478263843175935	4.469224302014843	4.464885568912964	4.455455650179563	4.455546725116843	4.417203363836407	4.432473453468449	4.415002972491908	4.431946602534868	4.434852651520283	4.446960019971891	4.419349951036083	4.417785485062674	4.416955299939673	4.420263945846406	4.408962263071421	4.418183534059284
P0AAZ4	4.397870571662472	4.400987166320548	4.406832988731607	4.39524596430929	4.4140406715976805	4.401492443017785	4.390472801565191	4.407857575110142	4.394446289060176	4.403044455706875	4.401200464742178	4.409726019042303	4.412705645412582	4.416359308237984	4.416508088347803	4.417134549674855	4.421711065355343	4.419556303322295	4.414888599329651	4.415218613307015	4.397066570961629	4.415722566610512	4.411857727220893
Q46865	4.278140304490231	4.228079845725377	4.252258541349737	4.237891931933428	4.238904395191231	4.261638292019221	4.20065375874227	4.148170760558557	4.241100581932396	4.257966723391754	4.234862006244561			4.118994229584536	4.175068660391589	4.161580611463404	4.105590951088009	4.165719247624288	4.150099784821615	4.103996497560874		4.222993652447404	4.198053038169098
