rowname	20230516_EXPL1_LiSc_SA_S610_RT_25_s2	20230516_EXPL1_LiSc_SA_S610_RT_26_s9	20230516_EXPL1_LiSc_SA_S610_RT_27_s12	20230516_EXPL1_LiSc_SA_S610_RT_28_s17	20230516_EXPL1_LiSc_SA_S610_RT_29_s24	20230516_EXPL1_LiSc_SA_S610_RT_30_s30	20230516_EXPL1_LiSc_SA_S610_RT_31_s33	20230516_EXPL1_LiSc_SA_S610_RT_32_s38	20230516_EXPL1_LiSc_SA_S610_RT_33_s44	20230516_EXPL1_LiSc_SA_S610_RT_34_s48	20230516_EXPL1_LiSc_SA_S610_RT_35_s51	20230516_EXPL1_LiSc_SA_S610_RT_36_s56	20230516_EXPL1_LiSc_SA_S610_RT_37_s63	20230516_EXPL1_LiSc_SA_S610_RT_38_s68	20230516_EXPL1_LiSc_SA_S610_RT_39_s72	20230516_EXPL1_LiSc_SA_S610_RT_40_s80	20230516_EXPL1_LiSc_SA_S610_RT_41_s81	20230516_EXPL1_LiSc_SA_S610_RT_42_s89	20230516_EXPL1_LiSc_SA_S610_RT_43_s92	20230516_EXPL1_LiSc_SA_S610_RT_44_s96	20230516_EXPL1_LiSc_SA_S610_RT_45_QC1_LabD	20230516_EXPL1_LiSc_SA_S610_RT_46_QC2_LabD	20230516_EXPL1_LiSc_SA_S610_RT_47_QC3_LabD	20230516_EXPL1_LiSc_SA_S610_RT_48_QC4_LabD
P64602	4.46479625761056	4.4479457507927105	4.464379414900218	4.459674524613173	4.457418707743072	4.464370877287992	4.458372801803724	4.46464884024848	4.460003636152433	4.464561968138736	4.4739870331702045	4.479294636081452	4.476791904617171	4.471110743707767	4.478342989165092	4.480450369614218	4.472885600212515	4.476055538518705	4.476114724995228	4.47852363344525	4.450694897002842	4.4592173679369855	4.470500409721562	4.479817195938783
P62615	4.416247121078534	4.408828707039764	4.411086548958469	4.410330645049716	4.408267715230485	4.418880148152816	4.4028367310840775	4.401484720415696	4.400784968395455	4.4175583253922595	4.402031072372438	4.402488789795445	4.406495923359535	4.402086656441171	4.397172705129057	4.403069994027985	4.400520474990595	4.406179375980292	4.397143739057466	4.400133644068343	4.407686958585783	4.407773932416786	4.39785191933739	4.395846301208061
P06610	4.582605960267561	4.588760093668836	4.585855939522529	4.591388035522139	4.594849868778196	4.58162226803213	4.593185943510897	4.601215123556617	4.592098272464649	4.579576487042617	4.588052072563549	4.589794804096805	4.5838243518723845	4.589048789958989	4.596383099206875	4.5991549292159535	4.5838084855326215	4.591965078404045	4.588964101787561	4.586227628416864	4.59024481516315	4.589149522892432	4.584750852512865	4.5884228244939305
P0A867	4.6144181387163465	4.6373107649218435	4.619145412163071	4.6361295176023996	4.6451406239861575	4.611665686323021	4.637855158884381	4.652565005710914	4.646383277689017	4.612109880016314	4.6408656841455285	4.638094163984491	4.643292054036146	4.638106702413029	4.639797061005563	4.6436395592522395	4.6476551348354	4.64561093234065	4.63683836454679	4.635192074496572	4.636905326522825	4.634342991736299	4.628291374804026	4.6380209500868075
P07639	4.528877107337691	4.5271050602644785	4.519286935770101	4.523810414519301	4.527425770224396	4.527915400179066	4.5257594338729525	4.527874099521983	4.528622166668818	4.528783588293186	4.525231320324607	4.529744773769451	4.52976038998978	4.525753501135384	4.530440871635416	4.527932052301847	4.52993963127653	4.531690937085979	4.531652789738682	4.529038170334038	4.530081217407136	4.533392857822702	4.5281903515815465	4.525309608122753
P07813	4.593022040416157	4.591910140696926	4.5898631504140095	4.58968475022007	4.590654927468784	4.589172092006478	4.589792274200812	4.587506667830074	4.587183502255721	4.595819565224595	4.602544200388932	4.601454164373291	4.5880810239093	4.603403940376893	4.59905844391153	4.59434804489177	4.599278300861089	4.600458687707868	4.598911913258385	4.601078733163818	4.59886817117764	4.593435833830632	4.602668922564118	4.5995605015913545
P76419	4.361006577852418	4.342893117364734	4.334756316635512	4.333213372078756	4.351519650351655	4.355066736537276	4.352279646364711	4.335381113641735	4.338358580082199	4.325365712512337	4.323972006237214	4.292717859314219	4.313752090892714	4.303696479394076	4.3033854847860535	4.302258388755088	4.3160579857760775	4.299978918001045	4.328825922005157	4.324927112609031	4.3413824756300325	4.334128421378876	4.312779302105702	4.310526150624852
P37650	4.294775972869425	4.303995877458948	4.305676700886962	4.305098701854501	4.293331032800121	4.3017000776158465	4.291665808500953	4.299762725305578	4.3044430800623905	4.295794739433078	4.296415275735263	4.2980081293988475	4.296013437066948	4.308155843958074	4.294643634724277	4.300134224716009	4.2943733220024	4.295600908172659	4.303294606451148	4.302858881214744	4.291253465723821	4.3053247629141	4.290823556915517	4.290301244075585
P16528	4.196660492046555	4.210991079461887	4.198343320312366	4.204528170770449	4.203281373611789	4.194524987662207	4.1966617228184475	4.2036638436984095	4.198372773215759	4.194143439013613	4.236768231078383	4.230449621623536	4.23111269186984	4.235505353215382	4.224628018178872	4.218811999834652	4.221614847257373	4.218793878916101	4.222556714510364	4.219254122163919	4.20146764465698	4.191373083462417	4.221388102958019	4.225586691120472
P0AFL3	4.576307361254043	4.572725736833581	4.588615464079005	4.572076723798039	4.572252753131647	4.579914984701651	4.575461382767135	4.576795171157595	4.580129417192679	4.573255798036835	4.566153394397616	4.568788722430942	4.569876726287645	4.558591629135292	4.567274564195706	4.568508007883486	4.554016074222512	4.560737482279408	4.561221834594774	4.555530737134436	4.57290293941703	4.5751528944823745	4.561179886862754	4.563342901108939
