"rowname"	"CVT09_QC1_LabE_X023"	"CVT09_QC2_LabE_X024"	"CVT09_QC3_LabE_X025"	"CVT09_QC4_LabE_X026"	"CVT09_s3_X002"	"CVT09_s10_X003"	"CVT09_s13_X004"	"CVT09_s16_X005"	"CVT09_s25_X006"	"CVT09_s28_X007"	"CVT09_s31_X008"	"CVT09_s36_X009"	"CVT09_s41_X010"	"CVT09_s50_X011"	"CVT09_s55_X012"	"CVT09_s59_X013"	"CVT09_s61_X014"	"CVT09_s67_X015"	"CVT09_s73_X016"	"CVT09_s77_X017"	"CVT09_s84_X018"	"CVT09_s90_X019"	"CVT09_s93_X020"	"CVT09_s99_X021"
"P0A8D6"	21.4591494144125	21.3759122920814	21.4074731683342	21.2128573177827	21.3956512760444	21.4620938287559	21.4691479285555	21.4490156117687	21.4313404865002	21.544180564696	21.4034011304931	21.3473596798981	21.2609849814587	21.4146697535057	21.2102075866131	21.3389539541017	21.3775229929051	21.2213086219211	21.3065857517085	21.3089866593099	21.4105559010363	21.3118602674428	21.2981677544295	21.3798140815486
"P0AAX3"	20.6056766395423	19.711275424339	19.654676231793	20.4690435642387	20.2021812304388	19.6176199142214	19.7179976525272	19.1713893972911	18.9236785749449	19.4084417005456	19.5320172211522	19.6539314155514	19.5962024979139	19.4252712328721	20.6081970575671	21.0188616717613	20.715393970059	20.6550921824235	20.4524584392731	20.7011118285111	20.5810736666176	20.700595499553	20.5187991265061	20.5685202603292
"P00959"	23.6402745083145	23.2947256260153	23.2241707065606	23.6230357344659	23.3722550531914	22.9916332513921	23.3436861667332	23.2428013721238	23.1773593125069	23.117051401854	23.1209867448089	23.4395914860618	23.4091034334334	23.1501885677579	23.6214603433018	23.6159721638212	23.607621543587	23.700589150096	23.6576695368615	23.654001804899	23.6230804013299	23.6778813357496	23.6462756755531	23.6411680057974
"P0AEQ1"	19.5911680281668	20.5876438540263	20.5769289940929	19.3307921735529	20.5798683345086	20.7036653615199	20.5911095755324	20.5484908114429	20.57931593758	20.5094154917325	20.4923030856327	20.3850703453126	20.3204634353355	20.395682651371	19.4590072906765	19.5101363594947	19.5988757793936	19.4463887104051	19.5054239139852	19.5958729959899	19.5104570588541	19.4946974061293	19.3481878376211	19.5210597878341
"P25738"	22.3755040329312	23.1177965358103	23.0363580971936	22.360640826272	22.9265319957708	23.4980793251821	22.9939165482701	23.1999685270538	23.3242431866527	23.3489755516906	23.4510475716314	22.8983866073386	22.8425467754436	23.210102031303	22.6966237520505	22.3010825138598	22.8749404609923	22.5307601812055	22.5472061507479	22.6241519914008	22.3229623716867	22.4247778026043	22.4567579707287	22.5190967844092
"P64596"	22.5260693467246	22.6931814972696	22.6731455738811	22.494909771238	22.8086904614789	22.5458779363797	22.7938672024518	22.7266726060172	22.7165561613985	22.6251068217353	22.6254591461882	22.8291362268612	22.8119680737351	22.5860109844942	22.5606990037242	22.5657273376082	22.4831116564559	22.5539929514511	22.5378662838183	22.5812507011994	22.5373354865757	22.5036724217666	22.5295597117571	22.5487118647563
"P00452"	22.8364957642618	22.7673855487953	22.7209201461035	22.8050668203391	22.8164848834674	22.4716628122095	22.9642848075896	22.6826808933967	22.9345914530303	22.5678451611493	22.6157634251555	22.9992468634071	22.7885980669863	22.4953734484546	22.8299723642601	22.8272880382715	22.7470292337894	22.9135216599117	22.8663492420212	22.8183742627102	22.759365242155	22.8667755876277	22.8642382965279	22.8421650128977
"P10100"	20.42100874525	20.4522874984803	20.3518191945757	20.4029329408887	20.4542169474967	20.3802686917976	20.4382822101927	20.4505266354315	20.392898050387	20.3792323944473	20.5071229426329	20.4121232355196	20.5318097731765	20.5013318422177	20.4061966995327	20.4520763083571	20.4217587229277	20.381050709082	20.4105817784637	20.4101987451305	20.3231163494915	20.3758115635467	20.394029288434	20.3342034397435
"P0AEG4"	23.2945573702495	23.5100967501099	23.5644649184836	23.2350746314365	23.3687297125789	23.6618389740995	23.5016792843273	23.4760663200517	23.4934078986227	23.5658016998582	23.5843877348797	23.2849765563399	23.328413066264	23.4778210028071	23.4128416744112	23.1801990354873	23.4235755449181	23.215118510911	23.3109538682468	23.1804858875332	23.2227403739826	23.2156325304398	23.2867117264714	23.3056482023623
"P19934"	18.5229645889963	18.7421219019649	18.6675135286184	18.6296056433625	18.6191273942906	18.763316124234	18.5561318011195	18.6802805346771	18.6847109584461	18.8098152214864	18.6729639315544	18.4762794672241	18.6579359572649	18.655107909296	18.4531540599018	18.4211443865302	18.6113706705757	18.4299869329598	18.4030286720092	18.3911386800379	18.3833583578475	18.4075955669662	18.5513290057278	18.5464649506811
