Ref8537_QC1_20230414_1	Ref8537_QC3_20230414_1	Ref8537_QC4_20230414_1	Ref8537_S11_20230414	Ref8537_S35_20230414	Ref8537_S49_20230414	Ref8537_S52_20230414	Ref8537_S60_20230414	Ref8537_S65_20230414	Ref8537_S69_20230414	Ref8537_S75_20230414	Ref8537_S79_20230414	Ref8537_S82_20230414	Ref8537_S88_20230414	Ref8537_S94_20230414	Ref8537_S100_20230414	Clinspect_E_coli_A_QC1_Slot1-6_1_8640	Clinspect_E_coli_A_QC2_Slot1-15_1_8649	Clinspect_E_coli_A_S7_Slot1-24_1_8673	Clinspect_E_coli_A_S14_Slot1-11_1_8645	Clinspect_E_coli_A_S20_Slot1-20_1_8669	Clinspect_E_coli_A_S29_Slot1-19_1_8667	Clinspect_E_coli_A_S34_Slot1-18_1_8666	Clinspect_E_coli_A_S39_Slot1-26_1_8675	Clinspect_E_coli_A_S47_Slot1-14_1_8648	Clinspect_E_coli_B_QC3_Slot1-23_1_8672	Clinspect_E_coli_B_S58_Slot1-5_1_8639	Clinspect_E_coli_B_S78_Slot1-17_1_8665	Clinspect_E_coli_B_S85_Slot1-12_1_8646	BBM_673_P283_01_VEB_001_R4	BBM_673_P283_01_VEB_002_R3	BBM_673_P283_01_VEB_003_R3	BBM_673_P283_01_VEB_004_R3	BBM_673_P283_01_VEB_005_R3	BBM_673_P283_01_VEB_006_R2	BBM_673_P283_01_VEB_007_R2	BBM_673_P283_01_VEB_009_R2	BBM_673_P283_01_VEB_010_R2	BBM_673_P283_01_VEB_011_R2	BBM_673_P283_01_VEB_012_R2	BBM_673_P283_01_VEB_013_R2	BBM_673_P283_01_VEB_017_R2	BBM_673_P283_01_VEB_024_R3	20230516_EXPL1_LiSc_SA_S610_RT_25_s2	20230516_EXPL1_LiSc_SA_S610_RT_26_s9	20230516_EXPL1_LiSc_SA_S610_RT_29_s24	20230516_EXPL1_LiSc_SA_S610_RT_33_s44	20230516_EXPL1_LiSc_SA_S610_RT_35_s51	20230516_EXPL1_LiSc_SA_S610_RT_36_s56	20230516_EXPL1_LiSc_SA_S610_RT_38_s68	20230516_EXPL1_LiSc_SA_S610_RT_39_s72	20230516_EXPL1_LiSc_SA_S610_RT_41_s81	20230516_EXPL1_LiSc_SA_S610_RT_42_s89	20230516_EXPL1_LiSc_SA_S610_RT_43_s92	20230516_EXPL1_LiSc_SA_S610_RT_44_s96	20230516_EXPL1_LiSc_SA_S610_RT_46_QC2_LabD	20230516_EXPL1_LiSc_SA_S610_RT_47_QC3_LabD	20230516_EXPL1_LiSc_SA_S610_RT_48_QC4_LabD	CVT09_QC2_LabE_X024	CVT09_QC3_LabE_X025	CVT09_s3_X002	CVT09_s10_X003	CVT09_s13_X004	CVT09_s16_X005	CVT09_s28_X007	CVT09_s31_X008	CVT09_s36_X009	CVT09_s50_X011	CVT09_s59_X013	CVT09_s61_X014	CVT09_s73_X016	CVT09_s77_X017	CVT09_s84_X018
P0A8D6	15463400	12414500	13587600	17384200	14860300	15965300	16213900	15755300	16686400	13502900	14955500	14630600	14232500	15314800	13403800	14591400	91662.2	121459	123366	113745	104654	119336	129389	94149.4	103911	74029.7	114377	46916.8	96581.1	7245870	6334030	7019800	7524530	7984890	6902270	7391080	6046460	7264610	6829850	6452950	5475830	5064900	4954190	5022110	5302860	5483140	5077020	4529280	4700770	4569120	4899440	4510280	4660690	4573690	4449640	5441310	4490240	4737200	2721390	2781580	2758880	2888910	2903070	2862840	3058050	2773740	2668060	2795490	2652560	2724430	2593710	2598030	2787530
P0AAX3	6451470	9983580	8060870	3705790	5098320	5213810	11889800	10239800	10960300	9056020	10037500	11060500	10184800	9206630	9959640	9280620	52409.5	45123.6	35810.9	46309.6	51127	36030.8	46648.1	21118	57584.2	48646	101769	32727.3	109324	7143290	5578180	4408530	4980910	6382820	5853830	4100500	3676660	6236990	6038820	5241400	7685030	8298330	7140260	1184610	976583	1276180	1368430	2317530	2236110	1652180	2116170	2039040	2124320	2009350	1795600	1313040	2056220	2217240	858391	825367	1206320	804437	862400	590423	695862	758094	824941	704027	2124750	1721690	1434840	1704730	1568630
P00959	123702000	147156000	152496000	117185000	116300000	117121000	141370000	144357000	150616000	113659000	159075000	143254000	157716000	155882000	136716000	151887000	202412	224757	216486	219229	220320	233639	213243	246872	229778	260167	273843	253068	294740	33815200	34262200	36194600	31471500	36029400	33372900	31438700	38336000	32071100	35801800	35266300	33776100	46656500	45459000	19913600	17877100	18404300	18095800	23369100	23552600	23417100	23487600	23374700	23082600	23866400	24204500	18669300	23308800	23081000	10289900	9798780	10858000	8340100	10645100	9926140	9097580	9122430	11376800	9308960	12856300	12782100	13233300	13199700	12919800
P0AEQ1	9740550	4515120	4518890	9049260	9294080	11272400	5318720	6688480	5011710	6609990	5595940	5401750	5066670	4920630	5827330	5271540	192842	227210	173301	242838	274545	189649	226062	151780	248238	47805.2	104799	45178.5	77253.1	6780260	6219230	6441630	6894690	7798530	6896410	5350980	5054050	8088480	7102930	6420430	4287770	3123650	3437300	2339610	2911990	2485220	2386840	1455700	1426660	1427220	1586830	1587330	1533400	1436960	1266430	2740620	1264030	1603540	1575790	1564130	1567320	1707750	1579580	1533600	1492620	1475020	1369360	1379470	746683	794053	744248	792402	746849
P25738	34733700	23295700	17317500	59840500	65152300	48550600	24779200	37750100	23447900	31165000	31528000	32741800	30056100	23336700	21961500	40016000	535904	220438	192803	461579	332372	429545	225840	221509	353422	126239	282795	117589	156008	156657000	136929000	122752000	138550000	121985000	154175000	264086000	66463900	194702000	161295000	159517000	72441400	90498300	84028600	13963100	16238100	18314700	22089300	10618200	11918800	9544850	11746200	11202000	9908890	10513000	9191170	15931700	9322280	10935100	9102280	8602700	7972120	11847500	8353310	9635770	10684200	11467500	7818100	9703690	5167670	7692070	6128940	6464700	5246640
P64596	68867000	44561000	49162200	71206800	81799100	73237600	53467600	60439900	57591700	66454800	58939700	52977700	57637400	52741000	54701300	58491700	223901	286945	292414	304919	256592	248046	316535	254899	252655	184827	221811	175931	282606	14050500	13492100	14113400	14335800	14978900	13517700	13566500	14153600	13764600	13932200	15068000	10423400	11777100	12323700	13667500	12761700	13780500	14367800	10635400	9926420	10744100	10697200	10530700	9982720	10296300	10754800	13667300	10102700	10970600	6781540	6688010	7346830	6123300	7271730	6940810	6468980	6470560	7451690	6296030	6208130	5862610	6089390	6275290	6087150
P00452	93644300	77192000	83117700	102249000	88330900	78194600	79654200	83569100	83872000	55774800	92464500	75937700	87446900	84479000	70419200	84127200	173818	169767	159276	189530	174852	182117	171435	159690	157931	127926	188396	107235	180813	15599100	17229800	18115400	18735500	14196800	15780600	19659800	19042000	17300500	18376400	19110400	11693800	18378200	15684600	11548000	13426000	12661000	12297400	11513800	11054300	11832400	10950700	11028200	10943500	11045800	11116600	12498200	11085000	10704000	7139470	6913190	7386630	5816270	8183490	6732360	6217250	6427220	8384230	5912650	7442150	7039440	7646400	7396310	7099890
P10100	23943600	23355200	19419300	20391100	23990600	26616700	25596200	26127400	23942600	27372200	21461000	25172700	23195200	23651100	26196000	23546900	352414	380160	233235	378585	373690	357688	311444	279701	362165	173134	422588	128301	329508	7752390	6971520	8342970	7094060	9202530	8681180	7707050	8884250	7510730	7621580	8320200	7391010	7722680	8659160	6412950	5894410	6195880	6344180	5800250	5666600	5332720	5769040	5319920	5610610	5514500	5756760	6295420	5834160	6003290	1434670	1338160	1436590	1364810	1420810	1432920	1363830	1490250	1395280	1484280	1434460	1404630	1393790	1393420	1311800
P0AEG4	135700000	140950000	118901000	131339000	139786000	132373000	150952000	172215000	146840000	164897000	142214000	147199000	146387000	142477000	153494000	149766000	1090980	1173250	905656	1153820	1081380	963078	1103530	747062	1186530	745552	1072440	827027	1234190	87245600	67054400	66936300	72894900	64113300	79455000	80118500	47049100	77963600	75052400	70826300	64631300	67403600	75890900	34218700	38153600	40378900	38841400	41196800	43830600	37199900	44054300	41927100	41427500	43814700	41903900	38622000	41909100	41675400	11946600	12405400	10831500	13271600	11877100	11668100	12416900	12577900	10220600	11682300	9504630	11251200	10406300	9506520	9789070
P19934	4198540	4205570	3600270	4223800	3504670	5326660	4716530	4385340	4346730	5799950	4110330	4619330	3971760	4210880	5159680	3993570	36018.3	28464.5	26526.6	38093.9	29279.5	37450.5	24663	29560.1	48814.7	30695.6	34391.8	38649.7	42729.5	4006980	3619260	3624630	3439220	3435450	3498830	3056680	3195920	3627450	3452950	3385240	3414410	3199820	2503470	1607400	1523820	1533560	1543440	1395660	1467250	1424060	1502570	1407800	1472230	1500140	1354370	1472250	1462840	1464880	438471	416372	402639	444960	385436	420073	459535	417948	364682	412807	351008	400480	346628	343783	341934
