file	Pyr
Clinspect_E_coli_A_QC1_Slot1-6_1_8640	1
Clinspect_E_coli_A_QC2_Slot1-15_1_8649	1
Clinspect_E_coli_A_S7_Slot1-24_1_8673	1
Clinspect_E_coli_A_S14_Slot1-11_1_8645	1
Clinspect_E_coli_A_S20_Slot1-20_1_8669	1
Clinspect_E_coli_A_S29_Slot1-19_1_8667	1
Clinspect_E_coli_A_S34_Slot1-18_1_8666	1
Clinspect_E_coli_A_S39_Slot1-26_1_8675	1
Clinspect_E_coli_A_S47_Slot1-14_1_8648	1
Clinspect_E_coli_B_QC3_Slot1-23_1_8672	0
Clinspect_E_coli_B_S58_Slot1-5_1_8639	0
Clinspect_E_coli_B_S78_Slot1-17_1_8665	0
Clinspect_E_coli_B_S85_Slot1-12_1_8646	0
