rowname	Clinspect_E_coli_A_QC1_Slot1-6_1_8640	Clinspect_E_coli_A_QC2_Slot1-15_1_8649	Clinspect_E_coli_A_S7_Slot1-24_1_8673	Clinspect_E_coli_A_S14_Slot1-11_1_8645	Clinspect_E_coli_A_S20_Slot1-20_1_8669	Clinspect_E_coli_A_S29_Slot1-19_1_8667	Clinspect_E_coli_A_S34_Slot1-18_1_8666	Clinspect_E_coli_A_S39_Slot1-26_1_8675	Clinspect_E_coli_A_S47_Slot1-14_1_8648	Clinspect_E_coli_B_QC3_Slot1-23_1_8672	Clinspect_E_coli_B_S58_Slot1-5_1_8639	Clinspect_E_coli_B_S78_Slot1-17_1_8665	Clinspect_E_coli_B_S85_Slot1-12_1_8646
P0A8D6	91662.2	121459	123366	113745	104654	119336	129389	94149.4	103911	74029.7	114377	46916.8	96581.1
P0AAX3	52409.5	45123.6	35810.9	46309.6	51127	36030.8	46648.1	21118	57584.2	48646	101769	32727.3	109324
P00959	202412	224757	216486	219229	220320	233639	213243	246872	229778	260167	273843	253068	294740
P0AEQ1	192842	227210	173301	242838	274545	189649	226062	151780	248238	47805.2	104799	45178.5	77253.1
P25738	535904	220438	192803	461579	332372	429545	225840	221509	353422	126239	282795	117589	156008
P64596	223901	286945	292414	304919	256592	248046	316535	254899	252655	184827	221811	175931	282606
P00452	173818	169767	159276	189530	174852	182117	171435	159690	157931	127926	188396	107235	180813
P10100	352414	380160	233235	378585	373690	357688	311444	279701	362165	173134	422588	128301	329508
P0AEG4	1090980	1173250	905656	1153820	1081380	963078	1103530	747062	1186530	745552	1072440	827027	1234190
P19934	36018.3	28464.5	26526.6	38093.9	29279.5	37450.5	24663	29560.1	48814.7	30695.6	34391.8	38649.7	42729.5
P0A9B2	3579200	3788020	3692150	3931440	3942650	3575640	4164340	3633980	3622380	7255410	8089710	7618970	8372690
P0A8I8	66978.4	87328.2	77694.9	81006.7	73352.5	64699.8	76515.2	58660.2	86002.5	51930.9	69215.5	62446.1	69168.5
P0A8T7	1295430	1374440	1311890	1427240	1385130	1405230	1419440	1489180	1407620	1358270	1717680	1380650	1802500
P0A794	375506	481900	515807	401915	496763	408670	432703	416657	429402	359696	372416	255998	351180
P0A7J3	1122650	1050860	952170	1113210	1119600	989085	1093610	984453	1051020	1162940	1626930	1023880	1386940
P00935	183765	184933	192762	178543	235870	207126	214427	186878	212685	195683	196528	196946	202840
P0ACF4	2183110	2429350	2033890	2084550	2611790	1969720	2529460	1763420	2230890	1489180	1790480	1196100	2021520
P0AG84	112590	181248	145219	160458	137426	213746	214403	116391	138321	88588	112291	115489	83182
P0A9M8	1263970	1252250	1211430	1250670	1340820	1376150	1339620	1311920	1322240	1026560	925354	781685	1167730
P0A9Q7	796283	845167	802883	903124	664923	930079	986341	798495	684432	3952090	3799320	3769900	4720780
P67087	124936	170606	166523	137968	145410	135735	157714	150702	155302	125433	137185	104477	112865
P0AEJ2	311539	345386	287403	361851	276950	337303	424477	209330	235730	333748	490679	347856	459262
P08142	468627	516272	557148	501262	570000	578500	591877	620681	533225	569779	564153	587122	519374
P76576	451944	483549	405252	404409	428972	401381	470834	427558	424633	354038	439020	330473	403024
P0AET8	677912	676561	622257	673849	634470	696014	774377	574332	606202	419367	564033	464513	608240
P0AFI5	17639.4	23027.8	21269.9	17940.1	19145.7	18408.9	21700.8	22229.8	19956	28462	27559.8	22762.7	26449.5
P25888	21281.9	31646.4	31332.6	24440.8	24696.6	26119.4	33144	27758.1	27642.3	106165	123486	92896	89963.3
