"rowname"	"BBM_673_P283_01_VEB_001_R4"	"BBM_673_P283_01_VEB_002_R3"	"BBM_673_P283_01_VEB_003_R3"	"BBM_673_P283_01_VEB_004_R3"	"BBM_673_P283_01_VEB_005_R3"	"BBM_673_P283_01_VEB_006_R2"	"BBM_673_P283_01_VEB_007_R2"	"BBM_673_P283_01_VEB_009_R2"	"BBM_673_P283_01_VEB_010_R2"	"BBM_673_P283_01_VEB_011_R2"	"BBM_673_P283_01_VEB_012_R2"	"BBM_673_P283_01_VEB_013_R2"	"BBM_673_P283_01_VEB_017_R2"	"BBM_673_P283_01_VEB_024_R3"
"P0A8D6"	7245870	6334030	7019800	7524530	7984890	6902270	7391080	6046460	7264610	6829850	6452950	5475830	5064900	4954190
"P0AAX3"	7143290	5578180	4408530	4980910	6382820	5853830	4100500	3676660	6236990	6038820	5241400	7685030	8298330	7140260
"P00959"	33815200	34262200	36194600	31471500	36029400	33372900	31438700	38336000	32071100	35801800	35266300	33776100	46656500	45459000
"P0AEQ1"	6780260	6219230	6441630	6894690	7798530	6896410	5350980	5054050	8088480	7102930	6420430	4287770	3123650	3437300
"P25738"	156657000	136929000	122752000	138550000	121985000	154175000	264086000	66463900	194702000	161295000	159517000	72441400	90498300	84028600
"P64596"	14050500	13492100	14113400	14335800	14978900	13517700	13566500	14153600	13764600	13932200	15068000	10423400	11777100	12323700
"P00452"	15599100	17229800	18115400	18735500	14196800	15780600	19659800	19042000	17300500	18376400	19110400	11693800	18378200	15684600
"P10100"	7752390	6971520	8342970	7094060	9202530	8681180	7707050	8884250	7510730	7621580	8320200	7391010	7722680	8659160
"P0AEG4"	87245600	67054400	66936300	72894900	64113300	79455000	80118500	47049100	77963600	75052400	70826300	64631300	67403600	75890900
"P19934"	4006980	3619260	3624630	3439220	3435450	3498830	3056680	3195920	3627450	3452950	3385240	3414410	3199820	2503470
"P0A9B2"	322044000	338224000	355715000	339578000	402536000	393183000	341351000	384953000	368583000	383278000	390604000	929987000	913373000	1050100000
"P0A8I8"	3825670	4125000	4777520	3377170	4520980	4298250	3706240	5278600	3907210	3766170	4168740	5343970	4924720	4657690
"P0A8T7"	62709800	68490400	71643100	73356600	73525200	66227000	70459500	88302700	66540900	70556700	73358200	70727100	89702100	89363200
"P0A794"	14213500	16074500	15510000	13268500	17250700	15125700	11879600	17506400	14499300	14785000	14254700	13451300	12020700	11866600
"P0A7J3"	910031000	836249000	796443000	818473000	860614000	861837000	806947000	669320000	830460000	784330000	770910000	1079630000	778303000	987778000
"P00935"	15273300	14778200	15737200	14467400	30783000	14926500	12920100	21724600	12783700	13997500	15012800	18747000	17344000	16130900
"P0ACF4"	884047000	684605000	645827000	771140000	624009000	731357000	736597000	434382000	739233000	649315000	614097000	278744000	378752000	414434000
"P0AG84"	12968800	13769500	14361600	21258200	11442300	14678700	21727700	11486400	18785600	15072100	15503000	9957860	9233530	10490100
"P0A9M8"	60757700	64170800	65511900	73237800	73038600	63687500	65614600	74901500	61688600	66494000	66471000	39376600	43086400	51555900
"P0A9Q7"	36047000	39959100	44188100	58322700	40753600	48690700	59649900	48073900	51423300	51096800	54499100	246922000	278448000	324557000
"P67087"	6615560	5840580	5393120	4557190	5797490	5635340	4760630	4837900	5488060	5201350	5324900	4881330	3983400	4371960
"P0AEJ2"	15614100	17077500	21141400	48944700	20491400	22403600	29681000	11840600	24157500	25126600	28011100	36479100	35532100	40438000
"P08142"	27707000	30919900	33355800	22502400	32857100	31184900	28309900	38107100	29654400	30568700	31259400	28304600	32845800	30220900
"P76576"	10572200	9776300	10932400	7968710	11185400	10562000	9642640	11225600	10823400	10267500	9811900	9581790	9290350	8680140
"P0AET8"	30245000	32067100	37993300	33914800	39102100	35462000	38902200	36372700	32476000	37984300	37278600	34714500	29047500	34822200
"P0AFI5"	792558	732956	633233	732683	548284	686450	814113	678527	774512	679456	725361	1030460	955554	1048730
"P25888"	1295350	1231260	1388440	1396420	1580160	1482650	1488370	1099520	1390840	1291830	1225430	5521250	5791340	5607540
"P16659"	28937600	30790400	32020200	27085800	31353200	29680300	27502100	33642600	27820700	30301300	29815000	28678600	34944200	36008600
