file	Pyr
20230516_EXPL1_LiSc_SA_S610_RT_25_s2	1
20230516_EXPL1_LiSc_SA_S610_RT_26_s9	1
20230516_EXPL1_LiSc_SA_S610_RT_29_s24	1
20230516_EXPL1_LiSc_SA_S610_RT_33_s44	1
20230516_EXPL1_LiSc_SA_S610_RT_35_s51	0
20230516_EXPL1_LiSc_SA_S610_RT_36_s56	0
20230516_EXPL1_LiSc_SA_S610_RT_38_s68	0
20230516_EXPL1_LiSc_SA_S610_RT_39_s72	0
20230516_EXPL1_LiSc_SA_S610_RT_41_s81	0
20230516_EXPL1_LiSc_SA_S610_RT_42_s89	0
20230516_EXPL1_LiSc_SA_S610_RT_43_s92	0
20230516_EXPL1_LiSc_SA_S610_RT_44_s96	0
20230516_EXPL1_LiSc_SA_S610_RT_46_QC2_LabD	1
20230516_EXPL1_LiSc_SA_S610_RT_47_QC3_LabD	0
20230516_EXPL1_LiSc_SA_S610_RT_48_QC4_LabD	0
