rowname	20230516_EPL1_LiSc_SA_S610_RT_25_s2	20230516_EPL1_LiSc_SA_S610_RT_26_s9	20230516_EPL1_LiSc_SA_S610_RT_29_s24	20230516_EPL1_LiSc_SA_S610_RT_33_s44	20230516_EPL1_LiSc_SA_S610_RT_35_s51	20230516_EPL1_LiSc_SA_S610_RT_36_s56	20230516_EPL1_LiSc_SA_S610_RT_38_s68	20230516_EPL1_LiSc_SA_S610_RT_39_s72	20230516_EPL1_LiSc_SA_S610_RT_41_s81	20230516_EPL1_LiSc_SA_S610_RT_42_s89	20230516_EPL1_LiSc_SA_S610_RT_43_s92	20230516_EPL1_LiSc_SA_S610_RT_44_s96	20230516_EPL1_LiSc_SA_S610_RT_46_QC2_LabD	20230516_EPL1_LiSc_SA_S610_RT_47_QC3_LabD	20230516_EPL1_LiSc_SA_S610_RT_48_QC4_LabD
P0A8D6	5022110	5302860	5483140	5077020	4529280	4700770	4569120	4899440	4510280	4660690	4573690	4449640	5441310	4490240	4737200
P0AAX3	1184610	976583	1276180	1368430	2317530	2236110	1652180	2116170	2039040	2124320	2009350	1795600	1313040	2056220	2217240
P00959	19913600	17877100	18404300	18095800	23369100	23552600	23417100	23487600	23374700	23082600	23866400	24204500	18669300	23308800	23081000
P0AEQ1	2339610	2911990	2485220	2386840	1455700	1426660	1427220	1586830	1587330	1533400	1436960	1266430	2740620	1264030	1603540
P25738	13963100	16238100	18314700	22089300	10618200	11918800	9544850	11746200	11202000	9908890	10513000	9191170	15931700	9322280	10935100
P64596	13667500	12761700	13780500	14367800	10635400	9926420	10744100	10697200	10530700	9982720	10296300	10754800	13667300	10102700	10970600
P00452	11548000	13426000	12661000	12297400	11513800	11054300	11832400	10950700	11028200	10943500	11045800	11116600	12498200	11085000	10704000
P10100	6412950	5894410	6195880	6344180	5800250	5666600	5332720	5769040	5319920	5610610	5514500	5756760	6295420	5834160	6003290
P0AEG4	34218700	38153600	40378900	38841400	41196800	43830600	37199900	44054300	41927100	41427500	43814700	41903900	38622000	41909100	41675400
P19934	1607400	1523820	1533560	1543440	1395660	1467250	1424060	1502570	1407800	1472230	1500140	1354370	1472250	1462840	1464880
