Ref8537_QC1_20230414_1	Ref8537_QC2_20230414_1	Ref8537_QC3_20230414_1	Ref8537_QC4_20230414_1	Ref8537_S4_20230414	Ref8537_S8_20230414	Ref8537_S11_20230414	Ref8537_S18_20230414	Ref8537_S21_20230414	Ref8537_S26_20230414	Ref8537_S35_20230414	Ref8537_S37_20230414	Ref8537_S45_20230414	Ref8537_S49_20230414	Ref8537_S52_20230414	Ref8537_S60_20230414	Ref8537_S65_20230414	Ref8537_S69_20230414	Ref8537_S75_20230414	Ref8537_S79_20230414	Ref8537_S82_20230414	Ref8537_S88_20230414	Ref8537_S94_20230414	Ref8537_S100_20230414	Clinspect_E_coli_A_QC1_Slot1-6_1_8640	Clinspect_E_coli_A_QC2_Slot1-15_1_8649	Clinspect_E_coli_A_S5_Slot1-7_1_8641	Clinspect_E_coli_A_S7_Slot1-24_1_8673	Clinspect_E_coli_A_S14_Slot1-11_1_8645	Clinspect_E_coli_A_S20_Slot1-20_1_8669	Clinspect_E_coli_A_S23_Slot1-8_1_8642	Clinspect_E_coli_A_S29_Slot1-19_1_8667	Clinspect_E_coli_A_S34_Slot1-18_1_8666	Clinspect_E_coli_A_S39_Slot1-26_1_8675	Clinspect_E_coli_A_S42_Slot1-21_1_8670	Clinspect_E_coli_A_S47_Slot1-14_1_8648	Clinspect_E_coli_B_QC3_Slot1-23_1_8672	Clinspect_E_coli_B_QC4_Slot1-10_1_8644	Clinspect_E_coli_B_S53_Slot1-22_1_8671	Clinspect_E_coli_B_S58_Slot1-5_1_8639	Clinspect_E_coli_B_S62_Slot1-16_1_8664	Clinspect_E_coli_B_S66_Slot1-13_1_8647	Clinspect_E_coli_B_S78_Slot1-17_1_8665	Clinspect_E_coli_B_S85_Slot1-12_1_8646	Clinspect_E_coli_B_S86_Slot1-4_1_8638	Clinspect_E_coli_B_S91_Slot1-25_1_8674	Clinspect_E_coli_B_S98_Slot1-9_1_8643	BBM_673_P283_01_VEB_001_R4	BBM_673_P283_01_VEB_002_R3	BBM_673_P283_01_VEB_003_R3	BBM_673_P283_01_VEB_004_R3	BBM_673_P283_01_VEB_005_R3	BBM_673_P283_01_VEB_006_R2	BBM_673_P283_01_VEB_007_R2	BBM_673_P283_01_VEB_009_R2	BBM_673_P283_01_VEB_010_R2	BBM_673_P283_01_VEB_011_R2	BBM_673_P283_01_VEB_012_R2	BBM_673_P283_01_VEB_013_R2	BBM_673_P283_01_VEB_014_R2	BBM_673_P283_01_VEB_015_R2	BBM_673_P283_01_VEB_016_R2	BBM_673_P283_01_VEB_017_R2	BBM_673_P283_01_VEB_018_R2	BBM_673_P283_01_VEB_019_R2	BBM_673_P283_01_VEB_020_R2	BBM_673_P283_01_VEB_021_R2	BBM_673_P283_01_VEB_022_R3	BBM_673_P283_01_VEB_023_R3	BBM_673_P283_01_VEB_024_R3	20230516_EXPL1_LiSc_SA_S610_RT_25_s2	20230516_EXPL1_LiSc_SA_S610_RT_26_s9	20230516_EXPL1_LiSc_SA_S610_RT_27_s12	20230516_EXPL1_LiSc_SA_S610_RT_28_s17	20230516_EXPL1_LiSc_SA_S610_RT_29_s24	20230516_EXPL1_LiSc_SA_S610_RT_30_s30	20230516_EXPL1_LiSc_SA_S610_RT_31_s33	20230516_EXPL1_LiSc_SA_S610_RT_32_s38	20230516_EXPL1_LiSc_SA_S610_RT_33_s44	20230516_EXPL1_LiSc_SA_S610_RT_34_s48	20230516_EXPL1_LiSc_SA_S610_RT_35_s51	20230516_EXPL1_LiSc_SA_S610_RT_36_s56	20230516_EXPL1_LiSc_SA_S610_RT_37_s63	20230516_EXPL1_LiSc_SA_S610_RT_38_s68	20230516_EXPL1_LiSc_SA_S610_RT_39_s72	20230516_EXPL1_LiSc_SA_S610_RT_40_s80	20230516_EXPL1_LiSc_SA_S610_RT_41_s81	20230516_EXPL1_LiSc_SA_S610_RT_42_s89	20230516_EXPL1_LiSc_SA_S610_RT_43_s92	20230516_EXPL1_LiSc_SA_S610_RT_44_s96	20230516_EXPL1_LiSc_SA_S610_RT_45_QC1_LabD	20230516_EXPL1_LiSc_SA_S610_RT_46_QC2_LabD	20230516_EXPL1_LiSc_SA_S610_RT_47_QC3_LabD	20230516_EXPL1_LiSc_SA_S610_RT_48_QC4_LabD	CVT09_QC1_LabE_X023	CVT09_QC2_LabE_X024	CVT09_QC3_LabE_X025	CVT09_QC4_LabE_X026	CVT09_s3_X002	CVT09_s10_X003	CVT09_s13_X004	CVT09_s16_X005	CVT09_s25_X006	CVT09_s28_X007	CVT09_s31_X008	CVT09_s36_X009	CVT09_s41_X010	CVT09_s50_X011	CVT09_s55_X012	CVT09_s59_X013	CVT09_s61_X014	CVT09_s67_X015	CVT09_s73_X016	CVT09_s77_X017	CVT09_s84_X018	CVT09_s90_X019	CVT09_s93_X020	CVT09_s99_X021
P0A8D6	15463400	14977100	12414500	13587600	15814700	16431400	17384200	16125700	12327000	15844200	14860300	14233400	17207600	15965300	16213900	15755300	16686400	13502900	14955500	14630600	14232500	15314800	13403800	14591400	91662.2	121459	102259	123366	113745	104654	98485.5	119336	129389	94149.4	104236	103911	74029.7	105105	103191	114377	114602	80985.6	46916.8	96581.1	101957	97187.7	87090.6	7245870	6334030	7019800	7524530	7984890	6902270	7391080	6046460	7264610	6829850	6452950	5475830	4857110	5274830	5009970	5064900	4732360	4897230	5394920	5275030	4182550	4496380	4954190	5022110	5302860	5325130	5312470	5483140	5195430	5479550	5877560	5077020	4919630	4529280	4700770	4812230	4569120	4899440	4653240	4510280	4660690	4573690	4449640	5396250	5441310	4490240	4737200	2883020	2721390	2781580	2430560	2758880	2888910	2903070	2862840	2827980	3058050	2773740	2668060	2513010	2795490	2426100	2652560	2724430	2444840	2593710	2598030	2787530	2603210	2578620	2728760
P0AAX3	6451470	5502760	9983580	8060870	6991030	4764920	3705790	5478640	9586100	6283370	5098320	6565570	6025140	5213810	11889800	10239800	10960300	9056020	10037500	11060500	10184800	9206630	9959640	9280620	52409.5	45123.6	41710.6	35810.9	46309.6	51127	23304.9	36030.8	46648.1	21118	61196.8	57584.2	48646	102511	139092	101769	123920	34203.3	32727.3	109324	79628	85754	46866.7	7143290	5578180	4408530	4980910	6382820	5853830	4100500	3676660	6236990	6038820	5241400	7685030	5974730	7817500	6022110	8298330	4472430	7140230	6860910	5829540	5139660	6658970	7140260	1184610	976583	1214870	1165230	1276180	1170430	1293620	1197600	1368430	1118760	2317530	2236110	2304360	1652180	2116170	2154480	2039040	2124320	2009350	1795600	1413750	1313040	2056220	2217240	1595610	858391	825367	1451430	1206320	804437	862400	590423	497273	695862	758094	824941	792583	704027	1598400	2124750	1721690	1651210	1434840	1704730	1568630	1704120	1502360	1555040
P00959	123702000	128413000	147156000	152496000	120653000	127610000	117185000	109429000	90795600	116869000	116300000	72542500	120773000	117121000	141370000	144357000	150616000	113659000	159075000	143254000	157716000	155882000	136716000	151887000	202412	224757	197435	216486	219229	220320	224162	233639	213243	246872	227253	229778	260167	279284	270160	273843	280312	249774	253068	294740	272476	277560	276615	33815200	34262200	36194600	31471500	36029400	33372900	31438700	38336000	32071100	35801800	35266300	33776100	43351200	44933900	47608500	46656500	45796300	46019500	47594300	40107400	39625600	44743200	45459000	19913600	17877100	17899400	18462900	18404300	19036900	18004000	17742500	18095800	20089600	23369100	23552600	21850600	23417100	23487600	22289300	23374700	23082600	23866400	24204500	19473600	18669300	23308800	23081000	13074700	10289900	9798780	12919400	10858000	8340100	10645100	9926140	9485940	9097580	9122430	11376800	11138900	9308960	12905300	12856300	12782100	13632900	13233300	13199700	12919800	13420000	13129200	13082800
P0AEQ1	9740550	9509940	4515120	4518890	10524200	10778400	9049260	10195000	14373500	12605700	9294080	13383300	9669100	11272400	5318720	6688480	5011710	6609990	5595940	5401750	5066670	4920630	5827330	5271540	192842	227210	210768	173301	242838	274545	116093	189649	226062	151780	266323	248238	47805.2	107582	109545	104799	135990	53877.6	45178.5	77253.1	97774.8	86280.3	64010.3	6780260	6219230	6441630	6894690	7798530	6896410	5350980	5054050	8088480	7102930	6420430	4287770	2975090	4103420	3209970	3123650	2923820	3405520	3878740	3449890	2432550	2405220	3437300	2339610	2911990	3375720	3038980	2485220	2567590	2677290	2669740	2386840	2254300	1455700	1426660	1612210	1427220	1586830	1616810	1587330	1533400	1436960	1266430	2998090	2740620	1264030	1603540	789822	1575790	1564130	659399	1567320	1707750	1579580	1533600	1566720	1492620	1475020	1369360	1309390	1379470	720684	746683	794053	714408	744248	792402	746849	738735	667398	752358
P25738	34733700	29192100	23295700	17317500	63701200	52474100	59840500	44875800	38797900	54466400	65152300	133725000	55980900	48550600	24779200	37750100	23447900	31165000	31528000	32741800	30056100	23336700	21961500	40016000	535904	220438	493984	192803	461579	332372	171036	429545	225840	221509	471195	353422	126239	268498	260579	282795	208095	92146.6	117589	156008	253916	170832	161100	156657000	136929000	122752000	138550000	121985000	154175000	264086000	66463900	194702000	161295000	159517000	72441400	58620400	84131800	89161200	90498300	59573100	79987400	64697100	87019500	83677500	67905500	84028600	13963100	16238100	18896500	16929000	18314700	14006500	19447000	21298900	22089300	13888900	10618200	11918800	10295900	9544850	11746200	12830600	11202000	9908890	10513000	9191170	14998200	15931700	9322280	10935100	5441240	9102280	8602700	5385470	7972120	11847500	8353310	9635770	10502600	10684200	11467500	7818100	7521280	9703690	6797740	5167670	7692070	6059470	6128940	6464700	5246640	5630290	5756490	6010680
P64596	68867000	60038400	44561000	49162200	72251300	75680500	71206800	68053800	84084300	68333300	81799100	100789000	71818600	73237600	53467600	60439900	57591700	66454800	58939700	52977700	57637400	52741000	54701300	58491700	223901	286945	237655	292414	304919	256592	291884	248046	316535	254899	300066	252655	184827	231136	237427	221811	201574	211468	175931	282606	248849	225731	285204	14050500	13492100	14113400	14335800	14978900	13517700	13566500	14153600	13764600	13932200	15068000	10423400	10203400	10762100	11972200	11777100	12122600	11412500	11648700	10031500	10793600	11869900	12323700	13667500	12761700	12692700	13736800	13780500	12819600	12834900	15030900	14367800	12917000	10635400	9926420	10699700	10744100	10697200	10912400	10530700	9982720	10296300	10754800	13896900	13667300	10102700	10970600	6039800	6781540	6688010	5910750	7346830	6123300	7271730	6940810	6892310	6468980	6470560	7451690	7363540	6296030	6186530	6208130	5862610	6157840	6089390	6275290	6087150	5946760	6054430	6135340
P00452	93644300	98413600	77192000	83117700	80306100	97397700	102249000	72289400	52565200	81246300	88330900	49162900	98269100	78194600	79654200	83569100	83872000	55774800	92464500	75937700	87446900	84479000	70419200	84127200	173818	169767	176391	159276	189530	174852	149354	182117	171435	159690	185460	157931	127926	153150	162867	188396	154117	120598	107235	180813	163200	160510	158701	15599100	17229800	18115400	18735500	14196800	15780600	19659800	19042000	17300500	18376400	19110400	11693800	14325000	14852900	17148600	18378200	19761000	15851400	16070200	12780900	13423900	14819600	15684600	11548000	13426000	11348000	12706800	12661000	11276700	13170600	13150000	12297400	11870100	11513800	11054300	9731180	11832400	10950700	10577800	11028200	10943500	11045800	11116600	13164400	12498200	11085000	10704000	7489800	7139470	6913190	7328400	7386630	5816270	8183490	6732360	8016780	6217250	6427220	8384230	7245220	5912650	7456010	7442150	7039440	7900550	7646400	7396310	7099890	7648660	7635220	7519290
P10100	23943600	20549800	23355200	19419300	30347400	22338100	20391100	28121300	36882200	25846000	23990600	35395300	24911800	26616700	25596200	26127400	23942600	27372200	21461000	25172700	23195200	23651100	26196000	23546900	352414	380160	377811	233235	378585	373690	277290	357688	311444	279701	373027	362165	173134	386239	351311	422588	364833	202129	128301	329508	354152	235101	304753	7752390	6971520	8342970	7094060	9202530	8681180	7707050	8884250	7510730	7621580	8320200	7391010	7464330	8398370	8362540	7722680	8273180	8661870	8418860	8822560	6761840	8646790	8659160	6412950	5894410	6012740	5879100	6195880	5939070	5911970	5984770	6344180	6303760	5800250	5666600	5587590	5332720	5769040	5658250	5319920	5610610	5514500	5756760	6328800	6295420	5834160	6003290	1403900	1434670	1338160	1386420	1436590	1364810	1420810	1432920	1376810	1363830	1490250	1395280	1515970	1484280	1389560	1434460	1404630	1365550	1393790	1393420	1311800	1360600	1377890	1321920
P0AEG4	135700000	111635000	140950000	118901000	135702000	118648000	131339000	137865000	142916000	139290000	139786000	189403000	149870000	132373000	150952000	172215000	146840000	164897000	142214000	147199000	146387000	142477000	153494000	149766000	1090980	1173250	890463	905656	1153820	1081380	938313	963078	1103530	747062	1141210	1186530	745552	1050070	1117640	1072440	1080930	833958	827027	1234190	1203610	831171	979956	87245600	67054400	66936300	72894900	64113300	79455000	80118500	47049100	77963600	75052400	70826300	64631300	55186100	69479100	70354700	67403600	55894300	65129000	68680800	71615100	53251300	67540600	75890900	34218700	38153600	43595000	39087400	40378900	36053800	40777100	38658700	38841400	34449700	41196800	43830600	44255300	37199900	44054300	45588800	41927100	41427500	43814700	41903900	38634600	38622000	41909100	41675400	10288700	11946600	12405400	9873120	10831500	13271600	11877100	11668100	11809200	12416900	12577900	10220600	10533000	11682300	11167800	9504630	11251200	9737490	10406300	9506520	9789070	9740960	10232900	10368100
P19934	4198540	3789270	4205570	3600270	4650000	3638370	4223800	5077130	7411300	4852200	3504670	3706090	3936400	5326660	4716530	4385340	4346730	5799950	4110330	4619330	3971760	4210880	5159680	3993570	36018.3	28464.5	28624.6	26526.6	38093.9	29279.5	23845.3	37450.5	24663	29560.1	35389.2	48814.7	30695.6	38485.5	37114.2	34391.8	44834.2	26922.7	38649.7	42729.5	34771.1	26788.9	26313.3	4006980	3619260	3624630	3439220	3435450	3498830	3056680	3195920	3627450	3452950	3385240	3414410	2861470	3181510	2794120	3199820	2804520	3150200	3164430	3316580	2320430	2814430	2503470	1607400	1523820	1547850	1489770	1533560	1458420	1558210	1505760	1543440	1566350	1395660	1467250	1507300	1424060	1502570	1490200	1407800	1472230	1500140	1354370	1523330	1472250	1462840	1464880	376676	438471	416372	405574	402639	444960	385436	420073	421365	459535	417948	364682	413617	412807	358883	351008	400480	353166	346628	343783	341934	347727	384155	382862
