rowname	DDA_APT_D5_1	DDA_APT_D6_1	DDA_APT_F7_1	DDA_APT_M8_1	DDA_APT_D5_2	DDA_APT_D6_2	DDA_APT_F7_2	DDA_APT_M8_2	DDA_APT_D5_3	DDA_APT_D6_3	DDA_APT_F7_3	DDA_APT_M8_3	DIA_APT_D5_1	DIA_APT_D6_1	DIA_APT_F7_1	DIA_APT_M8_1	DIA_APT_D5_2	DIA_APT_D6_2	DIA_APT_F7_2	DIA_APT_M8_2	DIA_APT_D5_3	DIA_APT_D6_3	DIA_APT_F7_3	DIA_APT_M8_3	DDA_FDU_D5_1	DDA_FDU_D6_1	DDA_FDU_F7_1	DDA_FDU_M8_1	DDA_FDU_D5_2	DDA_FDU_D6_2	DDA_FDU_F7_2	DDA_FDU_M8_2	DDA_FDU_D5_3	DDA_FDU_D6_3	DDA_FDU_F7_3	DDA_FDU_M8_3	DIA_FDU_D5_1	DIA_FDU_D6_1	DIA_FDU_F7_1	DIA_FDU_M8_1	DIA_FDU_D5_2	DIA_FDU_D6_2	DIA_FDU_F7_2	DIA_FDU_M8_2	DIA_FDU_D5_3	DIA_FDU_D6_3	DIA_FDU_F7_3	DIA_FDU_M8_3	DDA_NVG_D5_1	DDA_NVG_D6_1	DDA_NVG_F7_1	DDA_NVG_M8_1	DDA_NVG_D5_2	DDA_NVG_D6_2	DDA_NVG_F7_2	DDA_NVG_M8_2	DDA_NVG_D5_3	DDA_NVG_D6_3	DDA_NVG_F7_3	DDA_NVG_M8_3	DIA_BGI_D5_1	DIA_BGI_D6_1	DIA_BGI_F7_1	DIA_BGI_M8_1	DIA_BGI_D5_2	DIA_BGI_D6_2	DIA_BGI_F7_2	DIA_BGI_M8_2	DIA_BGI_D5_3	DIA_BGI_D6_3	DIA_BGI_F7_3	DIA_BGI_M8_3
Asparagine synthetase [glutamine-hydrolyzing]	19.86084451238538	19.991345992906982	20.145888534858383	19.806989658394883	19.967013468081984	19.97099322036788	20.093606309600386	19.61452635257608	19.995607798075586	20.10042654404438	20.086355034411383	19.869796273691083	19.77538057595089	19.83946879255229	20.20925413973129	19.57787732707979	19.803350035698596	20.07763461229559	20.34279581698609	19.75922886642229	19.909174362888592	20.17109848681499	20.09934011921629	19.93879056375769	19.891372277400027	20.064317459535825	20.181326286578727	19.72006889146293	19.80354127639733	20.014972912777623	20.275511817441327	19.807145782933222	19.976571280470623	20.035710149904727	20.14185810628413	19.590997458207926	19.68481033108414	20.05478319752064	20.25145066124114	19.74459725253284	19.90978917049594	20.06812914024374	20.310009110606043	19.66572834306204	19.85619357906944	20.01448315178284	20.23500956383244	19.708410197923143	19.82177291091942	19.92139956209182	20.15388892927052	19.80710813422042	19.89696046054922	19.64554417709062	20.32984816896642	19.809738422692423	20.17441705050692	20.00412019677842	20.22191722247412	19.71667846383412	19.913287137443938	20.129739946492137	20.22554707953404	19.69473287661904	19.920845081215937	19.894252155518338	20.270235308266734	19.624781956377937	19.903245669926736	20.05640135369264	20.24337700792504	19.626948126381937
7-dehydrocholesterol reductase	18.558492756838444	18.917571089533443	18.991288640164644	18.68491815335924	18.66242571579584	19.032271386775843	18.860556817709544	18.776802599215745	18.786864108778243	18.800641991968742	18.801430927259943	19.100517310338443	18.839434801476493	18.53111312888539	19.09130490432949	18.845724000073396	18.814530394179396	18.784240482800392	19.03193262316549	18.78975848855349	18.75316131628549	18.570839747924893	19.038279280230192	18.883462329833996	18.719958917829825	18.756354340112424	18.988159658697924	18.724251350417223	18.780447297667624	18.89658984319593	18.842796575514225	18.833307406347924	18.756865655898125	18.751393437894723	18.967301181460023	18.95635583270213	18.675268411387894	18.80818068315359	18.967849426010893	18.89275931771089	18.830903507728596	18.606145339655196	18.90320100483149	18.899268880963493	18.77547754676709	18.86612704712149	18.898323954173996	18.85027637823349	18.68351435745761	18.480757403042816	18.859580853915816	18.580172279962515	18.529425954163216	19.271028343310917	19.027993119344718	18.768974749674918	18.807566055299016	19.001902839348915	18.993717962191013	18.96914758002661	18.594127278831834	18.767988881813533	18.906309257915836	18.685014219358838	18.699357781584933	18.93062965487633	19.169210903976435	18.738473395108933	18.543816076365637	18.986023759092035	18.912860759851437	19.03996952896233
Glycolipid transfer protein	17.983987150089806	18.92827359951761	18.020262689571908	19.04465315880761	17.852047340382608	18.577714372693407	17.479854518871306	18.915431134704303	17.89007400620431	18.96985743484071	18.94081707525821	18.783962093240607	17.49201406779739	18.751758230108088	18.330559260523888	18.94144861201879	18.16251553060269	18.723219793418888	18.38208459352489	18.758839627317688	18.58416915618549	18.15333857250569	18.70175022895769	18.40523690122119	18.398640070908	18.588739305410897	18.2705136416582	18.592129516945995	18.1932629810806	18.3215157603226	18.477697137471896	18.834651239518	18.3596532327292	18.292608657864097	18.513504850182297	18.5440181800906	18.271715914498834	18.36120775441753	18.41451044069644	18.827920157853438	18.396415883700136	18.503304236965835	18.539535822656237	18.829533106483936	18.214655363577133	18.360057675176936	18.13917013253533	18.528908085620635	18.33399416916584	18.29754870400424	17.73433981995674	19.23975973427404		18.19613549572664	18.49787332255654	18.45758013651074	18.24301715037324	19.29283751262654	18.18225011709674	18.72775706363814	18.002654643548233	18.62161432916973	18.35601976311643	18.53228476501573	18.37595556283413	18.465960875762637	18.22744460913293	18.867165590428836	18.37053069662153	18.224416173948327	18.542546080053327	18.80034148455053
39S ribosomal protein L44, mitochondrial	19.0982227488443	18.658105438267995	18.812193263686297	18.6605426781408	18.7782112302884	18.6101284816803	18.6763403188462	18.5839070921014	19.3389829915684	18.6583741906846	18.883155820631	18.5266064468532	19.179879860758284	18.942425170563485	18.468377168983285	18.488505426397086	19.441536122686983	18.823240646327783	18.230636408846685	18.761013732508182	18.920199453269383	18.750226535426783	18.749833837619484	18.528896338205485	18.800212819069053	18.67560678392365	18.640373095413757	18.963696955868954	18.776978749831155	18.722274272756252	18.608510329053157	18.69924829695585	19.253731848171157	18.985701576521155	18.50317037685605	18.65526559717265	18.701337081786946	19.181015208352747	18.64992901383305	18.67186591371515	19.089580257752942	18.73968259986345	18.77158323569525	18.447250019569147	19.105507280184646	18.72185397514435	18.793254605000648	18.411911510694548													18.85027230757152	18.797545860105817	18.70300616210182	18.68719652181202	19.05739597751882	18.73422627319712	18.79626045408822	18.57187050003332	19.017569720628018	18.78667446727372	18.62356766726962	18.65918478999292
Protein deglycase DJ-1	21.501442624748996	21.52809235781489	21.526603074757997	21.521363393431997	21.49440694536009	21.499683566371296	21.538956125741397	21.471582102910396	21.46409487675709	21.531850993756294	21.608490214133795	21.517340086809494	21.432422594774756	21.643376139438853	21.555733323392957	21.456843566134957	21.49124970410705	21.56711549396625	21.568621746718552	21.413330955551952	21.403738019581752	21.651394670994254	21.551967971445556	21.46811217648685	21.468083517804622	21.600488215602027	21.473773872184527	21.473502505228826	21.385102961684925	21.624065457538222	21.586970938025228	21.552055355316128	21.449207155276927	21.551862463757725	21.555934677362327	21.482859242812225	21.439841961113537	21.512923711911537	21.575308470029736	21.58838568787324	21.409905294672136	21.565111484223536	21.583866942095536	21.52049026688284	21.432604284454136	21.556966192696738	21.53067051707214	21.48783154956864	21.34525612144431	21.51499610018651	21.466541807000517	21.44527763328061	21.514819218455813	21.60433595178741	21.55812248073081	21.539817596437118	21.447333919963917	21.607607384400318	21.562972810462917	21.596825338443512	21.489400713187475	21.553915654609977	21.567341226858577	21.516860704198976	21.499025249656675	21.536515113751577	21.638373242152376	21.503499782810675	21.33877873420437	21.382432099669177	21.600688089098377	21.57707575239548
V-type proton ATPase subunit H	19.017107004442263	18.983436983137768	19.208881041146068	19.076155240580267	19.50246647717847	18.814673210621667	19.212088600630068	19.067535817662566	18.78908995332337		18.87815541067207	19.111883931878467	19.214125318275308	19.096807499374307	18.91097166127791	19.27154643590481	18.568493288814707	18.97359990215561	19.19550230469491	19.22645152355231	18.883825675243408	18.988511660293007	18.81497830508231	19.53657007284231	18.139576228405588		18.852614825861988	19.80349176684699		19.075066814492587	18.73940982483929	18.879442964055087	19.54711011426079	18.691800929322387	19.44344982045789	19.58731452097959	18.80559456864544	19.156996646717037	19.162663527881435	19.104832267151835	18.67046733581753	19.264207732645936	19.051568148530635	19.207107813087333	18.82634601597584	19.240138151870536	19.039385771626435	19.152075667560936													18.8751717938038	18.9761703000037	19.0740749671839	18.997567181696706	18.8563954653303	19.0060924851558	19.0903789873074	19.574398776041	18.934972824995302	18.9913273753022	19.0943966037063	19.2104368869845
26S protease regulatory subunit 4	20.253188128528464	20.305922623068863	20.340377297241066	20.322047647210063	20.267421831771063	20.392452917935163	20.352863290287164	20.307283992150264	20.365211300635565	20.227612374342563	20.283375836558363	20.32730368509336	20.210881389432835	20.459315586668737	20.227735449182536	19.81838465913633	20.42134296973593	20.25943152417053	20.573309676401635	20.23778552625573	20.29914657704993	20.34723186517644	20.475755186084932	20.414740515526336	20.37245492130505	20.410017430138147	20.412795307973145	20.335307393631847	20.253997014283247	20.259452635232247	20.500013772831743	20.289662626105947	20.279276107391947	20.359574781817148	20.145368002363945	20.127140931747547	20.179487715743903	20.283318927550205	20.438241331942105	20.345205824173505	20.264307279053604	20.326014827668505	20.495385731143504	20.309965987226605	20.098106454827203	20.348469592632405	20.388302046892605	20.268255205967804	20.319414621426095	20.5053343485535	20.3056065836182	20.1805559695387	20.3708891349126	20.4256029751887	20.3757588899124	20.2649138093003	20.1590005293919	20.1595594169459	20.4315942951782	20.2468303508555	20.19763047526536	20.368242073871457	20.414795737936856	20.25147188022336	20.33365807898885	20.32817701685816	20.436640028503856	20.30899394918796	20.28534190917805	20.283234596000057	20.26698471059636	20.269890468211656
Pleckstrin homology domain-containing family F member 1	18.25601358647879	17.930018639497792	18.186390853254192		18.27152801897629	18.31696111060989	18.022302859952493	17.450484542660092	18.294162948403397		18.076666957157997	17.57529797047599	19.42036660979082	17.13069552697192	16.28745763656042	17.458803575999717	18.40472231029732	17.046297854252813	18.43197827314952	18.34794655178852	18.538434847645817	18.26069882540521	18.14102195989312	18.472583080409212	18.167857484775176	18.000312428225577			18.65695630342748		17.92813768287008		18.36830319150758				17.822658664222683	17.84002316066028	18.267724937353385	18.19540847671518	18.155318553353283	18.209864647353186	18.24195846536668	18.13861972363248	18.42254206844068	16.784841092960882	17.88546826033228	17.97657900177338													18.60832970015593	17.63524627997583	18.089431082226334	17.759655130076432	18.634074481744832	18.12517333850253	17.90468328806143	17.961809649178534	18.718466411278836	18.36522246416863	18.14470347236813	15.994211754426932
Ras-related protein Rab-1B	19.431290319850152	19.34005618305125	19.42207687678255	19.95133829880335	19.19514257154815	19.14298336110425		19.43830062876395	19.40670838320575	19.14529578468345	19.13162522539735	20.33522876101835	19.47940801404753	19.46342866969083	19.44923876472973	19.430492028184133	19.35110744119453	19.489469918931533	19.36465997327503	19.379001447743438	19.45144116382973	19.515222708911438	19.545964851107836	19.419360797691237		19.67754912034711	19.56132896473111	19.21432897071781	19.04949809330001	19.79367009453361		19.339351135993912	20.63327883803841	18.94942050713911	19.01081585949341	19.28819460022511	19.64532979106103	19.537675738516636	19.60550425159713	19.651850025663133	19.47877544023883	19.467763535581632	18.137124140522133	19.675673528187232	19.29648873262943	19.822191383050534	19.474811989238432	19.545607223050837	19.302608201555007	19.056567464048708	20.032828558067308	19.35403739967961	19.09656264170031	20.17828742360781	19.767438909403907	19.253912823678007	19.60887020709761	18.939651710504208		19.349281054866108	19.400276920165663	19.560800183370365	19.535909988154067	19.509689632316466	19.020258407579767	19.475874925594766	19.428797419375268	19.499113879560863	19.337328397670262	19.663587798684965	19.513115005051468	19.394043221813067
7,8-dihydro-8-oxoguanine triphosphatase	18.520662621213564		18.07372401866766	18.71603349316016	16.973231859013463		18.735381075107963	19.00940714503716		19.136654942522863	18.36741359479556	18.95990221408866	18.663580800446397	18.350803173696992	18.38362224934709	18.86073420181779	18.262306410871997	18.36177695738929	17.331230815291292	18.81590925986689	18.58755957349309	18.346936139895192	18.316401527446093	19.064988150522996			18.507145615412057	18.78254509097896									18.08511681419717	18.39626969368967	18.154920374363773	19.11151554846577	17.968206798511172	17.805396569627572	18.99609155694177	18.910424545800574	18.574305453048677	17.924220058811773	18.18546334622557	19.23391850040157													17.94755316753061	18.48200450504381	18.39005606142511	18.967223283069213	18.175026550117213	18.415793377412516	18.50105722677241	18.97797184235161	17.68432772365331	18.39193707698401	18.47530193227481	18.93759651345041
