rowname	DDA_APT_D5_1	DDA_APT_D6_1	DDA_APT_F7_1	DDA_APT_M8_1	DDA_APT_D5_2	DDA_APT_D6_2	DDA_APT_F7_2	DDA_APT_M8_2	DDA_APT_D5_3	DDA_APT_D6_3	DDA_APT_F7_3	DDA_APT_M8_3	DIA_APT_D5_1	DIA_APT_D6_1	DIA_APT_F7_1	DIA_APT_M8_1	DIA_APT_D5_2	DIA_APT_D6_2	DIA_APT_F7_2	DIA_APT_M8_2	DIA_APT_D5_3	DIA_APT_D6_3	DIA_APT_F7_3	DIA_APT_M8_3	DDA_FDU_D5_1	DDA_FDU_D6_1	DDA_FDU_F7_1	DDA_FDU_M8_1	DDA_FDU_D5_2	DDA_FDU_D6_2	DDA_FDU_F7_2	DDA_FDU_M8_2	DDA_FDU_D5_3	DDA_FDU_D6_3	DDA_FDU_F7_3	DDA_FDU_M8_3	DIA_FDU_D5_1	DIA_FDU_D6_1	DIA_FDU_F7_1	DIA_FDU_M8_1	DIA_FDU_D5_2	DIA_FDU_D6_2	DIA_FDU_F7_2	DIA_FDU_M8_2	DIA_FDU_D5_3	DIA_FDU_D6_3	DIA_FDU_F7_3	DIA_FDU_M8_3	DDA_NVG_D5_1	DDA_NVG_D6_1	DDA_NVG_F7_1	DDA_NVG_M8_1	DDA_NVG_D5_2	DDA_NVG_D6_2	DDA_NVG_F7_2	DDA_NVG_M8_2	DDA_NVG_D5_3	DDA_NVG_D6_3	DDA_NVG_F7_3	DDA_NVG_M8_3	DIA_BGI_D5_1	DIA_BGI_D6_1	DIA_BGI_F7_1	DIA_BGI_M8_1	DIA_BGI_D5_2	DIA_BGI_D6_2	DIA_BGI_F7_2	DIA_BGI_M8_2	DIA_BGI_D5_3	DIA_BGI_D6_3	DIA_BGI_F7_3	DIA_BGI_M8_3
Asparagine synthetase [glutamine-hydrolyzing]	19.93781835867184	19.93900032794334	20.12954655167634	19.90624953973754	20.00696097666524	19.944396384375334	20.07564506735164	19.60107474757464	19.96129186879244	20.00959615383214	19.99840628760274	19.78580113061284	19.696819426178138	19.74651090815144	20.11331367241924	19.58709487986864	19.80445611692624	20.04423630162174	20.38266535283114	19.77865086107504	19.92529378424834	20.12504259679234	20.08140826271714	20.01029523200704	19.846808166005804	20.025778355904805	20.162513196488707	19.715941693818102	19.644960232152407	19.925250438499905	20.222824499745304	19.838079420196205	19.903367256199303	20.054696183011107	20.142942157580705	19.812625795234304	19.666154186775607	19.961214887207102	20.238287841522105	19.768014251214908	19.921101962083902	20.07348544232421	20.310242944309007	19.699135873942407	19.824774998916205	19.997210588698405	20.099074185213407	19.737090232629004	19.794633161246274	19.882357706739374	20.155652872299477	19.796339028634275	19.925757342272277	19.637674456049474	20.326440958683072	19.846066406726276	20.166346119911776	19.915234958849677	20.174036322053173	19.675248061371075	20.21992581702914	19.97555412549194	20.12731451628714	19.62626631299064	19.751306767061735	19.80943062448754	20.59051058455194	19.68904412789864	19.80797380157384	19.91307092474294	20.16901383026124	19.61637596245954
7-dehydrocholesterol reductase	18.63546660312493	18.86522542456983	18.974946656982727	18.784178034701927	18.70237322437913	19.00567455078323	18.84259557546083	18.763350994214328	18.75254817949513	18.709811601756527	18.71348218045133	19.016522167260227	18.76087365170371	18.438155244484516	18.99536443701741	18.85494155286221	18.81563647540701	18.75084217212651	19.071802159010517	18.80918048320621	18.76928073764521	18.52478385790221	19.02034742373101	18.95496699808331	18.675394806435577	18.71781523648138	18.96934656860788	18.720124152772375	18.62186625342268	18.80686736891818	18.790109257818177	18.86424104361088	18.68366163162678	18.77037947100108	18.968385232756575	19.17798416972848	18.656612267079375	18.71461237284008	18.95468660629188	18.916176316392978	18.84221629931658	18.61150164173568	18.90343483853448	18.93267641184388	18.74405896661388	18.84885448403708	18.76238857555498	18.878956412939377	18.65637460778446	18.44171554769036	18.86134479694476	18.56940317437636	18.55822283588626	19.26315862226976	19.02458590906136	18.80530273370876	18.79949512470386	18.91301760142016	18.94583706177006	18.92771717756356	18.900765958417047	18.613803060813343	18.808076694668944	18.616547655730447	18.529819467430745	18.845808123845547	19.489486180261647	18.802735566629647	18.448544208012745	18.842693330142342	18.83849758218765	19.029397365039944
Glycolipid transfer protein	18.060276013566025	18.87524295174372	18.003235723579724	19.143228057340025	17.891309866155623	18.550432553890623	17.461208293812323	18.901294546892625	17.855073094110924	18.878342061818223	18.852183345639325	18.699281967352125	17.412767935214372	18.65811536289697	18.23393381040157	18.94998118199737	18.16293662902007	18.68913649993477	18.42126914655967	18.77757663916017	18.59960359473497	18.10659769967277	18.683133389648276	18.47605658666027	18.35339097670349	18.549515218969592	18.25101556875789	18.58731733649089	18.03399695402539	18.231108303234592	18.424324836965592	18.86489989397069	18.28576422564759	18.310909708160192	18.51390391866859	18.76496153430669	18.25237478738001	18.266954461293707	18.400662638167105	18.85065217372521	18.407043692477806	18.50797555623601	18.539084673548903	18.86225565455401	18.18255180061361	18.34210012928221	18.002549771106008	18.55690313751621	18.31027933354407	18.26193176270317	17.73952867703707	19.232415542739272		18.191690688736877	18.49789102632457	18.49733303459597	18.23837113382947	19.20737718874917	18.137794130727173	18.68975157522647	18.30860834032314	18.46674352535924	18.25710221705924	18.46313321857704	18.20573226586964	18.38045436192154	18.54703490260784	18.93074277913924	18.274573845458335	18.08040076218834	18.46749791957924	18.78908433781784
39S ribosomal protein L44, mitochondrial	19.173312591512666	18.603875769686265	18.793967276886168	18.757918555865366	18.816274735253565	18.581647642069665	18.656495072979364	18.568571483481865	19.302783058667167	18.565659796854263	18.793323070204263	18.440727300156865	19.0994347073674	18.847583282544495	18.3705526980531	18.4958389755678	19.4407582002965	18.7879583320358	18.2686219410736	18.7785517235428	18.934434871011	18.702286641786	18.7300179775022	18.5985170028367	18.753764704056685	18.635183676674483	18.619676001705585	18.957685754605983	18.616513701968085	18.630667794860383	18.553939007738983	18.72829793060069	19.178643820281685	19.002803606009383	18.502370424534487	18.875009930580884	18.68079693386024	19.08556289442103	18.63488219049583	18.69339890877903	19.09900904572273	18.74315489832573	18.76993306578003	18.47877354683133	19.07220469641323	18.702697408441736	18.65543522276343	18.43870754178224													19.15502698353862	18.64147603548752	18.602889595236817	18.61684595456552	18.88597365974652	18.647520738548216	19.11465172675532	18.63424866793592	18.920413848657017	18.64146003470592	18.54732048598772	18.646728622452414
Protein deglycase DJ-1	21.578416471035464	21.475746692851263	21.510261091576066	21.620623274774665	21.53435445394336	21.473086730378665	21.520994883492666	21.458130497908964	21.429778947473963	21.441020603544064	21.520541467325163	21.433344943731264	21.35386144500198	21.55041825503798	21.45979285608088	21.46606111892378	21.49235578533468	21.53371718329238	21.60849128256358	21.43275295020468	21.41985744094148	21.60533878097158	21.53403611494638	21.53961684473618	21.42351940641035	21.56194911197095	21.45496078209445	21.46937530758395	21.22652191743995	21.534342983260448	21.53428362032915	21.582988992579047	21.376003131005547	21.57084849686405	21.55701872865885	21.70448757983855	21.421185816805	21.419355401598	21.562145650310697	21.611802686555297	21.421218086260097	21.570467786304	21.584100775798497	21.5538977977632	21.401185704300897	21.539693629612295	21.394735138453097	21.516511584274497	21.31811637177118	21.47595424483408	21.46830575002948	21.43450852769448	21.54361610017888	21.59646623074628	21.55471527044748	21.57614558047098	21.43926298936878	21.51872214647158	21.515091910041978	21.55539493598048	21.79603939277273	21.399729833609832	21.46910866361173	21.44839414057063	21.329486935502533	21.451693582720832	21.95864851843763	21.56776195433143	21.243506865851533	21.23910167071953	21.52632491143463	21.56650358847313
V-type proton ATPase subunit H	19.090173220920512	18.92718368836591	19.18863142815591	19.17150749211471	19.538506355953512	18.78416874482091	19.190219728573112	19.05017658285291	18.750866394232013		18.78629903405521	19.02398115899201	19.140384826460902	19.0086702729318	18.8198518519242	19.285584646652	18.574420028000706	18.9450222494401	19.240192498498303	19.2506941761634	18.904765754561502	18.9472764282287	18.8018671065415	19.61289539905	18.07503775485384		18.81382737361444	19.779390207044635		18.96536997805733	18.66674814498573	18.890402239160537	19.453931727831936	18.69081260027124	19.42455950959693	19.78896849584844	18.79175908229524	19.06824899436184	19.154321366120737	19.133069923792235	18.68660078536384	19.274384692684738	19.056622640191936	19.245336001926034	18.799748093780934	19.22768624674444	18.908271050965737	19.185576360225134													19.18663113134742	18.82680513696192	18.980663061895417	18.93392127602672	18.69167780913452	18.926091612083415	19.415474921551017	19.64348160552012	18.84452161460082	18.85281760431092	19.02485408400092	19.20468538102052
26S protease regulatory subunit 4	20.33016197481491	20.25357695810521	20.32403531405911	20.42130752855271	20.30736934035431	20.36585608194261	20.33490204803841	20.29383238714881	20.33089537135241	20.136781984130312	20.19542708974971	20.24330854201511	20.132320239660093	20.36635770226789	20.13179498187049	19.827602211925196	20.422449050963596	20.22603321349669	20.613179212246692	20.25720752090849	20.315265998409693	20.301175975153797	20.457823329585796	20.486245183775694	20.327890809910794	20.37147832650709	20.39398221788309	20.331180195986992	20.09541597003829	20.169730160954494	20.44732645513569	20.32059626336889	20.206072083120592	20.37856081492349	20.146452053660493	20.348769268773893	20.160831571435395	20.189750617236697	20.42507851222309	20.368622822855595	20.2756200706416	20.331371129748995	20.495619564846496	20.343373518107	20.066687874673995	20.331197029548	20.252366668273595	20.296935240673697	20.29227487175296	20.466292493201063	20.30737052664716	20.169786863952563	20.399686016635663	20.417733254147564	20.372351679629062	20.301241793334164	20.15092959879676	20.07067417901716	20.38371339475726	20.20539994839246	20.504269154850544	20.214056252871245	20.316563174689943	20.183005316594944	20.164119764834645	20.243355485827344	20.756915304789043	20.373256120708643	20.190070040825145	20.139904167050343	20.192621532932545	20.259318304289245
Pleckstrin homology domain-containing family F member 1	18.334014405323423	17.878699947092322	18.171075842630323		18.312502500117724	18.29139124717552	18.005368590261924	17.438059910216822	18.260873991678423		17.989745182907523	17.49232979995592	19.33626933958442	17.032201522137417	16.185981048814718	17.462485008354918	18.40029227109132	17.007363423145318	18.46631168856092	18.361832426007616	18.54901814857192	18.20910681494892	18.11755398296032	18.53855162822492	18.129454744033023	17.967934695246626			18.504536629834625		17.881611735826127		18.301260537888325				17.798466399480535	17.740918729913133	18.249025997200736	18.213289354963635	18.161095224507637	18.20968482900004	18.23665617863604	18.166491134079237	18.385587367853837	16.762032409442835	17.743996761279636	17.999722916045634													18.9094322593075	17.475524338542	17.985662398545802	17.6856524460144	18.459000047157	18.0348156870381	18.219422443913	18.0205357002656	18.6176584224923	18.216355914785304	18.0648041742707	15.978103470070902
Ras-related protein Rab-1B	19.500193459688543	19.27963981163954	19.397664187152444	20.04252747369794	19.22701937368334	19.10831581866364		19.41677831731444	19.36432174747454	19.046394688023145	19.03560577214074	20.243162911492043	19.4045663950411	19.374190316056303	19.357017828184	19.443429111739302	19.355933053188505	19.459791139024	19.408249039886403	19.4021429731625	19.471280115955803	19.472886349655106	19.531752525375	19.4945849967069		19.64671280623793	19.550218664162934	19.217904562594832	18.89861983857693	19.71165040977773		19.37798756277873	20.56777760328893	18.976109329767333	19.019602700311832	19.51752572677333	19.63039317751885	19.44782695896945	19.59606096264445	19.67898655511155	19.49380776259315	19.47683936842845	18.14107750499145	19.712800589833957	19.268789683242552	19.80863835073245	19.342596141385755	19.578006788523048	19.264677776509053	19.00673493332345	20.023801825723453	19.33247761872065	19.114568848050556	20.159627027193853	19.753241023747755	19.27945013233905	19.590008601129654	18.83997579720265		19.29705997703025	19.71063513051722	19.41033389313652	19.44139695567352	19.444942599454414	18.85443962419192	19.39477292533032	19.75279222642682	19.56709558184792	19.24577606008372	19.52397690050162	19.44247135815402	19.387190588657017
7,8-dihydro-8-oxoguanine triphosphatase	18.568586527838697		18.0283320958244	18.78624343484149	16.984129427935393		18.68836989319789	18.9669056003744		19.016774612649293	18.250414908325595	18.846857131349097	18.615284894744708	18.28811053336721	18.317947026106104	18.900216998677703	18.293677736170707	18.358643890786507	17.401365595207405	18.865596498590705	18.633944238923903	18.331145493943605	18.328734915018007	19.166758062843407			18.4171667146794	18.7072520826915									18.09672591395974	18.33296662744724	18.172022798715844	19.165197791218944	18.009784834170244	17.841018115779143	19.02659063471584	18.97409732075204	18.573152116966543	17.937212739798444	18.079793211677643	19.292863779178543													18.284457091186955	18.358083928114755	18.32208874224936	18.92902196351196	18.03575348003416	18.361237090452857	18.85159774712876	19.072499257943456	17.619321099371554	18.278871892105457	18.431203998682157	18.95728959359916
