rowname	DDA_APT_D5_1	DDA_APT_D6_1	DDA_APT_F7_1	DDA_APT_M8_1	DDA_APT_D5_2	DDA_APT_D6_2	DDA_APT_F7_2	DDA_APT_M8_2	DDA_APT_D5_3	DDA_APT_D6_3	DDA_APT_F7_3	DDA_APT_M8_3	DIA_APT_D5_1	DIA_APT_D6_1	DIA_APT_F7_1	DIA_APT_M8_1	DIA_APT_D5_2	DIA_APT_D6_2	DIA_APT_F7_2	DIA_APT_M8_2	DIA_APT_D5_3	DIA_APT_D6_3	DIA_APT_F7_3	DIA_APT_M8_3
Asparagine synthetase [glutamine-hydrolyzing]	19.86084451238538	19.991345992906982	20.145888534858383	19.806989658394883	19.967013468081984	19.97099322036788	20.093606309600382	19.614526352576082	19.995607798075582	20.10042654404438	20.086355034411383	19.869796273691083	19.775380575950884	19.839468792552285	20.209254139731282	19.577877327079783	19.803350035698585	20.077634612295583	20.342795816986083	19.759228866422283	19.909174362888585	20.171098486814984	20.099340119216283	19.938790563757685
7-dehydrocholesterol reductase	18.558492756838472	18.91757108953347	18.991288640164672	18.68491815335927	18.66242571579587	19.03227138677587	18.860556817709572	18.77680259921577	18.78686410877827	18.80064199196877	18.801430927259972	19.10051731033847	18.839434801476457	18.531113128885355	19.09130490432946	18.845724000073357	18.814530394179357	18.784240482800357	19.031932623165456	18.789758488553456	18.753161316285457	18.570839747924857	19.038279280230157	18.883462329833957
Glycolipid transfer protein	17.983987150089813	18.928273599517613	18.020262689571915	19.044653158807616	17.852047340382615	18.577714372693414	17.479854518871313	18.915431134704313	17.890074006204316	18.969857434840716	18.940817075258213	18.783962093240614	17.492014067797363	18.751758230108063	18.330559260523863	18.941448612018764	18.162515530602665	18.723219793418863	18.382084593524866	18.758839627317663	18.584169156185464	18.153338572505664	18.701750228957664	18.405236901221166
39S ribosomal protein L44, mitochondrial	19.098222748844336	18.658105438268034	18.812193263686336	18.660542678140835	18.778211230288434	18.610128481680334	18.676340318846236	18.583907092101434	19.338982991568436	18.658374190684636	18.883155820631035	18.526606446853236	19.179879860758266	18.942425170563467	18.468377168983267	18.48850542639707	19.441536122686966	18.82324064632777	18.230636408846667	18.761013732508168	18.920199453269365	18.750226535426766	18.749833837619466	18.528896338205467
Protein deglycase DJ-1	21.50144262474898	21.52809235781488	21.52660307475798	21.52136339343198	21.49440694536008	21.49968356637128	21.53895612574138	21.47158210291038	21.46409487675708	21.53185099375628	21.60849021413378	21.51734008680948	21.43242259477478	21.64337613943888	21.55573332339298	21.45684356613498	21.49124970410708	21.56711549396628	21.56862174671858	21.41333095555198	21.40373801958178	21.651394670994282	21.55196797144558	21.46811217648688
V-type proton ATPase subunit H	19.017107004442302	18.983436983137803	19.208881041146103	19.076155240580302	19.502466477178505	18.814673210621702	19.212088600630103	19.067535817662602	18.789089953323405		18.878155410672104	19.111883931878502	19.21412531827533	19.09680749937433	18.91097166127793	19.27154643590483	18.56849328881473	18.97359990215563	19.19550230469493	19.22645152355233	18.88382567524343	18.988511660293028	18.81497830508233	19.53657007284233
26S protease regulatory subunit 4	20.253188128528443	20.30592262306884	20.34037729724104	20.32204764721004	20.267421831771042	20.39245291793514	20.352863290287143	20.307283992150243	20.365211300635544	20.22761237434254	20.283375836558342	20.32730368509334	20.210881389432824	20.459315586668726	20.227735449182525	19.818384659136324	20.421342969735925	20.259431524170523	20.573309676401625	20.237785526255724	20.299146577049925	20.347231865176425	20.475755186084925	20.414740515526326
Pleckstrin homology domain-containing family F member 1	18.256013586478733	17.930018639497735	18.186390853254135		18.271528018976234	18.316961110609835	18.022302859952436	17.450484542660035	18.294162948403336		18.076666957157936	17.575297970475933	19.420366609790815	17.130695526971916	16.287457636560415	17.458803575999713	18.404722310297316	17.046297854252813	18.431978273149515	18.347946551788514	18.538434847645814	18.260698825405214	18.141021959893116	18.472583080409215
Ras-related protein Rab-1B	19.43129031985018	19.340056183051278	19.42207687678258	19.95133829880338	19.19514257154818	19.142983361104278		19.43830062876398	19.40670838320578	19.14529578468348	19.13162522539738	20.335228761018378	19.479408014047557	19.463428669690856	19.449238764729756	19.430492028184158	19.351107441194557	19.489469918931558	19.364659973275057	19.37900144774346	19.451441163829756	19.51522270891146	19.545964851107858	19.419360797691258
7,8-dihydro-8-oxoguanine triphosphatase	18.520662621213532		18.07372401866763	18.71603349316013	16.97323185901343		18.73538107510793	19.00940714503713		19.13665494252283	18.36741359479553	18.95990221408863	18.663580800446383	18.35080317369698	18.383622249347084	18.86073420181778	18.262306410871982	18.36177695738928	17.33123081529128	18.81590925986688	18.58755957349308	18.34693613989518	18.316401527446082	19.064988150522982
