rowname	DIA_BGI_D5_1	DIA_BGI_D6_1	DIA_BGI_F7_1	DIA_BGI_M8_1	DIA_BGI_D5_2	DIA_BGI_D6_2	DIA_BGI_F7_2	DIA_BGI_M8_2	DIA_BGI_D5_3	DIA_BGI_D6_3	DIA_BGI_F7_3	DIA_BGI_M8_3
Asparagine synthetase [glutamine-hydrolyzing]	19.913287137443916	20.129739946492116	20.225547079534017	19.694732876619018	19.920845081215916	19.894252155518316	20.270235308266717	19.624781956377916	19.903245669926715	20.056401353692618	20.243377007925016	19.626948126381915
7-dehydrocholesterol reductase	18.594127278831824	18.767988881813523	18.906309257915822	18.685014219358823	18.699357781584922	18.930629654876324	19.169210903976424	18.738473395108922	18.543816076365623	18.986023759092024	18.912860759851423	19.039969528962324
Glycolipid transfer protein	18.00265464354825	18.62161432916975	18.35601976311645	18.53228476501575	18.37595556283415	18.46596087576265	18.22744460913295	18.86716559042885	18.37053069662155	18.22441617394835	18.54254608005335	18.80034148455055
39S ribosomal protein L44, mitochondrial	18.85027230757152	18.797545860105817	18.70300616210182	18.68719652181202	19.05739597751882	18.73422627319712	18.79626045408822	18.571870500033317	19.017569720628018	18.786674467273716	18.62356766726962	18.659184789992917
Protein deglycase DJ-1	21.48940071318748	21.55391565460998	21.56734122685858	21.51686070419898	21.49902524965668	21.53651511375158	21.63837324215238	21.503499782810678	21.33877873420438	21.38243209966918	21.60068808909838	21.57707575239548
V-type proton ATPase subunit H	18.875171793803798	18.976170300003698	19.074074967183897	18.9975671816967	18.856395465330298	19.006092485155797	19.090378987307396	19.574398776040997	18.9349728249953	18.9913273753022	19.094396603706297	19.210436886984496
26S protease regulatory subunit 4	20.19763047526539	20.368242073871492	20.414795737936892	20.25147188022339	20.33365807898889	20.32817701685819	20.43664002850389	20.308993949187993	20.28534190917809	20.283234596000092	20.266984710596393	20.269890468211692
Pleckstrin homology domain-containing family F member 1	18.60832970015593	17.63524627997583	18.089431082226334	17.759655130076432	18.634074481744832	18.12517333850253	17.90468328806143	17.961809649178534	18.718466411278833	18.36522246416863	18.144703472368132	15.994211754426932
Ras-related protein Rab-1B	19.400276920165624	19.560800183370322	19.535909988154025	19.509689632316423	19.020258407579725	19.475874925594724	19.428797419375226	19.499113879560824	19.337328397670223	19.663587798684922	19.513115005051425	19.394043221813025
7,8-dihydro-8-oxoguanine triphosphatase	17.94755316753056	18.48200450504376	18.39005606142506	18.967223283069163	18.175026550117163	18.415793377412463	18.50105722677236	18.97797184235156	17.68432772365326	18.39193707698396	18.47530193227476	18.937596513450362
Splicing factor 45	18.899859213611393	18.88731247718789	18.80411982364459	19.036973304393193	18.968840828018593	18.832249380566292	18.997298100915092	18.911782214094092	18.89444035908189	18.99045415284939	18.90360247382549	18.92947590496029
Apoptosis regulator BAX	19.90769495834287	20.051726081950168	19.99048302653197	20.180033763044168	20.00801772374357	19.94252634788217	20.06698662295727	19.94450184075727	19.898270769206167	19.20367942953407	19.49977342078947	19.68258680793097
Density-regulated protein	19.632033102643707	19.784519696366207	19.860928699422207	19.789595712812904	19.456869661549106	19.785476010858904	19.517509184614806	19.844061002634106	19.975006454634705	19.482078785300406	19.865237875861506	19.778417209402306
Dipeptidyl peptidase 9	18.416286310004555	18.579827936791755	18.831806140892255	18.773828959132654	18.804486185425453	18.809415736018153	18.195589276293354	18.489944698323352	18.417740000264654	18.359804641005855	18.794703438264854	18.890513695883854
Thrombospondin-1	18.215312261824245	19.081824163488747	17.807995042301048	17.559340141311548	18.280913837587047	19.177197070505148	18.476470896131648	17.460112910494345	17.962461288008747	19.223688927059246	18.001582787738645	17.506472507174248
Pre-mRNA-processing factor 39	18.21159695723909	18.188753701528892	18.15536712766639	18.26188727634319	18.16040013264979	18.25622640904169	18.14495849355659	18.045094592819392	18.22736763086539	18.01844722896039	17.917137921283093	18.09767406741999
SAM domain-containing protein SAMSN-1	17.93218898388314	17.832417054114938	18.03771389163294	16.96786677677654	18.47112379063544	17.784670071639837	18.14230432908914	17.22120012061264	18.08573765927644	18.03869472485534	18.17302222412964	17.48727061162444
Glucose-6-phosphate isomerase	21.423631023652355	21.525850309810252	21.677658833729954	21.510578323936652	21.379181875117453	21.587222368365452	21.722261870087554	21.52496871356845	21.424098201155854	21.573620508436555	21.623504100280854	21.576662838222354
Interferon regulatory factor 8	18.96061751150167	18.87037914329247	18.111794296426872	19.17263775122237	18.653326610805472	18.46956396367587	18.338955819571574	19.215376346735173	18.875167822778973	18.65464127857277	18.543796670985973	19.07261021461927
Golgin subfamily A member 5	17.775105300632706	18.575188995309407	18.328031548406507	18.582387035215806	18.316062190090705	18.767647296689706	18.668495444653306	18.108336524133307	18.255728961504406	19.187388887504405	19.547461976572606	17.144966074803605
Platelet-activating factor acetylhydrolase IB subunit alpha	19.90592402364246	19.801731810706162	19.925704808554762	19.729179295796662	19.90990854862666	19.87840606687586	19.39390601328056	19.754822016478762	19.955001961330762	19.94400951730126	19.67052024564106	19.73253515661266
Leucine-rich PPR motif-containing protein, mitochondrial	20.34472298258886	20.10213256879466	20.29268828648426	20.13189119132626	20.36471675403956	20.07149313477326	20.31087196230346	20.09479888782646	20.34575843146856	20.05973595837646	20.32841137672426	20.12492723117076
U3 small nucleolar RNA-associated protein 15 homolog	18.90596731883714	18.706417211458238	18.68374126107764	18.64019888516634	18.93962993163514	18.61369822290044	19.06159797661374	18.81184698710734	19.020666801146138	18.25863270716224	18.643806068737938	18.45626805109144
5(3)-deoxyribonucleotidase, cytosolic type	18.565400707085566	18.953563203542465	19.188037234560667	19.154782563379666	18.493283900982167	19.033382655392867	19.154648382995067	19.373714078741166	18.932646955695265	18.812180928035367	19.182870471436367	19.388359030739068
E3 ubiquitin-protein ligase CBL-B	18.16294177474476	17.63924911601386	17.47323637017226	19.97575077063776	16.94250359185046	17.56734883051216	18.13344785115486	16.82592333373756	18.074064437603962	17.288364413005162		16.28573850855816
Striatin	18.740548823927707	19.127557609250307	18.90831479321711	18.785181333298507	18.77288351078521	18.852599995068807	18.316363791210208	18.801078982723507	18.474204836175407	18.564607744563208	18.70906135455011	18.756645842631407
Striatin-4	18.16296904809594	17.23511025162274	19.00970623364004	18.128517553574138	18.69913512759364	18.125808662405838	18.30010415634024	18.371672078314138	18.10939925219864	18.403134014555537	18.142108189447537	18.80398484894024
Mannose-1-phosphate guanyltransferase alpha	18.73103613400913	19.12528132812113	19.31721730343703	18.70449783592523	18.41676066826363	19.22287773711573	19.28574879406203	18.78114171748163	18.61927649547473	19.15555198663043	19.25705046493793	18.73065942360633
BRCA1-A complex subunit BRE	18.510164331910087	19.030972668936688	18.864700803774088	18.429903118402986	19.027740310359288	18.816169952577887	18.88728489418049	18.69107166502149	18.768456000789687	18.55323469990529	18.584936768444187	19.092931390450588
SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A containing DEAD/H box 1	16.850618823768677	16.917078517880675	15.930402443229775	16.591938626761277		17.095782275605377	16.663324278802875	16.895487520754777	17.905108674834075	17.175211883730277	16.848636967922477	17.120788761537476
Prolactin regulatory element-binding protein	17.99051978934303	18.37817838779413	18.550110699359628	18.35152783684903	18.07020347941333	18.41429046802383	18.969429528156027	17.97937853708513	18.042443647094228	18.36477751176583	19.129840053676528	17.98117398000093
Poly(A) polymerase alpha	18.4058039477603	17.7648759159493	18.4087311526279	18.372355832249	18.2169658731845	18.261022825455502	17.8541529597895	18.1089618607306	18.2628446790013	18.4108697022208	17.8882287248606	18.2844693660996
ADP-ribosylation factor-like protein 6-interacting protein 4	18.557621865846187	18.59345554155549	18.38145942662579	18.152776644421888	18.545556311145088	18.320237951390588	18.08666577841379	18.459975057807487	18.64446814566459	18.42775713548629	18.25272048699079	18.431186148601387
Poly(A) RNA polymerase, mitochondrial	19.958692282388302	18.698073115435005	19.017812205126702	19.865073308568604	19.850656975841602	18.603615486522305	19.559790056366403	18.893071755186103	19.013459954631003	19.221410586232903	19.036101880893003	18.878846948629302
Early activation antigen CD69		17.507671035992974	17.511692270037575	17.10169885339907		17.561501315117575	17.431855743461472	17.365895826513572	19.223213263452973	17.690578341999974	17.004532761126473	16.380233046223772
