rowname	DDA_NVG_D5_1	DDA_NVG_D6_1	DDA_NVG_F7_1	DDA_NVG_M8_1	DDA_NVG_D5_2	DDA_NVG_D6_2	DDA_NVG_F7_2	DDA_NVG_M8_2	DDA_NVG_D5_3	DDA_NVG_D6_3	DDA_NVG_F7_3	DDA_NVG_M8_3
Asparagine synthetase [glutamine-hydrolyzing]	19.821772910919467	19.921399562091867	20.15388892927057	19.807108134220467	19.896960460549266	19.645544177090667	20.329848168966468	19.80973842269247	20.174417050506968	20.004120196778466	20.22191722247417	19.716678463834167
7-dehydrocholesterol reductase	18.683514357457653	18.480757403042855	18.859580853915855	18.580172279962554	18.529425954163255	19.271028343310952	19.027993119344753	18.768974749674953	18.807566055299056	19.001902839348954	18.993717962191052	18.969147580026654
Glycolipid transfer protein	18.333994169165862	18.29754870400426	17.734339819956762	19.23975973427406		18.19613549572666	18.49787332255656	18.45758013651076	18.243017150373262	19.292837512626562	18.18225011709676	18.727757063638162
Protein deglycase DJ-1	21.34525612144426	21.514996100186462	21.466541807000464	21.44527763328056	21.514819218455763	21.604335951787363	21.558122480730763	21.539817596437064	21.447333919963864	21.607607384400264	21.562972810462863	21.596825338443463
26S protease regulatory subunit 4	20.31941462142614	20.505334348553543	20.305606583618243	20.18055596953874	20.37088913491264	20.425602975188742	20.375758889912444	20.264913809300342	20.159000529391943	20.159559416945942	20.431594295178243	20.246830350855543
Ras-related protein Rab-1B	19.302608201555042	19.056567464048744	20.032828558067344	19.354037399679644	19.096562641700345	20.178287423607845	19.767438909403943	19.253912823678043	19.60887020709764	18.939651710504243		19.349281054866143
Splicing factor 45	19.15651676815969	18.852293106597692	18.97115803748619	19.04867305957589	18.868347224535892	19.11700515133399	18.97955299921399	18.86566612075119	19.01518292544679	18.94008006433199	18.541577791378792	18.70035498433559
Apoptosis regulator BAX	20.29578499169427	19.689910729775267	19.861429817694066	19.911670390683867	19.70748143152557	19.774467363844867	19.87885166510677	19.84898292661777	20.05291976860637	19.888713412599667	19.658326680102967	19.80774161441887
Density-regulated protein	19.84162497877854	19.38256519036334	19.69106102066234	19.91674386770354	19.68532141935174	19.64566076489514	19.82603902461734	19.66555408233394	19.79022139221614	19.80859100240414	19.68285970200184	19.83549095077284
Glucose-6-phosphate isomerase	21.33894284043735	21.540775768126352	21.554184497156154	21.60487293795165	21.423338980538553	21.503786424616052	21.670452515539154	21.589635021476354	21.576201396443352	21.601092166479752	21.604107229092953	21.541849188505953
