"rowname"	"DDA_APT_D5_1"	"DDA_APT_D6_1"	"DDA_APT_F7_1"	"DDA_APT_M8_1"	"DDA_APT_D5_2"	"DDA_APT_D6_2"	"DDA_APT_F7_2"	"DDA_APT_M8_2"	"DDA_APT_D5_3"	"DDA_APT_D6_3"	"DDA_APT_F7_3"	"DDA_APT_M8_3"	"DIA_APT_D5_1"	"DIA_APT_D6_1"	"DIA_APT_F7_1"	"DIA_APT_M8_1"	"DIA_APT_D5_2"	"DIA_APT_D6_2"	"DIA_APT_F7_2"	"DIA_APT_M8_2"	"DIA_APT_D5_3"	"DIA_APT_D6_3"	"DIA_APT_F7_3"	"DIA_APT_M8_3"
"[Protein ADP-ribosylarginine] hydrolase"	18.1242288990162	NA	NA	NA	18.3895522218027	18.1072775995273	NA	NA	NA	NA	17.9870439147588	18.4417820992804	18.090728687778	18.5018605382443	18.3750743683544	18.6145641824792	17.8793098757321	18.408197006473	18.2196320536063	18.4418619865643	18.1496342197745	18.5110610539412	18.2496667013203	18.7282773964734
"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 1, mitochondrial"	NA	NA	18.5894368482982	NA	NA	18.2600051662773	18.4190375605101	NA	NA	18.6362959582832	NA	NA	16.4798374051222	16.7739703546711	17.5523036916037	15.4677817941508	16.8244678822478	17.1651377780705	18.2377635704116	17.0464924979583	16.9725332472972	17.4068706587679	17.9164639922899	17.1322097159502
"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 3, mitochondrial"	18.3065470941332	18.0277231171837	18.1550067425629	17.862904938529	NA	NA	NA	18.115600896295	NA	18.3262651532987	17.6693038902214	NA	18.4354114750817	17.4457844729413	18.3886510453807	18.1756819393601	18.3211701619705	18.6360734531152	18.9546277332524	17.9685462671188	18.0484139484022	19.0026722200966	19.0926143348169	18.8661066981882
"1-acyl-sn-glycerol-3-phosphate acyltransferase epsilon"	19.0278502575049	18.6181050848689	18.7907148704015	18.2895743488248	19.0629769358273	18.4778489563332	18.9512336383646	18.2059405459775	18.996073689623	18.599385830727	18.7251937582101	18.2030295620773	19.6696420742841	19.2622602590433	19.4075334014906	18.7198730021646	19.6112085344565	19.1812427063294	19.4447684231143	18.7752581096074	19.6984263618589	19.1448521737899	19.4115843721371	18.0409440111104
"1-acyl-sn-glycerol-3-phosphate acyltransferase gamma"	17.2272066492862	NA	18.922493874263	NA	17.2286442385177	17.3236143042758	18.1422575898669	16.976190950448	17.2645393487513	17.4075793933525	17.6201417701308	NA	16.5015561654366	17.9054755666608	17.7151855333617	17.1332272556799	17.4664848937602	16.3513995639828	17.3570669526299	17.1080225584076	16.817764644736	17.4908457470963	17.5064500925945	16.9169309897468
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-2"	18.3685709296857	18.5443848664252	18.242956489719	18.3340708531858	18.4763417511363	18.5190642352138	18.3613465279553	NA	18.2252127947065	18.4967753152894	18.1300490703813	18.5227416753943	19.6573280767272	17.829088480927	18.4990678059274	18.5624200997169	18.0816930920837	17.9030766594679	18.7527954428123	16.994949977992	17.8880858379777	18.0285520748778	18.5064747745144	17.6658837637615
"1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase"	18.172406252958	18.0435663666159	18.2860228145415	17.8489685556552	NA	17.8619179044071	18.1308137321389	18.1721863065353	17.578241876659	17.6511186592773	18.1092501637595	17.8027652330329	17.784231919952	17.8618749185404	18.1790968218971	18.5445783898134	17.0662562666013	17.6808704206068	18.4174000892339	NA	18.0309141144579	NA	NA	17.0020659481031
"1,4-alpha-glucan-branching enzyme"	18.9192297782954	19.2300181815785	19.697469059027	19.4311754265729	19.0438932502295	19.1792552437817	19.5898954138878	19.2726182829943	18.8998131878318	19.3148885124725	19.7849949255217	19.3729583737563	19.0866023174273	19.6132498720762	20.0335819413827	19.6492710641487	19.1948727443079	19.5369739541041	19.9838559093171	19.7246760703463	19.2736405257503	19.6071192552146	19.9291430808086	19.6507567438615
"10 kDa heat shock protein, mitochondrial"	21.5480770583008	21.6339589524153	21.6843015140968	21.4753743554416	21.6038783461327	21.6936582886882	21.6455221894757	21.3650846675806	21.593321449394	21.6855583253447	21.725837615316	21.4077917871068	22.606488776091	22.7828142652611	22.8500563668939	22.5542459010588	22.6322607106807	22.7626171266715	22.8286034377303	22.5506924620912	22.6545408556529	22.8334149344792	22.7470559878598	22.5537006159637
"116 kDa U5 small nuclear ribonucleoprotein component"	20.4956482238927	20.3448926882965	20.3483412381714	20.3612158909266	20.4080541612288	20.3298164924691	20.2586056117927	20.3436835642397	20.5082253974543	20.3853272750192	20.2932981824322	20.4137301604856	20.5893766859498	20.7189176589149	20.7420401246706	20.7724068867653	20.8780016260936	20.6855384322236	20.6966193350295	20.8041045176737	20.7726124399146	20.8151048505701	20.8683263788128	20.8861990752695
"14 kDa phosphohistidine phosphatase"	19.7485538658607	19.7933494285688	19.4522270109626	19.7987835448517	19.5622427787272	19.8553904363099	19.8244376076309	19.5438153777862	19.4885805377504	19.5883269806657	19.9220301711272	20.1659896891269	19.983821337978	19.8283161198378	19.7555806952204	19.8400235167754	19.6828804033955	19.8943530307622	19.6268538769497	19.8840008944914	19.3391191046346	19.9213765523547	19.8311558228824	19.9464209042003
"14-3-3 protein epsilon"	21.8618123795463	21.7554202373495	21.7771493652501	21.8156302643764	21.8473527153984	21.733304817935	21.7582905347349	21.7605249241477	21.8573060258462	21.7865479695275	21.8018677954005	21.8158963943289	22.214357941739	22.1477410539436	22.1667099883382	22.0739314154361	22.3049467403058	22.1053016680561	22.1075150958091	22.0740195236592	22.1432471060476	22.0655249212259	22.0650606862071	22.1562786487252
"14-3-3 protein eta"	19.990682711933	19.7896878180352	19.630647790348	19.9757130664594	20.0482864057475	19.810229148613	19.7533224627266	19.904657112081	20.0134287869379	19.9686091162922	19.8319336386512	20.0150202817206	20.4954591608203	20.4293574399014	20.2975990595285	20.3390564314309	20.5157062399293	20.5621094865889	20.1945133743794	20.4169696829806	20.4768814192255	20.3832123982926	20.2632649825332	20.2693633948709
"14-3-3 protein sigma"	21.8376273383512	21.6949146247025	21.6486589067083	21.8940438742433	21.7244962830661	21.7777925614711	NA	21.8315433424543	21.8138503592021	21.7379116463937	NA	21.8469044729798	20.0819102694606	20.0677831503599	19.9381555427926	20.4957922619276	19.9972590846625	20.1167940805766	20.1475564429097	20.0615738372544	20.0072892282939	20.3249565022727	19.9847620921814	20.0803045156793
"14-3-3 protein theta"	20.7433037815389	20.8792864459694	20.8622772233701	20.8957131267474	20.7494641773848	20.8814256744068	20.7836949344923	20.82217316604	20.7431463436064	20.9885555766694	20.8412670156474	21.0412344339904	21.2114206034314	21.4123962159431	21.2615185949516	21.0923303207154	20.980963788525	21.36698534594	21.2379254611651	21.322256114564	20.9395268795402	21.2527829461868	21.2268563119702	21.076876360864
"14-3-3 protein zeta/delta"	22.1289602974959	22.1488832245883	22.0642191127702	22.2568414594859	21.9704594016624	22.1653857714454	21.9187663036323	22.110780395804	22.1087800198107	22.2152685653276	22.0764915614466	22.2835516761433	22.5388240382492	22.7032061723863	22.589227245175	22.6846209045895	22.4708988415846	22.6338324422672	22.3913024978743	22.7087620107227	22.5478587005557	22.6599698081396	22.5572383468131	22.6546839957277
"15 kDa selenoprotein"	18.3645256401034	18.3456574048787	18.2283203685295	18.0678281147233	18.2388384878807	18.1977027213212	18.4116440234747	18.2998386026814	18.1800891309944	18.3003159493407	18.3168517242729	18.6279734678483	18.5366190582482	18.5909845743188	18.7168307561042	18.5398410671068	18.7367516995329	18.7195404720366	18.8632397482268	18.3978804195559	18.634178147185	18.4008710345521	18.8956760591159	18.5379041300414
"182 kDa tankyrase-1-binding protein"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	16.6790093510941	14.5531597844139	15.0865265417143	15.0746320501022	17.969055947891	17.520598842792	16.0747520776817	15.2113825216117	18.1733820364576	14.6784574783937	NA	15.878457793612
"2-5-oligoadenylate synthase 1"	18.089761331481	17.941702427092	18.1151326792491	NA	17.7518290675378	17.9724531443849	18.0187258382758	17.6512200164273	17.9282452684083	18.0560823904536	18.0664575845636	NA	18.2402425984638	18.1343443672442	18.2408106660401	18.3549216799554	17.833624571706	16.3004187841809	18.0829380366885	17.3393934869357	18.2169898243039	18.2130427608675	18.2305839187565	17.5764955275054
"2-5-oligoadenylate synthase 2"	20.241637231274	20.0710210247122	19.6418080959136	20.6305724934159	20.3027652844178	20.0652864542688	19.6485750475658	20.4749650768244	20.2435940409827	20.0136404321662	19.7291226876605	20.6744744002104	20.6717302911692	20.7529301638014	20.3599471458941	21.1489641299057	20.7715326635273	20.727388582881	20.1447084790277	21.1658755547685	20.8647984469664	20.7373247820479	20.2113445098297	21.0866764879434
"2-5-oligoadenylate synthase 3"	19.3604808240284	19.3552460591014	19.0726402366308	19.8286441479443	19.3581356045151	19.2899880967491	19.0882883766025	19.7933102587016	19.3906470106161	19.4234627551227	19.086000720057	19.813637898048	19.8954555372569	19.8984520076446	19.4038466671112	20.3637725018898	19.8576192505236	19.711637472876	19.4692744352779	20.2778682510154	19.7677837372709	19.876675744187	19.5439641949356	20.2681194453763
"2-5-oligoadenylate synthase-like protein"	17.9446343597664	NA	18.3521939099998	18.5332185145509	17.685829359088	NA	NA	17.6184401846431	17.8062551208365	NA	NA	18.1484021181952	17.2760674939716	17.6071260420622	16.4746458897297	17.8394895388609	17.2734355466806	16.5588450568037	17.6986527823351	18.0157154929501	17.5574606991306	17.2252406756165	17.4770016342872	17.8156638542298
"2-deoxynucleoside 5-phosphate N-hydrolase 1"	19.4375106107096	19.1069050400496	19.4363298661724	19.422295120116	19.3763329178595	19.0320102999349	19.3097624434788	19.505500229338	19.399737208408	19.0392807173116	19.3760736674068	19.4179398106242	19.4342611893755	18.8746119346983	18.5412177732492	19.0621223682086	19.4147185958239	18.9540645073623	19.7206051086165	18.8540210003088	18.9628409052602	18.3132806743824	19.1116821496103	19.2229667386956
"2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial"	18.6336132025283	18.447711117493	18.5087324913022	18.5375646644238	18.9660862123958	18.480032815378	18.3888734634207	18.4589976971658	18.7614710366641	18.5233751744862	18.3572469530699	18.2722192490729	18.7810790215619	18.4245070136334	18.2041908467125	18.254564171096	18.7760832682807	18.6500357548035	18.4775743295069	18.4168958994143	19.0409046542991	18.3643070615291	18.0641196446599	18.3381693317835
