"rowname"	"DDA_FDU_D5_1"	"DDA_FDU_D6_1"	"DDA_FDU_F7_1"	"DDA_FDU_M8_1"	"DDA_FDU_D5_2"	"DDA_FDU_D6_2"	"DDA_FDU_F7_2"	"DDA_FDU_M8_2"	"DDA_FDU_D5_3"	"DDA_FDU_D6_3"	"DDA_FDU_F7_3"	"DDA_FDU_M8_3"	"DIA_FDU_D5_1"	"DIA_FDU_D6_1"	"DIA_FDU_F7_1"	"DIA_FDU_M8_1"	"DIA_FDU_D5_2"	"DIA_FDU_D6_2"	"DIA_FDU_F7_2"	"DIA_FDU_M8_2"	"DIA_FDU_D5_3"	"DIA_FDU_D6_3"	"DIA_FDU_F7_3"	"DIA_FDU_M8_3"
"[Protein ADP-ribosylarginine] hydrolase"	19.0240496422828	18.7660615044242	18.590489918918	18.8558622318947	19.0315844221354	19.020139211246	18.4692211332281	18.936064762758	18.5933662625341	18.5789065989015	18.1500713305077	19.0930244137391	18.8697532278739	19.2777245542668	18.8033309628474	19.1484693705303	19.0237430127413	19.3663201038066	18.9637535492567	19.2521440936165	18.4999737084922	19.2217104311436	18.8091113473	19.3972540288601
"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 1, mitochondrial"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	17.7278038154334	18.3824339334463	18.2225182551784	17.2918985071548	18.1044223839618	18.9753281418541	18.6418884713982	17.368160909883	18.1955479431082	18.482072305808	18.2640275228898	17.9830064598124
"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 3, mitochondrial"	19.0063922584384	18.8526887605255	18.9794103212142	18.9226764565892	19.1666731348754	19.0020384069061	19.1688300874489	19.3499249961815	18.9499523751542	19.5794110464207	NA	NA	18.699608866247	18.9166199119853	19.4281099948808	18.7177980835832	19.2165589583594	18.5418454296895	19.248495796741	18.9883048704246	19.1103685778456	18.9431175745937	19.2698741093707	18.9933071863095
"1-acyl-sn-glycerol-3-phosphate acyltransferase epsilon"	19.6065092516928	19.1079342771123	19.3235694789002	18.4596250611801	19.6709812820059	19.0388311927997	19.2753272127695	18.4828321587897	19.5485436455148	19.0059828811831	19.3203957453099	18.7311959166637	20.3243124662737	19.5884500304829	19.9237243643411	19.2801517664123	20.0898588869506	19.5410838012487	20.0060220318055	19.0805566991297	20.2189011014534	19.7316461847335	19.9941277867147	18.8920664637907
"1-acyl-sn-glycerol-3-phosphate acyltransferase gamma"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19.4718106785296	19.895310899756	19.0675491841319	19.9177280014604	18.906342108631	19.481617747656	21.8844522958513	19.3124394836433	19.7411650750382	19.4088364231378	19.9779474872943	22.151338656813
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-2"	18.9736530065888	19.1313779986921	18.6830945463675	18.6555005606802	19.1146068027633	18.7415466856461	18.9876628522988	18.8229208904119	18.9942168305991	18.6261581415474	18.7931356595123	19.0002961195422	19.620687154025	19.7585598826918	19.6525090654738	19.6169815251672	19.8113184188106	19.7384232901797	19.3579003212055	19.6348599413108	19.3600224353404	19.6448371325813	19.6451733043984	19.8215111197069
"1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase"	NA	NA	NA	NA	18.8965756530886	NA	NA	NA	18.6644143551057	18.6972554797423	19.0277418181324	NA	19.9373805830217	17.8143238666334	18.5472754012234	17.8698206254521	17.9469065798762	19.2104402564216	18.5936824559489	18.4055435166715	17.5063700000348	17.9499165977592	18.5614474235279	18.5489071843881
"1,4-alpha-glucan-branching enzyme"	19.7271701023002	20.0898656022681	20.4474213135379	20.1813664681911	19.6169257448191	19.979922063474	20.4355072320558	20.1586968855153	19.6315731702665	19.932782524826	20.459685029583	20.0401269809647	19.879571075486	20.6213379463809	20.9651983998455	20.5441610044801	19.8862073911893	20.3827300557457	21.0763711405202	20.4843800630744	20.196583549	20.6756935645256	20.9505596298162	20.5164994713027
"10 kDa heat shock protein, mitochondrial"	22.2851293048315	22.3430521770335	22.401040610853	22.1012598534148	22.3898500060258	22.3902450030975	22.4300834494026	22.1093366670208	22.3323385984025	22.3230913842885	22.3822352740007	22.1070941427363	23.1771394198475	23.2787514863727	23.2770129062736	23.0090413471691	23.1883062640157	23.2907614351784	23.3123723741494	23.0005450737699	23.200149336099	23.2558935487717	23.2933952324204	23.0419667380955
"116 kDa U5 small nuclear ribonucleoprotein component"	21.3778863135278	21.1920496177915	21.093457671973	21.327387448188	21.3240318137425	21.2960845749793	21.2412846999594	21.2953188099129	21.4095741629017	21.3114388946959	21.2480301453734	21.2097057020876	21.8454984202252	21.7654020177043	21.6433738073387	21.7173004741262	21.8826859659731	21.7520683772585	21.7390731434204	21.7702273640264	21.8406537170118	21.7593705112631	21.7762760698973	21.7529654913619
"14 kDa phosphohistidine phosphatase"	20.1051003643828	20.770140425961	20.597484303662	20.8768342783463	19.9073212575047	20.8515834451857	20.7454600473206	20.8627633647223	20.5411776841831	NA	21.0833246982851	20.5171717000601	20.2021008994971	20.6309221404396	20.5946083208838	20.9146503121419	20.8962560706601	20.6032712055901	20.8596369510268	21.1247916449561	20.23003271537	20.6059896506279	21.0934461881994	21.0734390763103
"14-3-3 protein epsilon"	22.6233028527428	22.5510352317488	22.5323409874798	22.6270362712038	22.661433321077	22.5596737615163	22.5199192161889	22.4804293273835	22.5967008366532	22.4938492959953	22.5235430352176	22.4293081859643	22.9742653314186	22.9319109582147	22.9145907112833	23.0011999308629	22.9824840122169	22.8997906319529	22.9300122213003	22.9975386799701	23.0197368345501	22.9639850044334	22.9551369581852	22.9432379853874
"14-3-3 protein eta"	21.0071834452764	20.9421482437852	20.6794084071011	20.9683952965943	21.042323466236	20.8230975532575	20.7024116190201	20.8287995793414	21.0112445489717	20.8061846886632	20.6083244951006	20.7323135166571	21.0469309663906	20.9432187013034	20.7819846016243	21.1604720393282	21.0838637514736	20.9326788759867	20.7989193881456	21.0359840723305	21.1479714500353	21.024862998656	20.8203693034311	21.0240998374414
"14-3-3 protein sigma"	22.4898733470208	22.3898508158352	22.3282848075935	22.5333029160097	22.5730659948884	22.3398888671335	22.3759523573319	22.4835003743126	22.5169543474501	22.3894018687741	22.360671499941	22.7793978581738	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"14-3-3 protein theta"	21.7160607032913	21.882435862113	21.7887335902244	21.7968145864458	21.6332752312527	21.8786428009073	21.7863432462555	21.8971254352389	21.6973006809152	21.8563886877745	21.7694800121985	21.7541043761627	22.0183736776924	22.2525626763684	22.1792365914161	22.3272656545443	21.8631085690821	22.2903511667549	22.2503319415904	22.3416338158448	21.9780970257656	22.2562461201804	22.1609076482201	22.2530267977166
"14-3-3 protein zeta/delta"	23.1184636266453	23.1529329085322	23.0460670075045	23.1331239457134	23.0949595512091	23.1276043322711	23.1031358776474	23.1562765046144	23.1323542142202	23.0749621123282	23.0377010108285	23.0893048275074	23.5594168501824	23.6772944222587	23.5361951851045	23.677862901274	23.5015316346801	23.703593317363	23.5573763585309	23.7845989344768	23.5500997602974	23.7122940912424	23.5254558396888	23.7147578896657
"15 kDa selenoprotein"	18.991966823272	19.2433179937574	19.3958124503349	18.6486445201785	18.9674202857452	19.1209876275361	19.3997089493107	18.9334698324644	18.9093371336953	19.0135323978014	19.3054552872624	19.0890550000022	19.305174898938	19.4887678588648	19.6101709961014	19.4448209561359	19.4082793470583	19.4792601565329	19.5732602289606	19.3293956488233	19.486105539148	19.4513784824068	19.6098668107883	19.4336116757685
"182 kDa tankyrase-1-binding protein"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	18.7581263386936	20.2448177617177	20.3347691724708	19.6806345632526	19.8647058700674	20.2926478319079	19.6845999542303	19.00971537046	19.9825714393815	19.2920496939307	20.317957863129	19.6914050602348
"2-5-oligoadenylate synthase 1"	18.8673323683888	19.0840319054487	19.2652210969119	NA	18.9426723988159	19.1609427092664	19.2085241730481	18.0614801303588	19.0832873855078	19.0036544615548	19.2146743246869	NA	19.2067416555114	19.1805353639393	19.4153769119297	18.4160234136328	19.2621497084549	19.35209856859	19.0317895948617	18.0984875336627	19.2420968015603	19.4589435706682	19.5885922619797	18.4859689246749
"2-5-oligoadenylate synthase 2"	21.1516242333462	20.9521200568068	20.6962283197425	21.4492289594111	21.1335072786158	20.9635475291003	20.5665534776181	21.5436761932759	21.221827537544	20.926389662019	20.5671583121385	21.5592416207875	21.8148971511097	21.5135534912542	21.0521686622281	22.2188120697498	21.7605168636532	21.5500301022091	21.0371816776621	22.2747045977333	21.7119630273493	21.5500952950915	20.944888814845	22.1787217267279
"2-5-oligoadenylate synthase 3"	20.206240825259	20.0822243815393	19.7899289172641	20.5825765728935	20.2061284393764	20.0970464710288	19.7582652112016	20.6890609402852	20.1481152351207	20.1890199235827	19.8844736390961	20.5304001478488	20.546466017549	20.6088307870262	20.1111276553613	21.0743258851285	20.5830734822223	20.5106145218068	20.1872436242344	21.0431863525966	20.5243448370339	20.5198402544492	20.2437631698863	21.0433457672272
"2-5-oligoadenylate synthase-like protein"	18.8301138891333	NA	NA	NA	18.5792923120724	NA	NA	19.0407854141058	NA	NA	NA	NA	18.5156483821871	17.0932989344356	17.9407008853938	18.2073751833326	17.6981032055057	17.3392104588302	18.7597654611282	18.73634882814	18.3635969863617	18.2237986719267	17.7638433696891	17.9893267918644
"2-deoxynucleoside 5-phosphate N-hydrolase 1"	20.2804125909438	20.3889212356293	20.2991572806598	20.1884418683198	20.5263795709885	20.1598844935238	20.3118863064783	20.3984549373201	20.253571467424	20.373705417291	20.32131369606	20.3416478072227	20.5971163754596	20.7688541566317	20.5970271530909	20.7326522821807	20.6945325310877	20.593579287624	20.8107169518822	20.6167779876903	20.8379561444797	20.7814450106997	20.7887433808136	20.8787007786057
"2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial"	19.5314235541111	18.8829728924332	19.1121847826633	19.1433081015118	19.2877694174145	NA	NA	19.1921364992988	18.8619589204524	19.459808763459	18.9723594824837	NA	18.6087329732681	18.5445141531745	18.6106146442679	18.8676664066039	19.2063633885904	18.7328689702657	18.3622014149621	18.6908778468947	18.8876603407602	18.783681067637	18.4391525999396	18.5144339510599
"2-oxoglutarate dehydrogenase, mitochondrial"	20.2439180124642	20.0690612669228	20.0458994661476	19.9418187397966	20.2958629866918	20.0926151002982	20.0900647718328	19.8492871656122	20.1890465253975	20.0721388888224	20.0927111474682	20.0760695405726	20.7162853367063	20.6489814901482	20.6116266437572	20.4256361493217	20.8350192684587	20.6575606966325	20.7061573453498	20.5644781225844	20.6678221665353	20.6783294776874	20.4894276207771	20.359364697958
"2-oxoisovalerate dehydrogenase subunit alpha, mitochondrial"	19.6870187265635	19.9777818011241	19.8976143312967	19.9226808629895	19.4757805704599	19.9033759593547	19.641644818099	19.8274980137029	19.6630407456506	19.5780980437484	19.9351060830115	19.5505557666302	19.6928504563782	19.6104291256137	19.7133807749023	19.7102683248834	19.9104352339699	19.7588424684721	19.9219912131174	19.7223521762225	19.9779801849082	19.6553042536574	20.0164707634144	19.6598118296103
"2-oxoisovalerate dehydrogenase subunit beta, mitochondrial"	19.4477286784263	19.3094011810101	19.4572113500248	19.3809311259508	19.4815908858921	19.4284080642618	19.5609658932785	19.4199379113707	19.5358001532034	19.3036513481343	19.6910486486853	19.6170600197959	20.1097547783989	20.0440976432011	20.4441515316523	20.0197627563316	19.947395651426	19.7872944193285	20.0339730131718	19.9544955950209	19.9888197202546	19.8113298964458	20.4235026721396	19.9868772387881
"2,3-cyclic-nucleotide 3-phosphodiesterase"	19.3003156046222	19.2619575741402	19.0660363080714	19.2855838953576	19.1862084821887	19.3829106147762	18.8166656027355	18.7511860148926	19.1230374877199	19.1560916828087	18.8251805121167	18.8149871279704	19.5483539108085	19.9047287723464	19.7055616666434	19.6404800306907	19.8053234759346	19.6322758527501	19.5707324557258	19.7514976975929	19.2195784607143	19.5820270960198	19.4790634459134	19.5203548072759
"2,4-dienoyl-CoA reductase, mitochondrial"	21.0358258143495	21.25305776104	21.2185250782099	21.2259040166712	21.0855905783766	21.3531859952295	21.1756022685239	21.2942453655231	21.0022774038887	21.2380030113039	21.3075916338725	21.3900459470799	21.6888879198829	21.9248233757724	21.8834428607647	21.9318967384362	21.6806487484987	21.9109046003057	21.8360756718046	21.944103664354	21.6904670822375	21.9350812811724	21.844359519665	21.8871328649426
"2,5-phosphodiesterase 12"	18.8402902172118	18.9523313719212	18.9463946865513	18.8880417437033	19.1065065792103	18.8809451048741	18.9770220006159	18.8042835652651	18.8238042114676	18.8755579342511	18.8619234654829	19.1053232575052	19.2117908220077	19.2013421734518	19.3456442181296	18.7565508708834	18.9177071202899	19.3565602648443	19.3321301286602	18.9839405784042	19.2695573508217	19.3342276524819	19.2042820010473	19.3063879904969
"26S protease regulatory subunit 10B"	20.6237962967818	20.6238214086745	20.6957716532067	20.6404690864241	20.4359354008893	20.6073432847312	20.7066687113122	20.60090452421	20.5532130932451	20.5707135564825	20.6928565119046	20.4518342266478	21.0522274145779	21.1745424391574	21.2901178160607	21.1524104282568	21.0924303939779	21.2380634066702	21.2447618960889	21.1493335845048	21.0956321955939	21.2127277076691	21.3456756203085	21.1498631589547
"26S protease regulatory subunit 4"	20.8553301152993	20.8928926241324	20.8956705019674	20.8181825876261	20.7368722082775	20.7423278292265	20.982888966826	20.7725378201002	20.7621513013862	20.8424499758114	20.6282431963582	20.6100161257418	21.1327837595286	21.2366149713349	21.3915373757268	21.2985018679582	21.2176033228383	21.2793108714532	21.4486817749282	21.2632620310113	21.0514024986119	21.3017656364171	21.3415980906773	21.2215512497525
