"rowname"	"DDA_NVG_D5_1"	"DDA_NVG_D6_1"	"DDA_NVG_F7_1"	"DDA_NVG_M8_1"	"DDA_NVG_D5_2"	"DDA_NVG_D6_2"	"DDA_NVG_F7_2"	"DDA_NVG_M8_2"	"DDA_NVG_D5_3"	"DDA_NVG_D6_3"	"DDA_NVG_F7_3"	"DDA_NVG_M8_3"
"1-acyl-sn-glycerol-3-phosphate acyltransferase epsilon"	18.1632238826513	17.465874014255	18.0995812209371	17.5322341452382	18.2726658302953	17.4436514346703	18.2737038681277	17.90817406468	18.1383619126864	17.6372927821787	17.4298628066922	NA
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-2"	18.3810521665051	17.9456731666231	17.8848152775647	18.2339325028955	18.9719587203774	18.0596878662525	NA	18.1044398968181	18.027676243523	17.8484686173306	17.8050605359793	17.857301408517
"1,4-alpha-glucan-branching enzyme"	18.0811381666521	18.5629666271872	19.0845288703346	18.6226953975517	18.2402306076323	18.5413364897817	18.8750400799473	18.5923712300647	18.2683394800274	18.3551184174812	18.8489669758443	18.6750642464172
"10 kDa heat shock protein, mitochondrial"	20.6748641571221	20.8249875462595	20.997057351574	20.7907746801961	20.9400272890559	21.0125016148811	20.984799921492	20.9268831353615	20.9326158706513	20.9166611589279	21.0424397011873	20.684158814324
"116 kDa U5 small nuclear ribonucleoprotein component"	19.8843646508989	19.8163252350326	19.6139363049381	19.8446841492983	19.816341947866	19.7417067804713	19.6918393872627	19.8105358213798	19.7945923185371	19.5525683075461	19.6114091162356	19.7408848682886
"14 kDa phosphohistidine phosphatase"	19.0386162300923	19.226176198844	19.2232106953362	19.3540490510511	19.1099876010752	19.2950769426419	19.3811255895005	19.3170077793708	19.0711806973391	19.1698728513238	19.1882890699811	19.184728885473
"14-3-3 protein epsilon"	20.9767519259378	20.7467471794156	20.9600110072638	20.9138845809231	21.0233189433662	20.9503994626192	20.9079282252951	20.9282601668286	21.0147934298647	20.7940061184851	20.8784588098257	20.8090087872127
"14-3-3 protein eta"	19.3172881944321	19.0791758574197	19.0268333097359	19.130374161247	19.3190278992497	19.1721169189278	19.0793061017312	19.2018682178801	19.2508410077503	19.1203106125148	19.0220719587379	19.2147132452308
"14-3-3 protein sigma"	21.4843052835641	NA	21.3868812149151	21.4672962278357	21.4355291347134	21.5033702263771	21.5108136929426	21.5917099593781	21.6141567062026	21.4104452457414	21.3732445221198	21.4476209446454
"14-3-3 protein theta"	19.9894057886592	20.0626690644822	20.1280440060442	20.2767025298989	20.0283099201282	20.2101115086973	20.2016247224951	20.1839551170362	20.004589030558	20.2115441854869	20.0449797066252	20.0755354749005
"14-3-3 protein zeta/delta"	21.5075064907104	21.543474530481	21.4496247124447	21.5605569962123	21.4672006691316	21.5309236815679	21.4140646910099	21.600465921117	21.4617742751594	21.4289316467967	21.3934989272655	21.5391759568548
"2-5-oligoadenylate synthase 2"	19.3211946955247	19.2167265482757	18.8567850935173	19.7564583243398	19.5647550553549	19.1922808910742	18.8287846618823	19.8358988923835	19.386771255	19.2252660465098	18.7385382793326	19.6774971873019
"2-5-oligoadenylate synthase 3"	18.6793959586404	18.66183611489	18.1820786668165	19.06259529655	18.7307399568234	18.6973866745848	18.323260182863	19.2200369018596	18.6632365392492	18.5412972695149	18.3307158210357	19.0852467146559
"2-deoxynucleoside 5-phosphate N-hydrolase 1"	18.8453099598414	18.7077229766596	18.9345289753793	18.930898012644	18.6847414016983	18.7309862874119	18.8066149358028	19.054748557605	18.6745381284063	18.7013350751513	18.6683056835864	18.8453001554797
"2-oxoglutarate dehydrogenase, mitochondrial"	18.5863934264207	18.8691271324471	18.7562161819495	18.7367742825366	18.7997781583109	18.5726257048948	18.5563783389427	18.5457444329315	18.5876052323106	18.7240445353867	18.4514059652185	18.3941201171951
"2-oxoisovalerate dehydrogenase subunit alpha, mitochondrial"	18.5376552283838	18.2440059246309	18.5063876586311	18.7981976777074	18.5286593973595	18.6162563444476	18.6263408186107	18.7648043415211	18.6340810611106	18.4720917276746	18.7531188640714	18.4285263017034
"2,3-cyclic-nucleotide 3-phosphodiesterase"	18.4344125632476	18.8504071035	18.1941419099262	18.6706002309798	18.7773741453719	18.3823375668762	18.412978243316	18.7833347903844	18.888112027344	18.5342483851827	18.5532860013167	18.4246556232991
"2,4-dienoyl-CoA reductase, mitochondrial"	19.446549832944	19.5804236165797	19.5530870894529	19.5755678526105	19.4315734767743	19.6175587240207	19.5951640991203	19.6798722575409	19.5223109681882	19.6123486431819	19.5198087974069	19.6883481247704
"2,5-phosphodiesterase 12"	17.0521676882412	17.2120351490592	17.1512578539226	17.148974587238	17.1250860480619	17.2146338348824	17.1599617824093	17.4243260676267	17.2159191365554	16.9837975535995	17.0497911756825	17.2778862406685
"26S protease regulatory subunit 10B"	19.0608561336254	19.2854467744133	19.3099271332794	19.2918870354972	19.1441835797714	19.2810030261526	19.3475700241969	19.3148575086073	19.3212674820408	19.0202823613118	19.3028296125206	19.2071381949094
"26S protease regulatory subunit 4"	19.1873218014806	19.3613394229287	19.2024174563748	19.0648337936802	19.2947329463633	19.3127801838752	19.2673986093567	19.1962887230618	19.0459765285244	18.9657211087448	19.2787603244849	19.1004468781201
"26S protease regulatory subunit 6A"	18.7133360866216	18.7516517400702	18.905718751252	18.7927345858331	18.8105914296701	18.830920329721	18.794598978855	18.7554174737614	18.8314611544779	18.7456047252049	18.8404461961558	18.7778808260594
"26S protease regulatory subunit 6B"	19.0133582388527	19.312017841831	19.4073182566335	19.1697065616211	19.1374545457061	19.1632202864169	19.1653101537977	19.4220492774316	19.1035547822177	19.2243614156937	19.244918442058	19.1539142981098
"26S protease regulatory subunit 7"	19.2013068733902	19.2383610000324	19.3599582167453	19.1472752710655	19.3214419872831	19.3123861593928	19.2931136462138	19.2711152139957	19.1914407757393	19.2337119156742	19.2507834212949	19.1037526044528
"26S protease regulatory subunit 8"	19.2058704763004	19.0709672745136	19.2226722160651	19.0532174778757	19.0575743735972	19.1032340988876	19.0700226648633	19.2237030784045	19.0233629403492	19.078159352808	19.2068283255942	19.1229348705268
"26S proteasome non-ATPase regulatory subunit 1"	19.2089363916594	19.2349689275107	19.1830525522964	19.1578418780872	19.1858251212322	19.2608265858485	19.3427436192383	19.2574110099149	19.2706101164756	19.1836433505554	19.332531259148	19.181129970652
"26S proteasome non-ATPase regulatory subunit 10"	18.3696419581987	18.6203526910024	18.5532267255311	18.4466570425076	18.3110651263254	18.6502337076004	18.4529668277677	18.291715552865	18.4030252085594	18.570454966066	18.5366873102606	18.4470219081552
"26S proteasome non-ATPase regulatory subunit 11"	19.1222377800349	19.2316300460828	19.1878673910464	19.1270922086287	19.2861031420414	19.0656673598587	19.2097932936114	19.2579599770716	19.0240390800823	19.208838082694	19.3027591709987	19.0744851424373
"26S proteasome non-ATPase regulatory subunit 12"	18.2973269749493	18.5698335577666	18.5835339935123	18.5193950449565	18.4458656521107	18.5996481534768	18.5932441280092	18.5578606742198	18.3862772242588	18.4279162702302	18.4974251302334	18.4006366281085
"26S proteasome non-ATPase regulatory subunit 13"	18.8916536936051	18.9517058899207	18.9631447817641	18.8053715136838	19.2838541080506	19.1557210626707	19.1200470286895	18.9990260024346	18.9778417542763	19.0508865880381	19.0116718985744	19.2329279107859
"26S proteasome non-ATPase regulatory subunit 14"	19.278490877647	18.8511371051259	18.6370050562243	19.136896945171	19.0924486932468	18.7542674329216	18.7644480904681	19.2979686372976	18.7291771510435	18.6585594731433	19.1811627238176	18.3468974377623
"26S proteasome non-ATPase regulatory subunit 2"	19.3488042713331	19.2177641338928	19.5595075728289	19.2758460776623	19.4529684933643	19.4135832973431	19.4959178585856	19.4169105232913	19.4088672536454	19.2980956666877	19.4172178131925	19.3193977008445
"26S proteasome non-ATPase regulatory subunit 3"	19.2277036116316	19.0798711366868	19.4043099350883	19.1252656924528	19.1414130513673	19.1569861363933	19.3286081413749	19.0595747539074	19.0292260028385	19.1825900797953	19.2254572409658	18.9950935457542
"26S proteasome non-ATPase regulatory subunit 4"	19.0806884612045	19.0375145951407	19.0178171770483	19.0769663789132	19.2678208386728	18.9777763255816	19.0910176880447	19.2239975040256	19.2823951472007	19.2212698086936	19.0241671473229	19.0770753498201
"26S proteasome non-ATPase regulatory subunit 5"	17.6666034003621	18.1290443089833	17.7217432425882	17.8358845333472	18.023243770605	17.8040028397762	17.8726195389468	18.4740392228419	17.5649707549326	17.4409193385624	18.0030858477294	17.4889464157179
"26S proteasome non-ATPase regulatory subunit 6"	18.9782184842567	19.218343742711	19.1491495811943	19.0894334321202	18.9888716510012	19.1222817867376	19.1017740764952	19.0908081006038	19.1074144399969	19.0678109215856	19.1651588129018	19.1123788908167
"26S proteasome non-ATPase regulatory subunit 7"	19.1326040821626	19.3236415303849	19.4127911220561	19.1808488572989	19.0263957144697	19.2468192490433	19.3590770499466	19.1329087120709	19.0068174779634	19.1374811635686	19.2035314647229	19.0482796035813
"26S proteasome non-ATPase regulatory subunit 8"	18.4971783413196	18.5826493391285	18.6060303861101	18.5093110149487	18.6080276953489	18.6623121571303	18.6780495627268	18.6259729040088	18.6215683774955	18.4825152575724	18.6386532955229	18.4994220377047
"26S proteasome non-ATPase regulatory subunit 9"	18.7353586041265	18.8305391434812	19.0600968381116	19.0861191408555	18.7847391697164	18.958661117456	18.6492969728147	18.9028184050517	18.9701299531378	18.730135859415	18.9809488990032	18.7856665795598
"28 kDa heat- and acid-stable phosphoprotein"	18.8659126847591	18.9354862901657	18.9789475560449	18.9994852043109	18.9184867281726	19.079192323985	18.9623241003319	19.0811319199863	19.1777962959204	18.9865073978012	19.0901932570617	18.9091718082762
"28S ribosomal protein S11, mitochondrial"	16.8922250562705	16.8339997047464	17.2849740318253	16.929298272373	17.1794009836848	16.782704221784	16.8836016405772	16.8641320974111	17.1688190423807	NA	16.9849099331238	16.8279209922073
"28S ribosomal protein S17, mitochondrial"	17.7819947464333	17.7431931188795	17.5872144812425	NA	17.6539894231832	17.5466682213765	17.6134811242309	17.9410204023023	17.6063887420013	NA	17.730317015338	17.9074688681311
"28S ribosomal protein S18a, mitochondrial"	17.8775613203468	NA	17.6332437238729	18.827896148788	18.0403848868291	17.8315605471856	18.1154830193231	18.1326804788082	18.2915922186171	20.4740898741842	18.2493921005458	17.7738052331559
"28S ribosomal protein S18b, mitochondrial"	17.9938619349783	17.6423763659836	NA	17.6402874428915	17.8786042699035	17.6872923222936	17.6428180446377	17.7701332499912	17.9466661729639	17.3408503370246	17.72497849178	17.6172452225009
"28S ribosomal protein S2, mitochondrial"	17.8959206582983	18.0597485590522	18.354742656369	NA	18.2262651963644	18.2672271864795	18.2695064985247	18.4477000451566	18.2321700289497	17.746196928456	17.7729879739493	18.4571362871676
"28S ribosomal protein S22, mitochondrial"	17.9613982440909	17.9116188595936	17.7387157270759	17.9296085388196	18.105367608256	NA	18.0147922810334	17.9578896454691	18.0439536786809	17.9143926202733	17.9950329262779	17.6753760452321
"28S ribosomal protein S25, mitochondrial"	18.068769024374	19.3676431415657	17.4634161625347	17.7595873388718	18.0128037299627	17.6213599728538	17.9324385417048	17.5363660036689	17.9314619085715	17.487818536541	17.8495377190439	17.6347644791548
"28S ribosomal protein S26, mitochondrial"	17.9269030817154	17.7161037052834	17.9092035040916	17.599623184239	17.8999869831667	17.8487720912522	17.8552580045269	17.8281856857791	17.9184785815923	17.4995572265028	17.7939488714909	17.5924598179148
"28S ribosomal protein S27, mitochondrial"	18.4985228691412	17.7346522285331	18.2895803685784	18.1651962536603	18.3070944648581	18.3174747731588	18.0148692758082	18.2950051315675	18.1234166980295	18.0107213061027	17.7569208952648	18.079868234079
"28S ribosomal protein S28, mitochondrial"	17.3714814269644	17.0107240521287	17.4828823339075	17.7751143505353	17.5327190143374	17.3702770821675	17.2209229486119	17.6554661289556	17.5823505054801	17.153676026918	17.2766439170829	16.8062569430578
"28S ribosomal protein S29, mitochondrial"	17.819089172065	17.1534668477762	17.919887690862	17.3033062380258	17.8028272119449	18.2380020911054	17.6543667878372	NA	17.871851120129	17.8933056437511	18.2062137706195	17.9042236197978
"28S ribosomal protein S30, mitochondrial"	17.7470584459368	17.7025506343489	17.3831258854243	17.3952555631294	18.2301209988338	17.5166083101287	17.8402473127782	17.7564308185253	18.1744933169111	NA	17.5225153007917	17.39714239278
"28S ribosomal protein S31, mitochondrial"	17.6291662512302	17.6412515127316	17.7298642265302	17.3318400088594	17.3457183232292	17.1447171500967	17.5833734782564	17.2413447148637	17.5557139399455	16.9492767744488	17.3686714480411	17.2132157960855
"28S ribosomal protein S35, mitochondrial"	18.1527349511585	18.1825064656436	17.8063367509733	18.805605790406	18.0326349359916	18.2710286675637	18.0368637214596	18.0343499441434	17.7145346138821	18.7256906680033	17.512590194949	18.5856254839893
"28S ribosomal protein S36, mitochondrial"	17.6958961080053	17.3804845584619	17.5788248458493	17.7170199218316	17.4403818318405	17.9844444601882	NA	17.5803415175947	17.409773471159	NA	17.6851323664818	17.4101456515258
"28S ribosomal protein S6, mitochondrial"	18.5187567049028	18.3804361848567	18.4794638837129	18.5344230072062	NA	18.7050825621692	18.3568253957001	18.3987782540052	18.5900420272718	NA	18.3947057077503	NA
"3-5 exoribonuclease 1"	NA	16.4613891391238	16.4627214575546	16.7404396469929	16.6539586124795	16.7976300785067	16.5878846005086	16.7606221826496	16.5543504656223	16.5940750167973	NA	NA
"3-hydroxyacyl-CoA dehydrogenase type-2"	19.4094101418171	19.4133349178586	19.3742305170579	19.5317175431038	19.5975374835409	19.3393521954068	19.5851084476786	19.4924112492373	19.3595750231736	19.4249790978637	19.4860302322238	19.5430806201426
"3-hydroxyisobutyryl-CoA hydrolase, mitochondrial"	18.9415803011914	18.4620610804194	18.5824914292021	18.5801040462403	18.4336824316216	18.7504033707664	18.6018533915895	18.5101564737482	18.289907809962	18.4516629288975	18.4351909913217	18.5233386018057
"3-ketoacyl-CoA thiolase, mitochondrial"	19.0587133197174	19.233402409983	19.1232870739514	18.7771065007645	19.0105035124988	19.136714258023	19.1062013288044	18.949660256175	19.0153702003851	19.0538875763017	19.2286523926524	18.9705416441194
"3-ketoacyl-CoA thiolase, peroxisomal"	17.3516902470081	17.9026602056146	17.9104850958764	17.7069239326416	NA	17.8931441452059	18.1905124825169	17.9947262126046	16.7991195510004	17.8916189396485	18.0467783181692	17.9740789425304
"3(2),5-bisphosphate nucleotidase 1"	18.7643111899075	18.7279766349638	18.6995532563104	18.7305299389759	18.7993675896925	18.7073557954071	18.5758378982414	18.7455497092373	18.8351646458573	18.5185880356812	18.5823498771756	18.6060768943396
"39S ribosomal protein L1, mitochondrial"	17.7391716319072	17.7881959311737	17.854293953587	17.6675951350109	18.1170528982318	17.7157411989386	17.847019280303	17.6030009301029	17.9313527990168	17.5526045353911	17.8120990887326	17.7334181307515
"39S ribosomal protein L12, mitochondrial"	19.1488091060201	19.3012553585582	19.1939207180214	19.047894358078	19.0390625411437	19.2898436241195	19.0309409381633	18.8474949310033	19.0454089462811	19.0020778260278	19.137137341034	19.1016451946153
