"","run_id","mode","lab","batch","sample","tube","order","raw_file"
"1","DDA_APT_D5_1","DDA","APT","DDA_APT","D5",1,1,"Exp083364_P20200701388_F1_R1"
"2","DDA_APT_D6_1","DDA","APT","DDA_APT","D6",1,2,"Exp083365_P20200701388_F1_R1"
"3","DDA_APT_F7_1","DDA","APT","DDA_APT","F7",1,3,"Exp083366_P20200701388_F1_R1"
"4","DDA_APT_M8_1","DDA","APT","DDA_APT","M8",1,4,"Exp083367_P20200701388_F1_R1"
"5","DDA_APT_D5_2","DDA","APT","DDA_APT","D5",2,5,"Exp083368_P20200701388_F1_R1"
"6","DDA_APT_D6_2","DDA","APT","DDA_APT","D6",2,6,"Exp083369_P20200701388_F1_R1"
"7","DDA_APT_F7_2","DDA","APT","DDA_APT","F7",2,7,"Exp083370_P20200701388_F1_R1"
"8","DDA_APT_M8_2","DDA","APT","DDA_APT","M8",2,8,"Exp083371_P20200701388_F1_R1"
"9","DDA_APT_D5_3","DDA","APT","DDA_APT","D5",3,9,"Exp083372_P20200701388_F1_R1"
"10","DDA_APT_D6_3","DDA","APT","DDA_APT","D6",3,10,"Exp083373_P20200701388_F1_R1"
"11","DDA_APT_F7_3","DDA","APT","DDA_APT","F7",3,11,"Exp083374_P20200701388_F1_R1"
"12","DDA_APT_M8_3","DDA","APT","DDA_APT","M8",3,12,"Exp083375_P20200701388_F1_R1"
"13","DDA_FDU_D5_1","DDA","FDU","DDA_FDU","D5",1,1,"Lumos01918_XM_SLM-20200706-1"
"14","DDA_FDU_D6_1","DDA","FDU","DDA_FDU","D6",1,2,"Lumos01918_XM_SLM-20200706-2"
"15","DDA_FDU_F7_1","DDA","FDU","DDA_FDU","F7",1,3,"Lumos01918_XM_SLM-20200706-3"
"16","DDA_FDU_M8_1","DDA","FDU","DDA_FDU","M8",1,4,"Lumos01918_XM_SLM-20200706-4"
"17","DDA_FDU_D5_2","DDA","FDU","DDA_FDU","D5",2,5,"Lumos01918_XM_SLM-20200706-5"
"18","DDA_FDU_D6_2","DDA","FDU","DDA_FDU","D6",2,6,"Lumos01918_XM_SLM-20200706-6"
"19","DDA_FDU_F7_2","DDA","FDU","DDA_FDU","F7",2,7,"Lumos01918_XM_SLM-20200706-7"
"20","DDA_FDU_M8_2","DDA","FDU","DDA_FDU","M8",2,8,"Lumos01918_XM_SLM-20200706-8"
"21","DDA_FDU_D5_3","DDA","FDU","DDA_FDU","D5",3,9,"Lumos01918_XM_SLM-20200706-9"
"22","DDA_FDU_D6_3","DDA","FDU","DDA_FDU","D6",3,10,"Lumos01918_XM_SLM-20200706-10"
"23","DDA_FDU_F7_3","DDA","FDU","DDA_FDU","F7",3,11,"Lumos01918_XM_SLM-20200706-11"
"24","DDA_FDU_M8_3","DDA","FDU","DDA_FDU","M8",3,12,"Lumos01918_XM_SLM-20200706-12"
"25","DDA_NVG_D5_1","DDA","NVG","DDA_NVG","D5",1,1,"Raw_Chinese_Quartet_Lot2_DDA_NVG_Lumos_D5_1"
"26","DDA_NVG_D6_1","DDA","NVG","DDA_NVG","D6",1,2,"Raw_Chinese_Quartet_Lot2_DDA_NVG_Lumos_D6_1"
"27","DDA_NVG_F7_1","DDA","NVG","DDA_NVG","F7",1,3,"Raw_Chinese_Quartet_Lot2_DDA_NVG_Lumos_F7_1"
"28","DDA_NVG_M8_1","DDA","NVG","DDA_NVG","M8",1,4,"Raw_Chinese_Quartet_Lot2_DDA_NVG_Lumos_M8_1"
"29","DDA_NVG_D5_2","DDA","NVG","DDA_NVG","D5",2,5,"Raw_Chinese_Quartet_Lot2_DDA_NVG_Lumos_D5_2"
"30","DDA_NVG_D6_2","DDA","NVG","DDA_NVG","D6",2,6,"Raw_Chinese_Quartet_Lot2_DDA_NVG_Lumos_D6_2"
"31","DDA_NVG_F7_2","DDA","NVG","DDA_NVG","F7",2,7,"Raw_Chinese_Quartet_Lot2_DDA_NVG_Lumos_F7_2"
"32","DDA_NVG_M8_2","DDA","NVG","DDA_NVG","M8",2,8,"Raw_Chinese_Quartet_Lot2_DDA_NVG_Lumos_M8_2"
"33","DDA_NVG_D5_3","DDA","NVG","DDA_NVG","D5",3,9,"Raw_Chinese_Quartet_Lot2_DDA_NVG_Lumos_D5_3"
"34","DDA_NVG_D6_3","DDA","NVG","DDA_NVG","D6",3,10,"Raw_Chinese_Quartet_Lot2_DDA_NVG_Lumos_D6_3"
"35","DDA_NVG_F7_3","DDA","NVG","DDA_NVG","F7",3,11,"Raw_Chinese_Quartet_Lot2_DDA_NVG_Lumos_F7_3"
"36","DDA_NVG_M8_3","DDA","NVG","DDA_NVG","M8",3,12,"Raw_Chinese_Quartet_Lot2_DDA_NVG_Lumos_M8_3"
"37","DIA_APT_D5_1","DIA","APT","DIA_APT","D5",1,1,"Exp083376_P20200701388_F1_R1"
"38","DIA_APT_D6_1","DIA","APT","DIA_APT","D6",1,2,"Exp083377_P20200701388_F1_R1"
"39","DIA_APT_F7_1","DIA","APT","DIA_APT","F7",1,3,"Exp083378_P20200701388_F1_R1"
"40","DIA_APT_M8_1","DIA","APT","DIA_APT","M8",1,4,"Exp083379_P20200701388_F1_R1"
"41","DIA_APT_D5_2","DIA","APT","DIA_APT","D5",2,5,"Exp083380_P20200701388_F1_R1"
"42","DIA_APT_D6_2","DIA","APT","DIA_APT","D6",2,6,"Exp083381_P20200701388_F1_R1"
"43","DIA_APT_F7_2","DIA","APT","DIA_APT","F7",2,7,"Exp083382_P20200701388_F1_R1"
"44","DIA_APT_M8_2","DIA","APT","DIA_APT","M8",2,8,"Exp083383_P20200701388_F1_R1"
"45","DIA_APT_D5_3","DIA","APT","DIA_APT","D5",3,9,"Exp083384_P20200701388_F1_R1"
"46","DIA_APT_D6_3","DIA","APT","DIA_APT","D6",3,10,"Exp083385_P20200701388_F1_R1"
"47","DIA_APT_F7_3","DIA","APT","DIA_APT","F7",3,11,"Exp083386_P20200701388_F1_R1"
"48","DIA_APT_M8_3","DIA","APT","DIA_APT","M8",3,12,"Exp083387_P20200701388_F1_R1"
"49","DIA_BGI_D5_1","DIA","BGI","DIA_BGI","D5",1,1,"20P05390001"
"50","DIA_BGI_D6_1","DIA","BGI","DIA_BGI","D6",1,2,"20P05390002"
"51","DIA_BGI_F7_1","DIA","BGI","DIA_BGI","F7",1,3,"20P05390003"
"52","DIA_BGI_M8_1","DIA","BGI","DIA_BGI","M8",1,4,"20P05390004"
"53","DIA_BGI_D5_2","DIA","BGI","DIA_BGI","D5",2,5,"20P05390005"
"54","DIA_BGI_D6_2","DIA","BGI","DIA_BGI","D6",2,6,"20P05390006"
"55","DIA_BGI_F7_2","DIA","BGI","DIA_BGI","F7",2,7,"20P05390007"
"56","DIA_BGI_M8_2","DIA","BGI","DIA_BGI","M8",2,8,"20P05390008"
"57","DIA_BGI_D5_3","DIA","BGI","DIA_BGI","D5",3,9,"20P05390009"
"58","DIA_BGI_D6_3","DIA","BGI","DIA_BGI","D6",3,10,"20P05390010"
"59","DIA_BGI_F7_3","DIA","BGI","DIA_BGI","F7",3,11,"20P05390011"
"60","DIA_BGI_M8_3","DIA","BGI","DIA_BGI","M8",3,12,"20P05390012"
"61","DIA_FDU_D5_1","DIA","FDU","DIA_FDU","D5",1,1,"Lumos01905_XM_SLM-20200706-DIA_1"
"62","DIA_FDU_D6_1","DIA","FDU","DIA_FDU","D6",1,2,"Lumos01906_XM_SLM-20200706-DIA_2"
"63","DIA_FDU_F7_1","DIA","FDU","DIA_FDU","F7",1,3,"Lumos01907_XM_SLM-20200706-DIA_3"
"64","DIA_FDU_M8_1","DIA","FDU","DIA_FDU","M8",1,4,"Lumos01908_XM_SLM-20200706-DIA_4"
"65","DIA_FDU_D5_2","DIA","FDU","DIA_FDU","D5",2,5,"Lumos01909_XM_SLM-20200706-DIA_5"
"66","DIA_FDU_D6_2","DIA","FDU","DIA_FDU","D6",2,6,"Lumos01910_XM_SLM-20200706-DIA_6"
"67","DIA_FDU_F7_2","DIA","FDU","DIA_FDU","F7",2,7,"Lumos01911_XM_SLM-20200706-DIA_7"
"68","DIA_FDU_M8_2","DIA","FDU","DIA_FDU","M8",2,8,"Lumos01912_XM_SLM-20200706-DIA_8"
"69","DIA_FDU_D5_3","DIA","FDU","DIA_FDU","D5",3,9,"Lumos01913_XM_SLM-20200706-DIA_9"
"70","DIA_FDU_D6_3","DIA","FDU","DIA_FDU","D6",3,10,"Lumos01914_XM_SLM-20200706-DIA_10"
"71","DIA_FDU_F7_3","DIA","FDU","DIA_FDU","F7",3,11,"Lumos01915_XM_SLM-20200706-DIA_11"
"72","DIA_FDU_M8_3","DIA","FDU","DIA_FDU","M8",3,12,"Lumos01916_XM_SLM-20200706-DIA_12"
