"file"	"D6"	"F7"	"M8"	"batch"	"condition"
"DDA_APT_D5_1"	0	0	0	"DDA_APT"	"D5"
"DDA_APT_D6_1"	1	0	0	"DDA_APT"	"D6"
"DDA_APT_F7_1"	0	1	0	"DDA_APT"	"F7"
"DDA_APT_M8_1"	0	0	1	"DDA_APT"	"M8"
"DDA_APT_D5_2"	0	0	0	"DDA_APT"	"D5"
"DDA_APT_D6_2"	1	0	0	"DDA_APT"	"D6"
"DDA_APT_F7_2"	0	1	0	"DDA_APT"	"F7"
"DDA_APT_M8_2"	0	0	1	"DDA_APT"	"M8"
"DDA_APT_D5_3"	0	0	0	"DDA_APT"	"D5"
"DDA_APT_D6_3"	1	0	0	"DDA_APT"	"D6"
"DDA_APT_F7_3"	0	1	0	"DDA_APT"	"F7"
"DDA_APT_M8_3"	0	0	1	"DDA_APT"	"M8"
"DIA_APT_D5_1"	0	0	0	"DIA_APT"	"D5"
"DIA_APT_D6_1"	1	0	0	"DIA_APT"	"D6"
"DIA_APT_F7_1"	0	1	0	"DIA_APT"	"F7"
"DIA_APT_M8_1"	0	0	1	"DIA_APT"	"M8"
"DIA_APT_D5_2"	0	0	0	"DIA_APT"	"D5"
"DIA_APT_D6_2"	1	0	0	"DIA_APT"	"D6"
"DIA_APT_F7_2"	0	1	0	"DIA_APT"	"F7"
"DIA_APT_M8_2"	0	0	1	"DIA_APT"	"M8"
"DIA_APT_D5_3"	0	0	0	"DIA_APT"	"D5"
"DIA_APT_D6_3"	1	0	0	"DIA_APT"	"D6"
"DIA_APT_F7_3"	0	1	0	"DIA_APT"	"F7"
"DIA_APT_M8_3"	0	0	1	"DIA_APT"	"M8"
