"rowname"	"U_L1_D5_01"	"U_L1_D5_02"	"U_L1_D5_03"	"U_L1_D6_01"	"U_L1_D6_02"	"U_L1_D6_03"	"U_L1_F7_01"	"U_L1_F7_02"	"U_L1_F7_03"	"U_L1_M8_01"	"U_L1_M8_02"	"U_L1_M8_03"
"HMDB0001844|2-Methylsuccinic acid"	0	0	0	0	0	0	0	0	0	0	0	0
"HMDB0000357|3-Hydroxybutyric acid"	0	0	0	0	0	0	0	0	0	0	0	0
"HMDB0000555|3-Methyladipic acid"	0	0	0	0	0	0	0	0	0	0	0	0
"HMDB0000755|3-(4-Hydroxyphenyl)lactate (HPLA)"	13.071	13.114	13.014	12.953	12.967	12.673	12.849	12.859	13.309	13.104	13.284	13.613
"HMDB0003911|3-Amino isobutanoate"	0	0	0	0	0	0	0	0	0	0	0	0
"HMDB0000752|3-Methylglutaric acid"	14.396	16.049	15.287	15.061	14.64	14.208	14.995	15.725	14.441	16.536	14.55	14.113
"HMDB0000779|3-Phenyllactic acid"	0	0	0	0	0	0	0	0	0	0	0	0
"HMDB0000112|4-Aminobutyrate"	12.857	13.006	12.872	12.883	12.916	12.788	12.488	12.351	12.394	12.999	13.187	13.36
"HMDB0001149|5-Aminolevulinic acid"	0	0	0	0	0	0	0	0	0	0	0	0
"HMDB0000267|5-Oxoproline"	13.899	14.543	14.008	15.477	15.465	14.766	15.139	15.609	15.226	16.524	16.572	16.377
"HMDB0001397|5-GMP"	14.946	14.865	14.849	15.053	15.079	15.123	15.339	15.219	16.111	15.422	15.721	15.793
"HMDB0000201|Acetylcarnitine"	19.521	19.48	19.593	19.776	19.641	19.893	19.261	19.208	19.652	19.928	20.074	20.026
"HMDB0000532|Acetylglycine"	0	0	0	0	0	0	0	0	0	0	0	0
"HMDB0000045|Adenosine monophosphate"	12.028	15.656	14.807	15.036	14.32	15.175	15.489	17.815	14.464	18.333	18.532	15.527
"HMDB0000161|Alanine"	16.094	16.003	15.978	16.264	16.271	16.196	16.509	16.325	16.701	16.249	16.639	16.584
"HMDB0000208|alpha-Ketoglutaric acid"	0	0	0	0	0	0	0	0	0	0	0	0
"HMDB0001043|Arachidonate (20:4n6)"	0	0	0	0	0	0	0	0	0	0	0	0
"HMDB0000517|Arginine"	14.01	13.903	14.095	14.339	13.646	14.174	13.682	13.707	13.561	13.743	13.816	13.953
"HMDB0000168|Asparagine"	13.545	13.838	13.553	13.387	13.928	13.439	13.493	13.649	14.411	13.991	13.765	15.105
"HMDB0000191|Aspartate"	0	0	0	0	0	0	0	0	0	0	0	0
"HMDB0000056|beta-Alanine"	0	0	0	0	0	0	0	0	0	0	0	0
"HMDB0000062|Carnitine"	17.786	17.683	17.783	17.656	17.647	17.915	18.013	18.053	18.36	17.757	17.83	17.936
"HMDB0000033|Carnosine"	9.477	8.888	8.982	8.617	8.656	8.962	8.609	8.495	8.863	8.985	8.519	9.125
"HMDB0003229|cis-9-Palmitoleic acid"	7.616	9.557	10.33	10.314	10.314	10.125	13.178	8.109	11.522	7.751	10.868	11.648
"HMDB0000094|Citrate"	0	0	0	0	0	0	0	0	0	0	0	0
