"file"	"D5"	"F7"	"M8"	"batch"	"batch_code"	"condition"	"lab"	"platform"	"protocol"	"datatype"	"rep"	"date"	"pseudo_sample"
"T_L4_D5_01"	1	0	0	"T_L4_01"	"B01"	"D5"	"L04"	"T"	"not_available"	"Metabolomics"	1	20200115	"client_03_L05_L04_D5_1_1"
"T_L4_D5_02"	1	0	0	"T_L4_01"	"B01"	"D5"	"L04"	"T"	"not_available"	"Metabolomics"	2	20200115	"client_03_L05_L04_D5_2_1"
"T_L4_D5_03"	1	0	0	"T_L4_01"	"B01"	"D5"	"L04"	"T"	"not_available"	"Metabolomics"	3	20200115	"client_03_L05_L04_D5_3_1"
"T_L4_D6_01"	0	0	0	"T_L4_01"	"B01"	"D6"	"L04"	"T"	"not_available"	"Metabolomics"	1	20200115	"client_03_L05_L04_D6_1_1"
"T_L4_D6_02"	0	0	0	"T_L4_01"	"B01"	"D6"	"L04"	"T"	"not_available"	"Metabolomics"	2	20200115	"client_03_L05_L04_D6_2_1"
"T_L4_D6_03"	0	0	0	"T_L4_01"	"B01"	"D6"	"L04"	"T"	"not_available"	"Metabolomics"	3	20200115	"client_03_L05_L04_D6_3_1"
"T_L4_F7_01"	0	1	0	"T_L4_01"	"B01"	"F7"	"L04"	"T"	"not_available"	"Metabolomics"	1	20200115	"client_03_L05_L04_F7_1_1"
"T_L4_F7_02"	0	1	0	"T_L4_01"	"B01"	"F7"	"L04"	"T"	"not_available"	"Metabolomics"	2	20200115	"client_03_L05_L04_F7_2_1"
"T_L4_F7_03"	0	1	0	"T_L4_01"	"B01"	"F7"	"L04"	"T"	"not_available"	"Metabolomics"	3	20200115	"client_03_L05_L04_F7_3_1"
"T_L4_M8_01"	0	0	1	"T_L4_01"	"B01"	"M8"	"L04"	"T"	"not_available"	"Metabolomics"	1	20200115	"client_03_L05_L04_M8_1_1"
"T_L4_M8_02"	0	0	1	"T_L4_01"	"B01"	"M8"	"L04"	"T"	"not_available"	"Metabolomics"	2	20200115	"client_03_L05_L04_M8_2_1"
"T_L4_M8_03"	0	0	1	"T_L4_01"	"B01"	"M8"	"L04"	"T"	"not_available"	"Metabolomics"	3	20200115	"client_03_L05_L04_M8_3_1"
"U_L5_D5_01"	1	0	0	"U_L5_01"	"B04"	"D5"	"L05"	"U"	"not_available"	"Metabolomics"	1	20200601	"client_03_L05_L04_D5_1_2"
"U_L5_D5_02"	1	0	0	"U_L5_01"	"B04"	"D5"	"L05"	"U"	"not_available"	"Metabolomics"	2	20200601	"client_03_L05_L04_D5_2_2"
"U_L5_D5_03"	1	0	0	"U_L5_01"	"B04"	"D5"	"L05"	"U"	"not_available"	"Metabolomics"	3	20200601	"client_03_L05_L04_D5_3_2"
"U_L5_D6_01"	0	0	0	"U_L5_01"	"B04"	"D6"	"L05"	"U"	"not_available"	"Metabolomics"	1	20200601	"client_03_L05_L04_D6_1_2"
"U_L5_D6_02"	0	0	0	"U_L5_01"	"B04"	"D6"	"L05"	"U"	"not_available"	"Metabolomics"	2	20200601	"client_03_L05_L04_D6_2_2"
"U_L5_D6_03"	0	0	0	"U_L5_01"	"B04"	"D6"	"L05"	"U"	"not_available"	"Metabolomics"	3	20200601	"client_03_L05_L04_D6_3_2"
"U_L5_F7_01"	0	1	0	"U_L5_01"	"B04"	"F7"	"L05"	"U"	"not_available"	"Metabolomics"	1	20200601	"client_03_L05_L04_F7_1_2"
"U_L5_F7_02"	0	1	0	"U_L5_01"	"B04"	"F7"	"L05"	"U"	"not_available"	"Metabolomics"	2	20200601	"client_03_L05_L04_F7_2_2"
"U_L5_F7_03"	0	1	0	"U_L5_01"	"B04"	"F7"	"L05"	"U"	"not_available"	"Metabolomics"	3	20200601	"client_03_L05_L04_F7_3_2"
"U_L5_M8_01"	0	0	1	"U_L5_01"	"B04"	"M8"	"L05"	"U"	"not_available"	"Metabolomics"	1	20200601	"client_03_L05_L04_M8_1_2"
"U_L5_M8_02"	0	0	1	"U_L5_01"	"B04"	"M8"	"L05"	"U"	"not_available"	"Metabolomics"	2	20200601	"client_03_L05_L04_M8_2_2"
"U_L5_M8_03"	0	0	1	"U_L5_01"	"B04"	"M8"	"L05"	"U"	"not_available"	"Metabolomics"	3	20200601	"client_03_L05_L04_M8_3_2"
