"rowname"	"B1_DDA_ABS_QTOF6600_B1_D5_1"	"B1_DDA_ABS_QTOF6600_B1_D5_2"	"B1_DDA_ABS_QTOF6600_B1_D5_3"	"B1_DDA_ABS_QTOF6600_B1_D6_1"	"B1_DDA_ABS_QTOF6600_B1_D6_2"	"B1_DDA_ABS_QTOF6600_B1_D6_3"	"B1_DDA_ABS_QTOF6600_B1_F7_1"	"B1_DDA_ABS_QTOF6600_B1_F7_2"	"B1_DDA_ABS_QTOF6600_B1_F7_3"	"B1_DDA_ABS_QTOF6600_B1_M8_1"	"B1_DDA_ABS_QTOF6600_B1_M8_2"	"B1_DDA_ABS_QTOF6600_B1_M8_3"
"AARS"	5.866	6.487	6.208	5.939	5.987	5.729	6.091	6.194	6.175	5.275	6.189	5.924
"AARS2"	-0.588	-0.636	-6.644	-6.644	-1.852	-6.644	-6.644	0.067	-1.265	-6.644	-1.257	-6.644
"AASDHPPT"	-0.104	-6.644	-0.814	-6.644	-0.537	-6.644	-6.644	-6.644	-6.644	-6.644	-6.644	-6.644
"AATF"	1.385	-2.868	1.83	1.58	-0.416	2.089	-6.644	-6.644	-6.644	-1.9	-6.644	-6.644
"ABCB7"	-6.644	-1.823	-1.998	1.412	1.779	-6.644	-6.644	-6.644	1.471	2.049	-6.644	-6.644
"ABCE1"	3.064	3.603	3.249	3.256	2.806	2.373	2.586	3.648	3.442	3.293	3.14	2.935
"ABCF1"	3.018	3.02	2.232	2.414	1.825	2.284	2.611	3.307	2.068	2.251	2.31	2.494
"ABCF2"	0.656	1.673	1.949	1.501	0.392	0.843	0.701	0.054	0.053	0.572	1.228	1.195
"ABCF3"	-2.595	0.951	1.333	-2.894	1.177	-2.003	-6.644	-6.644	-6.644	-6.644	0.232	-6.644
"ABHD10"	1.56	1.652	1.38	2.39	2.661	2.346	2.024	1.075	1.857	-0.987	0.058	0.893
"ABHD14B"	3.25	3.498	3.08	3.194	2.678	2.897	2.667	2.574	3.286	2.913	2.714	3.056
"ABI1"	-6.644	-0.231	0.795	0.407	1.588	0.669	1.308	1.467	-0.322	1.872	0.901	2.438
"ABI3"	-6.644	1.902	-6.644	-6.644	2.497	2.228	1.949	2.709	-6.644	0.963	-6.644	0.927
"ABRACL"	5.261	5.063	6.573	5.582	6.704	7.5	5.571	7.616	6.757	7.613	7.578	7.634
"ACAA1"	-0.149	-0.253	1.059	3.211	1.288	0.868	1.722	1.544	1.019	1.118	1.23	1.031
"ACAA2"	4.29	3.757	3.599	4.473	3.02	3.465	4.464	4.156	4.437	4.383	3.655	3.717
"ACACA"	-3.538	-3.172	-2.482	-6.644	-3.405	-1.538	-6.644	-3.534	-1.617	-0.856	-3.252	-6.644
"ACAD9"	1.756	0.894	1.204	1.25	0.612	1.338	0.816	0.635	0.791	0.608	-0.157	0.906
"ACADM"	6.664	6.128	6.31	6.256	6.399	6.15	5.86	5.673	5.983	6.293	6.287	6.07
"ACADS"	2.584	2.582	3.08	-0.492	0.557	1.919	2.254	-6.644	-6.644	2.324	0.016	1.926
"ACADSB"	0.372	1.71	0.773	1.568	2.317	2.49	2.476	2.877	2.009	1.599	1.531	1.784
"ACADVL"	2.652	2.485	2.568	2.198	3.39	3.546	4.082	4.01	4.209	2.44	3.653	3.136
"ACAP1"	-0.421	-0.095	0.653	-2.099	-0.262	-6.644	-0.851	-0.479	-1.05	1.523	0.693	0.444
"ACAP2"	-2.066	-6.644	-6.644	-2.42	-2.189	-2.761	-6.644	-1.635	-2.23	-1.828	-2.958	-2.653
"ACAT1"	6.026	6.011	6.081	5.131	5.078	4.999	4.241	5.6	5.607	5.228	4.902	5.148
"ACAT2"	4.335	3.493	4.164	4.167	4.652	4.454	3.816	4.085	4.347	4.258	3.322	4.494
"ACBD3"	-6.644	-1.323	1.33	1.788	1.265	2.323	1.73	-1.039	1.699	1.544	1.57	1.492
"ACIN1"	1.583	1.511	0.277	0.729	0.901	0.372	0.658	-6.644	1.017	0.813	2.116	1.595
"ACLY"	4.59	4.611	4.816	5.02	4.688	4.86	4.796	4.898	4.879	4.784	4.673	4.838
"ACO1"	-1.785	-6.644	-0.887	-0.907	-1.845	-1.706	-1.645	0.733	0.926	-0.083	0.123	-0.401
"ACO2"	5.377	5.097	5.617	4.892	5.55	5.805	5.866	5.634	5.209	5.208	4.714	5.331
"ACOT13"	1.846	3.132	-6.644	3.902	3.745	3.955	-6.644	1.813	1.384	3.662	2.909	3.705
"ACOT7"	3.773	1.209	4.044	3.031	3.455	3.446	3.432	4.051	1.871	3.525	2.875	3.871
"ACOT9"	0.522	1.74	0.659	1.403	0.283	1.044	0.987	1.894	2.222	1.474	1.998	2.561
"ACP1"	5.006	4.994	4.341	4.404	5.504	5.203	5.568	5.205	5.67	5.472	4.725	4.268
"ACSL1"	1.376	2.11	2.101	1.517	0.895	0.901	1.238	1.696	1.919	1.735	1.816	1.641
"ACSL3"	0.161	-0.176	-1.209	0.038	4.242	4.388	-0.565	-0.427	-0.921	-0.206	-0.063	0.012
"ACSL4"	-0.595	-6.644	-3.882	-0.688	4.269	4.349	-1.098	-0.953	-0.94	1.528	1.596	1.73
"ACSS1"	0.38	-6.644	-2.157	-0.522	-6.644	0.214	-0.104	-0.643	-2.001	-6.644	-6.644	-6.644
"ACTBL2"	10.606	10.244	10.481	-6.644	10.621	10.629	10.727	10.69	10.77	10.516	10.661	-6.644
"ACTL6A"	3.016	2.279	2.406	-0.871	2.066	2.411	3.194	3.577	0.703	2.47	2.566	2.218
"ACTN2"	2.869	2.977	2.101	1.363	1.735	2.788	-6.644	-6.644	-6.644	2.844	2.461	2.348
"ACTN4"	5.025	5.042	5.385	5.147	5.117	5.024	5.083	4.854	4.813	5.501	5.467	5.699
"ACTR1A"	3.251	3.626	3.737	2.267	2.511	3.274	2.654	2.982	2.495	3.66	3.676	3.519
"ACTR1B"	-6.644	-6.644	0.869	-6.644	-0.343	0.696	-6.644	-6.644	-0.308	-6.644	-1.098	-6.644
"ACTR2"	6.581	6.405	6.261	6.697	6.772	6.814	6.987	6.502	6.341	7.223	6.581	6.176
"ACTR3"	6.198	6.054	6.2	6.096	6.732	6.652	6.126	5.906	6.677	5.678	5.707	6.126
"ADA"	3.132	2.942	3.002	2.544	2.273	2.228	3.017	4.581	3.082	3.958	2.498	1.659
