"rowname"	"B1_DDA_FDU_Lumos_B1_D5_1"	"B1_DDA_FDU_Lumos_B1_D5_2"	"B1_DDA_FDU_Lumos_B1_D5_3"	"B1_DDA_FDU_Lumos_B1_D6_1"	"B1_DDA_FDU_Lumos_B1_D6_2"	"B1_DDA_FDU_Lumos_B1_D6_3"	"B1_DDA_FDU_Lumos_B1_F7_1"	"B1_DDA_FDU_Lumos_B1_F7_2"	"B1_DDA_FDU_Lumos_B1_F7_3"	"B1_DDA_FDU_Lumos_B1_M8_1"	"B1_DDA_FDU_Lumos_B1_M8_2"	"B1_DDA_FDU_Lumos_B1_M8_3"	"B1_DDA_FDU_QE-HFX_B4_D5_1"	"B1_DDA_FDU_QE-HFX_B4_D5_2"	"B1_DDA_FDU_QE-HFX_B4_D5_3"	"B1_DDA_FDU_QE-HFX_B4_D6_1"	"B1_DDA_FDU_QE-HFX_B4_D6_2"	"B1_DDA_FDU_QE-HFX_B4_D6_3"	"B1_DDA_FDU_QE-HFX_B4_F7_1"	"B1_DDA_FDU_QE-HFX_B4_F7_2"	"B1_DDA_FDU_QE-HFX_B4_F7_3"	"B1_DDA_FDU_QE-HFX_B4_M8_1"	"B1_DDA_FDU_QE-HFX_B4_M8_2"	"B1_DDA_FDU_QE-HFX_B4_M8_3"
"AARS"	6.66	6.183	6.432	6.402	6.19	6.043	6.405	6.339	6.329	6.097	6.015	5.971	5.881	6	6.204	5.907	6.015	6.043	6.162	6.007	6.176	5.614	5.504	5.575
"AARS2"	-3.36	-2.475	0.492	-6.644	-1.534	0.443	-6.644	-0.999	-0.175	-2.785	4.042	-1.891	0.378	-0.258	-0.322	-0.315	-0.287	-0.088	-0.135	0.126	-0.363	0.082	-0.164	0.723
"AASDHPPT"	1.475	1.64	1.51	0.268	1.181	-0.282	1.679	0.578	1.227	0.233	2.136	1.188	1.674	1.701	1.569	1.254	1.442	1.571	1.808	1.704	1.191	1.097	1.01	1.582
"AATF"	-0.537	0.601	2.41	-0.712	-6.644	1.892	2.542	-2.477	-0.193	2.183	-2.141	2.666	1.807	1.243	1.569	1.752	1.457	1.927	1.9	1.272	0.471	1.758	1.923	-1.458
"ABCB7"	0.673	-1.567	0.661	1.16	1.146	0.384	1.025	-0.577	1.028	1.084	1.404	1.223	0.113	2.203	1.507	1.269	1.098	0.783	0.271	0.126	1.243	1.655	1.95	1.227
"ABCE1"	3.296	3.381	3.595	3.233	3.318	3.565	3.097	3.713	3.729	3.437	3.514	3.73	4	3.778	4.07	4.382	4.108	3.733	4.52	4.686	4.273	4.293	3.852	4.147
"ABCF1"	3.81	3.461	4.127	3.254	3.67	3.526	3.345	3.556	3.894	3.389	3.747	4.21	2.863	3.592	3.331	2.941	3.423	3.406	3.157	2.772	3.233	2.19	2.676	2.216
"ABCF2"	1.134	1.522	1.857	-0.333	0.488	1.341	-0.028	0.659	0.721	1.487	1.719	-1.015	2.509	2.006	2.186	1.879	1.796	2.555	1.867	1.697	1.901	2.532	2.495	1.664
"ABCF3"	-2.627	-6.644	-0.915	-1.197	1.511	-1.623	-6.644	-2.719	-1.008	-6.644	-6.644	-1.548	-0.059	1.512	1.104	-0.097	-0.322	0.736	0.137	0.016	1.086	1.421	1.599	1.498
"ABHD10"	1.795	1.826	2.22	2.558	2.537	3.317	2.794	2.369	2.467	1.949	1.112	2.311	3.796	3.911	2.656	3.493	3.846	3.38	3.625	3.943	3.971	2.8	3.094	2.938
